group,CD252,CD19,CD16,CD25,CD31,IgM,CD32,CD223,CD27,HLA-DR,CD1c,CD1d,CD66b,CD35,CD21,CD79b,CD169,XCR1,CD54,CD122,CD267,IgD,CD18,CD38,CD22,CD71,B7-H4,CD193,CD158,CD207,CD73,CD305,CD209,CD307e,CLEC12A,Ig-light-chain-2,CD23,Ig-light-chain-1,HLA-F
progressive,-0.412447958225192,0.142798635786478,0.0912126279503508,0.003419290304783,0.0960175437019576,-0.0449682366398625,-0.28416008277641,-0.0088007375031777,0.362572927993347,0.0046158027958242,-0.437062625731975,-0.216387046340557,0.214279649307376,-0.241345158577575,-0.291558024031722,-0.0843082360122775,-0.354081671765996,-0.382566025580379,-0.106997407736972,-0.38370252415928,-0.562135026267851,-0.118843053983321,-0.0057716047872592,0.126085486113422,-0.266982506128775,0.48417276472832,0.0211121377842789,-0.182670892976718,-0.229728926594877,-0.0139995387455644,-0.134057120460037,-0.184677984394278,-0.141798182857464,-0.0656927373718015,0.0424626997817945,-0.0793771369888641,-0.367006754059973,-0.165271229815505,-0.387419741865622
progressive,-0.208908201997666,0.442152678073366,-0.0959309576770339,0.0873747058821833,-0.478743834657751,-0.354786308908556,-0.182753567661002,-0.160762114173855,-0.0798862644551747,0.0086608413492874,-0.153197160589876,-0.177442789238207,-0.0535439264680659,-0.185510007387575,-0.177737919146418,-0.285437536626306,-0.11137541809862,-0.0479826907302141,0.258970590921929,0.0799130502603553,-0.14397996973783,-0.219865146762091,-0.0491834072022658,-0.260919326801889,-0.0997334819927179,0.331989048773333,0.0658611636141436,0.0475096408773237,0.0552224696737477,-0.0614470566144115,0.0802564493841364,-0.172432486884759,0.158074642657494,0.0475926658499331,-0.128659461436899,-0.361170066982121,-0.147056237878485,-0.137491483453679,-0.0747372597706144
progressive,-0.216718574751843,0.037643853238946,-0.197665354185695,0.0706758334802607,0.0040326533276952,-0.287716239859369,0.30257987695098,-0.147301617606482,0.0474861265726139,-0.191456603763829,-0.171704659366244,-0.211014829015091,-0.240685523461942,-0.31648816052312,-0.0734817372220769,-0.300417937491103,-0.12360032196097,-0.151451542398456,-0.227309428261879,-0.170707342977176,-0.102466753708689,-0.517219704082201,-0.0201582760664811,-0.432335144251607,-0.592999607248166,-0.208935113610803,-0.157781454752157,-0.128446035753075,-0.0937093556544108,-0.0392964449106247,-0.423363033334457,-0.375373947858965,-0.121556858147359,-0.147656396349068,-0.102978479379813,-0.503254473428663,-0.271256562115066,-0.279950424688411,-0.15155523408409
progressive,0.0402601585911161,0.0177398212432875,-0.461260672492734,0.422029791587689,-0.289195084970128,-0.334256135429864,0.0424600571594735,-0.0597473517309424,0.28604480812056,0.0210295830542921,-0.0055599843368238,-0.0959720253298464,-0.50290030754952,-0.376657977556807,-0.276323710208487,-0.256452732165024,0.0919006538390878,0.193914584489693,0.518355156974566,0.0904607226283346,0.268906458507352,-0.186540412981783,-0.412589126972764,-0.15115686157818,-0.0720657599927243,0.2486097286089,-0.0349800679063185,-0.350901367102301,0.475037726419196,0.380009622723364,-0.26043689826115,-0.321169955995411,-0.09378780697618,-0.0047364150331724,-0.39118158733217,-0.0321768640738975,-0.0352226100370333,-0.379085779018771,-0.169021868319677
progressive,0.011573747121524,-0.111482780327307,-0.0197348662789653,0.0334098388739767,-0.183992364761807,-0.229264774413091,0.0549414481806004,-0.363549320941215,0.0909560650728304,-0.276247479645934,0.0606515439688534,-0.436617142515615,0.116231171492941,-0.181330107644441,-0.116303491204245,-0.389932198614871,-0.148448065215606,0.304188344038615,0.170949253030214,-0.273714893611888,-0.010705616841939,-0.043762828135047,-0.129260050594767,-0.114423758873181,0.089403396890242,-0.128966200496544,-0.379764183795754,-0.190315329251376,-0.145364465202286,-0.0478244275714093,0.0005526979714154,-0.172648731554443,-0.373852415396308,-0.406139316044465,0.0110156177537335,0.141144300738069,-0.0644150082622194,-0.34769812297509,-0.328286827624161
stable,-0.149118092063547,-0.0149569749598879,-0.0291802069483618,0.0318524467499585,-0.13284759390104,0.152038157503449,0.0527522882435944,-0.0830665581151136,0.0286941140820795,-0.223382979272966,0.159685197559942,-0.0540982133208024,0.0169516021876235,0.0724359886171765,-0.104530429240115,0.0493768697586939,-0.128653596541859,-0.164161738048391,-0.163077425085407,-0.140614504040286,-0.230121490478443,-0.14503493162388,-0.0028967980198866,-0.243566532439241,-0.131384195750259,-0.303441729319106,-0.0879080783145061,-0.186712764294722,0.0386612957262136,-0.105522334441725,-0.0336739653387845,-0.131102540683596,-0.12225837221901,-0.143714780209493,-0.0370396124812817,0.0082602275456146,-0.277338027017494,0.0202858562705374,-0.155241553496588
stable,-0.0533013549575104,-0.251655092513345,0.0269955396763586,0.0464088731692025,-0.219476554566122,0.0903673778815122,-0.238445625520382,-0.191013588249244,-0.131216989733174,-0.435514700199476,-0.156921618871479,-0.264522227701905,0.126180298582315,-0.169161783920883,-0.209608411044244,-0.121732559470266,-0.0430770072548133,0.0496512134041023,-0.207916303700165,-0.0787186603602189,-0.0173867725775187,-0.235487821256282,0.0231122071505563,-0.0849386617291934,-0.192576445486805,-0.0921899583620506,-0.138654106715834,-0.0792184313110219,0.0609771023581041,-0.0844829300432269,-0.124341902713792,-0.120986429584393,-0.0293126671073228,0.0869757245474656,0.0573427803513151,0.0561871011808632,-0.0920250082510573,-0.0834241276716874,-0.0442339197291285
stable,-0.0842193933176851,0.0768363867643548,-0.16792437166893,-0.103199979181817,-0.0031659313405873,-0.0859875553105656,0.0279216904703059,-0.0272221187992153,0.215654261865327,0.0796580526787359,0.0668819109725167,-0.0303873187423563,-0.0858072554037533,0.0514263561001704,0.0246036789323505,0.124835636548914,-0.0639750689058182,-0.0387413704901762,0.147913579304508,-0.106672871807755,-0.0440943342534223,-0.468632623228526,0.0554781750158629,0.050436847543093,-0.0498518487746094,0.167178550871877,0.0082940866767265,-0.0515200002274642,0.0275271977770413,0.0199252316727948,-0.332012436119159,-0.0467174812963137,-0.0689587967871082,0.021081762962522,-0.117209724338866,-0.0642885125450226,-0.171385725613704,-0.0337572547922538,-0.07318659744859
stable,-0.101064877963041,-0.16119341036553,-0.295150378499421,-0.0020205773948663,-0.149714117336054,-0.125466654101159,-0.251796880646577,-0.0902597069485348,0.215551939181765,-0.215440147656746,0.0841827265602038,-0.198782570460148,-0.196770710592724,-0.0828390500014311,-0.0366374960493612,-0.0706540658983272,-0.0198982389766865,-0.0540024974596372,0.102852855639815,-0.271627363968383,-0.140725136952607,-0.360387813506723,0.0692556339659485,-0.0359653131852845,-0.290894591247566,0.110269742277244,-0.126183763682569,-0.0959353107656546,-0.243705681715853,-0.168972100575842,-0.393703110720021,-0.268353365131937,-0.054264519761908,-0.0895891791567554,-0.156913933820806,-0.360442090502788,-0.103691369621489,0.0755204292405912,-0.154262574032273
stable,-0.0349751579167916,-0.123900595951331,0.300839455159536,0.187601694549607,0.300487052399329,-0.164924919437587,-0.105215144145356,0.0763734346336722,0.107023149220181,-0.122304124655046,-0.363407129792975,0.0507733232772721,0.151290797783857,-0.304449875712771,-0.254801877363697,-0.0531082418296771,-0.168700694403721,0.0881739725830556,-0.0633200209696717,0.0485075429643323,0.141097717959271,-0.292199894264233,-0.0689877877760348,-0.0024609328526124,-0.136690103306767,-0.0339029272925992,-0.0535056584593842,0.297581028184525,0.173449200340453,-0.012337609765823,0.0789613689216191,-0.103322708459223,-0.0916846086539639,0.0333764747289918,0.222102422816365,0.0585868723574056,0.212382375063002,-0.15517025560807,0.203056258896379
