group,CD275,CD252,CD137L,CD30,CD154,CD19,CD33,CD34,HLA,CD90,CD123,CD7,CD194,CD16,TIGIT,Podoplanin,TCR,CD103,CD69,CD152,CD27,CD107a,CD66b,CD178,CX3CR1,CD24,IgA,CD357,CD49b,CD98,CD18,CD28,CD15,CD71,B7-H4,CD193,CD144,CD1a,CD304,CD73,TCR-Va24-Jz18,CD305,CD158f,CD319,CLEC12A,CD150,Ig-light-chain-1,CD328,TCR-Vb13,CD101,CD88,NLRP2,Podocalyxin,CD224,CD258
progressive,0.115589326738098,0.179137165079043,-0.0320810104491312,0.194697004952261,-0.173760786272476,-0.102248067768556,0.195359138828138,-0.044392127103915,-0.02822706765504,-0.154167896536291,0.227199914245258,-0.143128885952574,0.140032139406901,0.0796216544649657,0.0401612979650292,0.179630417466167,-0.038797555543135,0.0444922783021655,-0.144090572965898,-0.0733588373726895,-0.0968006711388241,0.197745843233088,0.293940902402137,-0.0494650306198745,0.0421992515838787,0.253868856484271,0.0090757953496325,-0.35345644007119,0.0212038436713248,-0.0751614721154643,-0.0784938251067256,0.130996595998003,0.0687631866657269,-0.542660190217964,-0.163732982240667,-0.0205533621680505,-0.151750275250028,-0.0652452694939431,-0.35285282858199,0.405353956596592,0.0025765553904153,0.485393257155891,0.0170255021157452,0.160796321209654,0.029883982611245,0.241911482343998,0.0578980479105742,-0.0594467367151562,-0.0056039623432867,-0.129247622854617,-0.0501351383123507,0.117354884680442,-0.085035722081009,-0.0417534035828786,0.158241813089815
progressive,0.215792916466086,0.349152219855071,0.221549808859366,0.382491390083984,0.0086679953844301,0.219581419470786,0.113167759529297,0.234658651449827,0.175664740330433,0.159855004642076,-0.159161224398794,-0.0419389010134443,0.456997620864565,0.185171709878771,0.294423545467848,0.327800385815365,0.217979180674672,0.120183562560143,0.34269743448052,0.319318246609943,0.505682780494923,0.290472506799168,0.265591052206247,0.172600151215031,0.348550780441082,0.261518437559908,0.27064293181591,0.17528408983782,0.350397843985894,-0.177339599277933,0.123982251698554,0.318919769096968,0.318068568883874,0.190205988217874,0.172598166092379,0.128030920256674,0.242318533091851,0.273583449180541,0.0519815240503197,0.391918776534656,0.380156047318223,0.165902037362605,0.319888398574514,0.184202534725125,0.199629064410603,0.289786994129682,0.161244501499457,0.21944026551121,0.248487808342767,0.343853724596207,0.335048717341147,0.207417844884136,0.413077356422027,0.378106908145972,0.261731429699478
progressive,-0.13289002772295,-0.0862313872274096,-0.0434649187737222,0.0427815019474773,-0.07429427976791,-0.0069374971976016,0.0748500737057099,0.0085050462749472,-0.05447945670173,-0.110971321375722,-0.0077576736821409,0.0281346924217443,-0.0717040821840352,-0.179301357939707,0.0219795746673714,-0.02764879290911,-0.0626792662517247,-0.0740017897119713,0.0077232055896834,-0.121271997305501,0.0748311449502,-0.135329006682207,-0.124281102312019,-0.0258460145382552,-0.0552466441450854,-0.114693225289829,0.0017164803721816,0.0064399688938158,-0.201759280959176,0.0761893584960041,-0.0623550314923122,-0.0387057145051452,-0.165926086382305,-0.209973107941986,-0.0279684659856314,0.002686875463225,-0.0525190119562771,-0.0090781035165784,-0.130061073629313,-0.0528816974420883,-0.0644193010826351,-0.0017300506879472,-0.0574052551183762,-0.0555791556358063,-0.116218313753594,-0.154698269904981,-0.0227986069043231,-0.0551496964426064,-0.0141226426760923,-0.0689709977448824,-0.0206333309146,-0.0854075276761987,-0.0672639714091457,-0.12217011263915,-0.096265153378278
progressive,-0.512379359577469,-0.630632484160843,-0.554582073440073,-0.548775856325455,-0.508345912349816,-0.0626368996985214,-0.625409714317634,-0.507235150833857,-0.194128098890594,-0.55746464606839,-0.728040498634375,-0.552182521469553,-0.508601045399963,-0.562158024814988,-0.540559519249041,-0.530996972120875,-0.54649120126347,-0.576109792222264,-0.541038427052295,-0.540487193283538,-0.150292804266681,-0.621088102261405,-0.63937836707384,-0.562957848432856,-0.506163096899023,-0.568404322529092,-0.6092621889406,-0.521585958351148,-0.555120620804547,-0.516155114323078,-0.527178567173499,-0.54392859448139,-0.578143433406092,-0.190500411154778,-0.507375467719548,-0.637612117003271,-0.516130974005377,-0.573625155633527,-0.636918341296888,-0.387634674805398,-0.721849801565887,-0.560064892399405,-0.54725680844228,-0.570783907915919,-0.65544306907171,-0.552943218943434,-0.569833158293958,-0.643610314153838,-0.505946913090271,-0.633155492338434,-0.570802972909937,-0.514485148195411,-0.57380889452646,-0.548291882500868,-0.570286349395294
progressive,-0.367872939294521,-0.0670175071417772,-0.299923226854932,-0.182351395530755,-0.0407064835481749,-0.322499842402102,0.0209958428309122,-0.0629719918552721,-0.275711981397493,0.0942329890713184,-0.0699867126385399,-0.105545942103144,-0.238251422049768,-0.0956975638555412,-0.10832940634449,-0.277096099159019,-0.244204879195217,-0.267952065675293,-0.360096281827649,-0.301407866227552,-0.0996996568463734,-0.176074305701102,-0.0411652065704167,-0.139735746507377,-0.120487706450418,-0.144478685781716,-0.19289442160432,-0.330071228504539,-0.174626648628329,-0.187496243587792,0.244198330325513,0.019486546936562,-0.0212795573412134,-0.185173394830599,-0.140244406345044,-0.192418872739321,-0.311208263148264,-0.0864699031912013,0.108663882072276,-0.010943419834026,-0.0589961249244474,0.0401482956785795,-0.165050348136977,-0.0770042809123712,-0.0163565233313013,-0.018831952945418,-0.270176024916626,0.0707098538236947,-0.0466496986488846,-0.0236265906062633,-0.266214022794034,-0.158955770647359,-0.148786008620883,-0.183645277358143,-0.0472848594654713
stable,-0.0816152827173094,0.0522245086429144,0.0153060156163272,-0.0075386079823047,-0.095795241364917,0.142226357720457,-0.0469832557687599,-0.0020839171911293,0.0584952055457539,-0.0577213957996177,0.0894576689151861,-0.0034077340907966,-0.0135372356418433,0.0033441881581982,-0.0064532114058224,0.062751070758748,-0.0451357352707357,-0.125996492528636,0.0199194071736713,-0.0998721447826829,-0.0005013412941625,0.094097569144739,-0.0054527938670253,0.0153906691351017,0.0213644632618714,-0.0349193360648908,-0.0557386210766967,0.0196135848746698,0.0655795103747782,-0.145501713603872,-0.0160747581428476,-0.0926151707094584,0.0880250582374337,0.0544468896546473,0.0455497766124385,-0.053324419997949,-0.0225999121319006,-0.0644572517875923,0.180688558983556,-0.0044627181114543,-0.0778263769910455,0.0868799618145339,-0.0534352939083327,-0.0944934679311437,-0.041960493366173,-0.0624688838217289,-0.103675945092126,-0.0059141565148933,-0.035696180221167,-0.0797263695986794,0.0347676119677284,0.0336852937622219,-0.0363986242206369,0.0144802039678928,-0.043592888960849
stable,0.0649341316276755,-0.322373232708634,-0.0857020691220135,-0.16331415987426,0.0094344766756813,-0.245995588743169,-0.088459350514334,-0.0225589733607287,-0.387868377685989,-0.125103552172744,-0.191951245459638,-0.0365656706704421,-0.290609432378538,0.129989195288583,0.0543481138783484,-0.127065814831815,-0.194706177773712,-0.106202910642457,0.102865862401522,-0.047963965842004,-0.23945339071909,-0.0887217492205796,-0.0303268429104512,-0.073689193539751,-0.0542396093422931,-0.0660983254090109,-0.0168343728285506,-0.0893061722386489,-0.134298937390332,-0.104677227788244,-0.156866222657163,-0.159631563719167,0.0354804080161971,-0.177039841361365,-0.0847595045875926,-0.209848342561269,-0.190926536735503,-0.0655545521097418,0.137814540403306,0.0789688601931561,0.0647229885040525,0.0073008620164667,-0.0493744217130469,-0.176935773468233,0.0166511531967248,-0.0940650442623191,0.0354371614882986,-0.0142429052886008,-0.288311503561074,-0.140871230468291,-0.0826037638707068,-0.0701603887944238,-0.154827933072992,-0.120882195107922,-0.198327313949701
stable,0.0271946544815183,-0.0857784925318995,-0.0086259130836492,0.112071295470207,0.0537295308408172,-0.0289350546578985,0.0726805840954036,0.0021931117552926,-0.0820210363721721,0.0768660833435085,0.124000676685391,-0.152680450027175,-0.100178716153296,0.0625036305196998,-0.0046928675788951,-0.0261727734393784,-0.0195076611875383,0.0284368947589413,0.0729818743516358,0.0532723252653385,-0.19786245415829,0.0733989345811696,-0.0056911388399494,-0.104580377394211,-0.0113632900816251,-0.084843157584678,0.0128539667069653,-0.0168969790150945,-0.033182903294967,0.0302961205647892,-0.101762122001053,0.0308068470753691,0.10784242758212,-0.110172714953001,-0.0601577658042007,0.0654032350555123,-0.0216417627636829,-0.0635246508394828,0.0083284289883032,0.466483550774733,0.0322119474176704,0.188053750398152,0.032374489718015,-0.0445602788740126,-0.0658274049801554,-0.0684013691569618,-0.0455964317960024,-0.0157743738387373,0.0112241242343113,0.0933959173593464,0.0124727207800437,0.0784192897980829,-0.0272729228292634,0.0434527145878183,-0.046354965424823
stable,-0.0198103751043193,0.0741394882423141,0.0876296406797136,-0.0151798822966585,0.0069763971044388,-0.162600000072153,0.0274844211786292,0.0324608890470312,-0.211383436105567,0.102406833475613,-0.0083247474147869,-0.0766264397141331,0.0358468782132597,0.12938939074136,-0.0625603797888267,-0.0260477609954823,0.0413174267090171,0.0709063185107238,0.201302379295393,0.0512999762892042,-0.102888144537944,-0.0493770869166578,0.0876038060222527,-0.0739869927048955,-0.0209325674797497,-0.0099992722639425,-0.146021877599692,0.108861870134493,0.0531361593918361,0.0131231946819997,-0.0110632830914553,0.0176103585534906,0.132896558748678,-0.0092498507748904,-0.0307099709473683,-0.10273734097605,0.0450837786045179,-0.0025962989888276,0.0180996065830976,-0.189329739837941,0.0583690634298744,0.0412017964777839,-0.0580828604340953,0.10549143545534,0.0360652310146568,0.0823336539278259,-0.139574799196097,-0.0042500432617633,0.0764386965274993,0.0111243419735021,0.0150798446431647,0.0496955938028775,-0.100231148658902,0.0183997559857788,-0.009088239300447
stable,0.108598427824454,0.139682793313359,-0.0411093217934787,-0.0361777151870116,-0.0410044138618936,-0.0786838607790418,-0.214084637060674,0.013408204507977,-0.131724801024501,0.0064363189632535,0.0506121352076678,-0.109091861609217,0.160419646940442,-0.102963804230017,-0.0865672302808186,-0.128639910249726,-0.0011786950506888,-0.0981234099414485,-0.0048546677813999,0.0076295749761048,0.0423431446755646,-0.0265723878648344,0.276334076245328,0.0481260539491136,-0.0190295704223404,0.0618872135499759,-0.026898030853881,-0.255619430843257,-0.313698164024534,-0.0188836121212473,-0.0449303594747822,-0.20561248957293,0.156979462726176,0.346290372314643,0.0089055426123197,-0.309527621899408,0.0642525141160673,-0.0980153860774904,0.0741734925884706,0.131920809351215,-0.075593853864324,-0.0246799265703546,-0.102257809397519,-0.231717035610382,-0.114604559114046,-0.233303227480592,0.101264955893108,0.100706455242496,-0.183048385955577,0.0182943897882245,-0.0245200277860963,0.124299314631345,-0.024673334805408,-0.0294324875900199,-0.104947023459768
