group,CD275,CD137L,CD30,CD3,CD269,HLA,CD90,CD117,CD45RA,CD279,TIGIT,IgM,CD32,CD161,CD223,CD27,HLA-DR,CD141,CD1d,CD314,CD35,CD366,CD58,CX3CR1,CD11a,IgA,integrin,CD62P,CD122,FCERIA,CD137,CD254,CD357,CD124,CD226,CD29,IgD,CD22,B7-H4,CD204,CD1a,CD207,CD73,TCR-Va24-Jz18,CD305,CD133,CD209,CD158f,CD307d,CD150,Ig-light-chain-1,HLA-A2,CD328,CD82,CD101,NLRP2,Podocalyxin,CD224
progressive,-0.138286016401247,-0.17307060483432,-0.0061483264721766,-0.127502544610611,-0.173219037643141,0.0131271040438761,-0.101083598328642,-0.0349768065762171,-0.170171242035226,-0.208298318895785,-0.210579581345153,-0.200901258657228,-0.311057447697548,0.233249181454543,-0.13380236310141,-0.0578512886687647,-0.410125428743728,-0.454961292250325,-0.255038459681275,-0.348939009278147,0.20392258750283,-0.273401115482923,-0.205915571628472,-0.0225365178709603,-0.100022677731302,-0.070791203727134,0.0300491485819194,-0.139353655827595,-0.234796254420404,-0.128387967518276,-0.21001965219224,-0.433485349263187,0.0854853655490409,0.0482789151119279,-0.296539339927622,-0.165600283469293,-0.181750083971665,-0.430016261342785,-0.251826794577945,-0.174634005661661,-0.198172037914509,-0.143042345888502,-0.111080335482521,-0.328965498523324,-0.734033633155164,0.327985432510191,0.0385470788350388,-0.191820657170729,-0.373724399022759,-0.165215235435437,-0.2832679067499,-0.0344574678914733,-0.138913600246643,-0.0362524843225048,-0.132216207831843,-0.175309792085819,-0.322742340211374,-0.0450059332098057
progressive,-0.0728288266580147,-0.406314372537174,-0.412607420398826,0.0738635371642906,-0.25568917287789,-0.443377651985826,-0.21961737041615,-0.207327747351255,-0.553627791241298,-0.0918325908650637,-0.259133139613917,0.156345401461416,-0.0493678877810102,-0.160758288122139,-0.272535013126758,-0.440615009122134,-0.364630297216338,-0.0190756323391417,-0.371890194720557,-0.295800000805063,-0.400464438840764,-0.22160435125905,-0.320469966574888,-0.383688326864877,-0.445072960573587,-0.412014688688601,-0.40926422761055,-0.117684007165973,-0.435480372172604,-0.400191797659355,-0.208307271787514,-0.365870579789075,-0.496179195378977,-0.329798972843217,-0.433148166929851,-0.253911107751759,0.0333574029915768,-0.138718637515367,-0.290220996384947,-0.449034735108014,-0.345688442285941,0.0345121059620903,-0.29457007045424,-0.501247022858316,0.125626595688127,-0.0923142857749195,-0.417545468108224,-0.420430541821794,-0.437129482872005,-0.445682569379397,-0.2834028800206,-0.023713218624106,-0.411311567118758,-0.424798384297772,-0.502001546741153,-0.31978773826832,-0.307008738039896,-0.499703271649063
progressive,-0.0987416004184005,-0.0921336712832,0.049381690366544,0.0977013050711844,-0.107122683763616,-0.0421445360477219,0.0289234871302536,-0.0124757991787514,0.027668520538397,-0.044487567965065,-0.109227239368278,0.0261077947440009,0.0077114612575006,-0.0529950334115354,-0.0418333935452309,0.0514739927364638,-0.10902773389712,-0.0428632204045723,-0.0839783849747712,-0.0591313701989576,-0.163574211124843,0.0338376251184534,-0.0662544322486704,0.0082355326861088,-0.0242259112859661,-0.0794613672044888,-0.0093973212351945,-0.181653973777396,-0.0580158128564729,-0.0748823216291338,-0.0435528800967712,-0.128246070983015,-0.0210595142294485,-0.119387799295322,-0.0841935431926962,-0.0336987383377538,-0.191357828833554,-0.0560935911964812,-0.0897924773598362,-0.0749879826251642,-0.0248431057690592,0.0639414972512749,-0.199026131155198,0.0310421671848258,-0.130644290520418,0.0274210139677163,-0.19908077526168,-0.0784914223159594,-0.154381979939355,-0.0628497812854148,-0.110702870998486,-0.0954874133315673,-0.0481562008553995,-0.0012738693103211,0.0280091387491126,-0.0212037385924229,-0.0865476724309496,-0.0641537933474826
progressive,-0.171754085259792,-0.0736520065912509,-0.292921725069003,-0.498654078873736,-0.302950707045677,-0.10747159425038,-0.457361610237063,-0.128711214305383,-0.178579569047363,-0.207733397120177,-0.422883700545825,-0.136508335122256,-0.0126942438930385,-0.101713407459707,-0.169713865892396,-0.226518406430658,-0.325520421027896,-0.272189865563796,-0.325403430671644,-0.435412982418962,0.17369883457304,-0.30482725172527,-0.0726954345833887,-0.355081081612496,-0.0199222826727734,-0.0954674984287876,-0.303548486371457,-0.166477807956972,-0.0737940197925687,-0.0776459046656207,-0.240026569993685,-0.1893265082805,-0.211474593919915,-0.419940314547267,-0.17107504264409,-0.161919486546443,-0.0570749757380765,-0.165983006170073,-0.109545729900979,-0.0408164800871599,-0.147685436014294,-0.472910825093658,0.0652465278646659,-0.0279744224011096,-0.0852488154802635,-0.458797501782168,-0.0694602185469127,-0.275544952979943,-0.153061437502905,-0.18610564112396,-0.210457211806493,-0.409228553385539,0.124417417835915,-0.322125251747921,-0.095384463780855,-0.0746107700517977,-0.30400035779534,-0.0732588914306133
progressive,-0.425515586323828,-0.245531863394456,-0.160231521963054,0.0842939539685786,-0.544170613444172,-0.0931845032669074,-0.358063159887012,-0.4014502389868,0.073415931064552,-0.102074758412,-0.136837144856198,-0.154405139696952,-0.002517237665645,-0.0154679096895253,-0.440003418037085,-0.0186227149462474,0.134947222412288,-0.104343805742839,-0.432775614112386,-0.0590993721391021,-0.126152222499158,-0.049367411776078,-0.214615685619583,-0.381763871348819,-0.135953159777937,-0.518698473103146,-0.332293673044791,-0.421394621386537,-0.315484869302358,-0.309324861649563,-0.402549805832875,-0.368728218003366,-0.0490467287336062,-0.294672826856803,-0.346286346062536,-0.124137282708443,-0.0574527384747284,0.0263942189311644,-0.425371223024496,-0.276071666033552,-0.237517202277104,-0.140841795072739,0.204277170235152,0.0534927550620922,-0.269535527737461,-0.196645047852385,-0.565231897846055,-0.427202029905668,-0.356505848032806,-0.0185015678060247,-0.549233648054943,-0.157784247944937,-0.207260651348639,0.164682264863967,-0.199122707807205,-0.0523631924024795,-0.414013241379849,-0.213283188228854
stable,-0.0571773123396496,-0.239408029113272,0.0058197684928515,-0.0273095699361354,-0.153227763373833,0.0274326497327189,-0.19246056002853,-0.0547409985273487,0.0479042242192865,-0.115112656573123,-0.0373559214866116,-0.0068689376329955,-0.143791015198662,-0.017170925666749,-0.0020527234142132,0.114997190968502,-0.132400205609484,-0.141182658877849,-0.1242005742469,-0.280223371182469,-0.155179451328978,-0.125160857005073,-0.106278095592154,-0.175911006728673,-0.1201858581431,-0.185431754762167,-0.162923723039251,-0.0961153816758839,-0.144875108501832,-0.0862338482948953,-0.0296295338978134,-0.140418852640306,-0.0076519397065224,-0.072856527166434,-0.154526972178707,-0.0778303430189235,-0.293186879153809,-0.142159213298395,-0.168590246231651,-0.215019194595579,-0.184275049448465,-0.167899121948708,-0.252417797672582,-0.213487561020581,-0.17480473502641,-0.150814404342936,-0.186286388009624,-0.148589414301963,-0.122494214016293,-0.261442825052315,-0.164804364656686,-0.187124390975091,-0.0654751568375184,-0.120056934278691,-0.149590248875317,-0.187461962318947,-0.140897895913511,-0.107913744389394
stable,-0.314342195605866,-0.269380929795181,-0.250198494519228,0.0815991753263327,-0.365322033292406,-0.111086650972264,-0.304900642094597,-0.329104868617342,-0.226871511375157,-0.402427953053798,-0.362469487842743,-0.11447859844135,-0.0997198997093578,-0.271283127580265,-0.117247315814605,0.0316583819528542,-0.093320348636899,-0.20067098194732,-0.38152117706296,-0.292610965445773,-0.1667196497315,-0.432830789028936,-0.423185367350388,-0.425163930618126,-0.166074259929734,-0.250683481121987,-0.0529189082300083,-0.204747583026471,-0.311926154665191,-0.193901729568391,-0.322531045400179,-0.311141734498859,-0.228076208994501,-0.18550989122294,-0.338447619152111,-0.167812404834082,0.106830221405955,-0.433318483030146,-0.397587962699846,-0.258414657713101,-0.429262241230924,-0.372914500374188,-0.221021217256815,-0.357946166399226,-0.207562387517816,-0.0519518366035892,-0.390045150990432,-0.386398574295842,-0.306495004906722,-0.319739467930996,-0.260026032011377,-0.262045224356117,-0.36662593106401,-0.179980909212107,-0.190427452074367,-0.408871798283719,-0.338466764162426,-0.390344331593338
stable,-0.0588189019125351,0.0236423132633546,0.10566433412412,-0.0306950428860111,-0.0894779225178471,-0.0183710976517135,-0.0153356981411393,0.0694694046163444,-0.108041082378995,0.0550685053953114,-0.0037474294961789,0.0841078741409604,0.120573755554739,-0.0102135385199138,-0.0132472542093799,-0.144450330447289,0.102870903456415,-0.0434552772005937,-0.053473727654988,-0.0007250376146474,-0.0168287798187419,0.0486562336542196,-0.0255333136349488,0.0137660182671675,0.0834251530772398,-0.0929057528463963,-0.155342272621538,0.0805630413802157,0.180973351886754,0.0073039958549038,0.11539928483102,0.0156283327419752,-0.0441693233610476,-0.0674476933368391,0.0579864167550999,0.0082411319935986,0.0035865020757046,0.0285877908020115,0.0542658256247052,-0.122482103698811,0.031573342655436,-0.0503048150246415,0.254274233891527,-0.0083138139133216,0.22678352683692,0.0415524234073155,0.115711634367125,0.058117966370884,0.0021846748900088,-0.0223687060365488,0.0810425583045376,0.116416006220671,0.0523568329861902,-0.075385319516954,0.0759795090049091,0.0201256211254439,0.0466382658934709,-0.0041684425548712
stable,-0.154668840187502,-0.1574720429793,-0.0117312104821191,-0.0397868727542592,-0.0366308342158503,0.115645888258732,-0.0697355407277897,0.0308430996074358,0.175996069473912,-0.108157204809509,-0.049728269842202,0.0382242266401778,-0.158140807355791,-0.181782127360605,-0.0584843165869019,0.0823069317932465,-0.136120467318176,0.0066950646887381,-0.162346641399143,-0.102690229877341,0.0064098485461235,-0.123955788456784,-0.108950178420599,-0.134548546046677,-0.0362556133551288,-0.183998802971392,-0.182448153599183,-0.0904823386006979,-0.156370982784498,-0.202458169986954,-0.21384845601456,-0.144204523833071,-0.0607470870692998,-0.31209506267375,-0.196415883091057,-0.143438019155726,-0.266182342650254,0.0042804888844415,-0.174841521490488,-0.148998683712103,-0.17290193406235,-0.118608959442786,-0.317143743645171,-0.140208623611873,-0.133519296964876,-0.0945021564489402,-0.0815869419071722,-0.218423244217756,-0.205580317437183,-0.14986094359849,-0.110121414751173,-0.201413093019695,-0.141509998277992,-0.0158541421392422,-0.062841026578934,-0.168163171276863,-0.198218894196283,-0.104014597221094
stable,0.114475863509542,-0.238091488720564,-0.107687871841712,-0.203560398024906,-0.126816005183219,-0.0270786417642892,-0.074272692036337,-0.209463791960308,-0.244620814430105,-0.26916858066736,-0.116400160238152,0.197222820644157,-0.0973636260861297,-0.454503007189545,-0.154863454060887,-0.34078768386382,-0.0594426936561631,0.0068148747046941,-0.180080230114406,-0.157633568074008,0.0429053304582972,-0.146014511661711,-0.150397204939619,-0.0612266203854061,-0.27513003946569,0.122773391276704,0.300531372850997,-0.35700462960372,-0.118520418097742,0.0058552878841508,-0.474310122740985,-0.321190428481692,-0.252798936790387,-0.173704005204077,0.0110391165802499,-0.452411713786268,0.104871007873817,-0.0220903381174521,-0.108580043937199,0.0028558937427269,-0.0659984819393347,-0.153414400618693,-0.149171605236638,-0.111771602980338,0.24765620759835,0.0397156633377212,-0.316281460079066,-0.0920584889589048,-0.198151651357254,-0.147452272534274,0.235450648397853,-0.0210725348184557,0.0637201614518707,-0.0517977165819751,-0.136978942248327,-0.0121928483017123,0.123944391134679,-0.296179459815446
