group,CD137L,CD40,CD154,CD45RA,CD16,CD146,IgM,CD103,CD152,CD27,CD107a,HLA-DR,CD64,CD66b,CD35,CD58,IgA,FCERIA,CD137,CD49b,CD18,CD22,CD71,CD193,CD207,TCR-Va24-Jz18,LOX-1,CD94,CD328,TCR-Vb13,CD360,CD224
progressive,0.197112402263102,0.0343406396399147,0.266242627610028,0.266909213725287,0.290834949087539,-0.074336556720609,-0.0179549434065638,0.234833164924728,0.113221180821072,0.0261026323696407,0.171410176659321,0.455072754329296,-0.0241050541866605,0.30329045787032,-0.0943170490501712,0.0608128738571765,0.160414682804756,0.197601859960001,0.119867517039713,0.33560040343104,0.17930452205752,0.544650598141456,0.121566838930954,0.281742717359793,0.298190175280522,0.231132174728435,0.0901628874117382,0.345825928726286,0.126717431036694,0.174631583292152,0.107156689033081,0.18251986022733
progressive,0.325414777730082,0.242541259836337,0.12607876198839,0.266054888017403,0.113581442955611,0.22410506277825,-0.209118345631038,0.0810372493771564,0.0595867362703069,-0.139528313429815,0.0239842010501888,0.0891191698430334,-0.0963096352678219,0.0188911486899873,-0.038439923672579,0.104275382502473,0.285971179427409,0.212873398449348,0.213738241063081,0.158452485375266,0.0627791798430837,-0.0439645265447862,0.0944916920406764,0.0974443073318104,0.0189088794983467,0.193400022201257,0.135424237914405,0.15423098461322,0.218597099794045,0.0899712565448589,0.068244754619831,0.233194860102896
progressive,-0.0479892304425873,-0.0623593064393585,0.0071418284825997,0.0118288140672688,-0.150852994195324,0.0689277362390441,-0.068953214437294,0.0048964197038722,-0.0007657207788756,-0.0882296047806155,-0.0784141428169913,-0.0151907187337838,-0.125776333846638,-0.0086165943815602,-0.156181258351597,-0.0187761905213249,-0.0412256332159314,-0.0169895463482763,0.0456931709197474,0.0376394211864393,0.141260986574537,-0.342085345909355,-0.0294864131738271,-0.0862397973142905,-0.0292972623861049,-0.0947849301755657,-0.075396587032977,-0.0282284174475417,-0.110895339700463,-0.0933283084590027,-0.133403739110898,-0.0076652135521405
progressive,0.556993299846335,-0.0432823660275161,0.521638897636802,-0.274940183653031,0.553403373854272,0.512592792499776,0.455176243050394,0.508423849483881,0.456499238202915,-0.0973552027638286,0.498712692281933,0.0113910241544082,0.593591025636291,0.580059114257335,0.513534850983764,0.452375806774943,0.46518509268798,0.365935154661737,0.511981202599737,0.491930771033363,0.498866918373903,0.214321142275453,-0.0572170438655745,0.265680890749248,0.0663419925249871,0.487193764248344,0.502631303563329,0.574127213250078,0.54708523888661,0.526662677079452,0.26317463636214,0.509965108209815
progressive,0.15315462869134,-0.481152683165308,-0.228742683120142,-0.245682359326458,-0.317962873455508,-0.260213121471885,0.042172832382069,-0.0798584641108449,0.110043032576689,-0.016692311567673,-0.313532938126946,-0.0556438222284436,-0.434059071490047,-0.028727590681494,-0.0208425411085565,-0.126618865646727,-0.198925799198543,-0.471352170132667,-0.089232431328983,-0.188322856363884,-0.0940624781323422,-0.192397008634403,-0.470117433182588,-0.47252229508137,-0.50032588940137,-0.401085595568445,-0.0263034024481314,-0.149739173799316,-0.161891261571307,-0.179903190789463,-0.520112374558397,-0.112843601389224
stable,-0.22885807102461,-0.0271951819187281,-0.166426890752051,-0.136711285011683,-0.323599414943908,-0.0803710181887745,0.0015622261024157,-0.282678161493011,-0.202022128222475,-0.196377010219453,-0.27317808716908,-0.0477188691253215,0.0399747856536992,-0.31571437385179,-0.367899688258966,-0.189543912412753,-0.290279071464247,-0.148199532768739,-0.0380116537587656,-0.109925240162506,-0.0591881803703687,-0.0970542638645739,-0.225084046344952,-0.126777384275994,-0.166546670992901,-0.226862688221973,-0.0869988186441572,-0.0679324583361484,-0.185300190313025,-0.188176943603185,0.0290796809572061,-0.161322613613383
stable,-0.140660436037385,-0.0707720273373562,-0.0160617365484179,0.164270245498698,-0.236229493838038,-0.169117459331444,-0.107535742995726,-0.260803146544975,-0.195525210744531,0.0570504189499925,-0.217041892518696,0.348009395321284,-0.115392681470844,-0.188068283449021,-0.0771763739889281,-0.182725934997728,-0.175063662574043,-0.109641946570506,-0.190263934841199,-0.241501238452276,-0.0645212691432545,0.01728057916415,-0.0827346225106199,-0.132718570612992,-0.131747377295204,-0.204223086071269,-0.181810306286852,-0.263727539099068,-0.16973015776809,-0.267514469894483,-0.135574183720924,-0.261053069116076
stable,0.069319984295851,0.148386970472539,-0.0687469842811686,-0.0082330625959177,0.012539222354794,0.073495719524342,-0.156077974307957,0.037635398283027,0.159753241762287,-0.0757867181206944,0.140948728708676,0.093045308907777,-0.122693814613247,-0.0550278220876122,0.0472909033398455,0.119675379753497,0.0767731246652859,0.152073737301121,-0.04762554931429,0.143299038751446,-0.0892416600675834,-0.0027397801035598,0.0632512305300355,0.115412315963131,0.138504271674977,-0.0088673425748406,0.0249154914736682,-0.0495864180932883,0.0732880338385988,0.0633009536575065,0.0699976243789414,0.122704355385237
stable,-0.201684751946553,-0.234982218365972,-0.0551727242690526,-0.451533949654447,0.0146898921652946,-0.216724613872582,0.116871876442902,-0.220818898247618,-0.22521088339193,-0.265470089986857,-0.190595028638333,-0.197030468479035,-0.173558484051811,-0.0902617256265688,-0.331447259533055,-0.29306531511463,-0.217481421026889,-0.135054481292886,0.0420059053334444,-0.0949366660207761,-0.162346644683261,-0.326372126409435,0.0185338991112894,-0.257288723465806,-0.298043056354755,-0.142774079457721,-0.184006893420291,-0.193681121593681,-0.154624843814123,-0.164897534437582,-0.187594148475618,-0.193593755233543
stable,-0.154738961257848,-0.0505311730790454,0.1341557453525,-0.229747362582479,-0.139848519863809,0.0675148475308051,-0.0850076747595286,-0.232256538210608,-0.0621955225900191,-0.360532106303756,-0.0745866114748814,-0.102008381134533,0.158882833343478,-0.12253662831498,-0.107503826877011,0.181184340841951,-0.111080687345589,-0.198499098353611,-0.0570687420785751,-0.0173724865687488,0.0681482385332715,-0.253400723027306,-0.0161773023144213,0.184174600425105,0.10847025075748,-0.112665775804181,-0.268456682959971,-0.14105150831261,0.100876117140618,-0.230394717191948,-0.261681303356566,-0.0024326360446743
stable,0.191426899364443,0.0955116764947587,0.0345358731085936,-0.19393093563609,-0.101729261089261,-0.0177285721032528,-0.091279085171062,0.0198057898701798,-0.0093569679394226,-0.0990087863353358,0.13643676287562,0.229982045932445,0.0911238620969996,0.117463075961255,-0.147881349143681,-0.0231932290298569,0.149504440460369,0.168350940423389,-0.0118166557455644,0.0045846008451497,-0.19957595450569,0.209720043927595,-0.14748571813884,0.0259894765093031,0.003007579216577,0.288844198005018,0.0510538292953299,0.0179124286915769,0.212855163424914,0.084031559502702,0.204614470974069,-0.0148070701913139
stable,-0.284818908047529,-0.32254600477279,-0.116480819265666,-0.211461053468999,-0.230581958233386,-0.202692371136464,0.0413569405866997,-0.200713908320304,-0.293120531315925,-0.28943361221482,-0.277020836055069,0.0059194532207303,-0.148288797392619,-0.290002052173547,-0.436595993925261,-0.368634344009414,-0.363660809889431,-0.365068838041852,-0.261046774834979,-0.318195204806776,-0.0771593777810654,-0.0165009606820982,-0.316527781107193,-0.273368255763729,-0.215844031714902,-0.239521538626673,-0.222578495509993,-0.339661535153312,-0.278069156902244,-0.325738291658487,-0.240297090303236,-0.34603522296849
stable,0.314411492816362,0.249517000894938,0.194507178833248,0.357117732970154,0.187519381204052,0.119232101236708,0.0134133439119069,0.260940098410883,0.199800163729997,0.450637987270923,0.293871157970775,-0.0335662414152342,0.105998358404535,0.180397744229442,0.117572472997939,0.254253440306372,0.359506984486536,0.232042698879282,0.147630748662176,0.206153828246097,-0.010431284284615,0.0229797997244825,-0.152350957229137,0.219065708392121,0.16635584180924,0.256908725724004,0.228934243725373,0.286879158978452,0.162230983710785,0.225760314155052,0.201571335428745,0.2760004693165
stable,0.093475080554884,-0.0432902105150904,0.178141686586428,0.0891203857637433,0.114320735114108,-0.0102968947576522,-0.0234588851208847,0.0833990358218723,0.238986121352468,0.121627303494353,0.154875333772947,0.022151608549695,0.0995219254016001,0.200728178803674,-0.182877388549311,0.170698221809707,0.181443803677011,0.241265674824202,0.184177785894149,0.184096839217469,0.214862966363322,0.121026898288084,0.0171255810374413,0.160357978569624,0.0098743923710267,0.02189314300805,0.0797210861984152,0.111307031364622,0.156745503450646,0.149479580223767,-0.0799709105827932,0.22997617969104
