group,CD80,CD273,CD112,CD47,CD269,HLA,CD16,CD25,TIGIT,CD20,IgM,CD32,CD223,CD64,CD141,CD1d,CD66b,CD35,CD178,integrin,CD122,CD81,IgD,CD18,CD22,CD71,CD73,TCR-Vr9,CD305,CD158f,CD336,CD150,Ig-light-chain-2,DR3
progressive,-0.565250002130941,-0.434363063955836,-0.18514855738921,-0.551447953980468,-0.420262921377729,0.0594893038751381,0.0874247281185256,-0.533797843262605,-0.431314015597813,-0.244378997844596,-0.350930177662524,-0.13599791252261,-0.519009864789171,0.115472321430257,-0.403133227514592,-0.441295664126312,-0.086350365950046,0.0648810022901581,-0.432476567711918,0.197511379803704,-0.0855112810453665,-0.401210274826631,-0.106664790500931,-0.0388621389008789,-0.402516591788615,-0.154194121745425,-0.325245706269575,-0.445758576597583,-0.34427718934631,-0.391813555357016,-0.408688600127442,-0.495569919501065,-0.387965206692239,-0.456155057157775
progressive,-0.0063328377557413,-0.120639515194877,0.126708214780488,-0.200413254473903,-0.164576410053225,-0.392571843137634,-0.0766966169355549,-0.225698539014455,-0.356306468092466,-0.253378486301787,0.160043951040416,0.209658497018199,0.0760320941115007,-0.147990418309949,-0.10969461179932,0.0079049860267988,-0.152700284380769,-0.081580312632741,0.0316503633488653,-0.0002898845140834,-0.179435807351456,0.215446506292422,0.398518690693,-0.0565189378362066,-0.129490203221007,-0.435611252556963,-0.157832016884006,-0.312615467000089,0.148847417196183,-0.0174894444923157,-0.173427804445131,-0.0054216819214553,0.210119436698133,-0.0152481703132935
progressive,-0.141425407956268,-0.238437468589436,-0.106609085770726,-0.207914985584556,-0.257997048923568,-0.358643736275607,-0.271526579968988,-0.0233967188234314,-0.180973259729046,-0.337949288489158,-0.268765427894722,0.141002262915495,-0.133839899400067,-0.198212377800383,-0.170683864833231,-0.31766245225587,-0.196590531316592,-0.303909740926831,-0.197437984304911,-0.451484667249845,-0.242723060702356,-0.370781587222054,-0.455801274754094,-0.14814596081017,-0.552228976059377,-0.371808607581828,-0.633540616981848,-0.105081966966108,-0.40505386309311,-0.265756773069518,-0.275159215139494,-0.280534950905362,-0.589913287323962,-0.23838146333576
progressive,-0.280206219929306,-0.186420550256164,-0.46130367603771,-0.204918297975068,-0.0131956750800295,-0.24956196911556,-0.401947912233882,0.0252354556732213,-0.230944303372603,-0.257548684011883,-0.430791801458409,-0.142153644974629,-0.258718363592899,-0.438940241116678,-0.0166214303151662,-0.254276397007944,-0.404618593473466,-0.625973339483411,-0.0605366460746494,0.0051016552331337,-0.301426092733687,-0.3550646055837,-0.472466208426394,-0.510728715894683,-0.285614374978822,0.272254978705394,-0.306790492131333,-0.414041630975303,-0.425032530928084,-0.0386595263918601,-0.101756827322773,-0.145309354442691,-0.368392260111357,-0.120510653751017
progressive,-0.0430893038718075,-0.419040873954631,-0.24200652051968,0.0411717206325773,-0.409473829256295,-0.174844421324127,0.0519280559630875,-0.195396936444773,-0.189716204919091,0.0178954727818844,-0.124461285810496,-0.212870750420852,-0.383952027204336,0.0614221183653995,-0.0025667460236206,-0.147075658866497,0.069232392868428,-0.112878814740551,-0.0528968125579978,-0.139714385257469,-0.566104723445177,-0.284500908806757,-0.0345614129887038,-0.109962071210196,-0.106026139025614,0.102184449413037,-0.0116066573997245,-0.356378204829876,-0.429686304989756,-0.455477587554632,-0.127684437036039,0.016959770488856,-0.0136873837022953,-0.179142669610018
stable,0.152029084820294,0.0633787457994699,0.0068465299713962,-0.0768275261928828,-0.0246661602010812,-0.0826888047557605,-0.148945488409273,0.231724703930953,0.105162434349032,-0.0226639806589255,-0.058153105206345,-0.199366936610246,0.088506579922111,0.173621663604703,0.0674417353085401,0.0063858099170993,-0.134566232656223,-0.199271484326525,0.117108848763278,-0.035708026676198,-0.0539918733454692,-0.0201177068956648,-0.176850630560701,0.121561505078553,-0.117028307299195,-0.0825970474632816,-0.0413936837852263,0.183639724939456,-0.028269330197445,0.0968438802708701,0.0842591313791427,-0.0484766611790044,-0.198012696200868,0.0068585318962714
stable,-0.153205505153407,-0.366705348343023,0.0382375205763017,-0.0681885635590425,-0.27680760752378,-0.100588391951596,-0.0490898339043718,-0.218938702206942,-0.247403456027151,0.0142768638434484,0.0926059308885227,-0.052186889935567,-0.281737317270008,-0.01688772307716,-0.199919903507658,-0.227344991456336,0.038146267439609,-0.100893854985078,-0.235467016892713,0.139101467923782,-0.190937605311058,-0.14983171115732,0.271018645403042,-0.160034412850835,-0.152979540729565,0.031302037699387,-0.0810111437872609,-0.0698091576137873,0.150893393994717,-0.187676769020698,-0.23636304248156,-0.279072751023948,0.14281244469639,-0.0321180660395506
stable,0.0063559789310747,-0.11827825553813,0.0108375949729491,0.160100447361074,-0.0273480825222339,-0.340037622919666,0.0344681149279773,-0.0806120540443524,-0.187833272948358,-0.172321114818366,-0.154280018406596,-0.255885251097804,-0.0357177608718815,-0.0193997154963862,-0.0536094828283816,-0.210073583347373,-0.160897936167645,-0.12349895235035,0.0034618852321906,-0.244274080810176,-0.117908554161165,-0.114340708365352,0.221142092023624,-0.0353357078713582,0.063708064693466,-0.166233801245955,0.187591365637553,-0.0190125646590814,-0.0794253257968471,-0.159259149736411,-0.0363341238229433,0.0058690092419716,-0.1465229101985,0.0420831435140406
stable,0.0638487494618156,-0.0228332506041295,0.0144012769056252,0.03899990453787,-0.0103639421867126,0.220766026500944,-0.0704923971904297,-0.0766762198539563,-0.047332900502095,0.0292972308691828,0.0246415507017462,-0.0021671295665833,-0.0174544667970263,-0.0242063230266239,-0.0198406786601908,-0.0891143600371434,-0.0437436993482103,0.0701772084534284,-0.0613572750563169,-0.0259363053970756,-0.157355137825389,-0.0380051713581878,-0.313818546691254,0.113879631248865,-0.121124364656785,0.10139753871177,-0.528345180074484,-0.0978866121503497,-0.180512558923335,-0.0936167343531894,-0.0625578799725673,-0.0485920215275295,-0.136898975022784,0.0208307223820773
stable,-0.257326608337007,-0.242419629469172,-0.0555314645068066,0.0961676648284791,-0.0034674357057744,-0.0193315437194257,0.167620541046899,0.0891014559894078,-0.195453729381905,0.156398438152036,0.0075729550965715,-0.242028446596347,-0.206770176378725,-0.0846736065078363,0.213340654817906,-0.166898925969809,0.243627112314677,0.0193603088671128,-0.100162048088677,-0.227800711049378,-0.0216017686362037,0.104390197086832,-0.160111201556188,0.0669323396299591,-0.144667169849181,-0.0136145613537209,-0.115952507037448,0.0828176184530563,0.0272262682006293,0.0458488319716939,-0.090508475099435,-0.124071278902182,-0.0992061430242252,-0.139345240996312
stable,-0.138943019235972,0.181146560318999,0.0667242813716794,-0.0685915079883822,-0.060233666798438,0.105993594556158,-0.139218888637213,-0.0225477330973546,-0.157019206673141,0.448901661969968,0.0525883343781861,0.477621483308623,0.0504407477924981,-0.159394707243905,0.104595292819538,0.193618510401505,0.109051071366723,-0.367166055034065,-0.127024146306305,0.12298437957215,-0.0481132215272024,-0.177181957701487,-0.100881748211154,-0.0242064566747567,0.219131800302933,-0.125287724257324,-0.301136668911007,-0.130252894424338,-0.0346313795757213,-0.125638541681074,-0.106188816962608,-0.0262427079886967,0.0420410621201826,-0.0104442256127418
stable,-0.0435661916353203,-0.139493071829381,-0.0167356992787516,0.07486304611486,-0.175373037929371,-0.443502889520053,-0.0818335117443142,-0.220635397672627,-0.180922390103604,0.0195212023147291,0.38557696983922,0.364660696896362,-0.102741424165977,-0.0809451783030839,-0.0681808470713213,-0.0402719278954716,-0.106867271170032,-0.294962844969376,-0.101927181622803,-0.0366868838508465,-0.0923725606680226,-0.155425928431173,0.53124661759702,-0.0782051766454442,0.17212770487405,-0.0982384031495124,-0.377629624288451,-0.15981283683904,0.341508927340978,-0.122803960222291,-0.0490697437062251,-0.0735292104272312,0.0656855467897502,-0.123183105882898
