group,CD80,CD274,CD154,CD19,CD33,CD269,HLA,CD10,CD45RO,IgM,TCR,CD185,CD27,CD107a,CD35,CD11a,CD268,TCR-A-B,CD106,CD137,CD254,CD163,CD29,CD18,CD71,CD26,CD144,TCR-Vd2,TCR-Va24-Jz18,LOX-1,CD133,CD209,CD158f,Mac-2,Ig-light-chain-1,HLA-A2,GARP,CD82,CD258
progressive,-0.0923063112942849,-0.153130760866241,-0.0072625673230826,-0.449770225454863,0.111362618408914,-0.18680038137425,-0.521669597119355,0.218892737081724,0.348534410994917,-0.1163027415254,-0.0581585189330815,0.200177440577235,-0.346698599843785,0.0205509536847321,-0.116299006449768,-0.235249711824225,-0.209832660923785,7.66666443924542e-05,0.305991650267892,0.0414003367438646,-0.261984892253302,-0.568798880449748,-0.288966428709466,-0.1246666634048,-0.391124587812977,-0.151741150666454,0.0445519345172927,0.223854384894337,0.0084874765801917,0.0437691414062119,-0.0198011007311151,-0.272888843816307,-0.281185626053818,-0.0779085323893098,-0.187049394625905,-0.123605707116212,-0.201010802175189,-0.340788552834615,0.201481426446092
progressive,-0.406700279920859,-0.28361698083844,-0.300108410776533,-0.198703436427066,-0.19772591299169,-0.318729010317558,-0.332507804291573,-0.392579890948632,-0.134867051113865,-0.0138270864119517,-0.24494959338667,-0.456834738952156,-0.196811945382143,-0.221143967928406,-0.282268641892349,-0.467190587725901,-0.460625763610553,-0.151216078464106,-0.411644857829197,-0.0116212446820787,-0.121841806288249,-0.290542080969896,-0.429305303066964,-0.0714993287091339,-0.459491052500071,-0.435472358718388,-0.373002759522835,-0.4773381179677,-0.174115915941305,-0.205645646599563,-0.432891004356562,-0.261785806793042,-0.404245523674669,-0.466496833086858,-0.264917055741903,-0.26472271511123,-0.43086666348311,-0.421853772114645,-0.447605859939078
progressive,-0.0607707197274034,0.0840707426030345,-0.0092403571729693,0.0558568029684009,-0.170185002479133,0.0193136661300796,0.0747421987967007,-0.104538248802451,-0.173850503954875,-0.0550747783336603,-0.0580549796676173,-0.137077427311549,0.114091291041274,-0.148646539607437,-0.122191565229288,-0.0439841832065087,0.0124353934479491,-0.119176725813745,-0.0658513324844345,-0.0335804329980296,-0.0207239489619909,0.0632824400804997,0.0011514174671572,-0.0541667186743079,-0.145122348135747,0.023674940932648,-0.0315495970138803,0.0931303762038981,-0.0209947276788154,-0.0606902736908728,-0.1116158156912,0.0079124213347251,-0.0600881718498694,-0.132538736986118,-0.181802442316194,-0.0686107371415882,-0.0266222494429645,0.0365910464115099,-0.098300577687308
progressive,-0.297914005687954,-0.0382251414605825,-0.282919036858015,0.141371044599285,-0.351268106327872,-0.0642189520561435,0.0822743805117584,-0.413315065831299,-0.0532379569246468,-0.388480898239438,-0.137855610826037,-0.064735111794526,-0.0303312008610761,-0.244531509188371,-0.274082514364147,-0.175797725123484,-0.185827433904002,-0.466028741690526,-0.335283853414941,-0.476316877341242,-0.0505825770085854,-0.0860151123775697,0.0064636330894723,-0.409120110716687,0.0491865815686517,-0.0558224951129609,-0.128484134898022,-0.152515840265063,-0.435194249667458,-0.421835526038785,-0.105652269641168,-0.275198964131984,-0.166465949336055,-0.271406749099393,-0.348535538595248,-0.0655688261865719,-0.109370671169642,-0.123978724276278,-0.243218414243352
progressive,-0.178707218163075,-0.410207634988633,-0.409262060445997,-0.362510869756544,-0.403766208286774,-0.437929348917519,-0.435080531154324,-0.320743734311854,-0.464495043845485,0.284009453846725,-0.406094738518079,-0.313093435769306,-0.373135617764445,-0.42455299879331,0.0325801826802172,-0.188933296116522,0.0002260432911751,-0.131733765319645,-0.208274497840771,-0.200549889411889,-0.420343522776441,-0.0579452670742681,-0.117344245172765,-0.214219708262689,-0.504830260767219,-0.408164671750185,-0.401583845565703,-0.0522555755100167,0.0285074558869998,-0.367352199296882,-0.076531495153483,-0.470822473112265,-0.368897391652765,-0.463047946216059,-0.429277247381733,-0.497119408797227,-0.131427748186947,-0.0159192856035168,-0.0311575408078743
stable,-0.253895070003792,-0.0022089211859346,-0.0334119316805372,-0.121103081256361,-0.159028743027651,-0.154773892949119,-0.0019975877287689,-0.109657569541593,-0.0402294490192741,-0.0280362090417983,-0.236015119531347,-0.118362735767241,-0.0314857335466103,-0.0977941586836933,-0.0669186745855451,-0.181283360037917,-0.192835515832652,-0.117993149211418,-0.0497629458494411,-0.0543370482084128,-0.213518520499773,-0.165888662298116,-0.16783357031064,-0.0120032391062856,-0.117473740394747,-0.0365670197711431,-0.256524275611781,-0.071595928769413,-0.271622478010057,-0.255746504964592,-0.155861871407036,-0.181809479286769,-0.222627395129594,-0.082124224615421,-0.044423516369237,-0.190291891253543,-0.104796135838089,-0.118577030413986,-0.238949967070256
stable,0.0951243775858643,0.254696914529827,0.0506902666119225,-0.0764543913507498,0.013546364416828,0.146801631397192,-0.15033104597005,-0.0125156503528631,-0.079520573721984,-0.0519611587537722,0.0793882203777395,0.191056975001697,0.136523886129895,-0.0734818115157689,0.0666793083116,-0.0601286071860458,0.182127451261752,0.154936982644256,0.124574393793265,0.0184029026100796,-0.0166788925102815,0.0598640132634728,-0.18099045074078,-0.241511435249565,-0.291853890167709,0.0085785462851865,0.0512815191817098,0.123660886200477,0.0711974328496526,0.231528458117524,-0.0858542393506941,0.0027445882476938,0.201426712112968,0.0373199012509611,0.0232853977809164,0.0770184204117663,0.0871413177499968,0.13717124443532,0.0841581801450361
stable,-0.0129401373484099,-0.0106468617894718,0.0491344387266155,0.113509074409488,0.0334253796175835,0.165750103515116,0.291556181339219,0.0403706506768783,0.0292507458084112,-0.0914757214010849,0.0743122393241118,0.165024419560994,0.464265653450937,0.0453043929340525,0.125284363500813,0.212945355044135,0.0304020673468181,0.0744593832407748,0.0391351975250377,-0.0085089268480133,0.0266183684061994,0.0897230841827927,0.209420337975535,0.110542003809467,0.208156053085779,0.0390344053471214,0.115234572542731,-0.0173362707762725,0.0410046569145534,0.0646125834472806,0.0989550221816301,0.269366447186847,0.107815647955556,0.0598134162974341,-0.097347621271284,0.121481156434535,0.144002368261395,0.218315252104901,0.0899528332512456
stable,-0.176185269659458,-0.15988308944658,-0.18550205838254,0.0461188419233541,-0.0933216898136113,-0.100087960706552,0.270401657425615,-0.104785276472008,-0.0588784830466732,-0.133330781465149,-0.0768112449342139,-0.007938090878762,0.326523692699021,-0.113399449195325,0.14231148311181,0.004159549005306,-0.0088624100595089,-0.133750191803581,-0.110775784203813,-0.0692155234580592,-0.0716601139647639,0.0047306669815304,0.144974756140184,0.118936469293908,0.0768000581771648,-0.0248335468605225,-0.0194260621346195,-0.0759153474930409,-0.106482320964656,0.0158134086570221,-0.0303750191651419,0.0229591827685458,-0.11631936789622,-0.0999501439588569,0.0405298245161175,-0.14476996263959,0.0749842613479538,0.22102142700233,-0.0303135759789121
stable,-0.187220967448583,-0.101537122561871,0.0513545618052943,-0.0173114124541405,0.0011030121815772,-0.0883832387940411,0.19768373858404,-0.145508969321842,0.087415754472349,0.0865623873952486,-0.0220103259465372,0.0894445367204503,-0.106054258463845,-0.120761580551479,-0.0399712215368217,0.205410896259606,-0.15598625304762,0.174167188497513,-0.192511559353798,-0.115072230794644,0.0103828930052994,-0.0651997583241757,0.211010055282116,0.11727634422187,-0.0336893655458741,0.104550828174429,0.0341069736586041,-0.175121043919785,0.0372652566044718,-0.205306335216728,0.0277074264914974,0.109290975734127,-0.0113058504861994,-0.107127660951747,-0.198992376492421,0.149366375093475,0.157666401907375,0.248522688705491,-0.107454948652741
