group,CD274,CD252,CD56,CD45RA,CD4,IgM,TCR,CD32,CD62L,HLA-DR,CD1c,CD1d,CD272,CX3CR1,TCR-A-B,CD309,CD124,CD226,CD49b,IgD,B7-H4,CD304,CD49d,CD73,CD305,CD158f,CD337,CD336,CD319,CD150,CD328,TCR-Vb13,CD88,CD258
progressive,-0.0371109671341669,-0.0849782401052639,-0.0999871127708628,-0.204893682965207,0.165905548208404,0.0714962611324433,-0.073889301687413,0.123078110832962,0.0046600081428089,0.092316055916485,-0.10063833410791,-0.184659409799062,-0.0040325293446025,-0.0345610357953989,-0.258136591669393,-0.245836553916007,0.144989044752541,0.0086370681532317,-0.0372211356532608,0.131105305489727,0.0044046906168639,0.156416007609097,-0.20709585162297,-0.40038600308794,-0.135057280115583,0.0050698161855774,0.0556242334483611,0.0811288729489484,-0.0839206606602142,-0.417585296903329,-0.040347075499577,0.0741389072172666,-0.139255845599812,-0.294863819501491
progressive,-0.191333630275127,-0.123921473064559,-0.0901214216157402,-0.542574191763201,-0.0722611754891199,-0.0011108717816785,0.0958905800319078,0.166883962104122,-0.266007372792868,-0.292642601257474,-0.238737106163441,-0.0692385271286172,-0.0271722085243998,-0.201920557873725,-0.143426701005644,-0.323225218738667,-0.121065123271725,-0.197447830058911,-0.312476054971997,-0.177302988699725,-0.0905162298774131,-0.0910409367913595,-0.323166841303741,-0.310093030437778,0.169102217805732,-0.212000941927129,-0.127653400402664,-0.266037845388575,-0.0975356542231611,-0.0645776914578962,-0.168492615813433,-0.0713902361714641,-0.0983423338624804,0.0496266682678543
progressive,0.026484107879351,0.17555707544983,0.0936906062736046,0.28087014786329,0.241430904979704,0.345938548325342,0.170931209662464,0.240909386521466,0.0551640977988617,0.182626974088582,-0.028032848016208,0.200540419834663,0.159708836178189,0.200427368531955,0.200803743485791,0.0370193989598107,0.191600430661955,0.183835459101732,0.131323588062016,0.175231335256379,0.280980849606915,0.172767143434483,0.158917220694803,0.0500945922126666,0.176739572224263,0.216908519940268,0.309771804100937,0.246585761488436,0.239182578331178,0.235127814856462,0.116519659999524,0.178126911701783,0.184887262030479,0.214699602809797
progressive,-0.449999143707434,-0.424601672572973,0.0810114660614151,0.0010962527258892,-0.258842693767477,-0.0808360940446639,-0.289518699365969,0.0292186475813902,-0.452327287493028,0.0131434894089326,-0.499953791567199,-0.014291366887606,-0.0335693068813315,-0.0714325409476543,-0.0644472614603995,-0.443361297417243,-0.0500059783090831,-0.199441518985204,0.0621956038831762,-0.15965567537543,-0.283130204809136,-0.428588981031728,-0.0602001984886141,-0.15037457347934,-0.241868732292841,-0.201730446498035,-0.112438488499646,-0.221515941248496,-0.494885912019366,-0.221089553627521,-0.403560468267421,-0.24179352042399,-0.195672573822869,-0.451691340737653
progressive,0.005717570206182,0.152663235841055,0.431991483867913,-0.0969623416329105,-0.0980343633510604,-0.167205565785818,0.0675180455943689,-0.0626026062934332,-0.0478047123474495,0.302426364513253,-0.0572249030666583,0.276919318895651,0.0188059153352201,-0.0184352774896814,-0.176014955178566,-0.0371564324131004,0.18471036271971,0.0481837419719344,0.152977804143097,-0.186272550523534,-0.0011042866641342,0.0138132053481707,0.134146402672324,-0.0647762022498913,0.0692364548065862,0.228286769700746,-0.11008568137424,0.237837073131896,-0.0711672217178475,0.10451183242808,-0.0195862975380187,0.271226836144456,0.338249695354034,-0.102249394482179
stable,-0.0487196158024902,-0.09499811238005,-0.197876101926958,-0.0265316094582675,-0.176176387629354,-0.0127053810756545,-0.137420810749041,0.0651297744816082,-0.198750250158923,0.0445070452061886,-0.107313245907061,-0.143634429815025,-0.0114588954790717,-0.0746313263513014,-0.155612126662474,-0.212919539493563,-0.136571507009294,-0.0290406253788377,-0.12242324984517,0.411871910256796,-0.0699661283791476,-0.250454470519237,-0.12705786873517,-0.0595809345087372,-0.0121224532078005,-0.132004467711739,-0.111540881139493,-0.124448483663211,-0.109242356881123,-0.0630847821116268,0.0005299538636612,-0.0660459881069479,-0.188136060372757,-0.159967730944846
stable,-0.0603808919742726,-0.144595926286071,-0.0381853489698114,0.0021957814395799,-0.0708900194181389,0.0265034652658371,-0.0566111719644507,0.0892289495141674,-0.145252342740698,0.0841807777391974,-0.0717047585080792,-0.15103910928452,0.0466960035039225,-0.23171184816575,-0.0498950447798761,-0.167143041085573,-0.148534843234276,-0.140028458339997,-0.121932375569651,0.125494358292842,-0.0544182663752712,-0.142314147537035,-0.0406561761512711,-0.0695049887319334,-0.0535925716937758,-0.196928405972694,-0.183352860711775,-0.0709338429425044,-0.236073622746244,-0.114999494141739,-0.290761806537233,-0.142341798356872,-0.20476177857341,-0.0279533326945478
stable,-0.0436024815020427,-0.211835012715732,-0.104117273746474,-0.261854885975219,-0.148089492040659,0.084287041075187,-0.245602540696599,0.036687730469675,-0.391274135366825,-0.176128513585785,-0.300894984472066,-0.283043847017866,-0.0827216148875284,-0.165577152403694,-0.172590896844855,-0.102169469936987,-0.198939241760579,-0.225080651292382,-0.396183186548739,0.0535598901959414,-0.17083363578982,-0.105374949662725,-0.246061145774843,-0.144135410960309,0.144890860070036,-0.119279091323736,-0.206083328063261,-0.0893250169960536,-0.157330277927263,-0.271619114410202,-0.156724528696547,-0.120224740535518,-0.0453050727150571,-0.106807631020396
stable,0.272512386145603,0.292072393055355,0.0899950106699633,0.0253505218615395,0.413349794166522,0.155916019656852,0.416742644839712,0.339959067854502,0.443479081695817,0.344448348818207,0.0201172181582145,0.425429289973748,0.422201174657106,0.403948495225756,0.440526340978521,0.237525771040053,0.438543119710942,0.402385850365605,0.426487859521359,0.427644738817349,0.432293382617283,0.179118009501248,0.153791617169017,0.310109953228959,0.307773018026363,0.459038202771955,0.458633702620717,0.400913434875433,0.181070836541859,0.423730798162887,0.327066238575489,0.400889001944417,0.419815258609283,0.394283233588743
stable,-0.0931125378887405,-0.364951855411338,-0.15982764688724,-0.30216719768344,-0.300536886423259,0.095639903107033,-0.099130659263038,0.0984200994641296,0.102739479590588,-0.0412415286484437,-0.13736038316579,-0.0868472031757421,0.168100257476607,-0.115981743370547,0.0199804287891627,0.149907411964139,0.0012875961224917,0.0593803460493182,-0.0370709964437736,-0.0340221060427848,-0.0545675659795524,0.107746487677789,0.40856436554495,0.009103189665486,0.264231912249273,-0.0429862868485923,-0.0996912341039155,-0.0333477750500057,-0.0132367713138269,-0.324510818738905,0.0492261878694368,-0.292776219263686,-0.113335947863115,-0.0334952701253718
stable,-0.172252780887864,0.0060462850411394,0.0331573946897155,-0.0213961023375475,0.0343311624521838,-0.0472700704842461,-0.119207910650562,0.17558367501376,-0.0915191309282602,-0.166958288366098,-0.0804342695313515,-0.0470507749577213,-0.0500552029660994,-0.0793019553027694,-0.0823535766476446,0.0893818894182445,-0.0095912562069172,-0.125287505537339,-0.0931353171690596,0.087405797475089,-0.092299921235365,-0.0522222430467155,-0.0275947019779482,-0.313139003379165,0.0762128725401602,-0.0768504159660316,-0.0260876790510941,-0.0841263544937751,-0.134401494882083,-0.0115813880110888,0.0055134277914696,-0.0088432039158268,-0.0610749843991291,-0.104275428957591
stable,0.0718859747101767,0.176986658851079,0.143857258957034,0.0320513256642492,0.11977162079588,0.489184806534868,0.225871438929424,0.600604898891959,0.0716736972798355,0.534375441009141,0.215675490806349,0.20906960977273,0.287884830588766,0.222843458059673,0.0741838293847206,0.0310860378368296,0.253617438077673,0.193133661007995,0.158374310786273,0.598073337646967,0.151408238954135,0.0199403462184667,-0.0503967535453313,-0.145000133659011,0.481951108866767,0.274610939501886,0.165290711402926,0.185138158412045,0.177481880919025,0.2832396085171,0.192313476527883,0.138632607402437,0.15371753768566,0.205230905688604
stable,0.0460229481264088,0.0403635841708066,0.096836714775179,-0.0921337434765061,0.0603254345945115,0.109067486821067,0.139355613485679,0.283267074569887,0.162452018776022,0.131449086248739,-0.105808897105315,0.193718998908502,0.157831846814405,0.123147127742532,0.0351458996729387,0.148877692770986,0.169741029657574,0.0211976773572611,-0.0183109086612233,0.457126830506206,0.1453555960986,0.0195151772333031,-0.0628816262867475,0.437073174524067,0.281604167923542,0.205475336402468,0.172234957306213,0.124611374641781,0.105682496878595,0.152659171116173,0.0543625756352826,0.16193392308619,0.136142998821131,0.102277947404143
stable,-0.0064483681251222,-0.0235134294935647,-0.0208848799205757,-0.176638779442228,0.0676452939541067,-0.280665384462317,-0.0097820131590639,0.116894552600204,0.180999163639722,0.288120492711956,-0.0746789585161478,0.0408661515083448,0.149696531625297,0.140503896576387,0.0534845003680687,-0.0265378927783914,0.106634169797078,0.0770919476343204,0.101843978302696,0.269738381685057,0.0248594374152461,-0.118193193673126,0.0436564985827469,0.614289880571136,0.255217748848828,0.127273325139147,0.0844478723856593,0.0559678213043772,-0.0743695897263428,0.131881611242366,0.01670021973513,0.0610181852769107,0.0743780274205426,0.061416680061552
