group,CD52,CD19,CD33,HLA,CD45RA,CD16,CD20,IgM,CD32,CD27,CD1c,CD66b,CD35,CD24,CD11a,CD54,CD163,CD83,CD29,CD81,IgD,CD18,CD71,CD193,CD49d,CD305,CLEC12A,CD85j,Ig-light-chain-1,HLA-A2,CD82
progressive,-0.164547233818382,0.313186816915992,-0.0835219638066858,0.20722613377934,-0.0043794069641418,-0.0107576355223836,0.216686252047242,0.066239183107999,-0.127762483375408,0.165616701931513,-0.193763880353786,-0.005320885225795,0.117363876358399,-0.238867862854209,0.160912615987668,0.252572638061191,0.401575521687157,-0.27108011015952,0.252570762012918,-0.0326837317534852,-0.062151137772196,0.0469423856030418,0.0752441534536191,-0.182593914092194,0.0098467027207574,-0.472968907707439,-0.0755485376728158,0.0614000779164021,0.0729227051665292,0.140644278435616,0.172902309923896
progressive,0.398506922143118,0.454213816358221,0.13475596044425,0.416327850879417,0.179227134990734,-0.0274830599922714,0.453701526516827,-0.268478106012026,-0.0182108153080937,0.198815918227691,0.0911647807043324,0.0474242585825771,0.0654390922112296,0.0649681360225913,0.278077283710753,0.455798056853813,0.0102936565613087,-0.123730267856358,0.313192137955958,-0.0128564754462449,-0.10829355004223,0.160807204680184,0.519762835145149,0.0786438402228366,0.406101859806152,-0.075360346776568,0.0820084701746728,0.223330648410623,0.0880988803638178,0.0907573050643235,0.325049646594339
progressive,0.103072395738633,0.216159153474668,0.0985060049933235,0.142526288381775,0.127846793011545,0.209682850525576,-0.0309132077511455,0.0300383726379196,0.0964665842964147,0.118783562339735,0.0906403271125131,0.134738619195132,0.294372712380894,0.168573294580588,0.264580699085522,0.225504924795513,0.057476996836762,0.110613435826327,0.141464980336019,0.153187044196297,0.105020976380974,-0.0117565405303315,-0.0431280633056479,0.11767440957807,0.106467323388732,0.157191681519546,0.13419441807395,0.221171871880473,0.282219894903744,0.295516468327868,0.201209525375047
progressive,-0.155180663694116,-0.0593517476164311,-0.541432438190178,-0.138803781768839,-0.0513046275716182,-0.438826879405899,-0.30423623268808,-0.333922101983398,0.0249507552380411,0.179147205085832,-0.0580462364764408,-0.431542091984278,-0.40011005995342,-0.118843183956807,-0.200755310010255,0.345606828359026,0.0442299931863989,0.416756950740942,0.169149991358395,-0.454854004538596,-0.124947919859032,-0.41102247447002,0.276270209853856,-0.315557991250453,-0.0169795431634553,-0.412806925607271,-0.406429551616851,-0.0854233161066596,-0.26148377824865,-0.0113125445514521,0.0387296368756867
progressive,0.26575739655024,0.30770124324361,0.337663911901539,0.436287868652481,0.0539790355482182,0.121606466512283,0.23417818063656,-0.311438938322868,-0.189558940734661,0.2961465889013,0.0581386739739103,0.142977549023987,0.139315932672983,0.151873698728527,0.205133833674601,0.334173233166875,0.047474664399657,0.0098430251999896,0.1562398633206,0.0191938736879609,-0.221956087310572,0.261190261859097,0.409427456478332,0.279107007005654,0.168353735353767,-0.0223414758321572,0.0917968146144462,0.321491925753063,0.317434899404883,0.460919257072064,0.0337049702088251
stable,0.187503125602433,0.0308985224002999,0.002986372360503,0.266247127826202,0.369633063240276,-0.0678040521435307,-0.0013750906453545,0.124252457448442,0.172394848807203,0.0746635962279052,0.113300295072077,-0.0244667091903634,0.204448527590781,0.156200975530187,0.229439803711805,0.0865449474000333,-0.0536261210978912,-0.0872423519667163,0.136125938255834,0.0098097325017748,-0.246869188310127,0.0979251079127678,0.176717131128483,0.0421630957775155,0.275707354452361,0.0863229266950326,-0.0305898686504726,0.1409108548197,0.135934602508696,0.0700690103809082,0.176518547686445
stable,0.190326159192291,0.114638736968459,0.0768374285736938,0.405578727951575,0.233655616229522,0.105547176502511,0.348403050807875,0.445425272660616,0.120877635261218,0.242415538498375,0.447968963985808,0.140845221424249,0.240352051209909,0.0418807236338159,0.319588723611232,0.257859766916358,-0.0111454812785198,0.0592499032312159,0.237701614469827,0.204822358054487,-0.11946801217,0.0712787146207406,0.22417423074151,0.110724050304346,0.215458303326384,0.0351774882830493,0.157548574851835,0.229956829235794,0.434264362386867,0.0869043028457046,0.285293376822627
stable,-0.222042095873778,-0.105831952287804,-0.0449526765574459,-0.123665709821966,-0.126299840445489,0.0298904760663423,-0.0973605066930701,0.0239077842408306,-0.211794535495105,-0.0117872720656399,-0.122474620175795,0.0223181610315483,0.0172507014807105,-0.106700823739377,-0.105300296383574,0.0275815888570006,-0.141014114018904,0.130776192868952,-0.0370625941756927,-0.308333722428448,-0.0889590096371378,0.137649745591388,-0.118129354169604,-0.108253846398021,-0.0713712621499168,-0.0969381506239495,-0.0256981801875414,-0.0899801537371261,-0.213266622334471,-0.112587586479787,-0.163357362960421
stable,0.484238870278474,0.294186509949613,0.198781827528664,0.658228911018773,0.70967314077788,0.0408551911848574,0.29284288856658,0.0737295994880068,0.186534685638681,0.514030050207957,0.333257773153497,0.123185263934116,0.373291253239542,0.492297638213071,0.41709498004798,0.465647234148428,0.313422332228922,0.0440817497278654,0.435211853282724,0.372345781504256,-0.300312774417362,0.11627021867141,0.270186384087426,0.154078202791168,0.459768565200252,-0.025900505836807,0.0708945639311066,0.426217175458215,0.298704255389737,0.177173725695278,0.560968062732763
stable,0.503187679177105,0.135361280691485,0.0997975339740684,0.126584203256414,-0.106134615475695,0.0791936541549063,0.368605205129381,0.294266980325389,0.0504466037994965,-0.0516916311623776,0.0128008839222584,0.0511935087610184,0.0041366125778178,-0.111042927447233,0.24376483070677,0.214230266106602,-0.197311140773276,0.176142022436663,0.194299482307974,0.238694094518122,-0.01292596143561,-0.0791202786369715,0.0545650262882462,0.419091433948474,0.245271637991744,0.122665111227655,0.164909290458498,0.265817302370585,-0.109134167056854,0.219511605542997,0.265925561285529
