group,CD274,CD252,CD47,CD33,Podoplanin,IgM,TCR,CD62L,CD107a,HLA-DR,CD1c,CD66b,CD272,IgA,integrin,CD106,CD49b,IgD,CD71,CD193,CD304,CD73,CD305,CD133,CD158f,CD337,Ig-light-chain-2,Ig-light-chain-1,TCR-Vb13,CD224,CD258
progressive,-0.0427967053700434,-0.295451131223123,-0.0699932538955316,0.101001465701835,-0.120132099670799,-0.0897747170328191,-0.0396294719387967,-0.0988532874884382,-0.0192570047490267,-0.4521216672959,-0.0383895203939117,0.37937911659919,-0.121812820390728,0.174633428852513,0.0140282497358563,-0.247817165466522,-0.018305476550784,-0.185277580980357,-0.0866838427367175,-0.268117454798951,-0.236776525279826,0.0639624014238973,-0.529415334831271,0.51086839886277,-0.177519235393503,-0.252436753436415,-0.0077109218789182,-0.0709497703753432,-0.200985352149771,0.0090768268658431,0.005613563839236
progressive,-0.114921569642167,-0.28503339335213,0.202178717637569,-0.0150383826761932,-0.118513811333509,-0.215535263805205,-0.310375003003053,-0.0737585694183442,-0.0055903978134953,0.0941026407804711,-0.259763907300863,-0.125332825513987,-0.220186825091518,-0.163104705798326,0.0465001113727505,-0.0048708559530707,-0.182599704446065,-0.2383139934638,0.45720192135084,-0.0452410685632034,0.31059693317099,0.0429856524565189,-0.216727667408531,0.0021131545404854,-0.295724850354862,-0.136334542366814,-0.409837296945447,-0.0914921686560718,-0.248665617150168,-0.0985594534521723,-0.33499589642526
progressive,-0.0670892418275972,-0.202637470005473,-0.15282969918985,-0.133921832931127,-0.264269348279391,-0.308711508894593,-0.238762915307408,-0.367382365554899,-0.256974362959573,-0.251407915241785,-0.211614359387101,-0.119799353199082,-0.0864255529127861,-0.218892918522534,-0.256583388943989,-0.234942892180613,-0.187016338721782,-0.541556063522177,-0.306991271994593,-0.146043914241702,-0.0755956124922845,-0.596030090547619,-0.374564771859526,-0.17115011989842,-0.255890988233248,-0.254572491037602,-0.490375941661073,-0.322281819250399,-0.247065665023386,-0.203986904299825,-0.245366120355728
progressive,-0.468285522619413,-0.391051540413709,-0.503922739213957,-0.457455162062722,-0.49047121311,-0.479672029124535,-0.373459397213938,-0.511393326490904,-0.556391424942509,-0.384447065211277,-0.0420334815863882,-0.45846559049509,-0.456476751415753,-0.53722364081429,-0.468465037059932,-0.228842787672246,-0.580308183300754,-0.432910385472785,-0.0781854731964283,-0.496458821545113,-0.458302082657877,-0.542183268585844,-0.585947930691217,-0.409276501589807,-0.298214986869787,-0.381370311870145,-0.324504768636415,-0.535012454155319,-0.453554663424511,-0.430245417684424,-0.451910555171401
progressive,0.0587452311380277,0.0120146517737726,0.0446589428719487,0.383693259646231,-0.0766786117625314,-0.395441734531054,0.0717927270524539,0.0287496871460186,0.25122128352369,0.105591820134291,0.11467824886013,0.0746256953335361,-0.0895205560401707,-0.034433682992471,-0.136853730358667,-0.0147421544506773,-0.175841634798419,-0.203777681777552,0.282760118735737,0.142930244365053,-0.238623122389649,-0.225500772337506,-0.186805706339176,0.142780896301613,-0.0208230850903224,0.0322551046426522,0.104024116137444,-0.0442983417476935,-0.0397345668491676,0.211636637624925,-0.0494790524801103
stable,-0.057467290323668,-0.261175844570918,0.0685493420555711,-0.108262637695754,-0.138061573307544,0.309811991310254,-0.177624972298783,0.0761849479878464,-0.226939121436942,-0.026746694662062,-0.034589190766208,-0.134562759624192,-0.131547804755301,-0.157527374759673,0.109902879639073,-0.0911114541360034,-0.0256087076626254,-0.210960657375124,-0.0229971123519953,-0.176418298372702,-0.0321855307057205,-0.317954638358254,-0.110973145553657,-0.190859623927357,-0.0581780730499812,-0.109612101909397,-0.190404609383658,0.0824640055100356,-0.163756273439177,-0.123298602987837,-0.152131061911515
stable,0.0448726487575795,0.114712064364486,-0.0191391075410236,-0.0013650711964425,-0.07183068020218,0.14524533779218,-0.150676911154335,-0.0752541516633619,-0.0583063098008204,-0.10328406010691,0.0894972897927451,0.0228007497967181,-0.198974841238797,-0.16388186295883,-0.0540468903193426,-0.154211431756488,-0.0273868922724081,-0.399694793045017,0.249326569366302,-0.0240999157239767,-0.242555774391521,-0.255430244307697,-0.191023904712375,-0.112429425377308,-0.166680834618345,-0.0183263857669108,-0.110491543142129,0.015423265874949,0.0227905701267491,-0.0352213021406319,-0.0895962960823712
stable,-0.0109878253385148,-0.094293572855686,0.0260848869433973,-0.160996128214625,-0.0389882895722002,-0.42309800025674,-0.111220051445197,-0.0794336270151225,0.0399001605042583,-0.125605970350138,-0.0478211916762566,-0.0898092505486535,-0.0599771327054441,0.0538861124818313,0.0088897138147169,0.0369763053071709,-0.171032673967897,-0.257791953252338,-0.0436707678713344,-0.0110210995776058,0.125619806424532,0.117086248788839,-0.114905813559165,-0.108192647220465,-0.129667109451068,-0.0756157892862075,-0.327544970079224,0.0958263949091923,-0.110659767122279,-0.100454031848397,-0.0654791263439806
stable,-0.0753124971379989,-0.0787035311329979,-0.0198885016104536,-0.0149423387964555,-0.0754507375682112,-0.0541530406714635,-0.0231544639467064,-0.162279642569049,-0.133432726717518,-0.148934821232481,0.179056427405029,0.0192432464110612,-0.280808280106777,-0.0748995071454617,-0.041141814498185,-0.0134365583505896,0.0260170569680418,-0.387438082211665,0.137087116244247,-0.0893952296088624,-0.0266306276061753,-0.50831900699525,-0.275599355320932,-0.0500458170598327,-0.105246500664349,-0.126438670876434,-0.132733835974495,-0.0074304725886979,-0.0606014388987589,-0.0051486971318406,0.0434206345836346
stable,-0.238958554766435,-0.355802644551444,0.0929662772968364,-0.0805449577138111,-0.0381155289628818,-0.118509224458269,-0.337106784497019,0.0197074319101832,-0.054717822370119,-0.225684815849685,-0.467628298493358,0.123789953388225,-0.17725136313355,-0.0746552681033926,-0.152556997925346,-0.452802668870717,-0.194852910719495,-0.227374978234325,-0.0823814437991819,-0.0210112256469994,-0.142832704088932,-0.0386759826119268,0.0068310511042945,-0.168014193852638,-0.196168533436077,-0.170589209010909,-0.0994223307451013,-0.0823499712609826,-0.0775612418574442,-0.229896148974419,-0.286289306643927
