group,CD154,CD52,HLA,CD45RA,CD49f,CD16,CD335,IgM,CD195,CD32,CD161,CD27,CD107a,CD95,CD1c,CD39,IgA,integrin,CD62P,CD106,CD83,CD309,CD2,IgD,CD71,CD304,CD49d,TCR-Va7-2,TCR-Vd2,CD305,CD319,CD257,Ig-light-chain-2,Ig-light-chain-1,CD328,CD82,NLRP2
progressive,-0.355788537476546,0.113858770486725,-0.0573646858795975,-0.194414387729582,-0.256339605787563,0.0639397491612093,0.040618405606519,0.267463954259039,0.320878711078702,-0.0627857029479385,-0.0344599293204199,-0.111120297046934,0.136092982178892,-0.0605145154132204,0.0978313584231943,-0.0492480974985526,0.0176978009317835,0.371110970284925,-0.427376874861316,-0.0821196553264721,0.414708026698349,0.11903664715933,-0.0268519963065257,0.0342671137987243,-0.194152473044135,-0.493324289034196,-0.219699631105539,-0.189354346305776,0.194962116128148,0.126620993453053,0.0310444510375885,0.431020226118717,-0.0664500032506777,0.160870067589014,-0.224747017516655,-0.0772170315967817,0.132185864921975
progressive,-0.0314649520418467,-0.234650373053194,-0.445730361531988,-0.415233651773358,-0.356281604907491,-0.116014244946628,-0.113701954705959,0.28809479476849,-0.29376694811563,0.0907503520322031,-0.353778037871001,-0.398886023542391,-0.204841810132136,-0.133551805011043,0.170376786755783,-0.233785551005502,-0.381421481027997,-0.257575567331971,0.0248299740406478,-0.359944748972982,-0.0219219453137684,-0.375446483862852,-0.30074297000021,0.42795554985813,-0.393990686207318,-0.210657057869735,-0.361901794511223,-0.0244362672035746,-0.216625013058077,0.137438643827799,-0.0773047969767146,0.0998398385166144,0.0875908907452261,-0.165308850536074,-0.243112781782518,-0.398842643287018,-0.424610305026972
progressive,0.0577654390653923,0.157169494508376,-0.0243233784833383,0.288074180885378,0.0789203229626265,0.125408927930845,0.0043001790567892,-0.0883987328768926,0.169055085168318,0.432378249951138,0.121168684909164,0.10499331021042,0.104359309643434,0.0690143344836845,-0.123248689598512,-0.0033074010718377,0.186761230184533,-0.0018821566201149,0.089590684607198,0.0745122250038181,-0.0023213957876513,0.135232338744869,0.0172714801189296,-0.209112255453063,-0.181571178420739,0.0114117167300809,0.0342498526983754,0.0655345138853694,-0.0015921183414547,-0.101369157072754,0.0266205694048767,0.223725427603414,-0.0951469214388744,0.0159547933830781,0.0605178405088681,0.103889806770369,0.10007390905701
progressive,0.165608441700365,0.0583848041621425,-0.289767957994143,-0.134729460011792,0.084351117731062,0.166557234527625,0.269228424122723,0.011468481661984,-0.0374499537546996,-0.234186913199158,0.150339554008426,0.0486208013803018,0.0561435572665677,0.0570382838667613,0.301462350742588,-0.363089455167327,-0.037661490205852,-0.261626189020923,-0.133975522485558,0.058338950200236,-0.0422201123117989,0.272388975235087,0.0961168872143547,0.0708478945937899,-0.111088061774098,0.210580352812595,-0.126244005988028,-0.11462174209805,-0.0621778019396712,0.0926282349081416,0.202910968621399,0.129627304741519,0.17314217335002,-0.120120479371344,0.476805320603304,-0.165012390541169,0.1020412002179
progressive,0.0178090865523265,-0.330257315145837,-0.377677121014639,-0.235130901760449,0.0912691701189971,0.114440174288078,-0.102044186004043,0.175662990165962,-0.205213609405101,0.112509579142744,0.0626736785197805,-0.333959784493376,-0.362241344190054,-0.0215204146994965,-0.231755146351796,-0.0138308023289665,-0.160324982595518,0.0167062246090012,0.152773462004117,0.170366100681887,-0.174378139622544,-0.0306196526367216,-0.512306415826952,-0.0455582262123823,-0.319886752212015,0.117757575593156,-0.0973679306063289,-0.0341840290316954,0.0641693748926616,-0.0086269065094468,-0.396022016120766,0.140433653480058,-0.179140477895641,0.0316886652601075,-0.114751359022177,-0.127793437534438,-0.26653633365455
stable,-0.0016680197021916,0.0136240967972226,0.0183875351836735,0.0953649143522192,0.035806861880273,0.026600968968654,-0.0442036269779887,-0.13554146312797,-0.0478609042216484,0.12421578488953,0.235726160589306,-0.179221941840037,-0.130049971880318,0.0441338843394193,-0.040894102397764,-0.0848806938914511,-0.0082920982699719,-0.119208066946668,-0.0425686698501114,0.0653494036614008,0.0299604319557919,-0.0899655208898823,-0.0861418854865493,0.0902537080336816,-0.105819952054372,-0.03985689907765,-0.0257215222981734,-0.108964408339074,0.166962536941053,0.226744823926782,-0.0472391306824609,-0.0439837525863509,0.0994943563265238,0.0701567336307566,-0.0284688107639315,-0.0288414537698967,0.0014232356979536
stable,0.142072516538208,-0.0989600049734153,-0.157345274629374,0.0996964139163512,-0.0400002639657367,-0.0695196473973238,0.0734626319130798,-0.201245915330245,0.0563959068633516,0.142735424820464,0.128009156244044,-0.0443193403882159,0.0149937591794402,-0.171361091921277,-0.321852650862126,-0.203102135586554,0.0501396565478726,-0.0049560290901137,0.0308469266741185,0.333388486081033,0.111464742181842,0.0366980695312685,-1.31366398951408e-05,0.116748231449199,-0.194033070209421,0.357677830599553,-0.108095981861657,0.169836144221162,0.244131793007504,0.171649632746499,0.179624913214633,0.0837408231600073,-0.049297719407838,-0.0056548137014049,0.145859246781499,0.0046809936459429,0.163608083639917
stable,0.109555179043318,0.120998704000774,0.162494330276982,0.18966180086528,0.110446404924595,0.228899018031725,0.087995569911087,-0.0748320561953003,0.0574431437279904,-0.079285133403103,0.058139210848601,0.252991527204966,0.0984926805008619,0.2299544470579,0.0540934981423515,-0.009108999115518,0.228933739970107,-0.0080986065048449,-0.0042098442244159,0.0761584012873396,0.167914229657694,0.25148686520361,0.0615388350486998,-0.190991397808296,0.11896228951733,0.007604772191999,0.0361405282634727,0.393249489053206,0.165561631539228,-0.113159671370142,-0.0087406580352336,0.0956726023988446,0.424767872707919,-0.390331161794756,0.0866920438550955,0.0887946037000698,0.142637383737086
stable,-0.0792802040766795,-0.273991881299401,-0.393362853417355,-0.335339675511697,-0.12797351190989,0.014440755982625,0.0270697155373989,0.0875508018810918,0.0488996000155035,0.075860380467654,-0.0579592184480053,-0.298427584798107,-0.127413065272359,-0.298588742549925,-0.198920990558233,-0.206718903900489,-0.145156248087386,-0.043605208914116,-0.100090399974761,-0.124824119298599,-0.0803771295549375,0.0234563172549677,-0.112769593696406,0.347460880686444,-0.384546272643699,-0.00319686009531,-0.233082022195114,0.0121140230021681,-0.108758660262626,0.142954376909806,-0.163865952486003,0.0173386999680317,0.0703606503744549,-0.0939142266448359,-0.0276819541839882,-0.212449218917924,0.049478204758526
stable,0.0145100160163464,-0.0518126632722551,0.118354419975111,-0.104771418579677,-0.174462490615857,0.390953878060918,-0.0953495311425497,-0.16141427800209,-0.390570615505161,0.103054175872175,-0.274353280132311,-0.175185923240277,0.0315819363967295,0.512917662110036,-0.378252067036153,0.0889047983463936,0.317964557929241,0.20676006566368,-0.192025405243415,-0.346491412019274,-0.0577385828118504,-0.183198119701335,-0.0748347421494681,0.102090706734837,-0.059690508209647,0.0320597737674925,-0.150779119830016,-0.104921718590146,-0.521807512299732,0.257131536549469,0.154036798029794,0.043688883212318,0.109054694753022,0.1201077459274,0.072445630498152,0.0715451428290463,-0.103058598740663
