group,CD30,CD3,CD117,CD45RO,CD294,Podoplanin,TCR,CD152,CD107a,CD314,CD58,CX3CR1,CD206,CD254,CD357,CD226,CD144,TCR-Vd2,CD158f,CD337,CD150,HLA-A2,GARP,CD360,CD88,Podocalyxin,CD224,CD258,CD252,CD33,CD123,CD107a,CD66b,IgA,CD193,CD304,TCR-Va24-Jz18,CLEC12A,CD328,CD101,CD16,CD66b,CD35,IgA,CD193,CLEC12A,CD224
progressive,0.0795487178128537,-0.130141665844466,-0.085873034963929,0.0601429181525585,0.285338484448047,0.237463387944107,0.208584129021377,0.310941435681968,0.0035012735907321,0.172749651909882,0.0870919115015603,0.0825834815942572,-0.0198682641598394,0.0649044472210162,-0.0921198230002153,-0.0744757718826911,0.0614299711432978,0.0632068960963402,0.283001679612831,0.008510811675159,0.213112496350665,-0.0911259305385983,-0.0207306786047751,-0.040847630003135,0.115818995768471,0.112347017162187,-0.0293484068662262,0.100664854252246,0.179137165079043,0.195359138828138,0.227199914245258,0.197745843233088,0.293940902402137,0.0090757953496325,-0.0205533621680505,-0.35285282858199,0.0025765553904153,0.029883982611245,-0.0594467367151562,-0.129247622854617,-0.0388638522745265,-0.385004052409316,-0.0794088703293377,-0.0308577041887507,0.254338234469059,-0.237775871848146,0.101660460897443
progressive,0.0674812740078344,0.0837594645734897,0.0631247501950815,-0.145659031440629,-0.069389654684678,-0.105263977360139,-0.179612818929435,-0.0607189351447854,-0.0759837743630189,-0.0209881398931171,-0.0350880450725561,-0.18613779549303,-0.266171640742764,-0.238276091428671,-0.123690940741078,-0.171654638752589,-0.164291280096057,-0.266348016556803,-0.20428836285702,-0.1701199223501,-0.149788247370979,-0.0946859704129843,0.0746974774793689,-0.0631944084835551,-0.107675661744206,-0.275862006179177,-0.146204547946923,-0.0696171290067365,0.349152219855071,0.113167759529297,-0.159161224398794,0.290472506799168,0.265591052206247,0.27064293181591,0.128030920256674,0.0519815240503197,0.380156047318223,0.199629064410603,0.21944026551121,0.343853724596207,0.176935661471682,0.149380712981187,0.0464851944478221,0.1111835896114,0.0383180116735605,0.140793302777757,0.107885727268166
progressive,-0.132385130349187,-0.0245013658497713,-0.146649484077061,-0.175107768827497,-0.186019225937762,-0.274001603789556,-0.189484281666235,-0.196682715382908,-0.29339340942259,-0.137064158163164,-0.150910834045949,-0.201370727114172,-0.144970375828866,-0.122553489494115,-0.057642741328226,-0.25753011267858,-0.195526609019257,0.0065644040641748,-0.254052118836941,-0.184459614690123,-0.244684156501657,-0.206280412377137,-0.075339520065346,-0.145691985422114,-0.242542806079297,-0.219066963447487,-0.191474920910434,-0.252647732696719,-0.0862313872274096,0.0748500737057099,-0.0077576736821409,-0.135329006682207,-0.124281102312019,0.0017164803721816,0.002686875463225,-0.130061073629313,-0.0644193010826351,-0.116218313753594,-0.0551496964426064,-0.0689709977448824,0.23442697630166,0.13683553862912,0.215768675197804,0.311017694741999,0.152355488493702,0.119815248252282,0.322695750104185
progressive,-0.702090933692158,-0.623685671668785,-0.629402261019108,-0.611517072783105,-0.652074087893084,-0.632859015040103,-0.725440495761815,-0.667841478111672,-0.614508779144229,-0.784734194357107,-0.683928282895225,-0.620433250592893,-0.743517358238314,-0.628039447433394,-0.614718444793755,-0.640600463780591,-0.613783305396701,-0.621552737505626,-0.636403704994614,-0.6015349545561,-0.699678250071223,-0.691712675582965,-0.623324800981915,-0.62551329743313,-0.633689903130725,-0.685809026345795,-0.62987315920611,-0.632214426929091,-0.630632484160843,-0.625409714317634,-0.728040498634375,-0.621088102261405,-0.63937836707384,-0.6092621889406,-0.637612117003271,-0.636918341296888,-0.721849801565887,-0.65544306907171,-0.643610314153838,-0.633155492338434,0.655285624409606,0.701871528251376,0.636822667321096,0.633676468928696,0.602048533202191,0.645131496102214,0.602496891855358
progressive,0.0324644910570747,0.0414760410265076,-0.249458997566987,-0.158438598820272,0.070479109541937,-0.212593919307276,-0.12352733341697,-0.150318782499758,-0.360047271844869,-0.101677531428812,-0.112464763681019,-0.0820808783469148,-0.240908889027756,-0.162820811194036,-0.357135301792227,-0.0181100624723672,-0.250701646001231,-0.117958409729157,-0.138309123073615,-0.0986367705113188,-0.0548439331392876,-0.313037786194801,0.0136491128770363,-0.162240999215976,-0.0836578663063625,-0.0999947235536076,-0.26180154602461,-0.251344809826902,-0.0670175071417772,0.0209958428309122,-0.0699867126385399,-0.176074305701102,-0.0411652065704167,-0.19289442160432,-0.192418872739321,0.108663882072276,-0.0589961249244474,-0.0163565233313013,0.0707098538236947,-0.0236265906062633,0.0427772520460254,-0.0953183660159915,0.0548487923909381,0.182805571810348,0.113037784273214,-0.100475786177994,-0.0170143562405931
stable,-0.278788364574744,-0.116263417749137,-0.192481879177455,-0.197869871386841,-0.339163922727857,-0.358965605198249,-0.341177089348367,-0.275287335031011,-0.253658266749895,-0.298223466631206,-0.377832154078402,-0.382120646248527,-0.242120279995547,-0.321031136153439,-0.239534743655235,-0.361047375982694,-0.330889631289525,-0.0707120545696214,-0.326731383973099,-0.302616946386445,-0.343607522952913,-0.293441825289723,-0.272253443802368,-0.264462526563808,-0.296613354913551,-0.434232457749092,-0.305161767099888,-0.285901542823913,0.0522245086429144,-0.0469832557687599,0.0894576689151861,0.094097569144739,-0.0054527938670253,-0.0557386210766967,-0.053324419997949,0.180688558983556,-0.0778263769910455,-0.041960493366173,-0.0059141565148933,-0.0797263695986794,0.268384611768957,0.190770042859651,0.225173481124006,0.282553008985591,0.137854522569707,0.186561120789621,0.261843747958046
stable,-0.2064509776164,-0.229676442131232,-0.0391162682375414,-0.19157576760597,-0.174292267611473,-0.143972280122164,-0.194931530242306,-0.0096545266780191,-0.114585364228288,-0.050993560077515,-0.135439326083142,-0.173913114281814,-0.207104606657438,-0.182669721098657,-0.0545210526714525,-0.15635502251725,-0.100000033756742,-0.142800762561175,-0.0839212154318928,-0.127374891487781,-0.0443210234113306,-0.0083471979936526,-0.0464376609877661,-0.197156964935752,-0.129482754013901,-0.0714785365442449,-0.0706763266469803,-0.0922387492673107,-0.322373232708634,-0.088459350514334,-0.191951245459638,-0.0887217492205796,-0.0303268429104512,-0.0168343728285506,-0.209848342561269,0.137814540403306,0.0647229885040525,0.0166511531967248,-0.0142429052886008,-0.140871230468291,-0.236130711598569,-0.202477777249433,-0.13768374316736,-0.132023848494014,-0.0717357421997788,-0.22737146387638,-0.0200227646404405
stable,-0.071141990836113,0.0997216797975221,-0.0529834401705854,-0.105283908932446,-0.0543551529029603,-0.0593943912052036,-0.0700987707382593,0.0154236361623195,0.0357948728294664,-0.197714469006821,0.0463765182372684,-0.0691824293837173,-0.0873597405312189,-0.030176215105839,-0.0696698457813194,0.05680241878935,0.119738024792758,0.0016178554384582,-0.10254715056352,-0.0677636194698654,-0.07965017411584,0.0267040444014704,0.123133000962068,-0.0438895034820829,-0.163976898076758,-0.0700086257998151,0.0070979960375685,-0.0604914979561139,-0.0857784925318995,0.0726805840954036,0.124000676685391,0.0733989345811696,-0.0056911388399494,0.0128539667069653,0.0654032350555123,0.0083284289883032,0.0322119474176704,-0.0658274049801554,-0.0157743738387373,0.0933959173593464,0.0698163659137868,0.150116035528528,0.0341678987065561,-0.0358014937022948,0.0135199879034844,0.0568551955181259,0.0187634252209215
stable,0.117142892281349,0.0963147178952777,0.157946847527148,0.0298615047232476,0.0976752698685426,0.0184166904599602,0.0792315831244042,0.0292528916815334,-0.0047623559509049,0.0123021988718554,0.0449203039508505,0.0069639986862773,-0.0088581212408282,0.0650564527675127,0.020000046313095,-0.0411108126221224,0.0014850898154145,-0.0033039198533372,0.0018200604268213,-0.0990613383455489,-0.0469207917194982,-0.0015002618495198,0.0902803474605375,-0.0795213349187168,-0.0965240425515731,0.0045990906835332,0.0480261233434438,0.11361357161095,0.0741394882423141,0.0274844211786292,-0.0083247474147869,-0.0493770869166578,0.0876038060222527,-0.146021877599692,-0.10273734097605,0.0180996065830976,0.0583690634298744,0.0360652310146568,-0.0042500432617633,0.0111243419735021,0.245868270218419,0.211476931427194,0.117853579158107,0.211593027659039,0.240745300727355,0.130594765274081,0.26145089178755
stable,0.0762195388052126,0.320850926169734,-0.078860405930473,0.148363685442429,0.0598822668175507,0.122648264598364,0.048278387076175,-0.143344261497261,0.132232720667992,0.111786295216182,0.272823610881184,-0.101282542955819,0.204494495705728,0.125759152662318,0.0681295201391425,0.0864129539713245,-0.116234247340795,0.0208723004919893,0.100068804303382,0.0190749313440245,-0.0175176484797714,0.07601078137837,0.0815782748325779,0.0286102263110437,0.131719952994202,-0.0680021178783197,0.0981725199811138,-0.0968686105785591,0.139682793313359,-0.214084637060674,0.0506121352076678,-0.0265723878648344,0.276334076245328,-0.026898030853881,-0.309527621899408,0.0741734925884706,-0.075593853864324,-0.114604559114046,0.100706455242496,0.0182943897882245,-0.292112483225266,-0.18973413416513,0.194565091596202,-0.095586651683783,0.0993661011254345,-0.144098557819376,0.205979242119354
