group,CD80,CD275,CD52,CD19,CD34,HLA,CD45RA,CD16,CD25,CD45RO,CD279,TIGIT,CD294,CD326,IgM,CD195,CD196,KLRG1,CD27,HLA-DR,CD1c,CD66b,CD35,CD366,CD272,CD39,CX3CR1,CD370,XCR1,CD54,CD122,CD254,CD83,CD309,CD184,CD2,CD29,IgD,CD71,CD207,CD49d,CD73,TCR-Va24-Jz18,CD305,LOX-1,CD133,CD158f,CD337,CD307d,CLEC12A,Mac-2,CD85j,CD23,CD82,CD360,DR3
progressive,-0.361461888466098,-0.0848591008711546,0.0303674127167134,-0.0077311363323889,0.124621648484428,-0.044009944193342,0.0043794069641418,0.16621304462049,-0.387234627016678,0.0949421066196961,0.139345437777137,-0.163012112462618,-0.141455035907223,0.0039271464893927,-0.074003482959486,-0.122405185990594,-0.0324956096225213,0.0303709078439295,-0.334097329044648,-0.125686040063346,-0.046727889339686,0.0564773960395107,0.315125430818435,-0.161025719645331,0.0453469337619451,0.0597331763208251,-0.191409150105371,0.0603550143393823,-0.11033657386546,-0.183148019457288,0.173900709725564,-0.187459315208935,0.0734549736379212,-0.231486286175455,-0.153254145624881,-0.0094188540890582,-0.194110222381588,-0.0230127185805158,-0.462582365236275,0.0671154357507941,-0.153451015200283,-0.113641936510419,0.167627662458787,0.19081346560339,0.220621174848243,-0.357211857189317,-0.11516806320073,-0.0094226843546404,0.122525122897163,0.223138819140597,-0.0422194386047332,-0.0729835698044533,0.0529755635416708,-0.144933936274668,0.163156212383459,-0.142714956143973
progressive,0.0159810261566151,-0.139193100896931,-0.312021022748655,-0.309416543341417,-0.0322885772664819,-0.317145246822583,-0.300611795771637,0.0700570948350707,-0.089838522165593,0.0637838740282448,-0.0473412400400252,-0.29586892997727,-0.034345784813744,-0.377528805926747,0.0699849222457478,-0.114272018348194,0.0011550945161043,0.105123581959774,-0.161980988780953,-0.125360289281194,-0.0076545515812572,0.002179260613466,-0.192820434532953,0.022373700421014,-0.0519310958969614,-0.219888038970879,-0.0960139156064761,0.15367804462938,0.0252862783906632,-0.244800770070946,-0.19102624975563,-0.0741328963031743,0.0089456099501024,-0.350277850747867,0.138540222413203,-0.118239601145444,-0.137734499757401,0.215328330160249,-0.572204748745701,0.0816482696036524,-0.403693066326851,-0.190329536310367,0.0234381923910483,0.27440896856636,-0.0068634557083417,-0.127599979516988,-0.0628404225712315,-0.0209794264133628,0.0266607362840827,0.0429713688619036,-0.272278816772959,-0.146661872650631,-0.09245570861167,-0.263314329099811,0.0886804335733185,0.0784027146394095
progressive,-0.0983579290495018,-0.0065713630215139,-0.00999321872634,0.0130801773301477,-0.0488810659065989,-0.279630798053115,-0.0250067269801282,0.0381011383007177,0.0232309157936331,-0.13202264076468,-0.142668643655803,-0.120467944961134,0.0255291912458774,0.0905128114139306,-0.0618322743187718,0.0305555200308129,-0.010907485458749,-0.0301044585225709,-0.239963744143963,-0.133494721740166,-0.281003586277311,0.064724263678034,0.0897158283862354,0.035088323217493,0.146335597880897,-0.200072289944453,-0.0758658659869295,-0.0199461018943919,-0.101080791452356,-0.0137404649834135,0.0108910082584732,0.0504636366308048,-0.0638068050584737,0.069169032782667,-0.0045212305286705,0.0063996713905677,-0.0036575788647442,0.0955923469852714,-0.236879764548312,0.0344671911562191,-0.0665078959376531,-0.189916560692468,-0.0896424110403513,0.0917229171959268,0.0939399822414006,-0.117524388115439,-0.0069456737188512,0.0328414468533037,-0.0551222011944974,-0.0177847484548197,-0.0245908456573639,0.0066212383231135,-0.087699097589921,-0.0456180523835225,0.0829671363328432,-0.0436361768006331
progressive,-0.0314062615342068,-0.0955790971555461,0.120061984498842,0.364104355765006,-0.0181234345831705,0.165206079642785,0.340715347206387,-0.527358287246141,0.191147508542339,-0.0102934095509192,-0.0851168075018618,0.140483772328277,0.0688068753128515,-0.0690481658084664,-0.208214181630195,0.0553947232621598,0.0502876742790543,-0.020259131329408,0.26150720742396,0.396057147522501,0.1249884478918,-0.479150717399738,-0.360219602045163,-0.0541621552361259,-0.0313752345361464,0.374132321808669,0.0646398760109142,-0.0253435766791844,0.0441565862466591,0.444871014636195,-0.178728458041437,-0.117144399477399,0.19010161096181,-0.0578882665656117,-0.0293740252659699,0.0006906602674085,0.112291930791681,0.157562191709362,0.41568795806432,0.382250906254613,0.0939387712679473,-0.0537130507168715,-0.230048485392654,-0.0382187842011,-0.150899617232061,0.04246257708802,-0.0582630822676191,0.0283835950501056,-0.086474767634448,-0.326130919556518,-0.0964294795708836,-0.0357025654497065,0.0043891102849885,0.0339021467268759,-0.0035654480794193,-0.0470796424077623
progressive,-0.193561688708356,0.0435915603254259,-0.206798708074541,-0.284023484590023,-0.186250494429085,-0.141807277056354,-0.264452846996518,-0.0715526715924496,0.125202527497428,-0.368361199557699,-0.231648104758267,-0.231080374524314,-0.259706172758277,-0.195398845034834,0.264237367120172,-0.203862779282851,-0.364344194953095,-0.140792770223448,-0.080282069920713,0.036913323013751,-0.370990988344324,-0.0895948613591421,0.289930716578499,-0.0948938807595092,0.0613666710938762,-0.299782640480348,-0.136289372870145,-0.370150433599875,-0.187844947327109,-0.227785189318504,0.0727106984241512,-0.242459017485541,-0.295178903440599,0.126148381649415,-0.389255092074561,-0.386941732261983,-0.117344245172765,0.181784055330195,-0.378852581850809,-0.223905274538871,-0.0401321321328037,-0.106007470917484,-0.437627971454483,-0.014267576150239,-0.36824763427384,-0.212535556769749,0.0275083913561628,-0.201126539870736,-0.290061104839075,-0.191382449862845,-0.209047518087573,-0.175987224022396,-0.128719716852757,-0.144920393080291,-0.410308383376314,-0.223734219568672
stable,-0.142318306283086,-0.226431252628809,-0.133487041749516,0.006073972853464,-0.169885790674931,-0.241206785959184,-0.363250133956514,-0.131328013197643,-0.231775787084945,-0.117806169455446,-0.114780514211761,-0.0892291151226852,-0.198268116585554,-0.084995608303583,-0.0255896204691411,-0.150620288888692,-0.116761027632104,-0.18881308056488,-0.31001867656938,0.0151350845371093,-0.504275376215733,-0.219061361785216,-0.181998914003738,-0.116410001810693,-0.113762779076232,-0.260348695459409,-0.226727918147013,-0.225813267513924,-0.13968593700822,-0.104569785320187,-0.193295463258729,-0.0768535103002216,-0.136674190353679,-0.0688018573741586,-0.174185383355415,-0.0687280599105603,-0.210036969808762,0.117948324072869,-0.327128602401499,-0.0977589110400651,-0.192138973231372,0.0102312795206436,-0.197459258840852,0.0524550836334956,-0.172398301878543,-0.0412408595315344,-0.177154212478909,-0.131171534901987,-0.194355669550856,-0.130323057016948,-0.12417869548874,-0.198235320399302,-0.115053710807258,-0.297929215222774,-0.179800528580244,-0.148222542734769
stable,-0.256323373366532,-0.304844471758673,-0.165146810078958,-0.115489145805212,-0.194588055697918,-0.0987977355519661,-0.203609125024667,-0.382530929604353,-0.143227384435987,0.0305444388837439,-0.123813576124395,-0.110242894764202,-0.181380736723347,-0.190270506601132,-0.338559425005047,-0.510988859343939,0.0201218547930597,-0.130264119789679,-0.108833277183936,-0.109584376258493,-0.202341917953643,-0.413658269132899,-0.247086421247299,-0.168614153537862,-0.196223938062081,-0.296420110486596,-0.414409184720554,-0.160110474931092,-0.168256090299587,-0.2240518330564,-0.197243541233998,-0.294401577318382,-0.211657239875857,0.089844500485382,-0.381672524526935,-0.123493798328534,-0.231472022677458,-0.0347433860831431,-0.198914307087761,-0.0453728319129005,-0.0768785644699609,-0.205033150472297,-0.277290400502254,-0.282280502267709,-0.28225313163278,-0.0825663421030308,-0.226131198834331,-0.206310701106352,-0.34910533432535,-0.376936269816457,-0.406558387196586,-0.244175788937444,-0.190325652178063,-0.234796333748418,-0.0510289010426446,-0.197369307460179
stable,0.0729466212800122,0.0868316414442799,0.173593184539424,0.0121285496413101,0.0935234730309383,0.267042238207716,0.279765680641433,-0.0485844417532431,-0.0993519456892524,0.0097078170144762,-0.0661154842541568,0.008423135657731,0.0536435109148076,-0.0044023287900606,0.19428925213121,0.0814297454907292,-0.0039104646703446,0.0352695257671937,0.230960003526843,-0.0575791630022652,0.222760283403385,0.0011587587963275,-0.021003012143586,-0.0905455925962039,-0.042572686404214,0.10409587987504,-0.0301908694683363,0.0284326646856257,0.0361916328834373,0.265241080032139,-0.100953142607494,0.0078718527548117,0.0718033484190203,-0.209382952385216,-0.0677458488886619,0.0961540126529558,0.179343542375474,-0.220333800143442,0.134021566144601,-0.07949914817093,0.0470892715726192,-0.502740575015823,-0.0472722806072034,-0.13515389769396,0.0110571521904192,0.127012116653577,0.0966237766178932,0.0624537314305935,0.127846988104581,0.0691956887966259,0.0877452339343394,0.144763703809245,-0.116920068263993,0.276627014295645,0.152281423297581,-0.0744603104020014
stable,-0.0886548661615292,-0.0833790424894272,-0.312525086898884,-0.290802072975387,-0.0547486550072961,-0.584910770920515,-0.533948010365126,0.0442716710843555,-0.104487544438285,-0.0939087587419242,-0.148866477504228,-0.228266771558193,-0.210776896556302,-0.157756350039139,0.257322223349801,-0.0545757310755032,-0.0935323981818205,-0.168520148792803,-0.386855534118134,-0.0679400544878267,-0.140560595172622,-0.0127873590432981,-0.222970813518576,-0.140134300030292,-0.0401370516684934,-0.345770428674758,-0.230732527902061,-0.115673126362315,-0.222081633475439,-0.400679321695835,-0.0160497160887272,-0.218779571000168,0.0370330328611194,-0.0055005900309921,-0.0717193597150806,-0.0345210612313364,-0.309163722336927,0.401061471888263,-0.290583755494358,-0.115134719603824,-0.416103614643299,-0.131599055667471,-0.14736656921997,0.0270520403617437,-0.117156568532837,-0.115991097375795,-0.126416376587616,-0.181575063069884,-0.11440302978508,-0.0326742715349715,-0.0966235245466981,-0.365177094369672,-0.0969591331932504,-0.468578613696933,-0.101480191816271,-0.0993397629675236
stable,0.177754599537881,0.447197253765331,0.367522548199353,0.048756064283219,0.135334459786559,0.0098226445615558,0.269912985411584,0.183001226389618,-0.159953816907678,0.0312801550481362,-0.0528930732440431,0.436408219813518,0.174495377660997,0.0422304591306071,0.271046594830603,0.0125312762323462,0.244087325718304,0.101528127070457,-0.108725254602934,0.148522469487594,0.258419441097247,0.371876010675025,0.300168962696192,0.130510478269914,0.188744572349129,0.192810097480598,0.0618280606642411,0.0268292685309746,0.0982426996197153,0.205654135241467,-0.17951648355488,0.161808169031185,0.332832929454172,0.358830169462398,0.223005839559601,0.189821960870467,0.0086798803505975,0.100529835919971,-0.149920346200974,0.0104240213123484,0.116169633902688,-0.0973186298492566,0.266076832175898,0.167030217324364,0.106801640744713,0.132747898272676,-0.0286495062320501,0.148933977219589,0.0247236859985169,0.31490179703231,-0.0938122219297724,-0.0684877822330875,0.27336537979132,0.0168952887964538,0.110744493576081,0.0608364472939075
