group,CD273,CD252,CD137L,CD30,CD154,CD52,CD19,HLA,CD10,CD14,CD20,CD335,CD294,Podoplanin,CD196,CD107a,CD58,CX3CR1,CD11a,CD79b,CD244,CD62P,TCR-A-B,FCERIA,CD41,CD83,CD226,CD29,CD81,IgD,TSLPR,CD22,B7-H4,CD204,CD144,CD73,TCR-Va24-Jz18,CD158f,CD307d,CD94,CD150,Ig-light-chain-2,Mac-2,CD85j,Ig-light-chain-1,TCR-Vb13,CD82,CD101,CD88,HLA-F,NLRP2,Podocalyxin,CD224
progressive,-0.24877785526196,-0.172308556499156,-0.127944833635188,-0.05153967499516,-0.0004635681270052,0.0274752781722645,0.0026528408983687,-0.0766380062677162,-0.410576740084855,0.0292636404173136,0.206064376946887,-0.0683971959219117,-0.261206133901643,-0.195375519376391,-0.374355987621067,-0.345332136546775,-0.259230967886818,-0.178023366000807,-0.16476545327188,-0.185614712228651,-0.345658362765003,0.120413877190254,0.0282899917808156,-0.0727126166750426,-0.138876916543307,-0.312105494372188,-0.188879043035146,-0.0881836674335106,-0.401753709796404,-0.353505593085369,0.0668074917687708,-0.0889417883866313,-0.258433830503241,-0.126916894644639,-0.0068424472808128,-0.045953569955033,-0.0055320159853035,-0.261057699108093,-0.289383995343237,-0.486212974242266,-0.259721381576717,-0.0220744038102365,-0.442165091718276,-0.284893333168213,-0.447476787062459,-0.18243169304024,-0.179970404351554,-0.156497710594283,-0.216013424982715,0.0139884679166551,-0.252735114577517,-0.241111073195886,-0.108770641942354
progressive,-0.0202152701137362,0.0976678947784067,-0.135531272820172,0.0459752743193217,-0.0866413149347124,0.0725502082231342,0.170777066664138,-0.0521411304825002,0.0071426949303569,0.0659695230930945,0.201377037827582,-0.044203585435796,0.0664830823556509,0.0032807906301174,0.448093171440086,-0.174240403506789,0.017810225190369,-0.0255108213761798,-0.0513209929804256,0.0728230849839928,0.0164700271525569,0.316959786019411,0.155710932341776,-0.0752254588775225,0.0583607561234853,-0.144794058727239,0.186395415897184,0.0582278783405538,0.0543967724985924,0.14898066540499,0.134286161081206,0.050656801198538,0.107295901455867,-0.109829254568556,0.0466031348406891,0.199117597901721,-0.080248813731302,0.132380277536695,-0.124852443740643,-0.0539979969195307,0.0077960484772214,0.192163430635222,0.0657093275555595,0.0413105222808761,0.0275894596597814,0.0056136780622286,-0.0205488238124262,0.147454779003049,-0.0832898064227945,-0.0734249621646865,0.110168059478253,0.0353646504087545,-0.117642834385442
progressive,-0.156689325472929,-0.129310677299997,-0.219811491069121,-0.15719585189811,-0.188070198803723,-0.0839037185117561,0.0150124710331033,-0.303637794205081,-0.174893005880086,0.0053539047129377,-0.307860859806072,-0.0633714655724308,-0.14809380833422,-0.21657118446695,-0.217131810550324,-0.239902608382439,-0.169135081203459,-0.179769900351752,-0.254905674499669,-0.171039344301402,-0.0647952694606456,-0.0925396389962693,-0.275718174821858,-0.204290503212773,-0.0827226166227361,-0.094945673235988,-0.284328071010161,-0.0411678268360474,-0.291800476336065,-0.439546975877208,-0.165813662646404,-0.518570117542543,-0.143070515233783,-0.180165832555888,-0.189886086291471,-0.435740718848381,-0.144501069697519,-0.17023339948439,-0.25037718150322,-0.119845657859946,-0.233916985502896,-0.456422439175764,-0.203200483376451,-0.140011610022419,-0.240601165596165,-0.150925929764382,-0.0268303401954302,-0.227543298665021,-0.227827965890898,-0.0581192368651568,-0.189032113862243,-0.140998374987132,-0.178048592904507
progressive,-0.432884190707326,-0.0920703626796835,-0.17371790245109,-0.168887853465468,-0.306957185251981,0.220479457822828,0.270149006217224,0.297655781425363,-0.0587625724740221,-0.292483755606094,0.425119721396636,-0.335891308997055,-0.231331568037466,-0.070427197416197,0.0040230139423243,-0.182576216501631,-0.189949667171957,-0.0419611398511527,0.0291171823678996,0.128774342005941,0.0483462088311478,-0.408537201789842,-0.424976718979449,-0.244469283996707,-0.426362714605119,-0.411757200598755,-0.288702824846237,-0.307296454507966,0.273509149959433,0.179378495176812,-0.458336499643698,0.14755271226688,-0.134327846975675,-0.173140875208437,-0.158438164639406,0.127856832381265,-0.144918478399474,-0.107326730492983,-0.188552352300779,-0.176671409276113,-0.288096357827132,0.308744671947159,0.0144808774782214,-0.0467637897147996,0.0176293502085564,-0.126705942706316,-0.0244665977996548,-0.180572657295481,-0.150315101503346,-0.114512865272499,-0.226026744568681,-0.217315324263936,-0.148707884249287
progressive,-0.099104215120163,0.073410624599381,-0.123426555544926,0.0593164768805535,-0.406602261805066,-0.154046197333125,-0.0445054167285022,-0.364067134671769,-0.328897302274437,-0.453387788121268,-0.116046102640808,-0.406203193206082,-0.0884012544020552,0.0168934280564089,0.08888916815646,-0.282157703590799,-0.0584816771141297,-0.117305426407556,-0.107930608326124,0.0204532963740457,-0.506575703070454,0.260133744826635,0.0029964714942126,0.0499482680286261,0.253049540257725,-0.256925328231548,0.154209925901066,0.133888578525788,-0.160024662877733,-0.162932375518175,-0.0701448270011074,-0.274162929408393,-0.106232377089711,-0.221299047492495,-0.182288538047325,0.23710742973723,0.0826606153325746,-0.184119910272325,-0.0226265321506889,-0.237555304423345,-0.13854150178559,-0.145852760731659,-0.215092530440263,-0.0115131828799699,-0.133991518850697,-0.0066956038060752,-0.13591776260106,-0.146924426235228,0.0350858679135465,-0.0325637572794645,-0.127340258253409,-0.147908861923045,-0.150494725199052
stable,-0.128864826248018,-0.0670026102613828,-0.0383044837503164,-0.109519343973714,0.0171633964517491,-0.211940194914124,-0.0217666459510318,-0.171351183062541,0.0301170537552732,-0.0980892694736443,-0.237942445997793,-0.0289075212080282,-0.0834476019887818,-0.0761331634466338,-0.0923677629551982,-0.0586324070773649,-0.151055778213814,-0.0111315049088841,-0.0158176322812028,-0.227393247578858,-0.0029318334249825,0.0028286745759431,-0.132750739485364,-0.125504174092332,-0.0309665103229153,-0.0562252254085388,0.0128917817961098,-0.107298045011167,0.0838777027816112,0.0692022841764121,-0.0826329458842994,0.0538941494108836,-0.0083997002911899,-0.0727321773580691,-0.116859673137725,-0.0210800223983624,-0.0023748353531245,-0.118863488770445,-0.0502777836320621,-0.0322588855960917,0.0100676707474209,-0.0316234384829655,-0.0760638828307845,-0.156367124445043,-0.0949958106670655,-0.0156851903847691,-0.110065182482709,-0.0504393034468135,-0.0414247861740281,-0.0482774813571384,-0.108021598468022,-0.0809074771056467,-0.0198938736799818
stable,0.106299500405487,0.170291494687072,0.278507399487894,0.0870741465462634,0.203240470880664,0.0067830015783089,0.119289616304346,0.0636936151577446,0.122315872774386,0.13638617387728,0.148034708309865,0.0975909162694571,0.419091724149449,0.2540395053028,0.298622151447089,0.106159119400173,0.295112669011368,0.358724195476521,0.150492421904643,0.0757507468970062,0.132947616470979,0.193494814033848,0.2217841120906,0.23008396899827,0.152529622388906,0.273767239746959,0.337807716535995,0.12185127605701,0.182564840275862,0.201108646354597,0.207057434512605,0.342629558800154,0.232646898828881,0.318174592654293,0.128669424193108,0.318441343655902,0.213308433030874,0.296231722394133,0.277994154345028,0.199124117195788,0.299863927056647,0.15017865718879,0.106914373253208,0.269984163426587,-0.0124692096190667,0.219649824241167,0.261555464678659,0.17515225840913,0.213536977613349,0.155115441223607,0.240796549079976,0.382078806519904,0.203942515273577
stable,0.029729898229927,0.091859135221503,-0.0532457624936242,-0.113084966617416,-0.22640427998709,-0.0601876959728422,-0.0524318892194952,-0.0416570926471253,0.0772006987982478,-0.021823393654643,-0.100862381810301,-0.0220420557723651,-0.0931660559162283,-0.0931267048052945,-0.200793928340944,5.2891163676743e-05,-0.0175778209475705,0.0268521948384257,-0.0331771456044031,0.0575723797401177,-0.206145653556181,0.0578676531333736,-0.0997594501101926,0.0459323931915012,0.0291034166965384,0.132343457320947,-0.040040235268996,-0.129901405543986,-0.0605130150528876,0.133319693985893,-0.115233918673978,-0.073978735530802,0.0661367177584989,0.0733793667293504,0.0652798418521696,-0.308065163749594,-0.0916540842993395,-0.0686859979584442,-0.0499196658544206,0.152427137267002,0.0157728652716233,0.0989117264174186,0.0478644335003075,-0.122434709049941,-0.156945544685722,0.0434393026767908,-0.0217993988004681,-0.137205911522115,-0.0863769701747126,0.0163250914077374,-0.0012710754838812,0.0115881591963374,-0.0432524430460759
stable,0.0151931061501317,-0.0166618786840139,-0.061880623681343,-0.076617204778357,-0.0426732612100877,-0.123397390700162,0.0465196643199642,-0.330810632519076,0.0756134958785187,-0.102044611531038,-0.0599280889892587,0.062249154412303,-0.0864789928634354,-0.0483274450518749,0.162383284644187,-0.0090078737289272,-0.0739670568369366,-0.0952448391754059,-0.274471432051606,-0.059053415109912,-0.170493541151285,-0.0433912542334688,-0.0486045539365861,-0.0529393568758608,-0.038208250965886,0.0255339644877,-0.0284140240350453,-0.240810198169461,-0.0894453752069947,0.448583815347774,-0.0339640149571491,0.0598639424788271,0.062926103896375,0.0087397113398453,-0.0523724506234463,0.217173743667387,-0.035216633916541,0.0386733567799205,-0.0357046006038375,-0.0757211065123972,-0.0017707145793613,0.0746459596214364,-0.0829142196744394,-0.123627407769173,0.0198203064615605,-0.0662902232473357,-0.295679893752716,-0.091034255724807,0.0661447855125051,-0.0191193958615384,0.0230292043624271,-0.0711791925196391,0.0037611576861323
stable,0.0679453678457417,0.0902334869991688,0.141856110414117,-0.161302376324466,-0.230823155809524,-0.387586898814863,0.0808267199006253,-0.0449621297743946,0.122218809508669,0.180158550192956,-0.0594758022284431,-0.104115576821534,0.20317888672627,-0.067014992526279,0.0687771143537362,-0.130877480485451,-0.117347371011626,0.0268482940471957,-0.246694811923147,-0.0431414185669907,-0.130197668728469,0.114902885786629,-0.121800499678286,0.0630048332658219,-0.177428878123963,-0.108395090730254,0.0694814984756907,0.0329883541302487,-0.346137212463154,-0.332221597501659,0.385525736605104,-0.152325153729897,0.160999660614593,0.0994238262298488,-0.0564021129552696,0.104560946489201,-0.0367335862767815,-0.0264123911358446,-0.0629198493282569,0.0169397134362069,-0.0840654095089856,-0.152124092923104,0.109955077223201,-0.180676833803943,0.0297682391729502,-0.0820428793179862,-0.045174956739016,-0.170265572416361,-0.026060049158334,-0.094634769443744,0.0068947654087063,-0.0374071827196137,-0.167008894393779
