group,CD275,CD252,CD137L,CD33,CD117,CD123,CD45RO,Podoplanin,TCR,CD62L,CD107a,CD178,CD66,CD122,FCERIA,CD254,CD28,B7-H4,CD144,CD1a,CD304,CD73,TCR-Vr9,TCR-Va24-Jz18,CD158f,CD307d,CD319,CLEC12A,CD328,CD258
progressive,-0.0012479279539875,0.0962833809764107,-0.0154716929825597,0.014553069451165,0.0306908083961992,0.215063872314279,0.181591310865264,-0.0734266771774892,0.0657970240205213,0.157676341094387,-0.0002283439298303,-0.194740020548091,-0.0600351570987719,0.165644970457234,-0.0603149634135029,0.0481056491167532,0.121584132746365,-0.226537795001813,0.0046376587125509,-0.0547390300655136,-0.138717560264949,0.214786364975636,-0.0407808653152269,0.0497881438677318,-0.0444933121958141,-0.0481294472842635,-0.0628630779115258,-0.0806562591905541,-0.0944244295436869,-0.0660731635672237
progressive,-0.0733931923453962,-0.271753819078388,-0.303973654157406,-0.0602583277965928,-0.107554862832389,-0.0095109202165602,-0.206722018307702,-0.0562167907971478,-0.230071548815498,-0.122051345852376,-0.171464219558591,-0.0401295033288911,-0.168812307564556,-0.0465269842562278,-0.166056537928621,-0.0559160697413493,0.0299597527205176,0.14918792027929,-0.150102199281272,-0.310011957275862,-0.141450492661787,-0.0363946062630034,0.0499346540111317,-0.192790248090271,-0.271991889472458,-0.224363863988037,-0.0115512915022677,-0.323119229326634,-0.118707512786293,-0.301661517202064
progressive,-0.0086033547828634,-0.0485395140373748,-0.134897492204631,-0.0531401332333286,-0.0642693506150366,-0.0161411990844242,-0.203701836062187,-0.157272111369519,-0.0983481972190939,-0.273620670566762,-0.161433451900096,-0.0444845140261306,-0.0603267473553761,-0.0888876362604289,-0.140273768165582,-0.0498013627466495,-0.160085035836082,-0.0976887430442409,-0.0851416237503731,-0.0771604577318916,-0.0585930983091738,-0.540997218928456,-0.009122365807031,-0.0571503767104785,-0.137298621900757,-0.180446659362918,-0.128411191017779,-0.0107689585142376,-0.187955307800157,-0.115898683218366
progressive,-0.563827968719201,-0.746242939568665,-0.602368196764159,-0.586735968732621,-0.493724718104413,-0.603507255446916,-0.557061615804048,-0.569660736798819,-0.649608951491849,-0.562225252245582,-0.616153609923523,-0.637227853417363,-0.556095023966739,-0.617216251727146,-0.555052902659189,-0.598505393755179,-0.654589929220707,-0.616372920694096,-0.651198412143264,-0.631119337261677,-0.676873459013869,-0.38499845145733,-0.565622228075188,-0.623884471353373,-0.600482105401045,-0.617739699670733,-0.607294605650413,-0.566368630228827,-0.573659832987485,-0.641750254797126
progressive,0.165183247629089,0.107690961311705,0.248504670709098,-0.0851369890616112,0.568056022850827,-0.0383882341711394,0.055242789667744,0.231461903889759,0.209130569795545,0.415310403074462,0.128682343045104,0.0770309832875843,0.19919234889813,0.322888542242203,0.125590545331401,0.211556292095653,0.0607847401600713,0.332058999905156,0.234998476759804,0.192302023890865,0.151369708607038,0.239649840405741,0.338176390568867,0.202413943537423,0.505781777325464,0.183550843739491,0.0167254196150777,0.0638683291984147,0.0518981556233377,0.0540868578108523
stable,-0.180317163220247,-0.105975119278049,-0.132443187393613,-0.0327716718834307,-0.0642918545212871,-0.0514807432528683,-0.154428593378247,-0.155605589530557,-0.172675814835288,-0.116789924084388,-0.240986402165693,-0.066565295391978,-0.156694016012327,-0.221799565501605,-0.129441943731371,-0.201131751897419,-0.12394463535398,-0.169540012076135,-0.195548530863107,-0.0625916005885989,-0.122558740169745,-0.085597810797694,-0.0660346149924817,-0.281946019915448,-0.154291588236008,-0.196667943693784,-0.204721425617654,-0.0522234738470357,-0.176777390828699,-0.146596619521952
stable,-0.229813285769346,-0.301845810664463,-0.20043435978375,-0.161959368180435,-0.318632206386332,0.0110898887797099,-0.237247963584317,-0.367115577911288,-0.289462778546147,-0.156912666586248,-0.120275557794568,-0.294732013005261,-0.177874712296766,-0.305809858551649,-0.258222401930295,-0.360082271173771,-0.216623060836945,-0.276338281854624,-0.399708397525115,-0.23569260506027,-0.215327863597086,-0.327826082941591,-0.141697567606266,-0.232695457687454,-0.29779806747297,-0.371223207654417,-0.406063419583894,-0.0487678657786662,-0.28702758774927,-0.340110413019924
stable,0.0219375551568389,0.0102174733718748,0.0911391108803892,0.187339058441192,-0.11845116901656,0.230805309813114,0.237302900880336,0.148406036263876,0.084561133077692,0.0584405319594324,-0.0325436218858078,0.027201638683692,0.156486645042578,0.0718660563100544,0.0805384579152042,0.0540459052773913,0.001448191787951,0.0979907962447432,0.125252265703876,0.0755417770701296,-0.250668975992066,0.0620176135719291,0.0398015085120901,0.0790644169613621,0.0910138743874923,-0.0282345145279882,0.0546968727954971,0.0261038095494137,0.0993495684864158,0.0765168365041117
stable,-0.0726105860477572,-0.127695526869502,-0.0923213213232129,-0.0283024653751492,0.0042105315026321,-0.083795199162376,-0.0869797768859646,-0.101607424004801,-0.105702764494255,-0.16191871838332,-0.152890180657624,-0.112165196507061,-0.188965581881138,-0.188715236771659,-0.065205296231371,-0.0970825448821196,-0.0581864376528836,-0.0931102769787838,-0.13784437702883,-0.0690551332885585,-0.0435319615216795,-0.635412973761052,-0.0175231958031847,-0.16366507955796,-0.150312773285222,-0.0195661085430451,-0.0905210006092327,-0.154906892792951,-0.164640322847633,-0.0256610791751152
stable,0.473292092699121,-0.153261384033996,-0.125161479732728,0.0106039580183449,-0.155717542565314,0.19335622578298,-0.216852589556548,0.075821989748763,0.0072405553113745,-0.138555804986178,0.0795961600067764,0.023821672641813,0.137420416203081,-0.063744504770226,0.0378658080111411,-0.202951595519474,-0.0065597745698559,0.0128394272893064,-0.114374306142699,-0.0188705692571857,-0.0196205815457054,0.0645018825745073,-0.0444783752195875,0.0135334265230248,0.107092864605447,0.0035733452419731,0.13758888404539,0.076863883139135,0.0999308579939379,0.0427553016071161
