group,CD275,CD137L,CD269,HLA,CD49f,CD25,CD31,Podoplanin,CD32,CD223,CD66b,CD35,CX3CR1,CD21,CD169,CD54,CD106,CD41,CD29,CD303,CD49b,IgD,CD71,CD1a,CD73,TCR-Va7-2,CD305,LOX-1,CD336,Ig-light-chain-1,HLA-A2,Podocalyxin
progressive,-0.0194988742810557,-0.237232625732583,-0.153491946190133,-0.300709325583128,-0.295712028898725,0.0990817076954174,-0.403478815523263,-0.29105729252314,-0.378980849563008,0.231233536698537,-0.202193638580213,-0.123600971537523,-0.148983020824805,-0.145414665693133,-0.028154058428385,0.0197141177550057,-0.117653674406992,-0.146672979001984,-0.402702887136178,-0.42050365888717,-0.185800586990458,0.0444296647047185,0.145654635379168,-0.420554105816268,0.0040364622257799,-0.044934212070896,-0.273565768411291,-0.329233488708102,0.305869550076758,0.104641426040212,-0.288742931823472,-0.0873810133483678
progressive,0.0268201966435204,0.0139087857299051,0.0053393353319629,0.336628225334581,0.139790374404225,0.0627884128645787,-0.159479456447701,0.0946615767523851,-0.1243245653834,-0.0178509003445777,0.0024073227706891,0.129433836598242,0.0107160649872136,-0.0375856600308073,0.42170279574107,0.316063214587694,0.102927194955833,0.0461667540576931,0.0566671834100923,0.177927857523244,0.219314774378275,-0.0370943762040765,0.458723673307999,-0.0556242159999944,0.149449356943443,0.0088834456648903,-0.038181014636497,0.0547786333413893,0.0277906366003445,-0.002241089655705,-0.109065399140109,0.0212162569608394
progressive,0.0696032014994111,0.0914906975218281,-0.0163056136240303,0.117331036008295,-0.0299101911430838,-0.0503446837026209,-0.200103738493664,0.0872956080997764,-0.433260828069652,0.11215968856938,0.0696758135743819,0.124866892694488,0.0633020588048528,-0.114273590036685,0.0752337619876011,0.176238374854536,0.0649417858270218,-0.040521676216087,-0.0632668478809576,0.0660497363079599,0.0268855761102341,0.380628893168999,0.292574051735473,0.0806612110613425,0.343810787102911,0.0894206781116802,0.272039793029168,0.0874904571449727,0.0488592633503051,0.118836470397727,0.0591376854750967,0.0247837944353962
progressive,0.156009036772452,0.243205063431526,-0.0858818519791919,0.135298082466074,0.0750890342154944,-0.160710007182094,0.152578754384696,0.140525807597171,-0.0589844608478253,0.0807093681918922,0.489110222946421,0.105753549124911,0.0614626617663099,0.0028783719813384,0.315302368887624,-0.142781781814886,0.222898819161279,0.0046093266443796,-0.0405346481882165,0.154087854451644,0.198407290540292,0.0428613234789802,0.262216900834241,0.175883918225047,0.0129614314613309,0.165914690475587,0.0545195912955174,0.408608386471329,0.0699235156468244,0.40591305107527,-0.123339684769716,0.230246846333096
progressive,-0.465456076875804,-0.230227410922784,-0.449025902916683,0.133685188432383,-0.432073303547695,-0.252317402674511,-0.436267087926991,-0.33326126256734,-0.0444347170544298,-0.409959872550732,-0.0668109101289918,-0.0771174021016589,-0.177988214811091,-0.110157843114689,-0.0871297117108367,0.236945155749432,-0.515310346174426,-0.477872634401632,-0.292429309398795,0.0190983198827229,-0.437174114655868,-0.0659808793420709,0.136207618171483,-0.0921905583641561,-0.0854471063808293,-0.0847576610237927,-0.152629884397906,-0.148306418058613,-0.452959989070853,-0.229825060156351,-0.038620830563928,-0.283318383401888
stable,-0.0973216983893224,-0.38584721392011,-0.278665695582214,-0.0695240486425281,-0.182536926662188,-0.2326298378001,-0.130330364333745,-0.331436036156841,-0.223816123008116,-0.261315821811405,-0.0041928847086562,-0.100398787705993,-0.349083071946437,-0.110607340348304,-0.140580430207655,-0.0663544192966127,-0.29582594584653,-0.201783417169265,-0.246915290255387,-0.366957533797837,-0.248780419952975,-0.306797944144664,-0.0605627201307941,-0.279973359343659,-0.219051273384856,-0.226207454984261,-0.280824256463419,-0.20166247105357,-0.279996763170839,-0.300472907875385,-0.295266380325594,-0.422263588760352
stable,-0.0578337298383197,-0.207276738308338,-0.212909727290053,0.125263505230108,-0.0508324607021816,-0.122211155700634,0.0907214590466124,-0.209658594472495,-0.0733298356140317,-0.108937293502157,-0.238465257305861,-0.0157727333403185,-0.221411458592643,0.031958865073007,-0.165561243611649,0.180006916572573,-0.209777561348681,0.046497567697514,0.0926773097412842,-0.254627518779953,-0.106162355479653,-0.0160387812872049,0.153791063652158,-0.154648118695114,-0.221900089504236,0.0156066664103546,-0.400502998280292,-0.229240756584843,-0.0212121314152615,0.128085313371004,-0.0985748611164979,-0.170181899167986
stable,0.185152588670722,-0.0742497441808076,0.0713324744317841,0.182451980387717,0.129639068819382,0.0166538358758321,0.0668902861173072,0.0070255603218449,0.0108703237918941,-0.0195252663833535,-0.107389721253204,0.0250934806090688,-0.0731978414095559,0.0623611986208227,0.208234681128227,0.221388282096947,0.117707305969789,0.154693822336298,0.112194842339514,0.074116504982955,0.0256423282639917,-0.373271379066536,0.123122104765603,0.0266069067177638,-0.0926809896867606,0.0395923079816472,-0.184589503985675,-0.0258654456166963,-0.0345703012024289,0.0024634553435097,-0.042667979135706,-0.0693613033102139
stable,0.0402298093949217,0.0506624821866036,0.111436367124968,0.433984286629956,0.0339171779072457,0.073247958092827,0.0630872600063573,0.0814504995290408,-0.0589272012162612,0.0403476253857732,0.113775147405373,0.170664108667086,0.0629919881168839,0.123559232951746,0.132272954575379,0.458484672929655,0.102961043970458,0.0263382943932381,0.237693600750507,0.0937036170092492,0.0104744554804637,-0.474137424277248,0.217284820079897,0.0362278143262772,-0.268121221741221,0.084681861132459,-0.198432795903667,0.107439230358828,0.110908172733738,0.0292688580430372,0.106382647114674,0.0273625467330544
stable,0.0477267287789035,-0.124992603410806,-0.0887227080239771,-0.113744775967108,-0.245489677195716,-0.411178039628792,-0.0754309061578562,0.026733808508688,-0.249711889345437,-0.282034923739589,-0.106243402362791,0.0169312514813011,-0.109943282971043,-0.0828761418249579,0.0141652991181831,-0.212574356112469,-0.105037481423729,-0.183949851702847,-0.0965847073915518,-0.110011739938416,-0.203914709850195,-0.114455730221354,-0.0272825131441231,0.0522942767589877,-0.111501499935815,-0.0523491083521961,-0.0815074162229272,-0.174925232247854,-0.0752381949422844,-0.256026108780127,-0.0618900106237348,-0.145271781025012
stable,0.189779310599132,0.0847923673375282,0.0113932649069254,0.10068757296988,-0.153228486691545,0.0345722095598473,-0.193478680329876,-0.0474776948671135,-0.122386260437057,0.0534892052746459,-0.194100267903853,0.0220908308155222,-0.0313056180112808,-0.100211286088667,0.0692275737844692,-0.0458972746502244,-0.01838711299274,0.0333291404566736,-0.0749733473509389,0.0994695176671408,-0.0788791895410092,-0.281012991292244,-0.0758802275239993,0.0164567617942273,0.137381976387434,-0.406158819322353,-0.097629352703679,-0.156975025826858,-0.128970247856942,-0.0410048798307994,0.0501617968235591,-0.128882721939452
stable,0.0607627783906401,0.106374558204035,0.0780507274744791,-0.17044837594659,0.0394954032589697,-0.004608224175761,0.0553723440030536,0.0827341792769112,-0.27770922100903,-0.042454569341961,0.121535901020088,0.461868943749271,0.0625838188859511,0.485881182593113,0.0857032315270439,-0.0134477977505415,0.0517799146076965,0.114080655621602,0.0187761058318456,0.0202007760327913,0.122713924780366,0.232085656951831,0.0068359674773657,0.0464589597844142,0.465694587966503,0.0760089218756147,0.0612946680818642,0.0906605724019526,0.041056759010091,0.0262164422959601,0.0730761033906517,0.0638493105272293
stable,-0.328000150813345,-0.40794486850233,-0.306847767249737,-0.191538448898295,-0.203424431338814,-0.29201893424337,-0.24025968554626,-0.432505394697786,-0.347731310091196,-0.233981309940592,-0.217889108882353,-0.146789943705922,-0.408096619223407,-0.0205081874972969,-0.0322590739835155,0.0131358598894672,-0.211752945285877,-0.176202014664012,-0.237212447067104,-0.169249182705413,-0.187648256592702,-0.122086183512992,0.284107512228578,-0.313025556450648,0.101017434927712,-0.124360383258652,-0.145140027441786,-0.167833040329768,-0.289777808776006,-0.15152432119771,-0.432382281486268,-0.338643940428853
stable,-0.140336624127398,-0.0539571217209764,-0.147130684869132,-0.191877788928381,-0.190330960959123,0.082191740650753,-0.168254693359699,-0.115526619206288,-0.134574461290251,-0.0281795941648351,-0.213979754743731,0.0411642655486409,-0.176941192111508,0.0187858405090963,-0.0546867310719084,-0.106914696019972,-0.190519303803045,-0.277014322318237,-0.175371256457171,-0.0946818148579734,-0.146241384328693,0.0582065061020458,-0.0897248765581727,-0.0753200590621183,-0.114818693405556,-0.0615240216206044,-0.15097808615596,-0.0744057084703215,-0.177933882411596,-0.0895490569028718,-0.103739580004927,-0.148746387031002
