group,CD273,CD137L,CD52,CD33,CD269,HLA,CD16,CD20,Podoplanin,IgM,CD196,CD103,CD62L,KLRG1,CD1c,CD64,CD66b,CD35,CD272,CD96,CD39,CD21,CD206,CD370,CD163,CD309,CD184,CD81,IgG-Fc,IgD,CD18,CD71,CD73,TCR-Vr9,CD305,LOX-1,CD150,Ig-light-chain-2,TCR-Vb13,CD82,CD224,DR3
progressive,0.376852380748673,0.0750832159447753,0.16447112501458,0.233560946137446,0.41214446451053,0.324231881962328,0.326516965503332,0.149692568378575,0.174482980303209,-0.151403847103998,0.257913386473698,0.252122910378938,0.250341748917784,0.250046196158668,0.104023216551245,0.152748178419938,0.475535113893915,0.218830766223663,0.289809514596055,0.417084870737602,0.147823724910978,0.140637680572924,0.359086272325129,0.176249070187977,0.307228022853085,0.389182397794303,-0.0386600910068795,0.186165293930778,0.518313292477697,-0.200059473207258,0.188923863369619,0.0839447622041447,0.100368185729489,0.11040673292659,-0.281848668043593,0.035818133355348,0.544528195689731,0.266253596642647,0.0269596026244606,0.440577885990692,0.378579320529542,0.508445817088926
progressive,-0.0790198414313027,-0.0010415711688148,0.313303055055125,-0.039914592347004,0.154331002876857,0.455535437532478,-0.0622898676450005,0.179268485497034,0.0362027012389023,-0.222814741245145,-0.218911286003869,0.113251134484946,0.0609872436611214,-0.164803115468187,-0.25029189719858,0.129824186795002,-0.0029774781637471,-0.0490064682813235,-0.0505520552387682,-0.0056112940326479,0.0410511124715006,-0.320223747896566,0.09511520594758,-0.068936768328335,0.0318826571341943,0.1745883200633,-0.177045893417228,-0.153369578935931,-0.0293173654095508,-0.389248374688659,0.0574174666889583,0.318085178327155,0.0338052666869794,0.245571677441131,-0.132391204754899,0.0815873945480325,0.0588893694419431,-0.212700849831914,-0.0745780940755804,0.182312109476029,-0.0279534783126115,-0.0051424198539798
progressive,-0.0577484492974336,-0.10027127435837,-0.247111455693349,0.0545273323791179,-0.0587353013272075,0.0025741842561781,-0.0200311522981868,0.0838023286344371,-0.0704286599862112,0.138891399356993,-0.0365115323995001,0.116330382032823,-0.133065676351756,-0.0368365818632097,0.140900398992355,0.0212107009188347,-0.0825543694718072,-0.121876352317891,-0.105555588891855,-0.0430756416480702,0.0343647132624258,-0.19521222589133,-0.120228173936104,-0.178155140896022,-0.0127540311104711,-0.151501209339068,-0.0467346650026538,0.0688801501094804,0.0401292367844949,0.192293382882475,-0.0639721884142772,0.129178995670779,0.0943918811758484,0.0312242574700333,0.107217253947711,0.110290081834699,-0.0062120476886629,0.0618034107283094,-0.0179618039517265,-0.138341501398603,-0.0885081143916819,-0.0364510409924094
progressive,-0.110704447547029,-0.38601542740236,-0.413522447524347,-0.452151334096777,-0.0036288106470081,-0.282099240769345,-0.364740645650838,-0.425886887689437,-0.30470989613042,-0.327575466500553,-0.362183005196478,-0.454764927773517,-0.34473487444857,-0.350681159153069,0.0275775223106462,-0.477686683158776,-0.384371247032408,-0.630576084626671,-0.375625185495683,-0.271726044739365,-0.108661807750806,-0.380387927995336,0.0163653433996536,-0.45971044306764,-0.370398410277054,-0.0689947363136651,-0.110870381079074,-0.378823986287247,-0.0888944762469338,-0.384319527749828,-0.550566450964469,0.196411723678902,-0.254834923646507,-0.376421482783604,-0.433623496829196,-0.431866106877439,-0.146186693941213,-0.389077387016005,-0.386584653914512,-0.14274010644552,-0.314279549186637,-0.0694617674868625
progressive,-0.121617867552806,-0.0922671307284997,0.097414825507782,0.085598436156796,-0.212262795310749,0.134014462295517,-0.149279379562676,0.212110757144789,-0.127687988686104,-0.411213688104836,0.0322209151999335,-0.0358914445442,0.112212926186204,0.0614868426210216,0.290807591232958,0.0570348241964424,0.0432564871181116,-0.255924465296117,-0.1383499502439,-0.0475622823696782,0.056475776176613,-0.0705010195934007,-0.0029974838726955,0.163528812666894,-0.147659294536277,-0.195185950515731,0.108157228490367,-0.0622381229645122,-0.229758449607958,-0.268636437321289,-0.0387173297086673,0.303794712934372,0.172994465053037,-0.112984432425043,-0.0550794800218529,0.158044273433028,0.0374436491312406,0.0209143222971072,-0.201526698163182,0.156228575267616,0.0357850331253764,0.0011092425362849
stable,-0.0866220210378144,0.0135397469324634,-0.0045759784438202,0.0581874707751507,-0.0057896651183501,0.107739674269915,-0.204054730594834,0.112992106873202,-0.0526240564971031,-0.0010510106553484,0.0862203139606708,0.0143868098082867,-0.049296795745647,0.0494825327104011,0.146691747182041,-0.0569868319290283,-0.118242314219149,-0.0961338831837142,0.133917965651879,-0.0841629661917576,0.206443633414845,-0.228766381536704,-0.0031079317409024,-0.0269721255914739,0.0262786714408597,-0.108531646514356,-0.0860663443132056,-0.0852936512718466,-0.0836616924700368,0.236977142691392,-0.012593894104654,0.172402166559301,-0.0413110836265681,-0.16652150140994,-0.068556147381575,-0.104370563429786,-0.0881955686228252,0.0198849053716718,-0.0706256972372223,-0.129765935877018,-0.155568615734196,-0.117876082542528
stable,0.0720427475458616,0.123375555508052,0.272978166958037,0.081690444844756,0.048099053715896,0.23856291945127,0.175847203591644,0.236925240996142,0.0865261608325866,0.508061322246326,-0.0195200239425174,0.0379233774499478,0.139909057417664,0.117188490461465,0.413612885671328,0.047580811505796,0.202894703362368,0.105699185693076,0.149985317619353,0.118026983931212,0.391455604508338,0.0371147655543883,0.0375743972358232,0.156555630198245,0.176817940501809,0.0674288500474705,0.230070284679529,0.197341461895947,0.121572616936096,0.072322898125609,0.246096778433849,0.399947345149022,-0.0044431874730771,0.163879575837639,0.0222618639925316,0.0312909337017644,0.0489288420679242,0.107457913220594,0.208998408361066,0.108714429189825,0.118166407055581,0.148640846611433
stable,0.0467972937674801,-0.0026445540563036,-0.130904857933651,-0.102447354706103,-0.19163727754444,0.115301380419615,-0.0099252027403506,-0.0305688717588345,-0.0381624835423236,0.0506068007201384,-0.0378988806926386,0.0445051268484628,-0.0717440423897726,0.0321299947432107,-0.071254477973868,-0.0252083178798643,0.0869426834860608,-0.143405278409334,-0.0695385469651986,0.0256370377886932,-0.179280520243021,-0.172161891369437,-0.0898189958734096,-0.0135438377405508,0.0260754071919489,0.177718380935031,-0.0445543695304387,-0.116227152808807,-0.0399579946981383,-0.148253550928844,0.0869946916211845,0.0318265568664146,-0.107102138020043,-0.0473815589213265,-0.0226624645032031,-0.0510211734273617,-0.0099287049706072,0.0922339713813827,0.159236533998775,-0.0778188562761121,-0.0556537537083894,0.0671122124164475
stable,0.0262978301006303,0.0187441168914627,0.1572581104523,-0.0429363994709587,-0.0693206607610547,0.229317877116678,-0.0118931099495238,0.0828077386808892,-0.0069157648828966,-0.238351400001332,-0.0090242439235265,-0.13186162753778,0.02140930142152,-0.065628652083408,-0.0172061551338876,0.0771131516420729,-0.0684946997483295,0.180132301338044,-0.118071965883068,0.0124415193356246,0.265484230270694,0.141049428613347,-0.136944669921039,0.0005558854392563,-0.0799084835071911,-0.0115073747107694,0.10392714219501,-0.0435498518764055,0.0847545750782898,-0.337458488690211,0.0204249861246202,0.1127089717938,0.159199332672974,-0.101280756318022,-0.0412138244434759,-0.04207280404932,-0.0772582153353202,0.0101222698006033,-0.114147446869649,0.102940210631035,-0.0428268507416917,-0.0318479582679524
stable,-0.0238534226602857,0.127477497861938,-0.328365486223321,-0.342034050123635,-0.164569833112526,0.0842044394969741,0.15320416199526,-0.0529853394294771,-0.120217918370302,-0.255725152565685,0.260567301932144,-0.012904506567951,0.0053615807402704,-0.193419193665349,-0.325847650021079,-0.0991053973025681,0.100290108264876,-0.201924413973017,-0.236093696869616,-0.107370637307734,0.123972524813739,-0.20164159720994,0.0205730331620053,0.0098716070004679,-0.153199584342384,-0.412611283005052,-0.42718651084469,-0.355271354708252,-0.407588228260641,-0.22337524677123,0.0518494032341076,0.155152608995737,-0.131065813636777,-0.115478771232961,-0.0624343380500043,0.151560834583784,0.066282342112854,-0.19005302750791,-0.0399492199439709,-0.123197835472854,-0.254607877507447,-0.0486110569702214
