group,CD80,CD137L,CD19,HLA,CD16,CD25,Podoplanin,IgM,CD32,CD196,HLA-DR,CD141,CD66b,CD35,CD58,CD178,CD11a,CD169,CD62P,CD41,CD226,IgD,TSLPR,CD22,CD71,CD73,TCR-Vd2,CD305,CD158f,CD257,CD85j
progressive,-0.312397474052315,-0.0891139179142535,0.0640471588320458,0.26815714272288,0.177425228122692,-0.414899794028105,-0.198706214011246,0.0429462835535378,-0.102527315162879,-0.107498102539149,-0.29533571003446,-0.26883365705307,0.125496878682681,0.19616424959709,-0.319740913356163,0.0307444190314297,-0.164689907442778,0.377162926873951,-0.422911398597227,-0.540909157059428,-0.401320614102355,0.044177700632669,0.171064816951585,-0.226832988579686,-0.23241903930802,-0.249950160904065,-0.403925247652796,-0.442751662752561,0.0189928934713424,-0.31804115454744,-0.111746627625906
progressive,-0.0643126222801868,-0.0973487980219114,-0.487471005679539,-0.479736552485697,0.0902037363231811,0.0093106320604641,-0.148724952850228,0.136924748901718,0.0430909146101871,0.145472325022151,-0.280063458331422,0.0323546585222017,0.0624890310791531,-0.105247345401488,-0.0631787632375793,0.132534305093197,-0.208308063963695,-0.451887750472027,0.0776036061665284,-0.146472254921468,-0.0683297760847084,0.191005223812224,-0.12051247164975,-0.302440356723224,-0.498055108508413,-0.075182390012938,-0.329092418295638,0.120514112297277,-0.0542413401597309,-0.0184849356192565,-0.227924936910063
progressive,-0.0255603857171081,0.0122956638673044,-0.0104728251256959,0.101008531592518,0.15083062551604,-0.192709738159702,-0.0374454451032076,-0.074787180103697,-0.0277026362780618,0.108117844255034,0.0401659963442456,0.079476179018902,0.0202498406582959,0.119976344462746,-0.032030954829183,-0.0013402480290122,-0.0068014671151432,-0.0049168149605033,0.0414543261266968,-0.0670479015569314,0.0293229999740182,0.140822586392526,0.100831798169111,-0.0075832183089298,-0.0535973783301657,0.150840264891728,-0.0475927760793961,0.086674539526469,0.0264415046557663,0.116442751013694,-0.0241162244956211
progressive,0.0322972193082268,-0.240465033424411,0.0543145144238927,-0.145486521064734,-0.517618738052344,0.343113651697308,-0.145126028890297,-0.299182623550981,-0.0231998250458979,-0.0954348307429164,0.0441402185983318,0.203138420160521,-0.558060645961916,-0.590576037548337,-0.173089581440267,0.107230066368163,-0.232171217301937,0.171101468579809,0.171325606467962,0.198310791580811,0.19221299605658,-0.36294395768576,0.125167281729956,-0.190814240470782,0.284077603753642,-0.413118167170048,-0.0349186931182936,-0.381747279657097,0.0148943217826996,0.0339285380236497,-0.124630427858178
progressive,0.041048231583143,-0.126069050935719,-0.172321465756664,-0.147295174775253,-0.259860781114644,-0.392256256409282,-0.243199545461419,0.25600852177733,-0.073328227651399,-0.220927324150593,0.0456761296638995,-0.100995876146812,-0.213860952851122,0.230145532872376,-0.105662016999825,-0.183265415174896,0.0192655041231216,-0.259947891780902,-0.0176361860899414,0.0761125570306438,-0.0806720964678173,0.424723857669623,0.463559844976007,-0.154658891354099,-0.134023698555232,-0.0405680311018944,0.0373928158841429,-0.22606919109371,-0.215683323461866,-0.514695604279303,-0.259430387561987
stable,0.248273599131496,0.473130814158039,0.37165919114011,0.240192533777486,0.204758959850223,0.317687760666953,0.422914835732913,0.147211532290352,0.373476528401184,0.229195304535295,0.194958750282586,0.227398332976545,0.159300498891139,0.399266393626977,0.41375830415058,0.457264483021415,0.410864830865292,0.216846538515309,0.203714333690886,0.252251787494967,0.353243688132758,0.0669031795766795,0.132102250507042,0.266775290732544,-0.0166212176004625,0.385868407293737,0.131331022819123,0.229202434847097,0.448175052187301,0.264573450396814,0.451528813842533
stable,-0.17022741021012,-0.0191797691590628,-0.0972201885272845,0.0156970984571625,0.0506703497358839,0.0547136188942177,-0.0491763128271291,0.315078006298674,-0.241564645487561,-0.0328287324013034,-0.350175848682024,-0.206051465388393,0.112001514883922,-0.0208576349656199,-0.0324793086980652,-0.0484856405163433,0.0606396756975205,-0.0980522069282912,0.166804375772719,0.178975134850604,-0.0403763745824353,-0.215186420215707,-0.0323506649102516,-0.130102190191396,0.0403096810109629,-0.308694616758727,0.156066579950674,-0.166990716907197,-0.0163215789727557,-0.0033833306282487,-0.132754171148053
stable,-0.0340522476082015,-0.131806129786207,-0.0920587483520347,-0.34159312738536,-0.0234966834345775,-0.0997027680395557,-0.13623626319201,-0.128863459982805,-0.148286103127484,-0.105223180543143,-0.0047064815062469,-0.0832534660797376,-0.12826759953925,-0.193280451928738,-0.2270155554728,-0.08293581167766,-0.22541353540589,0.0337051466112501,-0.133076716924257,-0.0751332724157421,-0.0719290402443038,0.361461249737908,-0.036182440320226,0.0705037785034898,-0.133828727027131,0.374125480546829,0.068162804130832,0.238744834481439,-0.113562112121303,0.120112485521319,-0.136478589970902
stable,-0.0445174565285638,0.0082381974705016,0.0636094294950908,0.342157698316364,-0.169160039553037,0.0433882500026937,-0.0567338588847271,-0.213349885925735,-0.106183925943968,-0.120492533668439,-0.12622067240287,-0.108618982971473,-0.102084362532198,0.157506720600443,-0.0195321071810915,-0.0123696005250521,0.159386199368017,-0.107507097797045,0.0061601247347313,-0.0172439600254405,-0.0041938907519959,-0.364816816734918,0.122149951520791,-0.0666590713809352,0.0736014069498713,-0.119507005035221,-0.130506186179119,-0.222932043737362,-0.108192353999146,0.0107313752812662,0.0618823973615841
stable,0.437162817572529,-0.17201259647154,0.0237399898188908,-0.160323901283577,-0.0974672583708634,-0.404421885579232,-0.158501887170772,-0.0580760397472177,-0.132875538042082,0.412050426944194,-0.0759585656076123,-0.441964668348545,0.133792451568933,0.152669864209232,-0.0116745589621823,0.0002172188994694,0.0597283875830283,-0.368618500826381,-0.129603513892663,-0.251033150796068,-0.221022835234198,-0.0898232376742484,-0.247465636033503,0.165481177319847,0.177790154148591,-0.173136632173677,-0.159405748750914,0.0923538522057318,-0.138268145946116,-0.180070057192061,-0.0978224999218203
