group,CD252,CD3,CD19,CD269,HLA,CD90,TIGIT,CD20,CD146,IgM,CD152,CD223,CD57,CD366,CD39,CD178,CD169,CD54,TCR-A-B,CD122,CD41,CD163,IgG-Fc,IgD,CD28,CD71,CD26,CD304,CD207,CD49d,CD73,CD305,CD209,CD85j,HLA-F
progressive,0.0687413263708653,-0.307705041359761,0.115739658623117,0.232096818287502,0.146522762478178,0.088448148537562,0.173090613092626,0.19460792594579,-0.332707980855011,0.174777624781912,-0.0146262971207945,0.242682283715945,0.0016327177136487,0.0656284493306264,-0.0685501744213724,0.253260956773757,-0.100526052466516,0.044685333578013,0.212136605033921,-0.123760348297723,-0.0060381268062307,0.099855093943676,0.239786591074644,0.1207747785357,0.0112016091589741,0.0203014204178929,-0.136244834976553,0.0268665619593607,0.173264879533338,0.122650529089754,0.301026932914895,0.25861053296408,0.0175909288334503,0.146118557803522,0.0701704124297427
progressive,-0.096534738392632,-0.150741912580185,0.522623880237612,0.168182691434956,0.463903453107474,0.109326419506218,0.301612094974883,0.444088560339788,0.209790010210473,-0.271431718043312,0.274551866393203,0.130117851892596,0.0058425828430249,0.0872344449634397,0.212738838068453,0.116199865762306,0.170124565879248,0.438683186637266,0.0689423752430088,0.275311133554401,0.0111843911420654,0.0776307773957853,0.0796748567180208,-0.277650553595377,0.0396722626076151,0.350120007989397,0.174391829202796,0.0717643439413306,-0.0278735928720233,0.449291785900084,0.197312906682068,-0.0584488241096358,0.42334578247146,0.124908805004112,0.004255411654174
progressive,0.0749022058678155,0.0140159924263016,-0.0389661746162529,0.141043607804021,0.114687635923134,0.139588407950573,0.17291607713637,0.0880264903307714,0.0328207139324105,0.108400733235706,0.148677694268921,0.142755169298078,0.125422858505213,0.166851422763249,0.147811419498753,0.126537502326684,0.0929973502442414,0.165714261656652,0.16175503268627,0.0952045147589008,0.0343000315777285,0.0348129052937254,0.0276532045409099,-0.0954347766094819,0.213525419596208,0.187633065314849,0.0242247952416585,0.0857031737081643,0.188672024963026,-0.0733082456346278,0.121536521578588,0.0761265710931255,0.136148843968957,0.0956035002619048,0.157566433920973
progressive,0.417231643541266,0.437044308510957,-0.000219010138806,0.255666204675571,0.0723050481195214,0.496873062086694,0.513344231590151,-0.0050413784955517,0.413706781348244,0.0057899130720695,0.484385435053214,0.121736630356104,0.519451107453325,0.408748134942552,0.411678068389232,0.434633342779153,0.550018486041977,0.0815266346782527,0.469780808282398,0.247917204682018,0.48156488846519,0.134245808465251,0.439027594564544,0.0482603076704199,0.51160180377489,0.451601970003335,0.284749994873242,0.406416704439488,0.563010423049891,0.0199564760557494,-0.106107989759709,0.0607976048386375,0.213334236995114,0.0687767211730542,0.157262869678451
progressive,-0.179448193465154,-0.123696192943761,-0.429707471861401,-0.465066466123396,-0.159478307711209,-0.0635989431541407,-0.19206390103182,-0.156887304327072,-0.226423583265225,0.0093717405293486,-0.490901968324611,-0.49269172541987,-0.10690281581625,-0.0793041717775899,0.10718871804949,-0.102707977716779,-0.156702458956633,-0.0806739212169701,-0.292655382601436,-0.423887901451434,-0.267986492286827,-0.405021948913365,-0.134531096104757,0.193005293313541,-0.096657701566015,-0.124828247539435,-0.51623428809163,-0.217673094278257,0.05057032771905,-0.246270437572609,-0.257004556708186,-0.48111593994992,-0.338671544858716,-0.469299264059724,-0.408757943070702
stable,-0.0953092373397735,-0.048313890827303,-0.0455675865171008,-0.144827175026117,0.141164554143516,-0.15768443305218,-0.0280997892124741,0.0687616031714065,-0.266593701146837,0.102510504737858,-0.187197698613891,-0.157928046862837,-0.164461994322326,-0.174721723738525,0.169633111060075,-0.169878995097788,-0.067093740024803,-0.130345974233898,-0.135381929436634,-0.116205940054697,-0.260009338576783,-0.0194108804120672,-0.102011656323085,-0.0919120494792088,-0.021312688260651,-0.0714265236346424,0.109085966590837,-0.126833577171821,-0.0886637167881318,-0.0613157096802809,-0.12549504598486,-0.0289140842000607,-0.161664937368109,-0.0929740784416206,-0.159932937870221
stable,0.278519044743005,0.0488619163264766,0.0109877436330125,0.191300199170236,0.30818746561221,0.161343781374145,0.0305770573302827,0.221792723390006,0.143303338140617,0.295766310208345,0.0230724865627205,-0.0082131416503129,0.0831747073489415,-0.0896431562899287,0.1957904113256,0.0546808811828909,-0.12531330242478,0.114825817579832,0.199154263999817,0.150550922076557,0.186720284936286,0.325420972436735,0.0354796638904223,-0.367927484439998,0.174724520921955,0.30973903361067,0.0822305399749302,-0.0053967994583469,0.102148957391807,0.234156593305646,-0.0260243837708806,-0.194031813073474,-0.0179974632010203,0.161239810703112,0.187034151042724
stable,-0.0330120957495253,-0.0249034327800077,0.144489086010875,0.0371870445128248,0.154867390716152,-0.110312287393424,0.0244877824196603,0.176971145711738,-0.131123544355923,0.234972719318834,-0.0805256198831358,-0.100731330127276,0.0945783986101505,-0.0944505196048104,0.0297481976295908,-0.0447149798470807,0.101034552764304,0.116423976645205,-0.0072711378620705,-0.0545746476099989,0.0129329309858416,-0.049768297862283,0.0342707950440728,-0.0805243197075708,-0.0476576821252569,0.276790573937109,-0.0157956159557572,-0.0148301824511337,-0.175050015948769,-0.086834645480922,-0.332947039552966,-0.0112385511987498,-0.0725294788213921,0.0366242689078007,-0.165466095261049
stable,0.201939277168563,-0.0395317687764646,0.0750862536874877,0.177318134209609,-0.202250724468247,0.0853094137600195,0.0479208939837817,0.0430357628402522,0.104500982350933,0.0143921587912224,0.122504731535549,0.0980816977404165,0.263428878310072,0.199817227325609,0.0612658802818244,0.193554068328339,0.0178352845374919,0.0127538377179151,0.0992746347016502,0.211781460024187,0.0600109060423413,-0.0013004749937536,0.0627894106405475,0.442650927687926,0.106247452540099,0.0167974884450443,0.0651308927785309,0.0702831202258433,0.206985026943464,-0.0396744365206044,0.43550926138654,0.376115346327767,0.0460198429056501,0.157378612382204,0.136607416825078
stable,0.086167171061438,0.190102906571815,-0.0002166936190365,-0.168352490246098,0.0976230890700086,0.0671320211865388,0.0507233714138319,0.0747006424743448,-0.0687802856873913,0.248603565653677,-0.105606838435071,0.0927265719075928,-0.276624297185106,-0.0247967482416531,0.413524620719554,-0.173292410910048,-0.2394737360357,0.0900123014721094,-0.0447192586022329,-0.194825772711118,-0.155481422272645,0.0579553407326006,0.0743856487342515,0.0355585882511687,-0.13107401409027,-0.0289910071179234,-0.085526005342689,-0.081021460265207,-0.228724177781094,-0.104370385675507,-0.086731771149893,0.126925336647538,-0.304397771095498,-0.0552763302141258,-0.0371779451386137
