group,CD274,CD19,CD45RA,CD16,CD20,CD5,CD95,CD66b,CD35,CD21,CD73,TCR-Vd2,Ig-light-chain-2,CD80,CD112,CD47,CD25,CD32,CD223,CD35,integrin,CD122,IgD,CD18,CD22,CD73,CD158f,CD150,Ig-light-chain-2,DR3
progressive,-0.455781070475938,0.0304697726041212,-0.0966597679942734,0.107727871217109,0.0068283482787996,0.0101443048598087,-0.0350389491635645,0.125800929267012,0.0088232078143708,-0.141609270766865,-0.209585538646265,-0.201193781940463,-0.109313657224664,-0.565250002130941,-0.18514855738921,-0.551447953980468,-0.533797843262605,-0.13599791252261,-0.519009864789171,0.0648810022901581,0.197511379803704,-0.0855112810453665,-0.106664790500931,-0.0388621389008789,-0.402516591788615,-0.325245706269575,-0.391813555357016,-0.495569919501065,-0.387965206692239,-0.456155057157775
progressive,-0.0103570175135429,0.65170859441286,0.100481446008884,-0.147944771078728,0.640386091600903,0.135951553055733,0.223047877926078,-0.0594862126757145,-0.20733993108166,0.0395049865349521,0.0784909905823019,0.0730637580083685,0.0543868316126816,-0.0063328377557413,0.126708214780488,-0.200413254473903,-0.225698539014455,0.209658497018199,0.0760320941115007,-0.081580312632741,-0.0002898845140834,-0.179435807351456,0.398518690693,-0.0565189378362066,-0.129490203221007,-0.157832016884006,-0.0174894444923157,-0.0054216819214553,0.210119436698133,-0.0152481703132935
progressive,0.18832736071793,-0.0777727732437219,0.0339747126824477,0.157704704511954,0.29768612787729,-0.0191824733483196,0.0928799750100209,0.203447213913008,0.200623368729741,-0.0025021612642551,0.384979646640258,0.0755799040561503,0.472988342116093,-0.141425407956268,-0.106609085770726,-0.207914985584556,-0.0233967188234314,0.141002262915495,-0.133839899400067,-0.303909740926831,-0.451484667249845,-0.242723060702356,-0.455801274754094,-0.14814596081017,-0.552228976059377,-0.633540616981848,-0.265756773069518,-0.280534950905362,-0.589913287323962,-0.23838146333576
progressive,-0.170856468026984,0.290626454195587,0.312322401605855,-0.503611296515198,0.221272677880847,0.0636168922488304,-0.0890244587410627,-0.484951308542312,-0.418959397206771,0.126759073793557,-0.303275527667244,-0.137309312616774,-0.131115248845337,-0.280206219929306,-0.46130367603771,-0.204918297975068,0.0252354556732213,-0.142153644974629,-0.258718363592899,-0.625973339483411,0.0051016552331337,-0.301426092733687,-0.472466208426394,-0.510728715894683,-0.285614374978822,-0.306790492131333,-0.0386595263918601,-0.145309354442691,-0.368392260111357,-0.120510653751017
progressive,0.193724731691817,-0.0264182399792341,0.20103303362608,0.0405722390539622,0.165560570276574,0.137110474371651,0.0063157738792,0.141656740257022,0.203379322185598,0.131377722367308,-0.19167565648688,-0.114065782208095,0.274733165672471,-0.0430893038718075,-0.24200652051968,0.0411717206325773,-0.195396936444773,-0.212870750420852,-0.383952027204336,-0.112878814740551,-0.139714385257469,-0.566104723445177,-0.0345614129887038,-0.109962071210196,-0.106026139025614,-0.0116066573997245,-0.455477587554632,0.016959770488856,-0.0136873837022953,-0.179142669610018
stable,-0.139965500345693,-0.281940390235875,-0.465226837968978,-0.165650147985718,-0.156561681201068,-0.0499259520437275,-0.150818770240924,-0.107590792135991,-0.368616454313765,-0.391841657670739,-0.160993822723476,-0.0619550900024622,-0.205035412562089,0.152029084820294,0.0068465299713962,-0.0768275261928828,0.231724703930953,-0.199366936610246,0.088506579922111,-0.199271484326525,-0.035708026676198,-0.0539918733454692,-0.176850630560701,0.121561505078553,-0.117028307299195,-0.0413936837852263,0.0968438802708701,-0.0484766611790044,-0.198012696200868,0.0068585318962714
stable,0.0272759887675043,-0.111378836427571,-0.163714686339286,0.0414687841292993,-0.189566952625013,-0.149433602284503,-0.0591611290051389,-0.0476960177339124,-0.08738893514453,-0.0593289283833788,0.14882573455672,0.0903786507557137,0.0571604935459303,-0.153205505153407,0.0382375205763017,-0.0681885635590425,-0.218938702206942,-0.052186889935567,-0.281737317270008,-0.100893854985078,0.139101467923782,-0.190937605311058,0.271018645403042,-0.160034412850835,-0.152979540729565,-0.0810111437872609,-0.187676769020698,-0.279072751023948,0.14281244469639,-0.0321180660395506
stable,0.082310486251694,-0.120982942085347,-0.379766323021094,-0.157708894778994,-0.0927151304852764,-0.164019113608001,-0.153117914948584,-0.0343521433230731,-0.271743920411678,-0.252499226895695,0.135050196185159,-0.0014115297448896,-0.250060680106977,0.0063559789310747,0.0108375949729491,0.160100447361074,-0.0806120540443524,-0.255885251097804,-0.0357177608718815,-0.12349895235035,-0.244274080810176,-0.117908554161165,0.221142092023624,-0.0353357078713582,0.063708064693466,0.187591365637553,-0.159259149736411,0.0058690092419716,-0.1465229101985,0.0420831435140406
stable,0.0641688959589547,-0.132147775427129,-0.315707739804922,0.0374724246678766,-0.173469536220884,-0.176858888528582,-0.191890144928129,0.0293114790497286,-0.128379089977132,-0.079571703361807,0.0713588138244346,0.0507079742517292,0.161221594502204,0.0638487494618156,0.0144012769056252,0.03899990453787,-0.0766762198539563,-0.0021671295665833,-0.0174544667970263,0.0701772084534284,-0.0259363053970756,-0.157355137825389,-0.313818546691254,0.113879631248865,-0.121124364656785,-0.528345180074484,-0.0936167343531894,-0.0485920215275295,-0.136898975022784,0.0208307223820773
stable,-0.0888142804024494,0.09898082976213,0.147225264769955,0.192138028497596,0.224801642743369,0.466520119996406,0.477538733729318,0.145747244575272,0.201226961852339,0.0266291357267896,0.0639486500534004,-0.454033605500646,0.0341096181826634,-0.257326608337007,-0.0555314645068066,0.0961676648284791,0.0891014559894078,-0.242028446596347,-0.206770176378725,0.0193603088671128,-0.227800711049378,-0.0216017686362037,-0.160111201556188,0.0669323396299591,-0.144667169849181,-0.115952507037448,0.0458488319716939,-0.124071278902182,-0.0992061430242252,-0.139345240996312
