group,CD274,CD137L,CD33,CD117,CD16,Podoplanin,IgM,CD5,TCR,CD103,CD107a,HLA-DR,CD64,CD66b,CD35,CD24,CD21,IgA,CD66,CD122,IgD,CD15,CD144,CD73,TCR-Vr9,TCR-Va24-Jz18,CD158b,CD319,CLEC12A,CD328,TCR-Vb13,NLRP2,CD224,CD258
progressive,-0.0528619987335545,-0.221988457646825,-0.0065646998067754,-0.378086268023003,-0.31053202821303,-0.214072827894783,0.127868313179177,0.494318607354711,-0.0674608568118448,-0.261267264641386,-0.101536934131232,-0.447051851110322,-0.0444825226743528,-0.0779889748809394,0.14862541439035,-0.106996883136874,-0.193751277841686,0.0253365953510576,-0.258412197946887,-0.171855710090289,0.0625710778922784,-0.0309929313100231,-0.0377855144284889,0.128002427121367,-0.0554711582618002,-0.341545151311822,-0.0198822435389695,-0.117132804039579,-0.0206595900195087,-0.221755504314215,-0.118289042975864,-0.19478020717214,-0.149086881271474,0.005158410014433
progressive,0.458369051902359,0.0506813288240379,0.1265686876458,-0.0453373711927428,-0.0347181117468066,0.154792515444152,0.225467764441389,0.132301136804796,-0.0267171694001486,-0.047109585581632,-0.150535088515324,0.0166369309667131,-0.0061936836582454,0.0172060227505049,0.206744454347114,-0.0459446696420564,0.0799351160611107,-0.15300401084046,-0.0299697393288773,-0.23013128405129,0.126073675221702,-0.0431007894038586,-0.100922692879401,0.0926669708874028,0.0551606707692056,-0.107472687061392,-0.0026404481804841,-0.129382191441788,0.109497413988851,-0.0841249431443975,0.126028342559943,-0.0576167750991278,0.125955382786654,0.0566671738300544
progressive,-0.0860674286618027,-0.0632697237820162,0.160700096779993,-0.10697626925449,-0.0570838736650994,-0.0120014719915938,0.0042671157619178,0.171074508077826,-0.0654367847041751,0.0161674147478717,0.131050388010712,0.206528233965394,-0.0214613167235002,0.0778934915493885,-0.0985004354417741,-0.051879424398019,-0.0468216550636492,-0.0293801721398234,0.19794300044361,-0.0575260704281381,0.0470720638049126,-0.0550495322685737,-0.0249636147998293,-0.0717532487479833,-0.0277977219659673,-0.0432998974275343,0.0201251013699489,0.029024246522859,0.0208588700139047,0.0038366339442789,-0.0673811196253645,-0.00898769469294,-0.0516923131097389,-0.0405896712780279
progressive,-0.421247668430166,-0.561925353859142,-0.466957853835039,-0.464311330642873,-0.651564897751302,-0.462650827194426,-0.475440938802638,-0.0570778737075743,-0.456304263497311,-0.4631143450521,-0.463074692063897,0.0518072540868758,-0.550713118592586,-0.658202927008229,-0.635617186450242,-0.491189203932386,-0.108603188988191,-0.50963440961698,-0.510211147137268,-0.49276422726271,-0.297274680581719,-0.493673358144372,-0.464890930455099,-0.33996296926118,-0.481251895727139,-0.504088121306269,-0.104188353399457,-0.527634901502427,-0.571524416713575,-0.61527872209588,-0.509892772897734,-0.473449224666922,-0.564279622633708,-0.451472126303905
progressive,0.122199049504676,0.0554924032066394,-0.355429625066157,0.0344003845225318,0.0142223337988074,0.045195404930133,0.352583165037081,0.226214414276077,-0.0147969742779867,-0.0803071071676474,-0.22335656473984,-0.0915713294940528,-0.18596466251644,-0.0587759901299532,0.192519261292193,0.0373061847167456,0.0699212414717445,-0.0050444248969862,0.270932545587856,0.0248630807681368,0.27615466677013,-0.036164221802684,-0.0393128292897243,-0.0361464473305707,0.0193116809842412,-0.167522578610091,-0.459506021511042,-0.0434411905438596,-0.152660884425479,0.190440780016555,0.0524671904803926,0.0063670129126704,-0.157959087936861,0.0884259784899532
stable,-0.239603768911613,-0.274979548456588,-0.0409233268288203,-0.209590774548624,-0.22277625898627,-0.159127206890828,-0.0218107856566071,-0.0286484031298202,-0.182619288010068,-0.0216816291105665,-0.185230812557059,-0.203377706787848,-0.0266358903813312,-0.190392016680878,-0.124039681924806,-0.157905844605429,-0.0681386058143475,-0.353829199406626,-0.163578060189659,-0.250241033399986,-0.0472753553917245,-0.200785976915791,-0.291418950778172,-0.14871221163298,-0.13814890853697,-0.275010234532862,-0.203868477063281,-0.174791673579889,-0.176860212410486,-0.122657660989945,-0.214650628211913,-0.224744430523842,-0.217096190610791,-0.238911945711186
stable,-0.0915938960944684,-0.0115128089853325,-0.137160574778394,-0.0594683917840092,0.0698159941157323,-0.105943014955579,-0.231075469429632,-0.121571555406185,-0.14850234207783,0.05613740654515,-0.0826928536563066,-0.224839037053411,0.0515307436027824,0.0120117566687105,-0.0668996759758272,0.0205749350604972,0.0996063598692359,0.0392029059314343,-0.0675785196706377,-0.102557208922464,0.193638944808937,0.0625059314104815,-0.0887442405355195,0.003697324627085,-0.165378494617812,-0.0002277525668347,0.008475636651261,-0.174312991272639,-0.0546132725930658,-0.0734600146433762,-0.222734039326635,-0.109701977223725,-0.0963479304362899,-0.198104912964684
stable,-0.0990192714153957,-0.19275998954394,-0.0963874881081386,-0.149391718857522,-0.0984370866092178,-0.0084148392630846,0.0326806774588372,-0.0122870831259342,-0.115054851031068,-0.195999973600316,-0.164217729481521,-0.143082312027586,0.0680244228324225,-0.0475915458389654,-0.0283509640286796,-0.100329301607864,-0.0233139950784643,-0.0760934967780755,-0.0858846450212674,-0.176151170619196,-0.386540186004856,-0.162223615065109,-0.107732965617963,-0.303708856049821,-0.0651281802357022,-0.140905696328211,-0.0090874664693512,-0.0760322879458489,-0.0953697034279021,-0.109094397533405,-0.229843654614616,-0.138629684292193,-0.135231417945854,-0.0970777947632807
stable,-0.177729650004094,-0.274095331470793,-0.185763887468629,-0.153623279691396,-0.279105665487545,-0.299661607611708,-0.0544573575334149,-0.185831899418258,-0.284393022357293,-0.197470466113705,-0.347851274924829,-0.217262246588245,-0.146335064257195,-0.27339533229873,0.106511387123741,-0.0882829580322353,0.0276811030311594,-0.0983431639406588,-0.178829686036231,-0.24748220670536,-0.236642746409904,-0.205578897795134,-0.298102450635969,-0.419316142636976,-0.203038428102299,-0.276923092350041,-0.0568218620694704,-0.234103033207441,-0.208118629120338,-0.369592783807856,-0.284161541381867,-0.240106342693768,-0.247900666170915,-0.222368186510767
stable,0.0718423036994371,0.121470325839299,-0.135469950664623,-0.211344910689133,0.17490105354455,0.0548632613859663,0.120841293411849,0.10525584628252,-0.08573202368684,0.278737341867742,-0.0955444328691862,0.0929318742457633,-0.11601349168385,0.0547606647387165,0.0789082899291889,-0.009457685456305,0.0214600946611478,0.0905101896889986,-0.0615668863067297,-0.204011346204861,0.0137795626624899,-0.0433673018267131,-0.064276669196562,-0.132373454141211,0.166994096159957,-0.0397786072444621,-0.0827472566523828,-0.0177715911157862,0.0028135722449162,-0.0769053146773624,0.111631324487586,-0.175465731611745,-0.0531326248965498,-0.107647865975277
