group,CD137L,CD19,CD45RA,CD279,Podoplanin,IgM,CD62L,CD152,KLRG1,HLA-DR,CD1c,CD64,CD1d,CD66b,CD35,CD58,CD96,CD21,CD11a,CD244,CD122,CD357,CD226,CD71,CD204,CD73,CD158f,CD337,CD94,Ig-light-chain-1,CD328,TCR-Vb13,CD82,CD101,Podocalyxin
progressive,-0.233895593912815,0.12741215857594,-0.0440286807287831,0.106157127963985,-0.121116168540188,0.276198791591961,-0.0947280343784107,-0.0965487177818248,0.0784772079876975,-0.157542646244362,0.155952266718493,0.181243500207605,-0.14623625283634,0.398458290765969,0.118352684130699,-0.0217351118269111,-0.0596700940706664,-0.249617713993279,-0.0518999845932057,-0.384528507292344,-0.0470349916113132,-0.0176918865364652,-0.0617474609200338,0.141707136964578,-0.0556067446350987,0.129632536866394,0.0186902178781736,0.0177815172498859,-0.15402203257369,0.113519632600549,-0.0415743629672447,-0.0015903136379597,0.206874763785866,0.0707132165087982,-0.0450144614218865
progressive,-0.265511733435806,-0.365294728306693,-0.425121692094436,-0.449557300944448,-0.4972234540695,-0.0914051440124669,-0.428242920150168,-0.512517171404382,-0.40582592105401,-0.394061941098763,-0.489639244909227,-0.151165932795239,-0.432829757419111,-0.254910141176294,-0.338433500705976,-0.440907653075739,-0.444768215218164,-0.0859692576604725,-0.450032977646646,-0.445629642030345,-0.4394455235214,-0.417106254808315,-0.451944875876915,-0.117760189915524,-0.495959239662288,-0.321810445892917,-0.485360579412021,-0.407252168633991,-0.428833033418353,-0.383922714916885,-0.419845426195517,-0.417901499908531,-0.412359936282839,-0.434147711221965,-0.449429987751943
progressive,-0.165228439548754,-0.165402426673707,-0.0453307328635353,-0.084235777206231,-0.134625790861175,-0.0839905478168819,-0.238825905575811,-0.157135466700801,-0.008359786260176,-0.230187793901576,-0.037375448130905,-0.0873949477854611,-0.112187149802109,-0.0612680365887138,-0.309968016678737,-0.0691984622849019,-0.133061803072858,-0.163223396991407,-0.0841735712182796,0.0211105003076995,-0.065113852035021,-0.0401411090078945,-0.135817527681098,-0.0126784394848841,-0.0880561600853311,-0.201669508659917,-0.145431953039055,-0.111839476291188,-0.0942683843434641,-0.157693852231946,-0.109267137496626,-0.0770779378470168,-0.178380593776768,-0.119996772340199,-0.125402221790614
progressive,-0.414073334675217,0.104686846349277,0.135496836919915,0.0244133478881309,-0.194195056016979,-0.309983038320033,-0.348687248805305,-0.18751820559177,-0.0938085863731285,-0.141949685616472,-0.0715013985715545,-0.486954564108327,-0.114330935100848,-0.401991910691923,-0.49895949136344,-0.238559264995789,-0.223477675213408,-0.0094100622466832,-0.279021420510437,0.0359837079428178,-0.166118781553851,-0.234152244283008,0.0429330452730367,0.0717164896794628,-0.229757283071271,-0.356878735744612,-0.0416164873340137,-0.0677261071079741,-0.420060965657741,-0.269915206609263,-0.451548474970241,-0.246397023532697,-0.232597252624521,-0.169060739252964,-0.17556185046436
progressive,0.149080781630535,-0.144807033247171,-0.114288945636042,-0.0313483902450647,0.112110931647077,-0.116346729986304,-0.24582096838805,-0.076149778543069,0.0455376616191466,-0.162330993194003,-0.208225545490056,-0.265785111267789,-0.334981276761603,0.0498605309529378,-0.0951078060058866,0.0144832671277019,0.10767572258691,-0.262871400358946,-0.27146846718944,-0.178771545646611,-0.0966897585427542,0.297042012533034,-0.199978992876685,-0.427013756546043,0.0001104286664134,0.188248929064104,-0.163296825182002,0.0221272219562222,0.106216750215262,-0.159210871825869,-0.167534771031414,-0.0678341500353193,0.0315092066773056,-0.0758248721782403,-0.155693538866363
stable,-0.174938688213705,-0.103481498771373,-0.162856240886524,-0.207296530182632,-0.156613136005823,0.0673512262896398,-0.177780302470244,-0.223263944313044,-0.199454874986944,-0.169666069582423,-0.29424857350793,-0.0144156859768871,-0.177169470705039,0.0101757166948937,-0.146986583592233,-0.195354887957862,-0.322702545075938,0.0293206068398669,-0.243105559064775,-0.276725366143098,-0.230787927808595,-0.171388162978603,-0.200001487301372,-0.257177792329513,-0.111541647770165,-0.0662332361022551,-0.166100466482905,-0.0729647626933394,-0.147812711504944,-0.0943805069663885,-0.2231492916334,-0.125507794195113,-0.221369130925708,-0.131953415473469,-0.177025677618455
stable,-0.203043336121638,-0.441718171369432,-0.532189298819164,-0.182865387422601,-0.253356797985927,-0.187660905589193,-0.298072280143345,-0.10009246764035,-0.304372970130841,-0.448955922986575,-0.228433035123323,0.101670194158903,-0.371018146731004,0.0626361447689692,-0.180808379428769,-0.263414943556202,-0.18705027162201,-0.110394657980294,-0.309032118731124,-0.188660335777681,-0.133067780691878,-0.11163023466318,-0.241031082066276,-0.169611268636098,-0.165725274426341,-0.226447664102486,-0.264983796199518,-0.231671623652935,-0.154147929214814,-0.423000789313214,-0.162707843675683,-0.298679540704689,-0.365554287241357,-0.178052403053231,-0.268724022113489
stable,-0.0638644248396999,-0.117574163325982,-0.225056202987541,0.0505386842500669,-0.120862611086939,0.0590465063060745,0.029776523871979,-0.0380927438175407,-0.0730014898486863,-0.0370080848037351,-0.175149646184471,-0.0852813657306699,-0.154611522802587,-0.0472742481282932,-0.175263466253128,-0.078308680165245,-0.0915370830718373,-0.246676958482861,-0.200736153055565,-0.0477462518826465,-0.0117116783107879,-0.0819370244963266,-0.0761591561743617,-0.0670140240658712,0.0538550164422067,0.0128810709141186,-0.0543625131488728,0.0634032021920788,-0.101328767408024,-0.042321138302111,-0.0648990341968361,-0.119679457821852,-0.248504765522722,-0.103857889490841,-0.0212327985917619
stable,-0.0414934456618629,-0.0760603320473409,0.117092259934057,-0.0100031720294314,-0.057734200402927,0.130876538429907,-0.229190006364658,-0.0142106656487043,0.0853140668177623,-0.0599611280842013,0.0686662745416264,0.14258665045004,0.0087056514966919,0.0337249469733487,0.0919450027345124,0.0042125105368768,-0.0015162806380678,0.0825857417677083,-0.0391786014016793,0.0320749067219335,-0.029794671070638,-0.116777106167098,-0.074527683859896,-0.155152862530749,-0.0428384953756667,-0.239417745125815,-0.0081901291260601,-0.023081900766549,0.0813942584783171,0.159365969909991,0.0464732804306856,-0.0434344247113856,0.0052079528368013,0.0136787505387358,0.033488762949512
stable,-0.130830899111523,-0.14906113282835,-0.102702280433935,-0.106196170311683,-0.070744731787167,0.466840082890308,-0.317854793345492,0.0813418927041049,-0.242912036911715,0.0738399114797296,0.249170099820087,0.0587123592294903,0.0152536846865274,0.142204191002829,0.185546314173634,0.0089304358246796,0.015981083373207,0.0072758540118275,0.0243044343522415,0.2545245521661,-0.0625390489311521,0.0248495251899371,0.114383526047208,-0.0145755892139836,0.115010229368121,-0.0623895402211901,0.232563750001226,0.194511246802657,-0.0300130158170741,0.0009866595037113,-0.0160936429075854,0.0110113350509015,0.178379443945392,-0.0529790102167556,-0.0146595716063351
stable,-0.194298830783479,0.110758802631613,-0.0537203214604014,-0.115021235829638,-0.176198277534785,-0.180805733815467,-0.433100849142297,-0.121866052319469,0.0069521898132356,-0.229806824186542,-0.0337859333140584,-0.104991642412413,-0.146237184408954,-0.0167530816629723,-0.373309035031764,-0.0865042861183191,0.115078937198559,-0.172215646602236,-0.0748584134939732,-0.148451874595063,-0.149513812377886,-0.268326479038519,-0.144880338850093,0.0814826130977766,-0.0106884743489314,-0.236987961730049,-0.175359505337476,-0.196649600096314,-0.0554385450006969,-0.179125101874328,-0.201105467694507,-0.163923147745447,-0.0284926325416393,-0.194873827637318,-0.0656891105892857
stable,-0.153354799762649,0.201436490398407,-0.0255047592694404,-0.0491000205834177,-0.166398423077539,-0.1384698457391,-0.372363557374951,-0.109207477681242,-0.139284069528461,-0.234927134195471,-0.0130197605414909,-0.0926273073988953,-0.107642698397466,-0.160206058095156,-0.508310409605326,-0.154820894897225,-0.139157421168519,-0.59417697448198,-0.169884982681436,0.0180295733773814,-0.125294377175045,-0.124542164459864,-0.15456083707646,0.045665749003856,-0.107408652996093,-0.449445981262602,-0.164234477683584,-0.143681332445986,-0.115843422895574,-0.177933860219139,-0.189558684020266,-0.0958514879437933,0.0541186340952237,-0.112882111379955,-0.132968841838839
stable,-0.169102061300161,-0.0962659698323041,0.0589529552414215,-0.196820342820144,-0.195119949254133,-0.0487923747620912,-0.435325067499342,-0.179249941503443,-0.153318394958012,-0.360670444940929,-0.015410171327186,-0.117090480656648,-0.236915642464166,-0.162767801664386,-0.211628190368584,-0.189949651873304,-0.234974747765142,-0.18544204782129,-0.171072543897272,-0.0749786177879898,-0.125984470552425,-0.125525354050105,-0.20629262110965,-0.0724326720834544,-0.187948088966114,-0.569539308454174,-0.200258334402044,-0.199792860088052,-0.10793965073272,-0.128906751971955,-0.136000663593362,-0.245361426096273,-0.0382663343632474,-0.184643492235193,-0.220615672399715
stable,0.0266957325959428,0.217904369683402,-0.0045863209719733,0.0377391277715137,0.0605148141996202,0.0619335085166682,-0.0573390181530446,0.0317265169318719,-0.0180412301572516,-0.0326561601474481,-0.0742442248772835,-0.0357985587335745,0.0629975203301108,0.118741166250611,0.0292675836638933,0.135693550616095,0.068105441148682,0.0353106758148945,0.149745607516421,0.150770990095912,0.0942194503383141,0.0492285565553344,-0.0123566748307131,-0.134433333279771,0.188334047298843,0.0122188250718031,-0.0069156226026581,0.106605648738281,0.122638382527732,0.0657513980771423,0.008288519342848,0.143711654983785,0.146399390740776,-0.0046284164543254,0.0737665396181556
