group,CD275,CD252,CD90,CD16,CD279,IgM,CD32,CD152,CD223,CD107a,HLA-DR,CD1c,CD1d,CD66b,CD35,CD58,CD96,CX3CR1,CD21,CD11a,CD206,CD54,CD122,CD163,CD226,CD49b,IgD,CD22,CD26,CD73,CD158f,CD307d,Ig-light-chain-2,Mac-2,Ig-light-chain-1
progressive,0.0879789207561235,-0.0493936020611847,0.319969652331442,0.0545457575782829,-0.0331883098131516,0.166932446806972,-0.190472631927501,0.0365278508405334,0.0370721331992265,-0.0213882147607767,-0.0317052683844321,-0.158841800511583,-0.063227016704994,-0.0722880264247304,0.132424179351894,-0.122913193362637,-0.112752246283277,-0.0721471075466313,-0.11626695987491,0.0423056642972273,0.100491992468686,0.0226519078518301,-0.0822544297743738,0.182788301463644,-0.17713566089698,-0.0247123933435584,0.334104359537562,-0.0642706562723183,-0.0911367477208024,-0.287209812218956,0.11827048803071,-0.01692881189967,-0.111883964517637,0.120887313414991,0.407638680701972
progressive,0.309900894836966,0.466198362039648,0.147226073462791,0.385028927609566,0.523170957185132,0.238680604103472,0.260215972456583,0.456314310421842,0.335097673329313,0.466234106989902,0.301024469678966,0.58358991093776,0.488876362528729,0.427983978269001,0.368207337433254,0.483601488265179,0.486299425473409,0.473267536781631,0.234944895453411,0.354236321370807,0.26104237802289,0.124815842190563,0.518163944849746,0.164500803510492,0.480387097641724,0.245387609004959,0.220507643910907,0.12401953425802,0.354369436014253,0.396168955131665,0.488222718771372,0.492354387350029,0.335672285293068,0.369934237825846,0.491621633625513
progressive,0.192203217359215,0.278107693995877,0.252440570408765,0.335275017774386,0.285823479748994,0.247516854391978,-0.189505563353861,0.28842545872081,0.144856500402271,0.305360495165939,0.224263158569798,0.286100613410766,0.298802117950743,0.257028591635593,0.353648668850363,0.214837631770074,0.32370056749334,0.26462059001437,0.149099029407356,0.343954189273613,0.205985560725071,0.285783460221451,0.287061418300246,0.143442574312193,0.29580553302124,0.197255409372507,0.558286122240423,0.573486071452562,0.133185538826465,0.524929407645431,0.308244140835137,0.341939008542722,0.461369699186115,0.370145885975435,0.27457164511742
progressive,-0.444076895716893,-0.339021335458524,-0.183650994072025,-0.48358503244256,-0.364000817611321,-0.350957807753141,0.0380827316791154,-0.327717707079293,-0.246948247398248,-0.46855746132821,0.106243206055538,-0.0889597493891813,-0.111802462497656,-0.547444469719847,-0.32109626832745,-0.382855323400769,-0.139920271625274,-0.205204216556682,-0.0577888528561018,-0.258989674746055,-0.412782614262883,0.560660870104903,-0.123136232135297,-0.202035496514757,-0.282350486515022,-0.471603966211863,-0.170784193810847,-0.0640094039751609,-0.229811816514546,-0.395872872768108,-0.370824805560448,-0.198331582694001,-0.178067203565412,-0.255170613745023,-0.339885112095397
progressive,-0.455166698423356,-0.25572469830415,-0.517116014232359,0.0223808818694411,-0.315023823374966,-0.0089145824547463,-0.230053633616777,-0.270705860138656,-0.492131211511543,-0.129669675600437,-0.17635148383424,-0.016562097693943,-0.379543006239064,-0.034120893146602,-0.113866093003587,-0.166338128527243,0.0169550728817834,-0.288709613543761,-0.196544783241471,-0.142630408366065,-0.0356367527087141,0.0785770614315769,-0.543230689138491,-0.459754644712468,-0.155527021353602,-0.101285665270195,-0.192556443794207,-0.0856969746573551,-0.549750248942661,-0.0747247657353695,-0.448682686104106,-0.34006022222572,-0.0082124302213771,-0.470521779670294,-0.463378198578596
stable,0.0813292149974142,0.289718921275204,0.0692688197487177,0.0183892314716105,0.110718219326901,0.11514208830803,0.139519985726839,0.159439767018536,0.126717305013937,0.230088216526128,0.154708177188079,0.024644753892776,0.123187591029156,-0.0310152446632094,0.224010967022864,0.188218674680933,0.0995322669104475,0.18331175806228,0.0817531811439702,0.27031016796015,0.246746219840256,0.141869978225293,0.207141793402385,0.246596642963547,0.277414086749171,0.185136618314315,0.0063309310324349,0.0371400305383675,0.137220798286953,0.177472146809221,0.287316303400813,0.221259426925854,0.163048083926848,0.212416490825336,0.105499496033718
stable,-0.139001394372914,-0.324092099131812,-0.143623167973588,-0.190916434222717,-0.293410747834574,0.0399431361176278,-0.476284866231549,-0.245219035358729,-0.414144786352508,-0.240371025258497,-0.248795043349888,-0.0962003817545672,-0.385013953377491,-0.158524206956136,-0.280033031584067,-0.274567725072767,-0.305892361312431,-0.30923392669974,-0.200103635181236,-0.270159689023939,-0.499715307923579,-0.151813722047335,-0.246271203609767,-0.120108851627578,-0.236138870291651,-0.249782655186538,-0.0858273766084963,-0.0892080205461383,-0.132092923013108,-0.194606223598191,-0.316383607400011,-0.279754748271796,-0.0190502093609236,-0.224484960777117,-0.292257483230904
stable,0.0450496354913541,-0.0131160584244753,-0.121780450651671,-0.189021248497848,-0.007537261617233,0.117794401055105,0.147402210893336,-0.0262770757597106,-0.0018253529979253,-0.0846631968218547,-0.0210100809230745,0.198043089850851,0.0456089390447973,0.0211780668064368,0.0799370919346691,0.0536910397034435,0.0136231260297489,-0.0057988323651074,0.105193343908282,0.0503255459079223,-0.0985512248676348,0.202835713588602,-0.0961620721868237,0.102046662701072,-0.0685508442135863,-0.136173913794671,-0.268653082249687,0.0664384993276562,-0.0373316776982693,-0.210366502471363,0.0307621277768293,0.129798589571047,-0.107805578050411,-0.0318224375730642,0.192888398169635
stable,0.223918869667896,0.117826722190474,0.0281173286191571,0.213603706029557,0.151258447058257,0.200425693711449,0.240523696974654,0.119408063640382,0.226144220163452,0.141420954610636,0.214928601160545,-0.0481301963002196,0.240631999375753,0.137518237691901,0.148967963104999,0.190088359502103,0.0608198920563899,0.198872533912286,0.219430195464347,0.0728389210732888,0.0355534237699803,-0.0357626922199931,0.245060904690297,0.0376369338613016,0.0759799206521005,0.0580794317929977,0.357442465672862,0.202777928570249,-0.0170230237026461,0.344460291768872,0.280179925039523,0.0948961413915907,0.201427231882047,0.157286553968283,0.093937935145388
stable,0.24146261708734,0.0284884158256496,-0.121002796509166,0.218849312760499,-0.100407598684428,0.037689243411083,0.116932394337719,0.0008933363104932,0.0737025062037252,-0.0507489046926756,-0.068759956695829,-0.250243227813569,0.004048371291211,0.0707405594225937,0.0464887913541975,0.0172831615151483,0.0424550414574154,-0.0183559573100451,-0.0376286591318756,0.169698748155077,0.225309849635248,0.0880598105835051,-0.0092820099608687,0.0466421406580861,0.0332376015553494,0.197905816308982,-0.183134046075463,0.254897957055267,0.151292638709555,0.0868072119482258,-0.0836392385968414,0.0574632545668655,-0.0251258173373704,0.0984520845290811,0.0998691936683454
