group,CD275,CD30,CD19,CD33,HLA,CD16,CD279,CD20,CD335,CD62L,CD223,KLRG1,CD66b,CD278,CD96,CD21,CD54,FCERIA,CD137,CD357,CD184,IgG-Fc,IgD,CD193,CD73,TCR-Va7-2,CLEC12A,CD150,Mac-2,Ig-light-chain-1,HLA-A2,GARP,CD328,TCR-Vb13,CD224,DR3
progressive,0.287335411405637,0.483971970204919,0.116952385890943,0.280304772472438,0.315354013909533,0.52788172056316,0.445390148588368,-0.0020485044836399,0.511727308804197,0.011917397873413,0.0665117683868476,0.488446405098986,0.435476449408286,0.41421110982601,0.406256414580108,-0.0625866016596836,0.225745975861242,0.132951520866082,0.486666762209653,0.43268863882717,0.0569119666416015,0.401474356936327,0.0617311976521136,-0.0463412884837693,-0.0397436280692177,-0.0294043177235863,0.528153651864044,0.405156260843049,0.450973463801278,0.401112819469588,0.521654116555682,0.376530547695618,0.432695537819608,0.333587217867272,0.437654335381405,0.412769710490007
progressive,-0.0386590495856386,0.237672455457672,0.377813884501099,0.200712630108564,0.429948131549358,0.125187935787755,0.0360561876574661,0.456279376099309,0.195015046752049,0.0714656232693544,0.0187479958462353,-0.0476213900835215,0.218686268537344,0.0324940605178703,0.060617244379898,-0.607515166927049,0.212237307568368,0.02352945343722,-0.0319938142631756,0.152700929420042,0.100836483422027,0.203743479382814,-0.0191962413442093,0.188917315124155,0.04133789090814,0.2673862812131,0.171541704496719,0.114566360602556,0.0521887852002867,0.170892582390119,0.0986146357616451,0.40258451253158,0.207303789279292,-0.0150756467417769,0.165287928880192,0.248524708763982
progressive,0.003865995774942,-0.122629144768029,0.20795347128367,-0.0789505655292671,-0.065427144809885,-0.0866473007507416,-0.133140316302057,0.0184540765698164,-0.103860599066642,-0.206315623608089,-0.152194582333374,-0.151106808622086,-0.0364148540281752,-0.174282499084426,-0.110925767079675,-0.0350969624640677,-0.167985760512923,-0.106446796760555,-0.0718792238335892,-0.0989754868999164,0.0514559903482301,-0.141257904503732,-0.437949850892054,-0.0638379983499561,-0.38977482018349,-0.122899337735911,-0.0184838650640007,-0.150680807282568,-0.0653800881419693,-0.156429946546917,-0.129531536426176,-0.0113837495386473,-0.143993848296571,-0.139485460821308,-0.0572180782786888,-0.0867370500786517
progressive,-0.226085590603432,0.010089404233002,0.173237019795561,-0.494250468576462,-0.0136941379014245,-0.441015542146078,-0.214221629216572,-0.0655379204421728,-0.147442615957346,0.13020877741911,0.0178233188090429,-0.133666225184247,-0.492940802002837,0.138666822198879,-0.0052634584937407,0.0037640248986732,0.510312664634685,-0.164407240854928,-0.119107524355357,0.0393005882506036,-0.162992711626209,-0.122896613411386,0.0136627355048677,-0.204352976887942,-0.144772598864697,0.348364607730775,-0.364415376645393,-0.0157921109733944,-0.145796107337548,-0.0724883840873559,-0.100604765137186,-0.129396287017605,-0.25871794918042,-0.35622345484042,-0.281975553712749,-0.0587668604293614
progressive,-0.409362368538264,-0.153078329018274,0.220005840822916,-0.138203405007873,0.187466586077595,-0.336154230640029,-0.146622470865513,0.133392634539813,-0.169493187219457,-0.157900413511273,-0.458388274230227,0.0188090341470388,-0.125256698067204,0.0634720758735078,-0.0528469804107535,0.0201762786336377,0.149318488928263,-0.409775147906689,-0.302832563822736,-0.0683782096533835,-0.501849540195301,-0.432678057839424,0.0401720319803765,-0.450158306420068,0.0310616259935486,-0.403652507196184,-0.141088922340749,-0.164641927797661,-0.0772662487989294,-0.282018155878881,-0.0528148110275939,-0.161367737723672,-0.0785665042485497,-0.324242846608953,-0.0700332856870863,-0.146641863296869
stable,-0.161231876790512,-0.100841923008772,-0.051685525394729,0.0062527910000047,-0.0488392209400922,-0.20413400142631,-0.126485157562602,-0.063633330219356,-0.0169305689646317,-0.195280021705918,-0.0279592983940544,-0.124900687954026,-0.166679089019424,-0.172579551803347,-0.205245839885992,-0.231085527868119,-0.0837779230220202,-0.090174161626286,0.0056219892492883,-0.231858667452661,-0.138516589412408,-0.178991112326339,-0.0854087470167928,-0.168013353820397,-0.0952727619471116,-0.0730343409906869,-0.157955272755988,-0.150052153560247,-0.184087997303366,-0.153245625767372,-0.302617013306101,-0.169548883888385,-0.110340922331516,-0.168059135671937,-0.17741544541143,-0.146906517441952
stable,0.0272845216707511,-0.15624985606954,-0.116295056505159,0.0511764849423215,0.126790344848946,-0.0483209788071675,-0.0935953798669133,0.0568382052515582,-0.144975727054721,-0.194089937640504,-0.31359936261874,-0.104662840237242,0.0077337322055505,-0.0853562026552097,-0.151523870606745,-0.0548307281911943,-0.001289580982287,-0.236117651083353,-0.114456182434817,-0.206041554001949,-0.172573588000164,-0.0955944859351832,-0.0306021700569262,-0.164046787448903,-0.160065870809188,-0.11941539683201,-0.0343855230234626,-0.196489376409152,-0.095307301874242,0.0176832175985471,-0.0272142428258249,0.0377332871086219,-0.108548452776639,-0.146345346785124,-0.0724391199827725,-0.121061166952664
stable,-0.0868708969649241,0.0616613671310797,-0.0825445784146528,0.0192463001804838,-0.167815956333267,-0.0197122536127171,0.0774128239795948,-0.0278288135146917,0.144346050323047,0.0486223856652282,0.0727942550411788,-0.0339589233268399,0.0429642875583287,-0.116079861011133,-0.0196666196245485,0.0002974995363433,-0.100056350195051,-0.055489517720862,-0.101044877211521,-0.0980937964624338,0.0368123461840054,-0.0673341200345907,0.191532343631397,-0.0129641574801217,0.51134917308968,-0.186749188753024,-0.112502863628217,0.0184317019538819,-0.0377634562510883,0.0343362521729275,-0.114567910872369,-0.060154621039843,0.0083515974512737,-0.0571987585028525,-0.0664156322150441,0.022933176777495
stable,0.180030354732516,0.112183905496142,0.194153915335779,0.0805442995956283,0.130703153855648,0.0031904859539801,0.0485339723329954,0.136210539236043,0.152295312760646,-0.221243663645866,-0.0127081300221123,0.127936282369331,0.0372583526326322,-0.029026356296688,0.0023873903077566,0.297661880229256,0.0330347792913976,0.0190379065291132,-0.0103339654560875,0.100394254607511,-0.0443690902933862,0.0453832066337802,0.21176189746446,0.0741944038349196,-0.0055914305014769,-0.056806064822107,0.0360810390135874,0.14018776484133,0.184949553201955,0.362466125290239,0.10201637175679,0.0578470009282832,0.0985688076797987,0.0651666504475791,0.0886948016317922,0.005052473881512
stable,0.201661890788326,0.0380131666918266,-0.176388605895735,-0.202904104492869,0.1035359832164,-0.0284229279295691,-0.140807004832979,0.125128401767426,0.251986244503597,-0.174758550615301,0.223854039355178,-0.0873631009945642,0.164354301431914,0.306502872854217,0.187614534003157,-0.276310967674756,-0.0833145162719606,0.0086377593993465,0.139720023709615,0.233784916537422,0.18898799962678,-0.218129231731761,0.120406550203031,0.117766318661552,0.290648249043335,0.0720421078414236,0.0485583761579515,0.0630490571317392,0.235859682131525,-0.0977996151971459,-0.0029207064295912,0.119066067892316,0.0732697025747452,0.401202932018733,0.115441827347762,0.160382595830536
