group,CD137L,CD154,CD269,CD45RA,CD16,TIGIT,Podoplanin,TCR,CD103,CD152,CD107a,CD64,CD66b,CD58,CD96,CD24,IgA,CD66,CD254,CD309,CD49b,IgD,CD15,CD71,CD193,CD144,CD73,TCR-Vr9,TCR-Va24-Jz18,LOX-1,CD319,CLEC12A,Ig-light-chain-2,CD328,TCR-Vb13,CD101,CD88,HLA-F,CD224,CD258
progressive,-0.242769064888107,-0.132425961614506,-0.458882496568425,-0.46890935994633,-0.0712882748349502,-0.516217748177875,-0.43881901814217,-0.426621853448001,-0.281400212681399,-0.211512928829728,-0.248057622439044,-0.217939510533002,-0.288924067760673,-0.269984925654837,-0.505757053677641,-0.21935126399877,-0.27945886514077,-0.160989417437499,-0.259694147057266,-0.521393061240041,-0.102434395865429,0.0410701437440592,-0.14064851137497,0.301057175006611,0.0275584406597831,-0.31102724250895,-0.349852600992118,-0.460525381486586,-0.219007208185304,-0.232895061062683,-0.350779071449659,-0.0972754127855832,-0.288101208632915,-0.112373508758328,-0.0772438052723309,-0.193871434281926,-0.26015661786893,-0.456677862909496,-0.388336909410324,-0.314511292938817
progressive,-0.0628880348390506,-0.0268798014373041,-0.0314753180667027,0.177766983958865,-0.176086714943566,0.271629959664403,0.124568706782143,-0.146944431700817,0.124706392029276,0.140189119064642,-0.0020536155233248,0.0943499709232962,-0.109305123909135,0.0172651435653256,0.175540617855809,-0.0397566205511379,0.0059616883773872,-0.0810862300721392,0.185287497675152,0.239705690294372,0.0983219302834938,-0.13101696961157,-0.0556623174071071,0.510333175581558,0.109060962112737,0.0045943177593489,0.278798638491185,0.134368685153803,-0.134823596664605,0.0434255487110496,-0.034512219872996,-0.0576134649185522,-0.232238604138563,0.0741602573960862,0.0296432683195512,0.164535708962493,-0.0805887210439797,-0.0241437277983829,0.0504074962500311,-0.120120683346417
progressive,-0.227555124909804,-0.0861328820060772,-0.153677059422404,0.103995648170474,-0.314826674286552,-0.143087729902943,-0.248776349415156,-0.157376436719459,-0.155786718117608,-0.206022098979162,-0.227255151121364,-0.240611198667819,-0.256670640875405,-0.254146697870396,-0.230158310808712,-0.0905907515117949,-0.199571253954612,-0.20611078716213,-0.164954041743083,-0.0746180002311586,-0.208706076664728,-0.503035883152362,-0.238456314143831,-0.134085462620179,-0.160732756307272,-0.24095164327974,-0.543536279177063,-0.18433395372063,-0.161545343429042,-0.145273360667449,-0.201653893243268,-0.104390838505151,-0.460574657169311,-0.177884615600011,-0.237671536773435,-0.196038333236876,-0.252809175137748,-0.201295136464992,-0.210439735668275,-0.259354523294724
progressive,-0.544827566614744,-0.456503269730571,-0.136025417283304,0.298619242532239,-0.655395057546615,-0.235351637406431,-0.496604841500835,-0.472084238027477,-0.47636208713412,-0.478347085341535,-0.608258422182912,-0.46674388396533,-0.730765038848345,-0.510948182531137,-0.174242407219875,-0.487454760074224,-0.566783531382837,-0.47486519417294,-0.457006420162535,-0.123629592549039,-0.470499248558521,-0.161308425638116,-0.535963175331173,-0.0750625156365139,-0.465409500703303,-0.517228191212021,-0.396422085965622,-0.297991173834244,-0.504746343009824,-0.479263356994157,-0.493115696371633,-0.572072904637484,-0.119732956791986,-0.489982805281424,-0.55417408851482,-0.508826777479251,-0.460586506355734,-0.380134357943929,-0.592860445747893,-0.483477433631106
progressive,-0.0360039996995458,-0.0099453340487018,0.0981111160520181,-0.137280016332506,0.0371544689162643,0.0857468056410978,-0.0333480657736904,-0.0587494682444509,-0.0343211938453912,0.03224260854497,0.199331472560063,0.291825825044825,-0.11436002573974,0.052117817315594,-0.0397453331839209,-0.0430455977500911,-0.0010966141080404,-0.0925216404149471,-0.12206022716723,-0.0588310179874089,0.211186687019206,-0.165849897393845,-0.046528358538819,0.42666892713295,0.205040133666986,0.039422641662042,-0.35405832048874,-0.218976704493723,-0.0529424180758567,0.233596599613831,0.106638581438415,-0.0542992067052724,-0.209690718319164,0.0879723533487281,0.169695139085119,-0.178902741893008,0.109424050555373,0.0948212457730848,0.0087816032209512,-0.0658257904391711
stable,-0.0012400722546171,-0.0579325302861171,-0.0959672348365475,0.197560976351266,0.154170156847497,-0.0133745397699389,0.0213381666462662,0.0045479284300379,-0.054883609971115,0.00444280602599,0.0792271763357,0.145283524716335,0.160161543678548,0.0368800973453448,0.0043121787194279,0.270300192500029,0.121172118989196,0.121960656141436,-0.0957405410966357,0.213742576194127,-0.0047888404042653,-0.0741184865919155,0.156224965242869,0.0710391632244605,-0.0219614462223698,-0.0976934323633132,-0.0294646177797933,0.0213959697044781,-0.0140817946471701,-0.0482022299562751,-0.119494408513677,0.104606581536806,-0.0757909096185711,0.0823314674317133,-0.0326583322802303,0.0794808387304907,0.0438899127316051,0.0372070237412608,0.0523592353272666,-0.0107992666504218
stable,-0.0642101730187541,0.0131684295127912,-0.237372533067061,0.22891682887573,-0.0069641478826002,0.0370051319438197,-0.0974856696157242,-0.114980751147346,-0.282705965463383,-0.158257318226781,-0.0482559475872077,-0.218880902411887,-0.0247057560676784,-0.0597524502792209,-0.129151362531598,-0.0551222646030767,0.0362623179461424,-0.110777499688105,-0.0377820876898247,0.236520565530569,-0.0395079804947166,0.162434814604878,-0.0316888612438583,0.16546230405163,-0.0010945378391306,-0.176807760233381,0.0183081548246462,-0.136922251138457,-0.0794130290648953,-0.176993739955966,-0.0243615158395308,0.0706039278446607,-0.0169521541956777,-0.0009071177498192,-0.0819656519775731,0.0081088703372846,-0.130952970288323,-0.115108366023324,-0.102686415157238,0.0263981732141344
stable,-0.0273400220820803,-0.0711798652430027,0.0292975163258725,0.173062082582265,-0.001977589660808,0.143912525580985,0.0536789442089524,0.0187441154990523,0.0232058170439765,0.0593037411401419,0.0372416017182714,-0.104769612000047,-0.0767938228873534,0.0994281387079378,-0.0027504348261385,0.0093993565803341,0.0790773425020609,-0.0328994862399186,-0.0312769336728616,-0.188588521985102,0.097287162112562,-0.0761748651414809,0.0183973910825923,0.211711423033076,-0.0702428740375239,0.0816950497082762,-0.394002104737918,-0.0646770610906715,0.0844535471322191,-0.148062522024987,-0.0397818226977332,-0.077773189687295,-0.0440412367088674,0.0015054381671823,-0.0448716407451694,-0.146808102023543,-0.0526265240833901,0.018660138333608,0.0586981916413885,0.016334444137903
stable,-0.088421125716303,-0.0078701724710718,-0.0366634873791945,-0.219444348898453,-0.0530602927759812,-0.022126487850452,-0.102013392840423,-0.0224357609033311,0.0195161136819034,-0.100788267321567,-0.0359183918252446,0.0964462356419809,-0.008356730334543,-0.114817409949649,-0.0214338223755878,0.0045089587037475,-0.0181336820922334,-0.0266472946974267,-0.0837251131862368,0.112777886802892,-0.0996192827111216,0.41762385170128,-0.0024331321088249,-0.0460573348008149,0.0579258979250035,-0.116892306419142,0.0435165243688968,0.0585037373827442,-0.0264494400084003,0.0604972033842157,0.032742798066344,0.0814045838746271,0.0471826449015884,0.037234292995739,-0.075810136330537,-0.0204429961444204,-0.0407747037282978,-0.0596914505901066,-0.0054918674107318,-0.079660639343044
stable,-0.100457286354487,0.34710137289615,0.0151791241385651,0.05788718247734,0.212870613755806,0.117016034101846,0.271765646532063,0.0884261838027003,0.215394649628485,-0.0542762169186191,0.163645252041904,-0.0672329737208449,0.19612127155763,0.18693737092847,-0.017214117037403,0.239303692520048,0.143079239255841,0.0821298844305958,0.0614240305827527,0.0836980982900886,-0.0142226633415001,-0.0790922508220439,-0.0358851710257894,0.174052823580903,-0.062910516181051,-0.169302959187788,0.0581145616490005,0.0534808177763071,0.241112493607532,0.165323424988647,0.151217855990738,0.215165511936657,0.105907962371382,-0.0111734478620435,-0.0365759444360361,0.0869405322346849,0.0574379846176761,0.204296334241094,0.134324863575729,-0.147871127724104
