group,AHR,AR,ASCL2,ATF1,BHLHE40,CEBPA,CTCF,E2F3,E2F4,E2F8,ELF1,ELK4,ETV1,ETV5,ETV6,FOXA2,FOXD2,FOXM1,FOXO3,GATA1,GATA4,GMEB2,GTF2I,HES1,HOXA1,HSF2,IRF1,KLF1,KLF3,KMT2A,MAF,MEF2A,MEF2C,MNT,MYBL2,NFYA,NFYB,NKX2-1,ONECUT1,PAX6,POU2F2,RFX2,RXRA,RXRG,SETDB1,SMAD3,SP2,SP4,SPIB,SRF,STAT2,STAT3,STAT4,TAL1,TCF12,TFAP2C,VDR,VEZF1,YY1,ZBTB7B,ZNF384
healthy,0.242995485858059,-0.0582939917882142,-0.0436130592820228,0.0464063578196077,-0.059319991827981,0.122486140873098,0.0146379586825363,0.291147655263657,-0.284551173332591,0.0193435923727755,0.0128599167288043,0.213827003052124,-0.0904115532424837,-0.20103691878676,0.10677920832714,-0.0818543906071515,0.0939300350542493,-0.074629416505129,0.0442308079970656,0.0801676680286867,-0.101643836400349,0.103411134898167,0.0765363799298264,0.268656230308142,0.15096704250055,0.0348249123445441,0.0051353719267907,-0.155925147404763,-0.0104265239643313,-0.0189783148717067,0.0391222947100593,-0.084158861900659,-0.0035023666278949,-0.0075741364192206,-0.148882812053275,0.0604480546989287,0.0739149766868621,0.115153732211938,-0.0277449748973577,0.078835479495377,0.0036527750106879,-0.0984691451778248,0.0702031126686483,0.159470487856314,-0.0741620761728792,-0.055414745603319,-0.0638268715838151,-0.026262377981255,-0.153529356735989,-0.234911035282934,0.138902141509366,0.0629029343752293,-0.19828659407283,0.0440696561583588,-0.0543672586517246,-0.0748657725352323,-0.191534332031014,0.0345509542187425,0.104007396701383,-0.0420230278067821,0.0250000219113849
healthy,0.139094418430232,-0.002168018700991,0.0734986866197814,-0.031802727766663,0.0998012738256812,-0.0500772821612513,-0.0612289734957011,0.0473058169594784,-0.213768179963354,-0.0266723353345607,0.0610622028263941,-0.0359028724456121,-0.0029206810637844,0.0019617497152692,0.0896918991744002,-0.0514103503402514,0.0572780446787635,0.109358769222611,-0.0811920809170229,-0.101596252871643,-0.02456136975728,0.090965719878778,0.0353871999813075,0.183357767850313,0.0852834481923243,0.0028164493954676,-0.0556300871439009,-0.0200947684760378,-0.0220455464367473,0.0202966487599358,-0.0917469088034266,-0.0723510410928398,-0.046217418907159,-0.017084119024864,0.0421348290355053,0.0427909399581737,-0.074915140133435,0.0041791413117787,-0.0132549766835388,-0.0431672711395704,0.0056438705454948,0.0457138153728701,-0.0376188548587447,-0.0077603220000554,0.0776898968615758,0.0968696210073371,0.0981785513263058,-0.0504623907462958,0.0536036040767296,-0.0573329034515619,0.0017478005013556,0.0390012959332632,-0.0884531880846133,-0.0757292443217626,-0.0546656699181058,-0.0946456463580917,-0.0689465056529738,-0.0683814602931508,0.0635505967605275,-0.140450527293807,-0.0456973577410306
healthy,0.587352513468922,0.580493328845397,-0.608105580504962,0.400932893231844,-0.554436991171901,0.19686464237724,-0.587068333192659,-0.560476615144901,-0.583841992501957,-0.407350903556707,0.559046244845223,0.641807328994986,-0.60861810986704,0.618841852402957,-0.387495628472947,0.579983810857017,0.593653031908728,-0.588609576796699,-0.584289479412864,-0.611904404270471,0.597180526072903,0.491833623867584,-0.596662940179588,-0.552681070440709,-0.598475996493041,-0.614250650868225,0.62282341985153,0.218908703031877,-0.291586194299733,-0.219245236120409,0.588400326583646,0.550098422955807,0.55472519734883,0.615415843142788,0.557412904737531,0.582209280434769,-0.555541038067138,0.592632288950086,0.590148581999968,0.638766115320542,0.602959368304316,-0.631703944785401,0.571073252704172,-0.554524465941588,-0.365838472975984,-0.409435595439945,0.576467685836325,-0.585921531232342,-0.554864654547925,-0.615201616916511,0.603988984348027,0.571743049849895,-0.582276996083984,-0.427119637879736,-0.591357559970183,0.667393908475087,0.609237132353554,0.565666226554734,-0.00050523443007,0.20440909970865,0.565240817683084
healthy,-0.0705104580247968,-0.0293160005804686,-0.0008468943499618,0.0073921179566078,0.0176425562581941,0.0468945612110409,0.0473092302247109,0.0604517423173485,-0.0573870502316145,0.0315586037011067,0.0153251216721009,0.0178168357963076,0.0292545345735257,0.0111106603545277,0.0627555849117343,0.0375429688721644,-0.0256984919875731,0.0095073339105225,-0.0300731877851623,0.0093793048997463,0.02529186490233,-0.0476577137898728,-0.0859039172107594,0.0416193959628436,0.015647780453019,-0.0026635773082388,0.0328542603106042,-0.032527674954304,0.102631430382793,-0.013265330839926,0.0027925124517955,0.0269799147613105,-0.0043993501603249,0.0260169599043814,-0.0216695236012718,0.0099941915023712,-0.0302756329505359,0.0084493861337725,0.0463247547142452,0.0438747604534735,-0.0134603004098606,0.0418534047534042,-0.0260579624126984,0.039458533570112,-0.0002402006978938,0.0256727049588618,-0.042388098604956,0.0111012592269301,-0.0262347715714908,0.0226972291964731,0.0814863311282272,0.0160191061153557,-0.0140845503845505,-0.000900544961673,0.0183782605648838,-0.0326738266206899,-0.0242100556290271,0.0666451976275033,-0.0142318724724445,0.058019115601536,0.0025087418693732
healthy,-0.0656915388561325,-0.0401067298126223,-0.0146422349428413,0.0106838986271512,-0.155560210923144,-0.0346986077034956,0.120843556093589,-0.113763066969627,-0.0329059265149308,-0.0793291504483351,-0.0079828454269311,-0.010864369887745,0.0646929312141803,0.149574580780117,0.110875526800126,-0.0840214032237731,-0.16426494139245,0.0013535344544532,-0.0543579436908437,0.083455926607246,-0.0342594609693841,-0.0729464835320021,-0.151529686103216,0.153039628983517,-0.0474458944101023,0.0194307390572626,0.0045057658061578,0.112632113736572,-0.0054442163612454,-0.106736719223842,0.0098416994110469,0.0646147270012563,0.099301303287379,-0.194836772937035,-0.0280933595657636,-0.130197983101033,0.0030379328866618,0.016880078574204,0.0089152802733322,0.0963897002831329,0.0158995180583112,0.0323344341897172,-0.0866262050850099,-0.140532970624369,0.131936522911419,0.159638861412563,0.112343359719622,0.0805683864377457,-0.110737165500338,0.0320216173380214,-0.0007098536250021,-0.0234251696250714,-0.193056123165843,-0.0552542842851261,-0.0221378079661692,-0.0342895395128164,0.175183452658373,0.0057329703781954,-0.0380012317723616,0.0671714031930014,-0.0716591218730998
healthy,0.0268617814715585,0.0169985405445659,-0.103201574827296,0.139319153253171,0.0054654399151521,-0.0129150189975496,-0.0644410705766525,0.0608219669516658,-0.0893790572053644,0.0058385078654401,-0.0750314439429464,-0.0107545143739125,0.113083485821506,-0.0108294169054866,0.0295549386676504,-0.0521652791185896,0.0466443846585481,0.0729817372777357,0.0065666404869138,0.0159864673174962,-0.0714076728011555,0.0499094237945214,-0.150894372665176,-0.0057749407318194,0.0915583430275712,0.0854293378067385,0.120872015528979,-0.0938177545549189,0.0280588884005138,-0.052299748055095,0.111678563263406,-0.0492040731003069,0.0761516479759829,0.0460931731502285,-0.0955109518413617,0.0207337764328982,0.0478358238885266,0.0980220758820851,0.0051850555128355,0.116551784201173,-0.108259162678833,0.0933302213115726,-0.072072127157656,-0.0064032773987627,-0.0150739677822519,-0.0198801765144703,-0.0147770248084153,-0.0580114550473511,-0.0356448256524088,-0.0245531387550606,0.0534177294610817,0.0881886181575582,0.109728319158669,0.0196480231191317,0.14479159444353,0.0112263780965586,-0.0566753227964387,-0.0584638707833126,0.0876589661316205,-0.0665340073379795,0.0415541241893812
healthy,-0.0251947141806213,0.0475139357067755,0.0362922807159015,-0.0268415563522376,0.0092843021313573,0.0207276268750643,-0.02916981697562,0.0515751624924718,-0.0414631185113987,-0.0187179376310271,0.091777200517758,-0.0647424234874049,-0.0900953067557901,0.0015827589316383,0.0323622303805237,-0.0151489866433436,-0.0768549326097912,-0.0650214768687637,0.0032006665494464,-0.0733411320468159,-0.0057095253945849,-0.0598937496165244,0.0217623770090726,-0.0108089977637429,-0.0335475761284803,0.045655813034868,0.0007705524128263,0.0675036343639113,-0.0440520814065097,-0.105508102737043,0.0509558853643208,0.0567548360074205,0.0229514123981189,-0.0663381932586752,0.0336523425162626,-0.092699902077623,0.0775869379828125,-0.0773902218552437,-0.0463295609170003,0.0513503856734581,-0.0505565302642761,-0.166714782006571,-0.0428376069131085,0.037661331751795,0.0288262919710106,0.0777109293425882,0.0642861702379253,0.0736781516316093,0.0915795134320077,-0.0596362515067947,0.0841905216709086,0.018999709695294,-0.0761644842469374,-0.0286678315957923,-0.0353721036473084,0.0571015651740287,-0.024530093305395,0.0576281157958479,0.0409269554035828,0.0900302525576306,0.0581149542280443
healthy,-0.0198690755995924,-0.0379257798160873,0.0216653458158684,0.035552448967248,0.0084370703499372,0.0027707444217197,0.059845302470418,-0.0017624412640228,-0.0886073613273341,0.0355836022497584,0.0119117752299894,0.0294074138969201,0.01106398868267,0.0279354301386191,0.0591812766776722,0.0070868590326561,0.0173187497866301,0.0130777071606763,-0.0194957194802133,0.0133757673403366,-0.0271849696048029,-0.0478260761154322,-0.0142851650142857,-0.0058554969577334,0.0201003972678739,0.0281436255336181,0.0293812937024278,-0.0026201171810079,0.0761697403768162,-0.0228291560701073,0.019036718354886,0.0044195227635903,0.0749493874452399,-0.0611237186141194,-0.0186679120527786,0.0003627713113222,-0.0004113694890712,-0.1041395298868,-0.0174234427322441,0.0280026519207444,-0.0092293279097777,-0.0229000200634683,-0.0141920941407697,0.0176807549370127,-0.0030443228125891,0.0086068280399545,-0.0557487931589339,-0.0017334332321431,-0.0255657768622895,-0.0067435835704721,0.0274582768925706,0.021900792966132,-0.0112758852243615,-0.0315165370925351,0.0009696179237962,0.0093947008018027,0.0044942411358317,0.0012559735217187,0.013573542946558,0.0030967164337617,-0.0020293953095382
healthy,-0.0529603975898919,0.0047056982333604,-0.0581818183834324,0.0431980250352596,0.0482972842857059,-0.0115140750144008,-0.0170590141504746,-0.0833299351699666,-0.0864908809874268,0.0954321906837396,0.0597847913890695,0.0134615410291796,0.0927103145539456,0.145590245695577,0.095175664155161,-0.0242032398356302,0.0373404998071269,0.0647498127732229,0.0076310921888502,-0.0018386519867989,-0.0372211348862472,0.0260992225778251,0.0251604473481161,0.108738519180018,0.0266857505277069,0.0507200489577469,-0.0378463070703648,-0.0165713849316305,0.0458207481956327,-0.0864411773835248,0.0587330071980591,0.0461063850190797,0.0155030752457166,0.0120914503824899,-0.0672976627297641,0.0018058552353751,-0.0505940738389058,-0.0703317435940422,-0.0369210064749618,0.0294330504958139,-0.0252983716709643,0.0022497554523208,-0.0468511763624602,0.107928388572173,-0.0110450051975252,0.0345318012694939,-0.0770938489893528,-0.0879434719894423,0.0015700491350217,-0.054876210925971,0.0130869207716369,-0.0201337731560536,-0.0600157669601434,0.0288513530752116,0.127021945383649,0.090120769502571,-0.0959456250984714,-0.121869041834362,0.0522241232323463,0.110970350826328,-0.0472967291288962
healthy,-0.0007997409882331,0.102977401441855,-0.219464406029025,0.0209652530033605,-0.0255938614648284,0.0775404783967602,-0.0500698054192233,0.0733289391603386,0.181597100204456,0.0102697922064246,-0.0059722593153543,-0.115652866137077,-0.0005783073275127,0.0993549187397768,0.281695864056945,0.0053961018292078,-0.0176394484098208,-0.0678188957387212,-0.184013521900086,-0.0083349349768281,0.0011050184622361,0.0683950532248677,-0.107926336266889,-0.0228399146747028,0.12566252753819,-0.0221154181342872,0.0877393258380996,0.222011968047993,0.228992502964104,-0.224684220866203,-0.180694166830645,0.219292418719727,0.118432611023598,0.0353240434883322,-0.169781572055721,-0.0527248595065028,-0.145969929083487,-0.234790625128795,-0.220537176870768,-0.0469589849623054,0.057415813367591,0.126688001869876,-0.092570019387992,-0.0260453281517342,-0.100526582284366,0.11258719234885,-0.0551176329471037,0.175237869443183,-0.0220767209896953,-0.30901389829748,-0.154934767580617,-0.088758350645687,-0.245324847823264,-0.0163860908933156,0.192051778768376,0.0100462087043379,-0.204308024397186,0.0563387428431157,0.0651552422859768,-0.129177518171957,-0.0573964647952951
