group,HSF1,LHX2,RUNX1,ATF1,EPAS1,DUX4,KLF5,ETV5,ZNF76,TFAP2A,HEY1,HOXA6,PGR,KMT2A,SPI1,E2F6,MYBL2,GATA1,FOXD2,BCL11A,FOXM1,CLOCK,XBP1,TFDP1,ESRRA,ZNF263,FOS,CEBPD,AR,STAT3,HNF1B,KLF1,NFAT5,ZNF384,ZBTB33,TFAP4,RELA,PRDM1,ZFX,E2F7,SP4,BACH1,BATF,SPDEF,BARX2,MEIS1,STAT5B,ETV6,E2F2,PRDM14,HINFP,ASCL1,CTCF,JUNB,ATF3,NFATC1,NANOG,RFX2,MAFK,TBP,ZBTB7B,FOSL1,ZKSCAN1,TCF4,CTCFL,EGR2,GTF2I,ATF2,GLIS1,NRF1,ETV1,BACH2,MAF,HES1,ZNF143,MECOM
healthy,-0.0757814121044104,0.128854640021846,-0.0330005798876659,0.207508691696245,0.0384423666592812,0.127026309261049,0.0726811532581493,-0.216738864107666,-0.161748786821996,0.0690034158776424,-0.144006074995178,0.002203481049467,-0.156139446972013,0.0640706110988021,-0.0360871394256328,-0.0073396678668282,0.0179608469665787,0.0088276235061622,0.104724889151116,0.0468347736788677,0.162289382603142,0.183474835983575,0.0135675841759388,0.0064133838675544,-0.0624330168611781,-0.155088815405146,0.107025319151588,0.1419891152971,-0.0448125450160618,-0.116987877660273,-0.125102083342194,-0.0625921395959794,0.118144942314656,0.0387785266089608,-0.146091531234726,-0.107396254268476,0.0653425391842668,-0.313194640013843,-0.0417892130548371,-0.131493337557889,-0.0689886627764025,-0.0524546514583071,0.114180573252918,-0.0741259033867095,0.0929540219476025,0.008265951866102,0.152441687525538,0.196255236829072,-0.0910614098171181,0.0048031882465187,0.0467968371328224,-0.131313138964173,0.101331675865949,-0.0400862836545795,0.0220147884287019,0.0720604692131297,-0.105852447603019,-0.0586425236354809,-0.0556371061543331,0.026959184929945,-0.193846266155193,-0.11464845732081,0.161179738631315,-0.0358279063609897,0.0159080583083473,0.0446386691800207,0.0894459452313539,-0.0534494319990516,-0.0244353508249839,0.164997630473601,-0.127069514771823,-0.0528898679448828,0.109717760127861,-0.0463194689284185,0.15601509940442,0.0608554888214592
healthy,0.0828146712226033,0.259478157050006,0.148025214204543,-0.175453813642861,-0.140037149219627,0.217597826022726,-0.215879668663983,-0.170360051706228,0.155552969474292,-0.0926693464698091,-0.179883690570349,0.0728425022226417,-0.0994448698854754,0.127260534218797,-0.282560544778095,-0.0679296625428236,-0.065153306308039,0.0099467975983382,-0.122428641391778,-0.230950583268753,0.191672331110344,-0.115308640790975,0.0773672198657216,-0.210366976560069,-0.101667736912227,-0.0460968163446856,-0.2417556289351,-0.0685008211198446,-0.203623469436928,0.24291893790358,-0.0132958226126214,-0.224121900725875,0.312531419067172,0.0133242144192,0.237537633415217,0.0289027080766848,0.202383593202834,-0.114278078620274,0.231470394961536,0.0592167003686688,0.0109066822930886,-0.0874345316217707,-0.258381750051283,-0.0426133833098977,0.143497929217251,-0.135151191143909,0.0992819190381444,0.272107829349767,-0.218731535022646,0.0272029751881676,0.0517103899741012,0.0011581742800567,0.154990117010898,-0.0849248771445269,0.237452306975233,0.210143164552892,0.256472401058877,0.0956000453978024,-0.11936081607882,0.151585214504944,-0.0965100934107926,0.190411916122555,0.0596505815404778,-0.141161041903442,-0.106035846558381,0.137893265782453,-0.0946232464353031,0.177789643814935,-0.0667059454752398,-0.276173445439662,-0.224168868022928,0.196044065242445,0.117346961074966,-0.144537250562322,-0.223339313801993,-0.170947671490255
healthy,0.0054037445958911,0.11595068150001,0.171596918640478,0.141511962990947,-0.212820090588802,0.0991620766611152,0.0899353509299566,0.118562865090969,-0.119751240458531,0.0257967143467751,0.0434653896229671,0.108719529499284,0.0362006043571217,0.116337464048886,-0.17860384887374,-0.102486164363774,0.251660906257816,-0.0534320471867581,0.121522592421499,0.0645814745739236,0.0609602930293741,-0.11199877284845,0.060001744973464,-0.195123387591677,0.0562067915591296,0.189467393507388,-0.112441610839192,-0.024608338979214,0.0886572868554098,-0.112009983936823,0.0962584047724517,0.023862801602395,0.108798007117896,-0.120978854635398,0.0883041375716534,0.0502200703678311,-0.0029373051537831,-0.103164435210354,-0.0157011292666921,-0.123103355882123,0.146820413335666,0.0943973641024975,-0.144903317223846,-0.0331567938637929,0.0811570687337268,-0.152762290173472,0.158642506025225,0.0654839671879677,-0.145138750079683,-0.104436893740714,-0.0098265189591257,-0.0488467120421118,0.15808755715075,0.0059474823819922,-0.161944171551137,0.209888390979205,0.0221755328022257,0.177258518268953,-0.0448275368603131,-0.0422826197995926,0.0187281231274611,-0.0408868392971269,-0.0029260940654099,-0.200521526643381,0.0392444148504504,0.08214364451057,0.0364080094920262,-0.190650163330763,0.0929231059814193,0.0414417881716012,-0.0850921607527264,-0.0754113859424524,0.194338611405551,0.0873455895157432,-0.049805260098022,0.16496555986772
healthy,-0.0483189675337474,0.0588109461838238,0.0291187936192218,0.102650853238277,-0.0963341038314815,0.163074065174494,-0.009301156225056,-0.153591590308591,-0.0416493818528722,-0.0461627458588135,-0.0687344663923267,0.0409388088009053,0.0186513174881788,0.0310985971571157,-0.0442515493742129,0.075198230913322,0.0333234258853431,0.0134959874835639,-0.0831419475839309,0.139331124231187,0.0636330419295852,-0.0218121424434797,0.116793707224321,-0.0995390333210424,0.181220630770586,0.0285013301395817,-0.0961184816639881,0.0717335747220076,-0.0634321212735118,0.0249386638721339,-0.0930850698076605,0.0521903655410152,-0.031848374239536,0.111447257571246,-0.136175199779693,0.0542730796588492,-0.070856384540614,-0.100759258768903,-0.0269576714404812,0.12478152842919,-0.105194214713937,0.159001746511153,-0.0990783859632156,-0.14897531572271,0.10285177389435,-0.0331715102673363,-0.0784031604028829,0.104542447707651,0.0283200114987349,0.1611677691937,0.144226727534049,-0.0310446916152424,0.105610757537504,-0.0383660443024045,-0.0482013554423874,-0.0421590342487656,0.173497436771277,0.0049299068295081,-0.187635390253515,0.0403311463288784,-0.0056600818967016,0.0705329512893739,0.0064539635133818,-0.171988081598824,0.009301156225056,0.0252571966195674,-0.0768300986809424,0.0321620064831627,-0.103929884731817,-0.050112551926988,-0.0621334877647448,-0.0143437746421175,0.0542387761322025,-0.0327451664361562,0.0682101124850132,-0.0026217695365674
healthy,0.0296506060178521,-0.114261696647003,-0.189185970154263,-0.0855581372251387,-0.0805806026068798,-0.0056434996506591,0.0270765520309743,-0.115805021041265,-0.0958374416262928,-0.0783182459140632,-0.105351935922374,0.0419473412680328,-0.0442210695178824,0.0025661813704702,0.0437740798529659,0.0180915640828958,-0.117716025779597,0.0635180186462871,0.116721451906779,0.0817588708625405,0.0757439003488,0.0803884524508589,-0.0874181157460147,0.0634392924822118,0.112614570347516,0.0765358272437207,0.0679287248832037,0.0221235099970944,-0.153334949769516,-0.0581139048500941,0.0459801619173878,-0.0368986615237206,-0.164663936358341,-0.0416073608705816,-0.140263782327542,0.216374196706871,-0.104822429574371,-0.0389510817790029,-0.0254999877007695,0.0304600276159006,0.0244867528112815,0.0276958645217003,-0.0165228723690985,0.0496639632393422,-0.0617011937264598,-0.13177914288892,0.18093925867818,0.077640326167859,0.0416152334869891,-0.127945761855222,-0.071800885842168,0.108959343707337,0.089015090563202,-0.0181895344204117,-0.0684384039009951,0.145467581772921,0.107452758189644,-0.0577750907661847,-0.0182172343670308,0.102184228342692,-0.106421737018642,-0.0535334999928373,0.0151539118493442,0.0215068217118376,-0.104142177201083,-0.0018576458937922,0.035804659421459,-0.0206081771278371,-0.0240001084859418,0.0693790357725025,-0.0070069201810896,-0.107635286258944,-0.026859617712189,0.137690894654206,-0.136337970945652,0.01835806672721
healthy,-0.0594157450441739,0.0630215149532416,0.085201383808791,-0.0695371082995661,0.0606542009703887,0.0804146968550362,-0.155198803160578,-0.127462322317499,-0.0037263275656018,0.0796447718212611,-0.0825628150987361,0.0918676742257832,-0.129352885567694,0.0044661131852434,-0.0799516458560754,-0.0582567475734022,-0.111318556128877,-0.0809846057768342,-0.071022159432328,0.111882985157196,0.0434254158729588,-0.128248687031711,0.0047949067939729,-0.0667478425188435,0.142255294763591,0.140942860275412,0.0324053500870392,0.121448139224487,0.0558729939101127,-0.101706822967016,0.07147973053781,0.043041823329441,-0.0411622198662036,-0.0995258253624429,0.056338784855813,0.0449954053546426,-0.0414937534216726,-0.0220593111990152,0.114362636956365,-0.001717946605612,0.0971448116458929,-0.044335078190444,-0.142836163472346,-0.0299311781813491,-0.0914320226942165,0.0495026177409772,0.0738114252130506,-0.0022796356871917,0.054727696173038,0.0335588676643321,0.0581745491712198,-0.0910073309496074,0.127221207004431,0.10238906970513,0.0044469335580675,0.101616404724615,0.0065512126539368,0.131764038698378,-0.0344274307807261,-0.085878150653426,-0.0147326936178245,-0.0467928104156976,0.0414663539542785,-0.0481956631462771,-0.0669478586308206,0.018185026509485,0.0057401884190705,0.121360460928826,-0.0449022471655025,-0.0064498346245785,-0.0715454892595559,-0.0545961787295462,0.0509931487672179,-0.102523327095361,-0.0994299272265634,0.193212824223196
healthy,0.135272715941865,0.0706341682435695,0.133994795134826,-0.137474982629093,-0.0182848747884526,0.0102991325120594,0.0880704632075857,0.0984504128457818,0.201426584755225,-0.187374506948188,-0.0598703372562235,-0.0916415699687558,0.0972987687983324,0.128655813739414,0.113740002896789,0.169195704637789,-0.103850007085797,0.0492378340988498,-0.0467021967663075,-0.104006590267687,-0.146597215741785,0.140591493055743,-0.020325507223407,-0.0073392052672988,0.0962481461585538,-0.344644634410414,-0.0811100882190531,0.0249522876947392,-0.0387063523491471,-0.0680631734183423,0.0194466209766692,0.0807312579402869,0.0106375542277573,-0.0163048551981009,-0.064279921701063,-0.0900959424313894,-0.14267758512415,-0.107749433421898,-0.20410870312889,0.0864086610513976,-0.0818273402135173,0.12051348828113,0.0114002658556734,0.120639765040719,-0.213544102605362,0.148324681812959,-0.0557789702455476,-0.0582287393815696,0.128544690190975,-0.0182040576623158,0.108269693671404,0.0650880929624311,-0.142627074420314,0.0706998321585557,0.114750216973499,-0.0068896600031628,-0.112057996459067,-0.128246677038346,0.0196335105808606,0.0814434588643675,0.061325045526686,-0.157866153767486,-0.140561186633442,0.0768166783930353,-0.0310489296476846,0.0110365887880577,0.21302889342624,-0.12554940545353,0.039145795472516,0.173605289082629,-0.0295437106733866,0.175277193379584,-0.0062734294163696,0.0429795578936308,-0.0280536449102392,0.0769783126453089
healthy,-0.10718351515506,-0.0355646689140891,-0.0315168108852224,0.0399890718758736,0.0714305737745124,0.0229504136613418,0.0480283061936692,0.069943221289487,0.0589292820016404,-0.0384075831576187,-0.0297470497005086,-0.103681647278925,0.0028429142435296,-0.065951845000558,0.0123695010463507,0.03019890362001,-0.0411751884145647,0.0394807362164345,0.0019768608978186,0.0587033550418897,0.0934396251035596,0.0094136233229457,-0.0754596045567332,0.0559357497849437,-0.0342844161421684,-0.0383134469243892,0.0589669364949322,-0.0203710808708546,-0.0051586655809742,0.0848167461397413,-0.0586845277952438,0.0328723726437266,-0.0574984112565527,-0.0590987272214535,0.0163985318285715,0.126349652240578,0.0108444940680335,-0.0109574575479089,-0.0611132426125639,0.0823503768291295,-0.0162479138554044,0.0497604128850913,0.024475420639659,-0.0059682371867476,0.166150451649993,0.0328911998903725,-0.0078509618513367,0.0281843882288996,0.0630524490170907,-0.0274877801030016,-0.0933831433636219,0.0026922962703624,-0.0851556365793673,0.007982752577858,-0.0555968593453176,0.0517749282762017,0.0781519008270957,0.108501422420273,0.126424961227162,-0.029671740713925,0.0804111704246026,-0.0534317259810401,0.0302177308666559,-0.0947951868620638,-0.0794321535990163,-0.0279961157624407,-0.0027299507636542,-0.0561240222514026,-0.148415185309563,-0.0205405260906676,0.0120682651000165,0.135443212370544,-0.0576866837230116,0.0198439179647697,-0.114017805687519,0.0559357497849437
healthy,-0.001820371767565,0.0880090096843051,0.109865016593399,-0.128257314008184,-0.0992160341814494,-0.0382355042510745,-0.057466789076703,0.114040710817095,0.0101794573471658,0.143582304237452,0.0255352361052722,-0.141592595561276,0.127129684139481,0.0842489605999267,0.0984270781299678,-0.106485975553395,-0.096602857796298,0.0950672799204873,0.0394747425368164,0.0651716184184897,0.138325162938311,0.135708137987055,0.0325588692465113,-0.118431924742659,0.132321399814841,0.0479608307978752,-0.107147928923419,0.0997355906055959,0.260905841941932,-0.0761323346849276,0.0005772849157182,0.127352900973559,-0.0231837622152464,-0.11358658001673,0.103372485574621,-0.11977507431323,-0.050712555562799,0.0407524664836062,-0.0923809807793449,0.0406716465954056,-0.15281501432284,-0.0552846520952879,0.0489037294935484,0.0176764641192939,0.0961679698264569,-0.110877189478959,0.0971416570509684,0.111908605195042,0.122253550884714,-0.174336195980818,0.131547838027778,-0.0860616352352821,-0.143220539023602,0.109076060541918,0.0688816361435059,-0.0929236286001201,0.106778466577359,-0.0195083815851733,0.0863348834287221,-0.0830674508057566,-0.113525002959053,0.114972063814454,-0.0591870981255435,-0.0357339362829619,0.112116427764701,-0.106474429855081,-0.143928675186883,0.0548343698610276,0.0696282579678349,0.0523481961573342,-0.0412604772094383,0.168544103993111,-0.0837063127791515,0.196323054137475,0.0997048020767576,-0.0988465718353897
healthy,0.113017856064134,0.155130775370827,0.0762170714990908,0.091655412721562,-0.0553236777802129,0.0225944373713573,-0.0983929640172323,-0.131066326807687,0.0480370214267935,-0.101535005482709,-0.079856101397462,0.0238887564360519,-0.064279677983365,0.0103190917212634,-0.10069845306107,0.0270678705521987,0.0253302915338416,-0.0860397120722522,0.066054329652392,0.0468759489905938,0.145848106013945,0.0981103522164729,0.006946555079882,-0.0270619604194832,0.0594763519400403,0.051767927024651,-0.0783318244416552,0.0281521112630968,-0.0359475763148416,0.117237690823001,-0.0529316858848123,-0.0300159522076487,0.085749040999608,-0.116350096346091,0.0509394338748964,0.0084423559416959,0.0643570469934588,-0.0895266903743973,0.0854250582698401,-0.076244473023499,-0.0836160203741048,-0.0833602728129613,-0.0560866221853047,-0.0543947123742947,-0.0891742315506366,0.0063995991613021,0.0807625008421028,0.159887894922012,-0.153746729745815,0.0272376525465712,-0.0723120856285221,-0.090520667240186,0.0536016800208331,-0.0661209529666395,0.0915361354976674,-0.0179313426588277,0.0983800691822166,0.0777257671959203,0.0385233196092151,-0.0684017269100302,-0.053226655235795,0.0387672469049275,-0.0277991151545438,-0.0832216533365432,0.0027041543597375,-0.0364918458094599,0.0219566803228756,0.11316292295806,0.0160175342285902,-0.0512618047502873,-0.104255278386216,-0.124847792621396,-0.108719040440796,-0.0031259229217073,-0.0117434337056989,-0.0860821575708453
