,B7,CD101,CD107a,CD11a,CD11b,CD11c,CD123,CD124,CD137,CD138,CD141,CD144,CD154,CD158f,CD169,CD184,CD195,CD197,CD2,CD224,CD226,CD254,CD257,CD26,CD269,CD30,CD303,CD305,CD31,CD319,CD32,CD326,CD336,CD357,CD36,CD366,CD38,CD4,CD41,CD45,CD45RA,CD45RO,CD47,CD49d,CD49f,CD5,CD52,CD54,CD57,CD58,CD62L,CD70,CD71,CD82,CD85j,CD88,CD95,CD96,CD99,CLEC12A,CX3CR1,FCERIA,HLA,ITGB7,Ig,Mac,Podoplanin,TCR,TIGIT,XCR1,group
1053BW,0.31671922136104946,1.6035882201358953,0.3762453088323859,0.6538809556596761,0.4135217419808159,1.468670002346827,1.8866810349764203,0.4481778690588065,0.5314259461362597,0.2786996818955298,0.861766429911237,0.4479406200670646,0.4190723416437601,0.38387297933066855,0.34722325337064197,0.5174020646313833,0.7938379867820157,0.3382631135096108,0.6011249671474365,0.5742388020991229,0.3757180677904933,0.33474503942375794,0.36976004579459215,0.3953076477130594,0.3859834428703052,0.5767302184207652,1.1791209934636453,1.0871396392577208,0.9624611141925683,0.44789071557512056,0.7088300056290169,0.27748810789849937,0.5527706327074127,0.41929849282750076,0.8342838745202804,1.0639469158708046,0.9216336373200047,1.1010793896571045,0.22896933470075423,0.5401776104533621,0.7557027486741493,0.5981840422670804,0.7339823167741578,1.1689932163621426,0.20048898479680516,0.54401527421537,0.38338463729165834,1.6854850450128096,0.36527512618662555,0.5945063715086435,0.48512359707905495,0.4588422155196919,0.7991299644019216,0.3905897584179254,0.4924254029591665,0.2700597830815735,0.5241964303251577,0.3315033435942325,1.006045610232822,1.8196078135832388,0.5684739616761728,1.2852309809221674,0.34456850151006774,0.7323307082160118,0.30327915796165916,0.4446564465950173,0.46688492003520443,0.37214310006792467,0.3470033608487394,0.37833263051981303,healthy
Mix_donor1,0.7537778982818132,0.7859627787173468,0.9645384998829756,0.6955926901285,0.368730431050067,0.7472059698349393,3.0407163244675424,0.7747189809696355,0.5915534463287718,0.9068673708259536,1.224027983699405,1.004428687109927,0.8025438480015653,0.6095200856556529,0.7435740384772028,0.7566283197857243,0.6247396577343379,0.6896812994577253,0.5366853151701708,0.519254029769474,0.6872591401843581,0.7153651311931353,0.7329008294574088,0.583798386366887,0.8213481026568465,1.1272065169404517,2.111029653997345,1.3077952303902614,0.9613111889983035,1.0530168450833979,0.6913381568434853,1.000292107290405,0.7917760077543984,0.6859274509786533,0.7298045665797712,0.970602831615242,1.077898228950122,1.2044798702233772,1.0927727510497696,0.5428022345754411,1.2723479516945775,0.5819097548495359,0.7941020960134424,1.3560238586898414,0.6316736173942504,0.4021649031534247,0.6287352448135253,1.8061845755278856,0.29779962080180433,0.8211378082280211,0.5441480476095432,0.8397564479350382,0.9354623767050587,0.547774708014188,0.5603459709383622,0.5917563634878529,0.49146552774527624,0.6690056670455478,0.8546060071938809,1.532278208724718,0.781826391480187,1.1106279989086354,0.5223080983605435,1.0105821581957741,0.503156132714681,0.7276485937078614,0.9332774845812484,0.45252040092061485,0.7656162799994668,0.754151837874577,healthy
7541BW,0.2965171203511925,1.4282559183272867,0.3391601509873533,0.6685030407946417,0.3872514780249506,1.2917406000238407,1.8083362210419807,0.33078114905963785,0.4328023698550791,0.2974977889621612,0.9299803344537689,0.3932426728423513,0.329552156927345,0.3271808385298956,0.36988674027252705,0.5289265786675783,0.6330539353329956,0.386695110211905,0.5916144250354151,0.5646510613856381,0.2988663858268277,0.3267699495311485,0.31046446923178406,0.3547459240789242,0.3557712284001859,0.49257316513015037,1.1330837421073523,0.8477649339230908,0.9060870880985495,0.4430410891017636,0.6187904731990786,0.2933944248283179,0.5246897395576957,0.3943826279519862,0.48986198435283435,1.045962893023976,0.8036059743499289,1.0316481240304125,0.249433761554564,0.5045178896956585,0.8410151328153038,0.7129646261539831,0.6532294895728236,1.1652211669067045,0.2922690679795437,0.47037958689300086,0.44947108970363614,1.6444750194790974,0.33791108671968195,0.5011973630760183,0.40599018764758477,0.39505448448922986,0.6863083386107923,0.30265084665275555,0.43182559185888014,0.3038737989729822,0.5005453678069353,0.35762142108893,0.9687061508374758,1.5147531234468372,0.4705796685270137,0.9644937464947355,0.1661832925872837,0.6392261877536898,0.2385360941580527,0.36385347749677527,0.4362693602790264,0.38949420248664485,0.3020375448284694,0.35375814149687296,healthy
6130BW,0.3512868351661495,1.6210968258208376,0.3600906732333301,0.7046575689213922,0.3593095242043681,1.5760901175059339,1.8742471930607354,0.3982327468630792,0.46106856278466607,0.31623828121666286,0.8500432197763996,0.3819110699190852,0.408166041688788,0.41675459686712213,0.30917082289958375,0.45573658404644535,0.7325169260985603,0.3803282910493885,0.535623730725238,0.421299753869559,0.3481865693664148,0.4154586078693615,0.32486627738373464,0.45294238926257474,0.3878356571705378,0.49414616205822987,1.0509367794649682,0.9763464722334975,0.9537654243927985,0.4355850348557589,0.965147930446481,0.3319579615200917,0.6106414091251209,0.46667078738558476,0.7352155076942638,1.1388477734702174,1.0149874223504842,0.9974439181509577,0.35069259263435404,0.5028583007986445,0.710938629889051,0.6778566756130573,0.6717009709457059,1.1320871170257873,0.2085912891313502,0.4494043012303455,0.350599647669873,1.4169200437002714,0.45661331592716836,0.6088817379909262,0.3763215314278759,0.45642476631733275,0.507330586995103,0.3285096267943708,0.3807832672030005,0.3287453027349041,0.5809261051473116,0.3723564985521395,0.8614756039946454,2.154622225383422,0.5299837773505838,1.7481959679999781,0.18054002351798687,0.8196574287045167,0.3590899019921321,0.4662680828673265,0.472116938782887,0.3724627665996961,0.3152012004022824,0.4208177924465823,healthy
5046BW,0.3590731471616309,1.507701671527819,0.3466375405444217,0.7435459662414184,0.3576457852358719,1.5645725189712105,1.7427655016077441,0.3974846479152399,0.3651046888281512,0.3221593116766937,0.9648572128164161,0.35929996485823174,0.36351174592275837,0.3587170127953547,0.32729084138536674,0.5960920715326465,0.6327030256704115,0.3182563338693878,0.5487872885426559,0.5420403355965596,0.38243555610511737,0.34422227118190574,0.30612117091609253,0.47144494081037774,0.34958650092005367,0.5025812252300007,1.050938342479605,0.9613403673167714,0.9627459075690489,0.5230406511338472,0.9802439869997109,0.29612487054678044,0.5267645014051069,0.36589883454992167,0.8672263072824931,1.111388648321026,0.7869889019244376,1.0939096531775534,0.2916241461247194,0.3991942320093684,0.4916377327358004,0.6793499022121507,0.6314183291685502,1.149918659869336,0.22453753933321752,0.40181782613695577,0.48051773760550814,1.6250911600413256,0.28509749706668286,0.5711499272745244,0.22227719519585445,0.4498927760518486,0.6657506979993221,0.3761208053012574,0.25342213662604307,0.2447110303528121,0.5145761437823065,0.3219034918313379,0.9584965551943531,1.494151384178131,0.5190247440850936,1.160715138436201,0.2555429673439607,0.8530512092963419,0.3736778785585904,0.4372860526158058,0.43425905764746325,0.3526311357002042,0.34225609523453354,0.29966308838904887,healthy
CL2,0.6327719230639235,1.1952786257759747,0.7641440247239696,0.7061826290785761,0.5819045259685776,1.4502057971445623,2.472870064915428,0.6866371020170746,0.6142735993984942,0.7677485842805537,1.0242529406600276,0.6518996571638914,0.6258150632981007,0.5560901431866023,0.5871986083616749,0.6002019724475772,0.776270509765425,0.6156438855193431,0.6258876219939228,0.6563020140143669,0.6608074103535724,0.8543936831474216,0.6535410599432001,0.4848994790183222,0.6847332802241739,0.8184576842944198,1.6295042040792622,1.199835163765158,1.0362815558421232,0.8052927236330176,0.8718657305942834,0.598040236681446,0.8169199781077423,0.5332588577513069,1.0797646056918504,0.9157836407221588,1.1426323850064937,1.249732461808167,1.487716566783007,0.5418914554739642,0.9408877562296372,0.4191831975139413,0.6969641173421859,1.277622016082232,0.8297936028518882,0.2662057926480214,0.40056301631259195,1.7356971396161187,0.11105664565578116,0.986174858798457,0.4066994566952603,0.7092236983391955,0.7785201237612606,0.4764689534794937,0.5375306431977875,0.5835115582280476,0.6212525260229818,0.6643899722214217,1.0286258988312829,1.925274981829019,0.7582458433914687,1.2751059178028963,0.35630073046096106,0.908880997647035,0.4070958639064611,0.664495857610223,0.5652195646910183,0.2814557749179549,0.6350723978600533,0.6804219440918291,healthy
2982BW,0.37017999895798437,1.1732499586105505,0.3703159467030146,0.6802960211135419,0.45364539704599616,1.2008153405676487,2.260006493957947,0.4222382483233588,0.4160519022989071,0.36137804813947927,0.9109783141545811,0.4074365531095093,0.42473587716200295,0.42224751774360475,0.3793550745477099,0.5928923240273821,0.7968390601985537,0.42440824859655174,0.5144083913739017,0.5205061094673451,0.4119447359823549,0.3868360366258302,0.3687958839039647,0.45215107342117034,0.41688472743734034,0.5155627673639657,1.458962330671061,1.2492129997424175,1.0412429025087155,0.5137928201340118,0.7661300054525417,0.33624479435352767,0.5439519342952372,0.515662159131597,0.9256026121780828,0.9597878012829302,0.8296911818927818,1.137625693388067,0.38118597283598066,0.5340340059982602,1.0057842566739807,0.7527983272648564,0.6995843729283334,1.1615296320291995,0.2619368331818521,0.5043664168275978,0.3296560845905906,1.7125023902810397,0.47242958986360356,0.555670076018711,0.4004097192929594,0.4482604131964815,0.6499358267108771,0.371509482187917,0.3612160796889392,0.37098457579547595,0.49870085733864106,0.376824642312928,1.0325814365716002,1.6261119202040435,0.5351984268694605,1.1484369606976796,0.21567206223422067,0.7268315424898493,0.2833191520866325,0.46799186533901743,0.5327270281133131,0.42328493156494135,0.39145089065416566,0.4223042074844132,healthy
2773BW,0.32459717522948817,1.2661494993993305,0.3727731812638861,0.7393732367674192,0.4195321825327222,1.7136034039276282,1.8125847884727297,0.4743361643215147,0.43339830550645986,0.31188777838185594,0.8642808431830957,0.46605657899146047,0.3993932187673571,0.3576028589045868,0.3297280540049026,0.6058289305738301,0.8666306642586984,0.44534742362862706,0.6457912363557129,0.5689724377531888,0.41454833822063797,0.38667367125954394,0.362376917691755,0.4096541701700282,0.3909272472774881,0.44499576077137326,1.1331918147613287,0.9152946138684133,0.929503500407602,0.46841300313093787,1.2132769469052258,0.3156737110937003,0.6520050611540599,0.3956781102360683,0.8367808123515378,1.216458132820987,0.6112017503609835,1.227236049089062,0.2727188273210624,0.5129544019805045,0.7788315718964746,0.734198363769366,0.7640009632674323,1.2077222676410528,0.3237443510302485,0.6217817943051601,0.5259214646478247,1.6171228495208732,0.5432003755077022,0.558414931318706,0.381389475687691,0.40565577405889275,0.807721758943567,0.30038493098414715,0.47529924660187817,0.350713018828756,0.5222904118932872,0.37543995141429726,0.982433027859819,1.7198381838492154,0.524318678848184,0.9915159606379567,0.23974179170213702,0.8641453262626116,0.319792840413478,0.4997935419586558,0.5001414001621513,0.36994894274053053,0.26066122361201405,0.33681280670737396,healthy
1193BW,0.6021134047052631,0.802167742216943,0.6412131317304081,0.659083874364607,0.4805236451502627,0.7971038337786449,2.8675610901644686,0.7004848241669512,0.5589924501614184,0.724831305261067,1.1287873344098356,0.6096823568219799,0.6781876208465734,0.5894635022112562,0.5266773362306465,0.7046551566381483,0.9961613447770274,0.6951891323101711,0.5801742038914526,0.56428476343858,0.45211651654130547,0.8050075338927903,0.7338296640811308,0.517010155254387,0.6440978137818043,0.8617903028576722,2.0839830028556,1.2727664685526863,1.0871168252312555,0.9417264989556069,0.5913524303836298,0.6744239101425454,0.7753338942792314,0.6828490570700828,0.986527503787576,0.7319714632719818,0.9496717906817064,1.2633077205987413,0.39196435510658434,0.5563683435710568,1.269402017497792,0.7872463513636044,0.8364724638070531,1.25260715195267,0.4433800026635253,0.5894115083315289,0.6217677647943608,1.37821902829512,0.6904374066035079,0.7751138872373395,0.46096912694296394,0.7685526550401328,0.8113856393131658,0.5926208090971307,0.6126499072422258,0.5728783750249145,0.47675327184982863,0.5302915269396854,1.2559201876700186,1.1450486180763215,0.7812173378048115,1.2667969889297892,0.24333914575114282,0.8818252301383956,0.4955802882238667,0.6515072590932249,0.8085477732186985,0.5948386166271082,0.5314191544501308,0.7911211064410918,healthy
3126BW,0.37655810365019643,1.5763495365209037,0.37147228385060216,0.7583237680230467,0.3959992424714259,1.3232570109801747,1.8641257523735875,0.3466520304627648,0.4223822992682022,0.2849089568806797,0.9723094858749789,0.4045083522454753,0.38197372107470545,0.3086423788936736,0.3670375953537292,0.5632538809194371,0.9321517389597439,0.3875801687769314,0.5620494202964669,0.5831133423004672,0.40214265121166604,0.3193127929471412,0.32576409510214976,0.45099096907343333,0.3686311817675975,0.49360276417448157,1.1263228817355855,1.0457572292804933,0.9809032696702412,0.4974522349732098,0.3341577154581772,0.319659530122851,0.6644013379292956,0.4524274806734639,1.0088403137779687,0.9113441069737908,0.9042883074790475,1.10604541357098,0.4974220602869183,0.4576722324232956,0.7695164580250657,0.6996870373541846,0.696186243255461,1.1054751203234496,0.28009060604712466,0.48597419283448906,0.3457496755619333,1.4518126898326125,0.5040533794273623,0.5735697965368382,0.3117349991686261,0.4386844827541679,0.6728982586400607,0.32129958319496066,0.4555018250149825,0.32991980128626475,0.6386679588665621,0.36937643905058337,1.023317722491427,1.9430449790252027,0.46369975387105594,1.2247830351692297,0.23345483354565638,0.6418161502043621,0.34940646256333524,0.4646034881935714,0.5023726373960502,0.32410928809758105,0.30269370932588446,0.3990246889740727,healthy
