group,ARNTL,ASCL2,BACH2,BATF,BCL6,CEBPA,DUX4,E2F2,ETV1,ETV5,FOXA2,FOXG1,FOXH1,FOXK1,FOXP1,GATA1,GATA2,GATA3,GATA4,GMEB1,GRHL2,HNF4A,HNF4G,HOXA1,HOXC6,HSF1,HSF2,JUN,JUNB,JUND,KLF1,KLF10,KLF9,KMT2A,MECOM,MEF2C,MNT,MXI1,NFAT5,NFIC,NKX2-1,ONECUT1,PAX5,PBX3,PGR,POU2F2,PPARG,PRDM1,RUNX1,RXRG,SOX17,SP4,SPDEF,SPIB,STAT5A,TFAP4,VEZF1,XBP1,ZBTB33,ZBTB7B,ZEB1,ZNF143
healthy,0.129867338016827,-0.143043017721098,0.0291776156953944,0.0884200720127081,-0.123560920669201,0.116245224613563,0.0347743028550552,-0.182127897391855,0.0723977032642053,0.0192369944238121,-0.0599902590532004,-0.0479319243891353,0.033367710480176,0.0698982354047201,0.13911042995557,0.0715846898410996,-0.155186498297207,0.0736697583135197,-0.0201419609089025,-0.0980046069740398,0.0558716619579084,-0.0827751355028888,0.0576245822204494,0.214732392934535,0.0566173727955576,0.010643646077629,0.178849180477573,-0.0677746646971723,0.122754103787902,0.0526985576357235,-0.13220219044636,0.0629361040738891,-0.15246043828215,0.0123314121907411,-0.0576062639764239,0.131825626148498,0.0356831026023213,0.0499257069454952,0.188051418209116,-0.166147129149383,0.0043716828593526,-0.0854845055622783,0.0694220289054061,0.17584057850976,0.0632466209252369,-0.0190485765841846,-0.02643105507761,-0.0047542062403017,-0.108780811554577,0.0616478339863447,-0.0753377588151772,-0.10389368496951,-0.0688267425123685,-0.0657855408547251,0.0681576856106753,-0.0044133059804994,-0.0992532893008846,0.133230533697229,0.0867741664794616,-0.131859062597623,0.173240484691273,-0.188510414605092
healthy,-0.545265627854387,-0.0990761202302481,-0.398897205758158,0.392127124148158,0.497421505488936,0.517340562499105,0.188168069012559,0.504850067697686,-0.164375458871661,-0.561861440396312,0.457834961142877,-0.489588375703041,-0.492364713142016,0.316557347725727,0.356380192192518,-0.447784798010551,-0.449522503440935,0.276450580273181,-0.401796455544001,0.378005508423787,-0.384255442519149,-0.292368107151854,0.367393773443439,0.415376758035948,0.291598430942868,-0.460561937104297,0.386101319885799,-0.411635188273996,0.0757322988983024,0.450805750673674,-0.365545174770215,-0.0135979153928202,-0.27264112903061,0.377554603043056,0.0080688251718333,0.436121504815392,-0.528672083067939,0.0832903499448048,0.183570723925334,0.48358872622052,-0.342916527923952,0.436545575089641,-0.399955340463853,-0.433309563615423,-0.27986914606332,0.280014358005715,0.434573610518455,-0.470177825062725,0.360881535631205,-0.537955064522304,-0.419509742393276,0.473213140177205,-0.563547516593664,-0.306378073714895,0.308805403585918,-0.346039378399855,-0.243840180918156,-0.456855517552243,-0.427955770892829,0.441725053007882,-0.402923907975452,0.383816783017995
healthy,0.150448890892511,-0.240572306991183,-0.268892743466939,0.374929035212446,0.192488471872566,0.204985330544623,0.0868174371112415,0.0518575043580322,-0.308869486659041,-0.215741745448204,-0.36596721889834,-0.211260491622081,0.299936821769856,0.240806094505664,0.397837331056021,-0.227916094877761,-0.0184886863349713,0.259498610369032,-0.247401575588177,0.319125372748966,-0.0229163614552127,-0.0146020985326223,-0.0196705288859983,-0.205939953293503,0.218019935066895,-0.182335825611608,0.319146573785272,0.196656549521084,-0.267420423673918,0.278911500574705,-0.2773550679746,0.354832296362886,-0.188228561474397,-0.341198993011022,0.321379250309719,0.333188688424164,0.354378432873709,-0.0333981998940282,0.221232698628393,0.381854054141887,-0.250205758308694,-0.311182819299869,-0.154718249578599,-0.228233073415138,-0.256487487098486,0.414214325041116,0.252707250146736,-0.271449311910167,0.0496328934452234,-0.181712814724077,-0.237735055262949,0.297455493960909,0.26790424514918,0.374282979720235,0.212319506430162,-0.154696126758106,-0.13874730152797,0.309822035393499,-0.275552979888604,0.206642698513228,-0.196884230215325,0.268170640779283
healthy,0.0788052925305662,-0.132498855357336,-0.106648941425442,0.121438127872107,0.106405005173135,0.114472836235944,-0.0645922222596603,-0.096469161055592,-0.0790107376204428,-0.133067285217378,0.0685655112310448,-0.0565478672309031,0.0462735273025742,0.25313611679875,0.0303072620419554,-0.11303799771816,-0.0158355383095778,0.153189166008262,-0.0632716655523123,-0.153668994694102,-0.104120381889742,0.0779785667121096,-0.294765381476488,0.127171642726652,0.0107657874635095,-0.0563899104637154,0.0927672764880323,0.0993341905514238,0.130740595740988,0.0595687680594256,-0.0153493937364039,-0.0449354529454513,0.0058652547309125,-0.0340220763033965,0.0726860318779181,0.140564600985649,-0.1953764929574,-0.137286119204824,0.104267315646017,0.0412290995896838,-0.0041857649547081,-0.0626981114817924,-0.173814828189781,-0.0288836252866124,-0.027262051005582,-0.0513905877198032,0.0213161793353994,-0.0107553602910244,0.0599403924867923,0.04871062563962,-0.124576051367833,-0.0450139844502243,0.089828780114063,-0.125457058067055,0.16283489639535,-0.0772250098525766,-0.118716040015084,0.0353069422889242,-1.59684698628013e-05,0.0867299436191952,0.118761144984063,0.0545774295504447
healthy,-0.0864795745342487,-0.03039875283229,-0.0780622933144371,0.0827261413426797,0.0532335678577584,0.195831293830212,0.219482983987876,-0.0289202799130902,-0.0078370909730054,-0.165078626383129,-0.0662574821062204,-0.149431364919988,0.150103659112185,0.0684681203715197,0.233013362254058,-0.0442130524578042,-0.090876227796516,-0.177941592038008,-0.0340573541362036,0.0777062250610148,-0.080889446531428,0.0509599715565213,0.0389357763599057,0.0673313581148783,-0.179368951933732,-0.144262129693339,0.0276941416533216,0.0345029419686617,0.0488871661635144,0.147410605793862,-0.0735397957682486,-0.0563600050563052,-0.0504846635109752,0.0795475143013429,0.108637070210717,0.180212460396981,0.0117598001608587,0.0804502478269043,-0.0647729789988577,0.160999275878952,-0.0629894072738021,0.275086056853842,0.161134596172843,0.15525688562502,0.0586638240863107,0.119559463884445,0.0489119330077545,-0.0026658456836361,0.284682024495617,-0.0742445381157982,-0.168993510683961,0.0519019730930952,0.061562190953986,-0.0337918104931777,0.0106920261283178,0.029552372850869,-0.0595407857362716,-0.0142285879098891,0.0009071125907749,0.120957893234579,0.0475290816437075,0.0133940529409307
healthy,-0.425812283444116,-0.0961036150905526,-0.276989459186307,0.0462788357620987,0.194257896339961,-0.174915415018669,0.161575404433194,0.25290481237266,0.051394820606328,-0.208708684428149,0.075223134150118,-0.143653436649026,0.247265480435806,0.0445165445318319,0.0332165195523026,-0.323246933842584,-0.173356054293705,-0.290233344795585,0.167524472404459,-0.0694129133666928,-0.141122145609188,0.317201740895124,-0.0572798052601282,0.209242712073685,0.158125585843035,0.193862715882265,0.273550321149059,0.0136604271727958,-0.0927819631353224,0.340164929653146,0.125603302229929,0.0654077060251772,-0.251153201695304,0.020720272646774,0.295295926875261,-0.0140235659717599,-0.121032025584146,-0.0475284604526516,0.296011523920279,0.128892912526427,0.107243431776421,-0.051063723466096,0.02639164624236,0.126906329685035,0.258811158132282,0.135205119296655,-0.12079705342011,0.126436385356964,-0.0786943138460982,-0.277897306183717,-0.19152367479482,0.295189121346154,0.223415805786195,0.0511171262306496,0.178375914161738,-0.331065098573223,0.0968298926884808,0.127643287835874,0.263660129153743,-0.186493134373876,0.162857070782479,-0.248173327433216
healthy,-0.0538499338045671,-0.118421934517941,-0.549640703660409,-0.559104874451423,0.369222460479813,-0.589893379429785,0.27074716440116,0.469494751012455,-0.430919270066803,0.136691378133506,-0.571743735444486,-0.554971787207246,0.304710359581571,0.579590611226909,-0.58420289699215,-0.58659888959747,0.433554861932655,-0.303452463463779,-0.489201790191212,0.471830843802642,-0.448050617194841,0.429242075243079,0.45961128151551,0.362992879705981,0.413668123308499,0.214980436512337,0.564855256704191,-0.560123171308684,0.372097651606197,0.335978063080998,-0.374673343656916,0.494113575032118,0.268171472350441,-0.317708619465432,0.59618286001875,0.576655520285392,0.574559026755737,-0.394500182465939,0.514958710698402,-0.596721958354947,-0.264277984366796,0.508070231958107,-0.469734350272987,-0.474885734374425,0.455478194271333,-0.445115526253324,0.568209646351639,-0.492496280023527,-0.559224674081689,-0.0434273659714251,-0.226720800278405,0.633859843737407,0.38593450890192,-0.332084575097353,0.574199627864939,-0.451524806472555,-0.184910729315571,0.573361030453077,0.587617186454731,0.313815131481788,0.173949063146232,-0.241216555540591
healthy,0.0256613157841858,-0.131823314349287,-0.0910403708923238,0.134286957480976,0.200518622121072,0.123796832278808,-0.0943856282166843,-0.0430126369077336,0.0508518636137166,0.0584375385878595,0.0907410810416665,-0.136323180282813,-0.0015184417982233,0.198531165397138,0.0080983562571911,-0.0163299427141425,-0.0171685280145467,0.094825957214217,0.15129452556519,-0.0794362754792429,-0.112388916741212,-0.069031889329074,-0.0156239501484279,-0.184393624427135,0.124299154754459,-0.174770292354746,-0.0073912481276029,0.1081008485774,-0.032486813661611,-0.0266541676316807,0.095638247080458,-0.0786732297897075,-0.0205300406982081,0.0072017616353603,0.117597484467002,-0.0019017176719352,-0.168378111359077,0.0040842387074798,0.0346406487689776,0.233154602609209,0.103623772020149,-0.0578856532029679,-0.0247857575096854,0.0432467459549198,0.0857071787452264,-0.0442590404870687,0.212089091251678,0.0025997419242671,-0.0761641672717365,-0.186043702762442,-0.204579912086009,-0.0660064801038985,-0.0753984123556509,0.0030072414706627,0.119573944918468,-0.110583934393743,0.102255612612325,0.241782373607552,0.0314589012352319,0.126605025281169,0.190054314254265,-0.116740253313282
healthy,0.250452105382688,-0.109782679023499,-0.0924250616130585,0.223405991525146,0.257268683396957,0.127814687470449,-0.131436500790483,-0.191335410469367,0.0705685555915345,-0.191167113155316,0.109571101594695,-0.0258241115949353,-0.0118786529242146,0.119428279925545,-0.102463228057991,-0.0872692638629826,-0.129856896780026,-0.0158903077517748,0.125412440804935,0.14681730176373,-0.103076809011018,0.0825836987110348,-0.171943563570582,0.237673126724437,-0.25785893378831,-0.123728794667453,0.0161912335403949,-0.0321501549357731,-0.118333906731435,0.110542765007695,-0.0943479741975939,0.168986238617337,0.108850337862111,-0.108392796064014,0.0360851522035484,0.163628301419793,-0.0920362296009894,-0.136064428558955,0.138205167829886,0.120393085178932,-0.0709500968030805,-0.103135295652576,-0.0520609305706853,-0.0526179637543808,-0.0237496465019457,0.168796373352727,0.126074894157072,0.0718257139340256,-0.153758272051537,-0.1815529187786,0.109905116401073,0.100335147539617,0.103480222624133,-0.0921936948685491,0.198793610977136,-0.0772480024610207,-0.203768773135353,0.281250241450484,0.0719656973040675,0.0442521947832653,0.300356192826343,-0.185103746941893
healthy,0.0406022273350611,-0.0598290812118266,-0.0614229733443371,0.227953854864835,0.126289742471522,0.0258530145200417,0.0600456841285859,-0.0852809731585737,-0.0087724181287506,0.130283708892862,-0.101864765126397,-0.0750549417305687,0.220358862545886,0.0369207189475843,-0.0723058693371245,-0.164297817302141,-0.0760184406351151,-0.0014251878964815,0.0740734519429265,-0.033159661786483,-0.0512382757055316,-0.201348582708058,-0.0778909556200653,0.180219575575047,-0.0426147131231664,-0.136899040352895,0.0431918652733331,0.206050854721075,0.111847472026367,0.271400075994201,-0.20001384015003,-0.119009768686653,-0.0511018183707178,-0.172594704336285,0.0629289517607885,0.205982780068719,-0.161284378074376,-0.100131133213307,0.153608874387736,0.0974355232942958,0.370480884318198,0.16588223750904,-0.220183449029217,-0.17739360154166,0.227120450548326,0.230342021865068,-0.0022253730917693,-0.210824358694985,0.171365423584141,-0.0762852524583635,-0.0575810390298001,0.0514110902182229,0.191550366586802,-0.179491690820065,0.303256539430202,-0.0581264255757847,-0.264594391557593,0.105403039516835,0.0130731729049059,-0.133682464899356,0.0444267675748232,-0.0777331672007462
