group,CD3,CD45RA,CD49f,CD45RO,TIGIT,CD69,CD62L,CLEC15A,CD27,CD95,HLA-DR,CD57,CD11a,CD244,CD54,CD2,CD226,CD18,CD28,CD38,CD127,CD45,CD26,CD49d,CD73,CD158b,CD158e1,CD99,CD94,CD82
healthy,0.135550800083687,0.0414630025729969,-0.20415977970411,0.0395517415609456,0.268509857534911,0.0121054114318729,0.015124814078045,0.38545194865534,-0.131992009028936,0.201373855685603,-0.0871178747351765,0.221831250670237,0.142254619536955,0.395741980099495,-0.0096737684453116,-0.249344687152906,-0.357548103136639,0.28914224307399,0.0581521135754409,0.23330009401225,-0.288543080999509,0.0902359196521592,-0.325584623970813,-0.0274862533573463,-0.223261766303577,0.0766633784135668,0.0736330080622323,0.123906816960625,0.0291460399859424,0.166319944948739
healthy,-0.376669560455712,0.184863753797104,-0.0337314507292567,-0.353686474232747,-0.246798586446504,0.0363999550168225,0.339909094230162,-0.495989025390161,0.277200636791285,-0.417501029503745,-0.0668558595763006,-0.373176624834601,-0.592086819378103,-0.514170379308144,-0.330260577148461,-0.391636139547074,-0.0771870166519511,-0.430137031201549,0.128745824429006,0.0349152430184282,0.171009913183588,-0.429951906148564,0.139866957269857,-0.573694628072538,0.29793146103924,0.0399646226111027,0.0329767342594628,-0.610005400009491,-0.164717492678923,-0.0662037237369833
healthy,-0.0749637447085346,0.624646191884663,-0.440856541208905,-0.575278552454913,-0.132141605096166,-0.0943389088487145,0.146336554190093,-0.446126334685533,0.0017155504774409,-0.568687244077977,-0.0828570273463348,0.0330186904623019,-0.554067979432436,-0.285349462433802,-0.365760439893284,-0.405540128888537,-0.206540372513434,-0.548823855489847,-0.268342782668965,0.384508693804396,-0.110709203951079,-0.232563268615259,0.0410575749632737,-0.372935385827852,0.374393762610189,0.0445560418258578,0.0413033043716512,-0.698988997424311,-0.137091627500061,-0.447087456901948
healthy,-0.235031809287382,-0.104048600419793,-0.183706092907831,-0.179104015881722,-0.0329021869021619,-0.0474656436834225,0.281790650007908,-0.292080007321035,-0.299527465058719,-0.0874538027655729,0.120333472718096,-0.0420948676356565,-0.414062734260736,-0.208879892363766,-0.245584704804921,-0.275442805000636,-0.15237988661512,-0.251627407454274,-0.163278175248377,0.0483939178932337,-0.17628351094655,-0.309853866357198,-0.0832900612994457,-0.330201246304846,-0.234708291626416,-0.006525122815165,0.0506367779222801,-0.245899284825328,0.0508601796921525,0.0075588832148271
healthy,-0.369690265486726,0.0506690669963575,-0.226259794114696,-0.205555586032985,-0.20474245750467,-0.205676521820652,0.459450784221966,-0.540126932150599,0.239799033346138,-0.312246127918114,-0.0663210164956668,-0.406609015313843,-0.361591603743646,-0.376270243596965,-0.181106878577607,-0.269718781531505,-0.047748140425934,-0.203247762173521,-0.0565558083752236,0.119039839365569,0.0207973924574215,-0.442618218601898,0.208851550325517,-0.242159977356239,0.399116583620674,0.0327376347808568,-0.0185525754520365,-0.266536643076252,-0.0843536178871128,-0.0126965947527689
healthy,-0.255604676338095,0.108689322585847,0.0789527395828442,-0.211039949174756,-0.216954008998425,-0.0972174676417975,0.385456487269757,-0.374784352757264,0.271006167147615,-0.193208563475647,0.0300466086033597,-0.256124816628028,-0.436185625027249,-0.378606729826616,-0.353971927177988,-0.245892580060737,-0.15125633937692,-0.366175084911067,0.103852153100648,0.0930948171442532,0.121380504878424,-0.326921265196126,0.310122850180568,-0.334965564692193,0.203218928305981,-0.0916217510973398,-0.0810269414437843,-0.369308986849157,-0.221493417298306,0.0714735309348938
healthy,-0.445730165981422,-0.478723433855156,0.63612868428332,0.249221839671503,-0.597584084045438,0.218168658794492,0.426896293302655,-0.636515555902531,0.445940617750843,-0.375574761608406,-0.0486234616290577,-0.296534744499662,-0.429438099588853,-0.67385015318188,-0.308773503892774,0.0348698035632709,0.19782936362146,-0.207914173241474,0.504946786630332,-0.229376473268214,0.402682211152964,-0.319826404751028,0.3492335866889,-0.377286129550216,0.328156423538036,-0.0282659195327449,-0.0568134968538779,-0.317695390348888,-0.718092138490725,0.16751932819784
healthy,-0.0719424460431655,0.35083098962969,-0.0214958235236258,-0.361528258607501,-0.503619829823727,0.119947280955647,0.057717657977735,-0.733688299176528,0.27425806954979,-0.733210801882302,0.130582985870001,0.0364698092012198,-0.536271209919466,-0.634375197664863,-0.682284054188402,-0.158389561642611,0.0906810424781204,-0.564599577873269,0.165497963234839,0.224664925345188,0.342001237774928,-0.182702533625274,0.38170537582467,-0.691673661613859,0.556006553340715,0.0322037704004154,0.255767870435793,-0.506133726758425,-0.249844855703322,-0.123085929750101
healthy,0.0884580195231142,0.487744417303918,-0.116268071576097,-0.395955552129632,-0.204189683612381,0.0408287097206391,-0.249625116032395,-0.346084471745175,0.395738931416735,-0.519476766235773,0.0155096569998389,-0.231018728509996,-0.30750322371034,-0.348379985531082,-0.338111181007546,-0.110978076629323,-0.193033895972767,-0.342340329438179,0.0817266003820056,0.186384977151975,0.22827661137194,-0.0090254500018576,0.281668039887252,-0.432386190420793,0.324732056085379,0.0255933684674386,-0.0136489232395031,-0.440257221757947,-0.118016548123195,-0.14734564486575
healthy,0.0811469000929003,-0.176739884633044,-0.0450820134450099,0.173772313670024,-0.234317399846989,-0.18055333462922,0.0270181180792769,-0.32061431208694,0.156298372708529,-0.10311435958866,-0.0229295839857633,0.0181000592249603,-0.166675402544388,-0.347182154787399,-0.136713240153295,-0.0223937198560848,-0.195136985317886,-0.194091298008335,0.287881596184674,0.0389227977785705,0.249649707379539,0.0243649099318627,0.291653581216974,-0.129609259994518,0.211264593669276,0.0010073943652399,0.0100969268518336,-0.116125900166294,-0.132643809888058,0.158362480555452
