group,CD52,CD3,HLA-ABC,CD45RA,CD7,CD194,CD45RO,CD279,TIGIT,CD5,CD62L,CLEC15A,CD27,CD95,CD57,CD11a,CD244,CD54,TCR,CD226,CD18,CD28,CD38,CD127,CD45,CD26,CD49d,CD73,CD99,CD94,CD82,CD101
healthy,0.237189586643378,-0.103369887969424,0.123806298622438,0.249316495990877,0.356528092187725,-0.123175914332562,-0.152425368088105,-0.111784906495293,-0.0168931297024362,0.0552617942816495,0.384790782775288,-0.271520555454157,0.280937120134983,-0.0562786933521343,0.0387852985437727,0.0176150185542947,-0.154524544425424,-0.237203213187066,0.253488803901381,-0.0704647601089741,-0.0956223349952571,-0.127282932018096,0.139932841614734,-0.089029439103512,0.135879626261047,-0.0535892395050993,0.0529678366967339,0.0017514267150381,-0.0459041551487395,-0.137407404350904,-0.0595236610322532,0.205608382454729
healthy,0.141174067435723,-0.429541018375782,-0.319833651788624,0.424069464083601,0.47862253065057,-0.161201740264287,-0.52208631048478,-0.514062362559143,-0.526536439804305,0.310315798279308,0.550453628486849,-0.7336074375541,0.511614599694186,-0.58763027994003,-0.657640886096307,-0.645061768981698,-0.722155293406656,-0.485252983943036,-0.138873815682043,-0.287145926347069,-0.508148586141962,0.431794248456784,-0.0773447795380337,0.426522059024692,-0.44258115936322,0.182357044896695,-0.560141522598996,0.569930286800217,-0.633402346068963,-0.303396733941716,-0.0481207977217077,0.476248086855538
healthy,-0.134097771423661,-0.0996165214880626,-0.226781326322674,0.409905351089693,0.0971349855317745,-0.283963931307035,-0.450184560532989,-0.111533352982587,-0.0162987611573154,-0.0399253824825439,0.31041818191006,-0.347914663130686,0.264734040410487,-0.476064358419991,-0.0455518108364175,-0.391972879878026,-0.127246292876972,-0.275160187094803,0.0987454539316161,-0.100326639920226,-0.46782111723756,-0.227502046848816,0.2428216143693,-0.183160725722701,-0.143910610119775,-0.24922631647292,-0.228873168359123,0.288389794865241,-0.505689030856716,-0.0996932860457159,-0.305621026072038,0.0643406011129785
healthy,0.107655848615112,-0.373970085762944,-0.192095805714474,-0.136010215724966,0.108507933002531,0.292452693745242,-0.0655139556672712,-0.20452373631835,-0.121244394786657,0.0848027100765928,0.292632214473684,-0.436982786588634,0.121451733319016,0.176340069091428,-0.0470320571850735,-0.377673148949756,-0.442053032933811,-0.291690984180762,-0.215834943838982,-0.0634713587205734,-0.15607244704715,0.234460966886694,-0.13804469560403,0.13452251926324,-0.383419306427819,0.452651347341346,-0.21908087104242,0.177341047300514,0.134475145440567,-0.039489892107619,0.616779083542059,-0.0187604158127016
healthy,0.181179452729714,-0.150818584070796,-0.0966468735221839,0.401796355215152,0.537520414877082,-0.189114160519108,-0.39204000155071,-0.332274017662722,-0.353512987054957,0.26613990729035,0.142113920563608,-0.607304315089841,0.421944043403674,-0.668522932412133,-0.456797232808322,-0.518770566198116,-0.546208634656312,-0.46611576573051,-0.0065648152996274,-0.267525399627778,-0.389894690050655,0.198809922481611,0.132778306960478,0.190443149306632,-0.272135862497784,0.340217923778458,-0.555955632474217,0.545201954099894,-0.677361688233277,-0.175217489454992,-0.0861098262062966,0.0499442160190283
healthy,0.0292228263123753,-0.321107289015391,-0.22336963986336,0.0124879034811362,0.314032272706748,-0.143564941341174,-0.128505309076597,-0.143871157950908,-0.299344335266934,0.0191377519146275,0.196872900066369,-0.42522501636088,0.383183456133847,-0.188482309326464,-0.313353389034799,-0.41010650273283,-0.366912668837574,-0.297793763979975,-0.0630338451768924,-0.0041859020299036,-0.193935227326908,0.105474345110253,0.0791168055917253,0.174892670274076,-0.378143245068081,0.274961324129886,-0.273390351560076,0.236470970252872,-0.272367554218849,-0.121385055666045,-0.0108271535552158,0.193063837583114
healthy,0.31081242329608,-0.315393634840871,-0.563118357963456,-0.335164334808638,0.141578130218108,-0.011353212667729,0.0961367020741717,-0.0003727794195582,-0.641964802911717,0.357239255105785,0.364127412096605,-0.696045491081743,0.670420397622077,-0.420289100717975,-0.458428269359877,-0.519911679610172,-0.70284956679782,-0.254250540294956,-0.156560545613978,0.11272934261705,-0.25924436958846,0.677700281987176,-0.20951303277445,0.642088362795945,-0.252762296330135,0.532374811966038,-0.295598578505853,0.525876974675923,-0.280761435023202,-0.699138497265699,0.200163631937339,0.444145697561397
healthy,-0.404029029819729,0.140667590151481,0.255986617334555,-0.0258492735360208,-0.288275787266675,-0.0924091574005257,0.159504670301815,0.28645308269896,0.52622658397838,-0.259092432533334,-0.0112270713183466,0.806266941443987,-0.26162299518507,0.499126540662533,0.0462399570136655,0.535321657940432,0.662177417022288,0.651806367092914,0.148602778022334,-0.231558326426908,0.489028290417418,-0.2376626421616,-0.0953781122705236,-0.39701098936598,0.232400911568881,-0.400692977337984,0.633545106842602,-0.498511543070274,0.32732532975151,0.331650759920512,-0.0801627867772887,-0.587405293896338
healthy,0.0990345340876148,-0.104189523588897,-0.232009267146716,0.585172464112252,0.351369320537949,-0.156896608101762,-0.540616095644942,-0.361008715187055,-0.223851932204112,0.0924183673539218,0.5170802055973,-0.614227966641676,0.50115831606587,-0.710232418951818,-0.378062779309423,-0.473001821377055,-0.646498112336802,-0.557959898561848,0.0710230638935083,-0.432341253733722,-0.45285386108189,0.238179759875075,0.305251551605469,0.193271411175534,-0.245638226654305,0.219549798524895,-0.484949646009842,0.501124071922155,-0.684665298926954,-0.333946264787113,-0.158773951317558,0.0916615076990616
healthy,0.298680986785393,-0.125344843897286,-0.0938630077253494,-0.292135658430634,0.297157081695074,-0.003967606760074,0.21564225144405,0.0944289030864912,-0.226087306464343,0.292302623934253,0.115969963677298,-0.513134007898256,0.445764857019667,-0.0112424243358832,-0.557482520391601,-0.294792150172757,-0.556830343176615,-0.173033266705682,-0.103869246649741,-0.17548712085969,-0.113180198970043,0.700106557098274,-0.0342727175970108,0.524587820079597,-0.0761287810708157,0.373956194228511,-0.0799769390999597,0.262416215030167,-0.0324137000352608,-0.415583247800544,0.363399668326301,0.181568598889789
