group,CD45RA,CD7,CD45RO,CD279,TIGIT,CD5,CD62L,CLEC15A,CD27,CD95,CD57,CD11a,CD244,CD54,CD62,CD122,CD41,CD2,CD226,CD81,CD18,CD28,CD38,CD127,CD45,CD26,CD49d,CD73,CD158b,CD158e1,CD99,CD94,CD82,CD101
healthy,0.372305454272338,0.0515030226574382,-0.289422751879386,-0.433157349972006,-0.337919409507364,-0.122950456802995,0.199352805863545,-0.494872686278815,0.143457578968971,-0.31417349665235,-0.399855414830978,-0.487408156495601,-0.471426250237201,-0.417011747233646,0.101871895483255,-0.123934471393733,0.0468887370454913,-0.52319881525361,-0.052892105936662,-0.279243435564314,-0.266031434273799,0.308545765221042,0.0091085204087757,0.223677656766132,-0.416169305456315,-0.0368925921219807,-0.382090105422949,0.0071320984787637,-0.1349369365544,0.0151956321480395,-0.294196424770465,-0.343884258729845,0.0766155349226531,-0.0317868493574996
healthy,0.283608403037562,0.395067836787769,-0.345126617310779,-0.441913096223645,-0.464692513203854,0.301675680014634,0.544246343714898,-0.667251363310915,0.427279415435358,-0.465113210289927,-0.642213826674552,-0.565670089084621,-0.689386437662664,-0.387019282986845,-0.119788318266372,-0.156467270285648,-0.0518758989962417,-0.202701318634741,-0.214920653383426,-0.416334853930616,-0.456580930584757,0.477274231833617,-0.062033804329033,0.464817087215137,-0.373808169234492,0.317595606573672,-0.437390730212133,0.54465524739969,-0.187896770903554,-0.126024794018222,-0.538962511581374,-0.24829048523245,0.0894703293480697,0.553719898319972
healthy,-0.612179773700906,-0.319458334572611,0.584273412037452,0.266721637922029,0.310296199544503,0.0618908936482701,0.00866294190642,0.453408988454424,-0.213623614730768,0.673799390414758,0.0283396389810521,0.427165355963574,0.36107134098583,0.412582252003418,0.073821944667062,0.219167737058306,0.0005135474734393,0.365693191726524,0.303521765834321,0.22733554809835,0.416270934291325,0.214359851784379,-0.262652603406239,-0.0713041877887068,0.188313536499868,-0.156342729764196,0.485968890739097,-0.453031763712014,0.0067605259094718,-0.0348943802691336,0.708046730544452,0.158055707794155,0.520440572510042,-0.095869850285369
healthy,-0.124068519214665,-0.200222744947293,-0.003933584605475,0.060405605625331,0.0008233031299449,-0.230447722610146,0.139843704306611,0.132011621838909,-0.249488398693389,-0.021411885321035,0.0108534511063831,0.0552179406847578,0.206129542189093,0.0974022674171624,-0.179587117342683,-0.0571030832218176,-0.380763061159711,-0.136417205550933,-0.218393250081058,0.0552132372777364,0.156549182545117,-0.192610629106333,0.0625895287147233,-0.182763017689795,-0.192105662751009,-0.278344935035348,-0.0395652226292613,-0.138321145631085,-0.0919911158690737,0.0778064339672817,-0.087546219011661,0.0779292807924666,-0.0048869107679273,0.0739728854967576
healthy,0.494538658897714,0.46927459360772,-0.412093629968814,-0.343449535073499,-0.275071350174554,0.269739780868099,0.161660851859682,-0.507846890997976,0.466083110905336,-0.687783523970039,-0.318056085524001,-0.414075752539517,-0.468055979368856,-0.437517370864634,-0.018134849330687,-0.124529760049861,0.0750359857496939,-0.299626606517764,-0.324767122936188,-0.224956995584443,-0.316973622475572,0.0656393214419926,0.162671942066757,0.0781251002019792,-0.229578748310962,0.158939269180512,-0.565284111396508,0.366343718182404,-0.0128464376713983,0.0572233896824155,-0.652779551122594,-0.164851934468103,-0.0513075212190892,0.0250982541667815
healthy,-0.0532383267907307,-0.23042122831036,-0.0106344767436112,0.0736929125960748,0.203465126689433,-0.135072867739602,0.133781118104012,0.17100194418276,-0.273172932010638,0.0792478759112829,0.221310593947193,0.132194113507262,0.153963549104329,0.0287398479055933,-0.117284745885896,0.186850081621178,-0.0389616858641707,-0.0099196430893345,-0.0291456112322713,-0.0387138723201063,0.121624811510646,-0.200146146704161,0.0443811757932083,-0.287791474831912,0.0042846514473826,-0.285951650936101,0.10557664532978,-0.179376654750319,0.0363314259609581,0.0735805723361574,0.0298112015653015,0.0770696005054545,0.0047136184354019,-0.0914530257122926
healthy,0.314348876857025,0.547800550593979,-0.225578053695121,0.0143538530956638,0.0421952615638101,-0.216903258251431,0.0184056792949483,-0.411136466055161,0.544846988480335,-0.30123714417032,-0.554761452239372,-0.39056494594183,-0.224415370032141,-0.159884980409436,-0.0558159400049966,-0.0367618435510696,-0.0377225643493362,-0.218778742195828,-0.549932787178705,-0.0037037685912476,-0.434288151274776,0.462395022865397,0.311825749299447,0.264770788243529,-0.0701568448302117,0.409776125084645,-0.38956358870734,0.51398603064315,-0.176288982752861,-0.0016742187108485,-0.396805412049412,-0.0921905360206068,-0.169469414613789,0.19367697392943
healthy,0.032132035874121,0.341722610852209,-0.0304903993872561,-0.316858427867568,-0.488181070888842,0.220421386653762,0.285915710162495,-0.743976617104281,0.455515906895235,-0.410636489165408,-0.0747437785749382,-0.550478741765773,-0.70868762886613,-0.69209767283311,-0.0543082375997153,-0.0573972154640562,-0.148238352078806,-0.132856696009652,0.123435131121233,-0.528601818980591,-0.335672695285605,0.462523467993041,0.114515866484097,0.4991680834986,-0.2366370257831,0.488670217706872,-0.545583982001738,0.42320332186626,-0.0772425872543779,0.164265544026418,-0.147822800768636,-0.288418745597734,0.255939237601865,0.513665804017307
healthy,-0.424176219667088,-0.200190347648409,0.395409626549551,0.257569873165165,0.0555318995467556,-0.156883632350649,0.0016786657550197,0.28255330815111,-0.233516065886773,0.526483843263922,0.19831317750092,0.356503074988542,0.336026782241329,0.428515801454924,-0.243950359836607,-0.0180086719672839,-0.240274131277735,0.160745213287012,0.123971616390135,0.117915217323536,0.39761593253456,-0.0470748677835283,-0.296166639558195,0.0209720353143582,0.0834950504410707,-0.139743549516893,0.509974987935431,-0.197974431913101,0.0040800657080258,-0.0144290618899331,0.564133842257859,0.147722460710545,0.206511768658554,0.0100357461979831
healthy,-0.209541683137822,0.434399486314382,0.0402005108301323,0.0639370821081994,-0.101919861080202,0.0857992457920625,0.257153944059883,-0.502562325930923,0.509252338763209,-0.042893291282647,-0.642944919827971,-0.360657579632706,-0.561952454689653,-0.123288605336459,-0.0837357062350497,-0.0382162963185633,-0.0975605360193289,-0.118517272312402,-0.134662475951996,-0.340623249827962,-0.0262119403600804,0.678138248627374,0.0079798954502986,0.436113010720981,-0.186367012973469,0.379607925197786,-0.234762280935897,0.243938553560474,-0.104965708698398,0.027725728157094,-0.0901094305680897,-0.283100048042843,0.364671408306583,0.139624113478038
