group,ARID3A,ATF3,BCL11A,E2F1,EBF1,EHF,ETV1,FOSL1,FOXM1,FOXP1,GATA1,GMEB1,HEY1,HINFP,HNF4A,JUNB,KLF3,MAF,MEF2A,MITF,NR2C2,PBX3,RARA,SETDB1,SP2,SP4,TFAP4,TP73,ZBTB7A,ZBTB7B,ZEB1,ZKSCAN1
healthy,-0.061511270332608,-0.0738946661753112,-0.0119126104856974,-0.187626508650769,0.147206422312018,-0.0241428388208063,0.147727846970148,-0.0530422172479451,-0.218256127904092,0.186202360198177,-0.0151870830904277,0.0592958676348437,-0.101067443400208,-0.0027765235210312,0.0874785677113989,-0.141259398110223,-0.0113394425071798,-0.129151558196232,-0.144234766419331,-0.0896702400610559,0.0334031946789607,0.159527240887064,0.123708173023567,0.0082558317820117,-0.0695074270783783,0.165320612298071,0.0209880977117155,0.0430262026667793,0.187822599456729,-0.134467447342179,0.221818980045893,0.199971967479908
healthy,0.0639348951741722,-0.057387812114767,-0.0760970736716187,-0.0351725617055979,-0.0985612239910498,0.0124894506491846,0.0653625191792964,0.0017046485933158,-0.0205658392416131,0.154011504013119,-0.013795468571698,-0.0541062274854828,-0.128464456305261,-0.0499361333349589,-0.0198920682662521,-0.10231768298999,0.0367470551516717,0.0251317376374899,-0.0275097384764704,-0.0560111335560163,-0.0288922094626855,0.109070641483371,-0.0910935636945026,-0.0357582249740457,-0.0475711131165612,0.0304749728202596,-0.0890792644908314,-0.0013829246100526,-0.0108511707127198,0.0605795094359291,-0.0453462277698321,-0.0386710134233833
healthy,0.0129786322669148,-0.161765799062917,-0.0172873381426331,-0.177333721554994,0.0570391864667264,-0.07001207892598,0.0445533071329633,0.0821575260916732,0.0131400404710062,0.114951212957393,-0.110331955885177,-0.155687406446857,-0.0378345968615154,0.0220801341591762,0.0130314300044629,0.0441627029593333,-0.0289477467899102,0.018538156178838,0.0829605258912001,0.0001908857613149,0.0430102330948399,0.0947080012633186,0.266995525971318,-0.0382632423004699,-0.0937561769563975,0.0605687789188194,-0.0218329260928468,0.0867837969115985,0.0653335270219706,-0.0705093331139683,0.0073716116235323,0.143791672762921
healthy,-0.36021038438903,0.386468809441737,0.432571233897088,0.459377969376199,-0.377729440071874,0.204931021868431,-0.124719119637208,-0.524536868945291,-0.151974717083032,-0.188780054455389,-0.625067166609847,0.128077520998932,0.393959697473048,-0.503697041047634,-0.54896356088234,0.351272118099785,-0.381052900082895,-0.360618929412625,0.504424089921861,0.19316653786662,0.375575171411272,-0.403047136451829,-0.449781193016028,0.161372596523821,-0.421514984196048,-0.195198511799763,0.205488739581563,0.191313302381299,-0.188004625249421,0.381671093210703,0.518759450996492,0.369102958142741
healthy,0.255200135097582,-0.0917746372833514,-0.0439641068691389,-0.0519594033067006,-0.151030304241947,0.162831058462828,0.191703204379566,0.157476746240443,-0.202984477876934,0.0055905190614325,-0.0303164069215383,0.18286767402008,-0.0130889966862383,-0.0199189479437041,-0.239909446620078,-0.0187893388536485,-0.0665292686997325,-0.183693090538816,0.0607103873068227,-0.0240068079995379,0.211456546052351,0.122786590542748,-0.161980365197478,0.130969283550033,-0.135526942448105,0.0947712391750267,0.196237329754928,-0.168371895642985,0.133024544533329,-0.167412250883609,-0.026809912037824,0.28708282869723
moderate,0.0804031013256952,-0.154478178700412,0.110042916252763,-0.0999796223037881,-0.0709275223193708,-0.382501657209285,-0.0974118918869144,0.0163791442877926,0.0712021049047749,-0.0393022814237862,0.0588120729722571,-0.16504983367573,0.106738005988376,-0.138689003727892,0.0573124643038599,0.148680157752952,-0.001409884638027,0.0905398878221593,0.0406312340846704,0.0326536856859075,0.0804765938731843,-0.26096031339615,0.134131113159995,0.0653846963527621,-0.0129973599169829,-0.0751808471459868,0.10320743302449,0.20438773418695,-0.0745216685912073,-4.55383269717722e-05,-0.110480489978764,0.0672594326255208
moderate,0.0873884512782556,-0.0943993191079198,0.0510638019429323,-0.106061869035879,0.149690726295357,-0.0499212723025653,0.0808854119021262,0.0801805181224565,-0.05960342743374,0.0902467015728582,0.0800467320414312,-0.0135235090776376,0.0620147775161449,-0.0294272581729057,0.0965581225028806,0.0050937639166219,0.0076574520603179,0.0369233987862456,0.0707713936719929,0.0076348149200313,-0.0233215500729941,0.020957930022628,0.0268664796873442,-0.112725696120522,0.0309896747593495,0.0486601333580025,-0.0298796285423963,0.105970982954389,0.102959091071651,0.0692369447195381,0.0054346361863976,0.0914403597259651
moderate,0.0899811624313187,-0.154275407737962,0.0515044638010773,-0.115884838482484,-0.110628772880523,-0.118557679065336,-0.180769705723073,-0.0077091942511888,0.183220537588974,0.0902279230900173,-0.160642214162473,0.0483392297854979,0.152989988340592,-0.0932722683760174,-0.0509193172345265,0.0024523493834561,-0.151885338095257,0.278250132308091,0.0834009397203387,0.0862526012907955,0.0642951476143784,-0.076244839604092,0.0363827294737791,0.0093881633702472,-0.0188862237212943,0.0223463483104701,-0.0894987969186529,0.101480807930897,-0.367625456615921,-0.0922792787129656,-0.131848507955093,0.127888648429341
severe,0.143971804704658,0.246449936772355,0.0121383017711231,-0.0331704298261594,-0.106240536512883,0.0807787277026625,-0.0102609289678127,-0.11163331621765,0.158351274110941,-0.466477837849369,-0.251567955643593,-0.263256300649007,0.287687038317379,-0.161844661851522,-0.041010208452528,-0.0725033526328945,0.0305070687150887,-0.15123525572899,-0.125491984601496,-0.244031658495373,0.136135855497572,-0.167394447746877,-0.168872603589973,0.235031565826367,0.0778750705316067,-0.121562043062694,-0.129811569552305,-0.130174407029334,0.244606071387768,-0.030584614455562,0.184685233162782,0.171746582761588
severe,-0.0854513487075073,-0.0238560220112685,0.0887315642903864,0.219503729583578,-0.339907882278794,-0.103756970717796,-0.428396356025295,-0.435122530743702,0.445296171357207,-0.0916732612233099,-0.331789461718136,0.378196149700265,-0.031104037793925,-0.311963519302185,0.0786759531764952,0.359363161840638,-0.0916315742085528,0.0542649413904477,0.0748703807570379,0.352646529932838,-0.0493559187129005,-0.317272335518849,-0.286013101489262,0.363625784662855,0.0949313776658359,0.474822129628639,-0.389868513832268,0.366082807267578,-0.237443209018469,-0.0238560220112685,0.0769245963035049,0.288326981934879
severe,0.0936166741794511,-0.110156560235919,0.068992131711425,-0.0122438276289082,0.138895174474361,-0.035667184827345,0.0213689490587822,0.0390127326890123,0.206556078066498,-0.0742466450518992,-0.0255369201682177,0.0135375339861123,-0.0547079513260534,0.004956416996098,-0.0211718070319357,0.0061826575139846,0.146008053914154,-0.0009492883586588,0.0561112896721486,0.0615396008812996,-0.0662524319756586,0.0826462642676623,-0.119866630047993,0.014453578308006,-0.175386982522495,0.0220084078836185,0.1414362655346,-0.060801998815572,0.035648607277388,0.0480433774996969,0.111918005301581,-0.0848677481362067
