group,ASCL1,ATF3,BACH2,CEBPB,CTCF,CTCFL,E2F1,E2F4,EGR1,EHF,ETS2,ETV5,FOXA1,FOXK1,FOXP1,GATA1,GMEB1,GMEB2,HES1,HINFP,HNF4A,HSF2,KLF1,KLF4,KMT2A,MYBL2,NFE2,NFYB,NR2C2,PAX5,PAX6,PBX3,PRDM1,RFX2,SP2,SREBF1,STAT5B,TCF7L2,TEAD4,TFAP2A,TFDP1,VDR,ZBTB7A,ZFX
healthy,0.126900962590259,0.0598928624381439,-0.314330639572507,0.05771035861873,0.066376739071406,-0.139382321613426,-0.222452979755844,-0.0694588216721,-0.0093293592170162,0.106307464645964,0.0771215222411896,-0.0115728348099555,-0.165187144948742,0.103797453916783,0.0354905593608211,-0.22343252270943,0.0668083955025978,-0.248802796571292,0.20766777860518,-0.256745759096394,-0.0548442252814253,0.0497634983546817,-0.0382632438016367,0.152550699492697,-0.27361568165898,-0.059787635591359,0.0153439940792423,-0.158957020804741,-0.179367591323681,-0.261576655482381,0.233973945586336,0.241177971856751,-0.0024526219703405,0.177089968148229,-0.287165892697688,0.0086945724837541,-0.0610058847934902,0.119727609830686,0.191858149979144,-0.0254137300196856,0.0189541476785548,-0.0796685978047042,-0.0267157685043942,0.0261699276897075
healthy,0.117535770595119,-0.118256977089713,0.0636204666951979,-0.13445897127538,0.0604287076067162,0.0137827121956608,-0.113639446379767,0.0185052354351713,0.0865176076575796,-0.0170329232251329,-0.054300851935975,-0.0062752111841181,0.0371515772394081,0.0402214952766463,0.0866245336240576,-0.134323872371012,-0.0548730111598929,0.0701265509622474,0.0919963809357516,-0.0266351995560561,-0.0310590758436664,0.0382459715840709,-0.0550498170605497,0.0357370609828357,-0.0989029973749392,0.0613702223325334,0.0725790466363838,-0.0052027406330342,-0.1562195965889,0.0346178772148823,0.127518312536242,0.154673399468218,0.069935934797919,-0.0654336852639719,-0.106287656091122,-0.0337826669936779,0.170081683275014,0.122596990551177,0.0967010544094664,0.0090149258169663,-0.0026228452765265,0.0365170301493533,0.060639624858642,0.0029546023355796
healthy,0.0996827708078239,-0.0786952749343125,0.0182707414414432,0.0721754926534569,0.0973469393700481,-0.0850558399009113,-0.0935604388114838,0.0100643872151438,0.0783660616382618,0.0417561324723952,0.0533513067487764,-0.134566341140892,-0.0336027785938483,0.0864628990211994,0.134422723244508,-0.118502763845715,-0.0293958611659585,-0.0510619875287795,0.0540227235537928,-0.0251260298067756,-0.0810022934938182,0.0877242054410469,-0.0106878267407743,0.0207284171695309,-0.0899417994306575,-0.111586514964565,-0.071717088829608,-0.0970243118747449,0.0996934866870062,-0.0040811035182715,0.0876608519912718,0.0948515417938233,-0.109189095127427,-0.0840047488922104,-0.106400252687813,-0.0125086401883182,0.0919256672585718,-0.0339699021031,0.0030535023306688,-0.0622426889000692,-0.0161306073519375,0.0603847814879339,0.0482933908452767,0.0206941137984766
healthy,0.326311855077012,-0.310434885986583,-0.032869903998246,0.355588375682289,-0.314336122018833,0.383442404781929,-0.348907177239304,0.237732565928455,-0.304503414876327,-0.338765290506488,0.301424888483532,0.38751879835032,-0.327214181778349,-0.367998021727729,0.312059074048989,0.365857649714117,-0.325467914221056,-0.335787612392077,-0.234736310499605,0.341196264795971,0.342732874090306,0.241802324741689,-0.312711933956427,0.331051724161092,0.368110812565396,-0.307507632011365,-0.0098605731141643,-0.317852542251982,-0.359171143467007,0.0853229513175576,0.317630941429742,0.414198475787191,-0.432620536955801,-0.305154947832733,0.32289893702431,-0.324500566919182,-0.336639514954222,0.299045665284273,-0.244894120644798,0.423354437903694,0.305827712005642,-0.304994386757937,0.308299821777097,-0.33183064441651
healthy,-0.0678164452655133,-0.236991257483181,0.0044828858056051,-0.158857964951829,0.192604645930228,-0.0459734960640724,0.079040443328031,0.116700208640301,0.168530323955088,-0.0896468068055757,0.0157010096261462,-0.0254723915655822,-0.182792144296956,-0.295660668813634,0.0333757645564451,-0.09296575352238,-0.119688519451562,0.286203139231236,-0.0533935028579999,-0.212271608068035,-0.14726976388676,-0.384399485645105,0.0560637654250976,-0.0306517946341324,0.250189840027277,-0.115443960034724,-0.307213624426843,0.0953062193613603,0.0686371607873931,-0.227161133123979,0.160783037965319,0.076469203697111,-0.0814891630548666,0.247842660768895,0.114914439079401,0.0682586917686121,0.0927811344888283,0.0331793970389401,-0.0333841563306974,-0.0100667723931187,0.0570783309322067,-0.0476191229949581,0.0917397153041117,0.235369127520202
moderate,-0.112182561021233,-0.21223477567807,0.175917531708551,0.223977806807577,0.310505645914692,0.477034385601858,0.0281037157076649,-0.168560288875804,-0.0142324157451815,-0.262379217198884,-0.060715265493546,-0.139145072257215,-0.17192539018096,0.101964556338006,0.0436526539254402,0.0558292859887074,-0.194404956818307,0.339807549902555,-0.035104209333079,-0.217860671378534,-0.0941981653935435,0.129410884124447,0.0912810747208527,-0.0603906106151468,0.0316314719451724,-0.0035805917994259,-0.0300420385122565,0.316189617067513,0.154692263844844,0.0549839169980137,-0.0699903082266687,-0.283718889337158,-0.446296314976396,0.205287335943342,-0.0004525955365981,0.217262887211044,-0.007594347875075,-0.300076080655023,0.0298422676893007,0.0529080470694197,-0.157766551230681,0.132089123124664,-0.147343099176523,0.239383739682144
moderate,0.075624237043469,-0.105739864381164,0.0582876534949373,0.214148173961894,0.13610495779246,-0.148253646279247,-0.167653845273986,0.0815145775400364,0.0152353312297822,0.0068917396206636,0.051420295135475,-0.104770097450968,0.195524515870498,0.115259897161571,0.162972235258384,-0.0275372863064993,0.117463863473839,-0.0686741614033234,0.102722218794635,-0.0404531008137022,-0.0549506496413354,-0.0065143285736675,0.11125460656391,0.163145917755695,-0.137634655341191,-0.147734683430462,0.0857309382567402,-0.131624311908451,-0.0285637351371549,0.0843175841890854,-0.0199974605870929,0.0750153852883786,-0.0923919509329972,-0.102497949712163,-0.0566123481539397,0.0509753937664641,0.104053467379053,0.0892288674979362,-0.149219391207711,0.020139703493404,-0.0199544534925205,-0.0875358313605724,0.159991331507391,-0.036245724455796
moderate,0.148920292938887,-0.0866043607778114,-0.0239018473887749,0.126305351975734,0.086779389628976,0.0977887774142815,-0.117333226159299,0.0777955357026442,0.0366761128051316,-0.0477382567941269,-0.019974107442376,-0.175868080620234,0.17107850721402,0.0394046230782716,0.112111072173677,-0.136813312335816,0.133345464449659,0.0172044879120531,-0.0785991547207725,0.0222176055859788,-0.0569117286910283,0.0835086267452954,-0.0216006014929793,0.140920200175437,-0.0529975633216557,0.010716083583638,0.0336933987935972,-0.125138648531135,0.0729974401404495,0.119185780542713,-0.0011462299793982,-0.0581150571154969,-0.0833858671174788,0.0346596286641754,-0.109279403231476,0.0237667915073291,0.0156934893658352,0.0228031385743926,-0.0142852842534221,-0.0015164364933674,-0.0206375369946225,0.0353751042404466,-0.111092532498055,0.0657063704637419
severe,-0.0141472998206332,0.146055966492873,-0.0329888142534356,0.163799280018838,0.073045098065764,-0.108250281422089,0.165801713880137,-0.0829298570505951,0.120596721920169,0.181006329205881,-0.113379022280514,0.182631286218681,0.0323327461792211,0.107629393809825,-0.107637000396193,-0.126856942500789,-0.147033412841123,0.0141368407643776,0.0038755557543451,-0.132033224524011,0.0789183335649273,-0.0703152843830543,0.143205398251576,-0.160598808804627,-0.0989502787642754,-0.0394525110193919,-0.053448629935967,0.117596874421405,0.108732348833143,0.060922101042236,0.110543667211952,-0.179719865286443,0.13416021623708,-0.106374307059154,0.102077536584698,-0.0753337297391469,-0.0776622959909602,0.13740347449961,0.0913817253284101,0.0132250012235491,0.0521488544903856,-0.0217871650036957,0.0961653173303998,-0.131416140204931
severe,-0.0293377650141829,0.0004216419114079,0.158938710321009,0.0978347802230669,-0.103425494628202,-0.0717157464199134,0.0839854270649091,-0.396273617956409,0.125527053036039,-0.126278288272562,0.017288803022342,-0.0408017730866762,0.0854428630145526,0.0885230264612696,-0.0877376441685415,-0.141551920093903,0.264767860775159,0.0461168366178041,0.331358084570129,0.0484635806834101,0.070477544468807,-0.0802688416720999,-0.305966531529616,0.18328556139558,0.32268968114264,0.202000127735723,0.0406864649113733,-0.0851875024203197,-0.208467778135007,-0.360597862379548,0.182299750729472,-0.0874224025047306,0.0901135864416276,-0.0289423520010199,-0.106685796168525,0.0050844471805221,0.129301045074064,0.0531545943902594,-0.362772386509509,-0.168712686553762,-0.0900932961618533,-0.108630693717625,-0.0691027542928784,-0.0726763179575222
