group,ARNTL,ATF3,BACH1,BACH2,BHLHE40,CEBPA,CTCF,CTCFL,E2F6,EBF1,EGR1,EGR2,FOSL1,FOXH1,GMEB2,IRF1,MEF2C,NFYA,NRF1,PAX6,PPARG,RBPJ,RUNX3,SMAD3,TCF7L2,TFAP2A,VDR,VEZF1,ZBTB7A,ZNF76
healthy,0.0793279545458463,0.263118036519758,-0.0486292189941222,-0.232364237328542,-0.118312805528662,-0.18918026636456,0.138262208388705,-0.0495195456319664,0.0482478164404284,-0.199621404876178,-0.0465707902954699,0.119645880625882,-0.0289580999485264,-0.18165215053088,0.070952737454983,0.230947459204924,0.129670525466882,-0.155667499219479,-0.098225301753481,0.246911593329987,0.181747352888454,0.0442294417362228,0.143154955921819,0.0656067226006081,-0.0532061948931565,-0.140963921777875,0.150210546080659,0.179460414322505,-0.124816330954604,-0.193478159548244
healthy,0.157908448327569,0.106570738982815,-0.129885783913957,-0.176834653378962,0.048736880808346,0.116868863802277,0.20957263826642,-0.14451849633759,0.0441779975136047,-0.0517822948290361,-0.0799836705896382,0.0588323970340312,-0.145622328124104,-0.0943405286674228,0.142831184953248,0.176670860544416,-0.0218439483764649,0.179194299297518,-0.195818425930922,0.175577906839892,0.0148988628296724,0.237203657194771,0.168640142414947,-0.190632585243984,-0.0389587973752287,-0.130667141003235,-0.0358538474391354,-0.0166067907694058,0.104536123247423,-0.177746996388846
healthy,-0.258355857637588,0.0357089513673212,0.0797030802427785,-0.159620425199132,0.0254297408620046,0.035165240258048,0.0036366296745313,0.100031935882624,0.168078559115903,0.0333275168320179,0.0785095248940383,-0.114954337256752,0.0914144808367741,0.0528061208487331,-0.120554808019378,0.0047628482533858,-0.110748877026638,0.0193349721329701,-0.23489428090651,0.137234786519847,-0.0176507201970019,-0.208033578171847,0.159544123146199,0.299254798870731,0.156033035190625,0.161521328889981,-0.154333982210741,0.131611451509822,0.11715795109285,0.146316125572666
healthy,0.0864406926934985,-0.0243266142337586,0.0282165975124387,-0.104710784168646,-0.0291424690850589,-0.126005830338911,-0.0744387517649902,0.0786765982202404,0.122406835268768,-0.0230303940320903,-0.127507064960231,0.139536782035918,-0.0744228796808881,0.15237597540081,-0.0531106387528459,0.0621431772805937,-0.0734917174135672,0.0507060180113837,0.0010647523085132,0.0063938045457801,0.0151604856648184,-0.143429410661948,0.106178951948086,-0.006400417914156,0.20128315721396,0.110526580318376,-0.0344622626065996,0.18079494198555,0.133605913276447,0.0430345106953876
healthy,-0.281301048268937,-0.104957264535731,0.190531489805927,0.15860392739191,-0.0403098012477904,-0.315645744465711,0.0981605384218363,-0.0951148829915568,0.0032061290424127,0.0246627882647328,-0.13202381378221,-0.105895032206635,0.172204901820269,-0.0750030260709161,-0.0899421164004483,0.0208649127775786,0.107541558331127,0.175280646052823,0.159466473057127,-0.0558916218259188,-0.0307131449221952,0.160041503500604,-0.0979290218043315,-0.0999641949582093,0.38348512819499,-0.152958097965034,-0.173345768906529,0.0147184391128489,-0.0357154083004122,-0.208787034786213
moderate,0.0292618364998722,-0.0750382991057539,0.0301927689361305,0.0539044918069716,-0.0538408477838163,-0.0559992006666419,0.109989955626949,0.0297931643029391,-0.058045123167099,-0.0856165123202354,-0.020217510770288,0.0527256359634392,-0.103430186118384,-0.0946098341288241,0.158060264140562,0.0220572000249804,0.0939268250998399,0.0198939685062335,-0.0158861690968728,-0.0149825126705382,0.0122735391971386,0.0392031659704438,-0.0598546535815506,-0.0469892471446851,-0.102901519389456,0.0092510024877054,0.0628851735134005,0.0669785708075624,-0.0515674034444832,-0.108731711071607
moderate,0.225322681966103,-0.100092802603426,-0.0062620905079829,0.0918100142385878,0.0198721443270865,0.117050801522318,-0.0055343913550565,-0.105380699833207,0.182108120649557,0.0658374070794725,0.160809763629406,-0.352207616016477,0.37259762050295,0.269021853866052,-0.409605590518406,-0.0968473193243398,-0.186085855174423,-0.468959001077145,-0.365259885210936,0.492905540953171,0.1420313929948,-0.406578584992616,0.304764864253265,0.428659697650338,0.368716739983649,0.220970937956782,-0.148819392125595,0.0976840416687161,0.0654549972241649,-0.472496385891522
moderate,-0.495191349369687,-0.475284289976764,0.593627045766477,0.541301005350071,0.480301972180554,0.587337555521259,-0.502131760561251,-0.563662061420843,0.527214305436677,0.506909071507271,0.624584894993142,-0.489013155135171,0.505135668015444,0.56405189880129,-0.467142805988118,-0.62875345292178,0.504031647750439,-0.354517470912802,-0.488536972943534,0.367575767561964,0.635122417358033,-0.335346692890317,0.502474427719111,0.55665941285723,0.57849313878632,0.551446681381255,-0.508696316687071,0.549757111509042,-0.498194754585565,0.0684751317483319
severe,0.128140816402722,0.283423248516323,0.226507594163054,0.03314373075001,0.171670218638685,-0.285407103479201,0.253490882987472,-0.268975443238592,0.227658802307378,-0.235397744215452,0.216336522372605,-0.0148102403190261,0.0519474329582531,0.379050780385604,-0.0398659469896092,0.34926529642612,0.257036069957193,0.170797513210303,0.195462171546858,0.269024085836239,-0.301570752544537,0.272368025980399,-0.190419555590734,-0.0146233001398318,0.3857338917918,-0.143477541308051,-0.0968664874446551,0.23122783368771,0.279491782094696,0.113923825019711
severe,0.105532772995824,-0.0710881585824951,0.0899886485478397,0.0245187108985235,-0.0500615740740451,-0.11819173115984,-0.229916983670866,-0.0832352883468318,-0.0452841786919382,-0.023150201663367,0.219272637581485,0.0109758206289602,-0.171467964146882,0.0646568588459519,-0.102048078770314,-0.0205841229780391,0.0564676044510687,0.282087806048336,-0.104683524324912,0.124023007477204,0.0195059636385384,0.287974080383477,0.0782096586682681,-0.0114930992826544,0.0744494788762322,-0.0163472936985953,0.0079999819373054,-0.0225610787522152,-0.127997233608699,0.145227963935203
