group,AHR,ATF1,BACH1,BATF,CLOCK,ELK4,ESR2,ETV1,FOSL1,FOXH1,HOXA6,IRF4,KLF4,KMT2A,MEF2A,NFATC1,NFYA,POU2F1,POU2F2,RARA,RUNX1,RUNX2,SETDB1,SP4,SPDEF,STAT2,TAL1,TCF4,TFAP4,THAP1,USF1,USF2
healthy,0.316175213219767,-0.0288532818059754,0.0644672351278908,0.0895184394190068,-0.240231102301198,-0.0363817935866059,-0.0779390999748626,0.0169402649779578,-0.136947047859673,0.115886294982397,0.0165252404580924,-0.316679533909502,0.0875142027843716,-0.0116573006557828,-0.220718809087154,0.0808426575352861,-0.0301648602596843,0.157775652539963,-0.0732843763193895,0.238494013884464,-0.145984444037166,-0.0102707464291127,0.0659316292069037,0.0405587742381307,-0.075160360450196,-0.061152051107885,0.0784523648446991,-0.0574559809379295,-0.0547367802837951,-0.0845582786877992,-0.220959974279819,-0.0079747984551006
healthy,-0.0479442589064567,-0.0265582858800362,-0.0025145773390803,-0.0339893358749402,-0.186712169414433,0.16106133786382,-0.0911185317861278,0.0681421820321391,-0.0006089336487089,0.0385702241325485,0.0345730287506457,-0.0748302934502318,0.121480789383303,-0.170571007121231,0.0028808459187626,0.0532829944392163,-0.0753271691616506,-0.0671848702417557,-0.0377084320257154,-0.157607720557671,-0.0582378483254175,0.0032840048589886,-0.0268458157296487,0.0665350243510906,-0.0722541050484768,0.0110232141814405,-0.172091312966601,0.0289415973309418,-0.118865907708647,-0.0495569640101434,0.173276693170194,0.0831366573946493
healthy,0.0012835292346528,-0.0269290762060309,0.0770634791323267,-0.0203835083844071,-0.0593552044770481,0.0688003529610695,-0.0984758128038107,0.0162695562814047,0.0440787412568083,0.0575017420451755,-0.006636499067103,-0.0300133362778223,0.0854264486359249,-0.0947844613749896,-0.0011294235255991,0.0059470600274697,-0.116408008010164,-4.82371070068069e-05,-0.0686821891740894,-0.0035283266430336,-0.06761670899799,0.0151377841587972,-0.0753284880418044,0.0464364880076211,-0.0212192174865276,0.0716674446981856,-0.0116582258530461,0.0996827330408118,-0.0201694155934331,-0.0995944160074788,0.0531524828895319,0.0678931444577647
healthy,-0.142687868649209,0.129326872580424,-0.115658037882884,-0.0393127253170918,0.0074134471504739,0.0339448725178632,0.0356413165629024,0.0026586063392406,0.0492142015579729,-0.0889986795788699,0.049907171631359,-0.0493074859909287,0.0127080050380945,-0.0126720238996687,-0.100166158838437,0.0331959317847036,-0.0025040207074852,-0.0005064012074744,0.1050702547424,-0.0785108440451237,0.032207116795372,-0.141008748856004,0.104743759227054,0.0051359743515956,0.111748087507279,-0.0030224156277682,0.0552043947884925,-0.084419746555496,-0.0351668985895843,0.316427459759894,-0.0825060830451454,-0.211690363706622
healthy,0.152090180504623,-0.0052520692045035,0.173276694965324,-0.107052074449714,-0.262235102430292,0.039807255617392,0.0162382979994444,0.130993633615945,0.0759275382832062,-0.0427218654506605,0.0584237530206857,0.163804637382541,0.0436325749297219,0.18365691577513,-0.0583465167088547,0.0551891641812605,0.170667635376662,-0.0335434756029711,0.0334136167490136,-0.0263053298085292,0.0334322892639618,0.272160392875907,0.0032880601322312,-0.0463256608356511,-0.0700456960745427,-0.0504404041296772,-0.061732183169224,-0.0800193653088868,0.063452600796491,0.098883697910583,-0.0491536980996146,0.0214216183989117
moderate,-0.0931912882574141,0.0336689226478569,0.0298515358041491,0.0933803176839759,-0.0470878215580054,-0.129327888216564,0.119637884970134,-0.0976027050024379,-0.0838545926182193,-0.0485141942414013,0.0738489562273213,-0.0943662058055922,-0.0380098092939781,-0.10199177991489,0.102838360139295,0.147761652388744,0.117833891508762,0.063821197041426,-0.193285983741884,-0.204932211563777,0.0788673260905408,0.0658348094613368,-0.0135805486399314,-0.0484119036942352,0.0744042164779984,0.0020453728681743,0.326847868268344,-0.0027515500074969,-0.0196454800328293,0.230013985151459,0.129796409587845,-0.139639739136238
moderate,0.178667736997017,-0.0876152157202891,0.191797976942578,0.177473943139746,-0.115495428572811,-0.0948585844157734,-0.0201650595771958,-0.0753096132940122,0.0531201637955796,0.129561991723148,-0.0271485536948921,-0.0168662588538201,0.0988770246703186,-0.0788962014717905,0.0940672942392856,0.105456864413134,0.0237942576156022,0.119092350211443,0.204200249066028,0.0175051561170027,0.0218202475884021,0.101306663987957,-0.0899192243071397,0.0437377003454884,0.0420596237754581,-0.008105751259758,-0.0650550718274028,0.0796421360720322,-0.183236231816034,-0.143282697242712,0.0728388224211362,0.0025662529108981
moderate,0.0046377241858532,-0.0171933277400397,0.0180512234724957,0.116710885450213,0.0151633131177885,0.0233927752821005,0.113963397977942,-0.130464285912312,0.0011416841901427,0.0044922019795678,-0.0685860670132903,0.0683402715415936,0.163757448835937,0.0196226012797851,0.0335564936196247,0.100668412621072,0.071264985711907,0.0866541605808914,-0.0787509140549076,-0.0369708033457386,0.120278215202659,0.0793593460273643,0.0272432485184659,0.0068347668584489,0.0722579026714968,0.0645895273740232,-0.130989032538439,-0.117078238321647,-0.0891543812350585,0.0718737401712475,-0.115644179460538,-0.182711131697134
severe,-0.0197256500771479,-0.118220095966022,-0.0299989681971761,-0.0126856220492264,-0.0649525257639891,0.0296721029262626,0.0711199573230683,0.178459836201138,-0.105814507613806,0.0241335525024498,0.155883194594355,0.0801039735411597,-0.113590460374486,-0.0019134043051722,0.0179881031107127,-0.049151170430616,0.0688366791587044,0.0955622159147142,0.048917012561102,-0.097659123529873,-0.0079279164392626,0.0308562727235195,-0.0543370504305484,0.0252393510944,-0.0056111871506824,-0.105869940905365,-0.10083984756964,-0.113754848756349,-0.0058243185992605,0.16426604632296,0.199128807981185,-0.0801011063019412
severe,0.242163964249036,-0.413166221660455,0.327886835314784,0.339943673537028,-0.304310295670925,0.400640627521795,0.319526033435616,-0.408917192079831,-0.369709178715813,0.351837487767199,-0.349510555649344,-0.20817916030885,0.301115223631758,0.447120303754111,-0.304748329740811,-0.337786702602398,0.303130973175079,0.328796102869355,0.362894379436242,-0.323916284407549,0.302462029742561,0.317857143449897,-0.0576411212822933,0.386269740536692,-0.174345983546702,0.420904162876901,0.0511741725876317,0.325391428554665,-0.33188017985009,0.0947050470666773,-0.305201724733962,0.460256370714151
severe,0.144885002332837,0.0546454892937793,0.0894449792115766,0.0233993244765011,-0.133684865331467,0.0495650823071291,0.0743555081475312,-0.0634343677573376,-0.078666976213204,-0.0734708462843528,0.0383006547823139,0.133811748138115,-0.0456058777887853,-0.202557119646384,-0.025400943207381,0.225714808797031,0.0664192675883032,-0.080568883981307,-0.0337772705950214,0.0540272085428372,-0.134716546278448,-0.0686748945382282,0.309214734133059,0.1498942045322,-0.306816455002811,0.0963195770138407,0.0962454609575673,0.0831129691666136,0.0264681658965685,0.100235840314638,0.266765763651173,-0.212952169470198
