group,AHR,ARID3A,BCL6,CEBPB,E2F4,ESR2,FOSL1,FOXA1,FOXP3,GATA1,GATA2,HOXA4,IRF2,JUNB,KLF9,MAFK,MAX,MEF2A,MEF2C,MITF,MNT,NR2F2,POU2F2,PPARG,RARG,REST,SP2,SP4,SPDEF,STAT5B,TAL1,TBP,TEAD4,TFAP4,USF2,ZEB1,ZNF263
healthy,0.150241068650078,-0.0607738638397483,-0.167081509002079,0.0675994785887246,0.0496325464817558,-0.0525627458318122,0.0382245967514894,-0.396478184075656,-0.134224797022724,-0.181205612151714,-0.180533909801509,0.241080238038578,0.188661884381531,0.0386727944727537,0.193910469484112,0.0050790391616038,-0.0655507637540277,0.230544448899615,-0.0707214983790126,0.032340661575541,-0.0870879011203489,0.162057616991822,-0.11755453972609,0.0260088104789239,0.103351961236669,-0.17388940707013,-0.0856449718008777,-0.0776774152729725,-0.0004293415857561,-0.0872315826675255,-0.0798146277469,0.374445138922009,0.0199573142183684,-0.0958642988709376,0.154335790583314,-0.0150092633249375,-0.142496538915322
healthy,0.390530642550824,0.160009661412513,0.535347674022757,-0.386093411786669,-0.107148869980774,0.438575369306044,0.123231768413225,-0.0385048688855284,0.469006729737617,-0.501655772982881,0.36492773411924,-0.135306136009104,-0.08652464503751,0.0201015995431223,-0.357392722323621,0.393362060936427,-0.255366432892724,0.410241196814411,0.483602199189677,0.0059834291485073,-0.423552959489394,-0.406025283883499,0.4153952383506,0.576347040172015,0.28418107165519,0.0816341860376525,-0.141070710712559,-0.0518871900365258,-0.0952351152948839,0.437955721602476,0.0973431069515995,-0.207035777151163,0.42547091834288,-0.254121436501491,0.0573042510488889,-0.16079498956749,-0.457875523097175
healthy,0.184317613870295,-0.0151819689099318,0.137171838714093,0.135202195377801,-0.080679959363125,0.027991930832494,0.0535559222785928,0.122845000931281,0.20141182985341,-0.09469995417936,0.077469755171502,-0.0345591164615633,0.0068775603454009,0.0289549970642763,-0.170847740597775,0.055647663249246,-0.0967461163916152,0.346417359555631,0.148376069647779,-0.0350924035683202,-0.198367831084327,-0.0147374232336199,0.11390242579395,0.146705758091967,0.166199304156627,0.0133590459703729,-0.0768559555401661,-0.0515033716497801,-0.0812302301357022,0.150552267048672,-0.0025501222943927,0.0106244839076265,0.104521167542778,-0.121555443265978,0.0595162083346992,-0.228943197778312,-0.152889077342817
healthy,0.0236817143772,-0.412225688214634,-0.216497109549887,0.0327593413653288,0.0556749307436809,-0.122045620812915,-0.281659994015955,0.0938612180528062,0.070313098426295,-0.14806660653891,-0.0778693811106618,0.103462318349756,-0.206435243684235,0.429169046952501,-0.0555835955569855,-0.153756652348859,0.144076485770889,0.0142196616779054,-0.406343429549103,-0.268858072549441,-0.0106425940676261,0.117476135054662,-0.0284338705088439,0.175685276426204,0.352722858900197,-0.197168130264006,-0.421605948209426,-0.172416294669554,0.0238875593502,-0.128957104343447,0.0066197562178035,0.210493525039342,-0.0378904703611716,0.159911553362736,-0.0390900966938872,0.43523942883839,-0.0726414640811567
healthy,-0.185449324357642,-0.117818321789133,0.420373094396423,0.110360829899376,0.029622152572604,0.237620254657667,-0.136691159019044,-0.140185687253817,0.18216261110929,-0.287236082665633,-0.0885232223099121,-0.0944536147297811,0.075613142128902,0.194249948352257,-0.0940959004088928,0.228658659218652,-0.466141790053312,-0.149093625544699,0.207453865296854,-0.12993972706266,0.217976628236317,0.0843243375432952,-0.0502690824939688,0.178131511393185,-0.0834121660250301,0.0474525080673557,-0.0193089080210899,-0.163552097714697,-0.0936606813184788,0.0261276243378313,-0.0164659308707922,-0.0871111024431675,-0.251869208439716,-0.0933455520357915,0.125541544317263,0.0197662713313684,0.113396291422342
moderate,0.0343126393602522,0.182863672626142,0.0768372278649858,-0.0679091283032321,0.0623091824919092,0.146842012092164,-0.106053980255433,-0.120034956800063,0.036021888100046,-0.0677359505251755,0.0993212105555876,-0.224650719503173,-0.209938345614688,0.021066018518367,0.232541572925134,0.0469484728745368,0.157982281404888,-0.119349755368094,0.111035856624967,-0.0148074965050785,-0.153629625214496,-0.145964289766324,0.0016068440090113,-0.041007405526674,-0.0323414620757236,0.115917148792265,0.150133072573445,-0.0224805691995757,-0.0963009536957096,0.0239697615512214,0.215596775905591,-0.170305439141183,-0.179488412699551,0.100095162754235,0.0078451126422117,0.136441560067827,0.0110289895052733
moderate,0.113560017165068,0.0009395287057307,0.106229750224962,0.219154975353153,-0.0019619800017692,-0.0383209708080517,-0.0360825110852618,0.154647503110972,0.0614326424068615,0.0212081248325597,0.0695887230903074,0.0091940288716294,0.105295090955525,-0.0954826555224284,-0.0380755559579822,0.0236541813016523,-0.0731217775438222,-0.0421346872478219,0.0452026572203347,-0.0533292606349299,-0.132564017132205,0.0584814559709488,0.0790595634207098,-0.0530084465328647,0.0426285855221699,-0.0421043687868135,-0.05192266886946,0.0353074887613605,-0.0227312157879848,0.132288212734466,-0.0235918027564358,0.0489247666493519,-0.122384051812848,-0.0731666450748261,2.50698958553115e-05,0.0657869373618445,-0.0882182859172689
moderate,0.169321597041097,-0.004223533846147,0.214787242753211,0.0085764981698296,0.012118854727,0.122706432491761,-0.0943593465434605,0.151855542792271,0.13354248874699,-0.191074377179014,0.161669184726624,-0.133231448043103,0.0143526625694929,-0.0979379510444827,-0.118890209442286,0.174618634019387,-0.0234188064453684,-0.0336111683791133,0.0411053124140425,0.006945628868681,-0.150906406540738,-0.219768484186598,0.126474098528433,-0.0536614478447268,0.231234752421901,0.162584666583951,-0.107072947488322,0.114187321753765,-0.022163487249601,0.0890583369057934,0.0447541280090332,-0.163495825858536,-0.0586701273866622,0.0297063735508795,-0.150096416286046,-0.0500905622414584,-0.133920550067107
severe,0.147570109022378,0.207934282024191,-0.239981655172026,0.209019557470505,-0.137988230666932,0.0725219931681783,-0.0065575644204412,-0.0956253681283834,0.0823178007070112,-0.299964858395204,0.27075033744747,-0.386402993784983,0.223829513403518,-0.163126374983279,-0.130816230372745,0.129916555587816,0.190672443669712,-0.0999752615239182,0.282287860666572,-0.371657509660663,-0.0735232598940762,-0.237155640891028,-0.0936384642059676,-0.0877793443796892,-0.0839842992771398,-0.0083901267402309,0.112498421939538,-0.109460432166326,-0.204422522141651,-0.228394312828025,-0.143167465965186,-0.21780628351875,0.0709639244581226,-0.148120073087432,0.0895376664349245,0.214777085355815,0.0504101164780087
severe,0.292192357121835,0.0014136888934092,0.150067624163536,0.204098381471823,-0.377866025018326,0.136076476352476,-0.376585513358032,0.169860273782458,-0.0537297265058862,0.0038681704275046,-0.226406824407633,-0.12374677734398,-0.515616514063282,0.0868471352146951,-0.216594928938411,0.193127592796699,0.149971133488977,-0.198551172795872,0.185598304847514,0.0860792302629961,-0.133532539922175,0.290350993415667,-0.0210244133863398,-0.296273108566728,-0.102145932688269,0.550601419369285,0.202848023147329,0.394155862128516,-0.440187944560336,0.0404311003070258,-0.368094333996837,0.0907851608701357,0.0079991774320633,-0.40943053693345,0.36338036250015,0.497432042353677,-0.0906032357441442
severe,0.116566108816597,0.0495515879802099,0.124106071370566,0.104042128058554,-0.204890546983423,0.0896758106931825,-0.0981737638568885,-0.137950037150287,0.156858749307595,-0.0465818659421725,0.0400227323768314,-0.0379746060987476,-0.007945679637797,-0.0419164858692564,-0.062911673240326,0.101715178149411,0.102850135662961,-0.0713340277059919,0.0704741077820808,-0.0109118598951508,-0.11339242906333,0.0551899806981763,0.0450893107099446,0.0547133058703074,0.0880192343761921,0.0053982844136901,0.0661449526133725,0.036863830398141,-0.144858463569255,0.0826111795330298,0.0883938082160777,-0.0537647192989372,0.018528642450844,-0.0813692358167606,-0.202064572388994,0.0167466382455059,0.0106586836414556
