group,AHR,BACH1,BACH2,BATF,CEBPB,E2F3,EGR1,ESR1,ESR2,ETV1,FOSL1,GATA3,HNF4A,JUN,KLF4,KLF9,KMT2A,MEF2C,MYC,NFATC1,NFYA,NR2F2,NR3C1,NRF1,POU2F1,RARA,SP1,SP4,SREBF1,STAT3,TBX21,TFAP4,THAP1,USF2,YY1,ZBTB33,ZNF143,ZNF76
healthy,0.0718774026702578,-0.0373516556041382,-0.182844759432837,0.146341230104126,0.1588751349237,-0.151954489929079,-0.129565022245256,-0.235833881788255,-0.154092473148501,-0.0139514137622897,-0.152387801719385,-0.213899736113157,-0.103806513297409,0.0439029359427523,0.113998564795219,0.107004245530697,-0.247926843316366,0.163812582923956,0.325983605722017,0.0675969542386703,-0.143418861814179,0.164726970011018,0.164103234096599,-0.0816368570739014,0.0119440624610879,0.136402665579673,0.0203136872555778,0.132409379634485,-0.165487733768437,0.0771442650236384,0.0114054722952941,-0.159043391353975,-0.0868207177670773,0.207290129301413,0.199530903464558,0.203173515874826,0.0348837856053299,-0.215863708992702
healthy,-0.0495543037490168,0.117981047849238,0.162431721869639,0.0262082443662051,-0.117943550918718,-0.0798566663860061,0.12987006539504,0.145423750665129,-0.0940197828305458,0.155278490547704,0.141698133133115,0.118536376006585,0.07296639785541,0.0559023542114417,0.0744689731948181,0.117595493617159,-0.104190202591279,-0.132434661731513,-0.0236575537179876,0.188527752174399,-0.167144435720207,0.046970855173491,-0.198035541675874,-0.0255300826292675,0.0522096329717937,-0.104871961819706,-0.0351589761471161,-0.0611181634102378,0.114219697541185,-0.107802222411275,0.0861865218434001,-0.0499491284399327,0.116367642098958,-0.0478108348449042,0.183212181769313,-0.16399721871884,-0.0203339904511322,-0.0302396832660466
healthy,0.0842848355901522,0.134091200561557,-0.019764214315057,-0.109219291726891,0.0815573877977033,-0.104335693619429,0.183826744224084,-0.14063853735375,-0.141471628595855,0.0707939662520815,0.0517567473703562,-0.116656981474105,-0.124041005384778,0.0025031349294905,0.0238216126949421,-0.0700513095552369,-0.179131067314209,0.0604757002371172,0.212852679270002,0.0032539399520237,-0.202728953658067,0.167141940684605,-0.0629838624112485,-0.042952086964754,0.0162770311585534,0.157447974666616,0.126083239732688,0.199632582914111,0.0069203723091084,0.110474280510905,0.0893910917592111,-0.103378555115813,-0.187172661806182,0.192428387733609,0.194475900688391,-0.0429362232149986,-0.21730321516308,-0.144604977517058
healthy,0.480830120651589,-0.0728924719191594,0.114119674243855,0.233163040083427,-0.185095550209245,0.107154419902601,0.0787987971301573,0.195662479033287,-0.169486540197285,0.0846656591437543,-0.139744443756158,-0.146526851949455,0.031253536901581,0.361397384597662,0.0224190424434381,-0.108909216747026,0.0326373796904384,0.345197742064602,0.0880437088412693,-0.20047172735654,0.138573702233265,-0.325289874415773,-0.0709364127679893,0.0992236326649377,0.194823228368562,-0.0196947663828642,-0.330756842695708,-0.0487554649488698,-0.108982881382175,0.316322520526381,0.495038187155818,0.0155695468145592,-0.172131889863057,-0.0418112576462289,-0.259817799047892,-0.219156235885942,0.0885501532079139,0.159902244988526
healthy,0.0539756621631149,0.212064665184917,0.131431096525594,-0.123223909245492,0.0133682100975001,0.139935633558568,0.050423334918837,0.0139662506117026,0.0917649735933679,0.0302879121871634,-0.0715518724150172,0.0481389203848374,-0.0012253148524231,0.0742255144345172,-0.0549011215063221,0.0646977935609037,0.0865571766575408,0.155589928694297,0.0159107175349753,0.115791835927931,0.195332894821086,0.0095953762949129,-0.147332626287307,-0.0512727863195966,0.123350032314828,0.0509052753890811,0.0779724554215454,-0.13479549204404,-0.0998669191070043,-0.0338034883383898,0.119704156833692,-0.0562951572859364,0.136384141566405,0.11432179220587,-0.0492347711594654,0.0563778472453024,0.160333325454291,0.0127676638269533
moderate,-0.126797928811656,0.308352321547471,0.0550720214016276,0.142355263557948,0.159688541743153,-0.310751699474207,0.171472133832953,0.327755595341136,0.120395710866483,-0.179978580325728,-0.131339279295816,0.20119444435854,0.192759755372812,0.233682600813209,-0.0162617433016991,-0.048455408702986,-0.231598122038189,0.12257081915346,-0.135062989195101,0.319807409086665,0.0359676274996963,-0.158950997458192,-0.0983413592666263,0.302215408880642,0.181810042569786,-0.246821905069771,0.254467700361827,-0.165710905729008,0.0540502998334107,0.262927186284241,0.0750717383272541,0.123834365714841,0.170321380417204,-0.249694399770793,-0.167706949411247,-0.338216172109892,-0.0765821570459046,-0.136834543795663
moderate,0.156675857896527,0.226562283763468,0.132554686820067,0.0028651533061907,0.205500242260131,-0.116851058234931,0.0638383560983859,-0.0113389357593794,-0.0486772236971095,0.146616457821223,0.0595707874979578,0.025532080771068,0.067270978445065,0.183574584484172,0.128498593631794,0.0402239344101011,-0.0362295021761842,-0.0058861091120963,0.0789835657518388,0.0531806621759091,0.200020480765212,0.129171703979957,-0.176620165598409,0.0402823064777989,0.221056426654061,0.0721361264103914,-0.110389065068896,0.0995921605128481,0.176645433320739,-0.0626059422214382,0.1692625178673,-0.0768134109015748,-0.0742299337262195,0.0220719678683175,0.0348666442497592,-0.166278046021329,-0.147187601341979,-0.0773298795168763
moderate,0.0862018496415605,-0.0829578409513666,-0.0062495594858806,0.210601263951725,0.0883253434486711,-0.075325829881515,-0.0341973478250702,-0.0180618321321314,0.193437769880297,-0.180416582009151,-0.0742973851709474,0.0873544400615123,-0.0691125023705927,-0.145886759687514,0.0650393349697557,-0.165142543867417,0.009711061402363,0.0287277388779112,-0.0045053558609438,0.136301912075926,0.162178881857552,-0.144142272208268,-0.176718061745012,0.139369586414574,0.0702563946835176,0.0888699179396642,0.0215579642742595,0.1020419338252,-0.0177835535331932,0.0549807750677787,0.012938099659966,-0.0615666816340079,0.078235498746828,-0.19328773260291,-0.134482000451832,-0.109255584194834,-0.065663854999227,0.0107266718431217
severe,-0.0488917819673588,-0.062534175550094,-0.14155346815987,-0.0333596614014632,-0.0334008048243877,-0.0115622586655753,-0.0575778283233744,0.0336706291328693,-0.0147303022307622,0.169459233964364,-0.119393429207973,0.031910073361216,-0.0930999114878465,0.0037564901953863,-0.01004760660768,-0.0200081422505664,0.0854969896609133,0.0343069169525158,0.001665830216548,-0.0404219777876442,-0.001187418322077,0.0254524696096464,-0.11442177280063,-0.0611783562411632,0.0398823291706809,0.0115058060620277,-0.0473943527376646,0.0041181695876064,-0.0150259607815453,-0.0308900992022039,0.0723148283206592,0.0297093786466494,0.0485071388042042,0.0116876025819267,-1.81796519898982e-05,0.0167233661831285,0.0377112959935715,-0.187460916729519
severe,0.32444064314995,0.374144666836635,0.312841371700931,0.35099560677401,0.168001648650382,0.179386164593711,0.361304365875474,-0.0196263770096169,0.365306042775274,-0.34063687000878,-0.37794890722314,0.344242684225281,0.327478889244271,0.156160900964551,0.33938297495943,-0.34164483536613,0.335774686601159,0.263515891705151,-0.127380694231995,-0.267042533384992,0.35455688643864,-0.0558883884565259,-0.268349869896588,0.142017716946981,0.360700180455088,-0.313524729657977,-0.167500387527654,0.330614121696,0.345392170491911,0.101348764178244,-0.131312600333864,-0.355230842656957,0.323817159423754,0.372916008033346,-0.330228650408138,-0.1479175554132,-0.323370824248334,0.306255701135896
