group,AR,ASCL2,ATF2,BCL11A,BHLHE40,E2F1,E2F4,E2F7,EBF1,EHF,FOXH1,FOXK1,FOXO3,FOXP3,GATA3,HOXA1,HSF1,IRF1,JUND,KLF3,MAFF,MECOM,MITF,MXI1,MYBL2,NANOG,NFYB,NR2C2,NRF1,POU2F1,PRDM1,RBPJ,RFX5,SIX5,SP2,SP4,SREBF1,SRF,STAT1,STAT5B,TCF3,TFAP4,TFDP1,USF2,ZBTB33,ZNF76
healthy,-0.070601185302322,0.132761037971451,0.0124742100512919,-0.0369815853323841,0.0614586670161628,-0.0894181354092855,-0.0127196872355822,-0.0359582705140465,0.0235838553993588,0.0956652114734412,0.0478056881603199,0.0793540781624294,-0.0152349617216043,0.0994402671871326,-0.0868313665841495,0.0194653152252204,-0.0783668426802861,0.0842035781990148,0.0909058675015874,0.232303105173798,-0.120536774255568,0.223286109640143,-0.0151478736687217,-0.0259942256219571,-0.0061996426683622,0.0093771487198963,-0.0154484784360017,-0.119704219717283,-0.163173756280339,0.0126844292568909,-0.0007638866352844,0.0099952323196266,0.234190922921527,0.321713123638349,-0.20877649114512,0.102183106016609,0.0421572246915608,0.0680528874131681,0.0634604481174214,-0.0691981858994753,0.16543178884372,0.0627793615657028,0.0542943158030533,0.279236258011499,0.112698209320434,0.0026088246898467
healthy,-0.567178005522131,0.560690912788997,0.461119654609199,-0.345918043880273,0.125190717326271,0.366656388908936,-0.243218963101544,-0.064510306167948,-0.133883621532956,0.555794029869244,-0.325958004315708,0.5510766845507,-0.447634580572787,-0.168340137158343,-0.57266262844982,0.430045186276378,0.378941178844502,0.483536535354936,0.454110473677526,0.624356608944372,-0.134855103409529,0.555348999236628,-0.552578808943205,-0.167800940325017,-0.321903292225657,0.317292755633128,0.554860990888912,-0.248088705817517,-0.361017238593142,-0.349538203517649,0.551451803392566,0.588635840788472,0.426659806579044,0.586852660690745,-0.587293981017022,0.603640594463124,-0.46121749676156,0.576908696153864,0.477194316342486,0.162385679513065,0.259387000877711,-0.0384012583580967,-0.276468942072811,0.556936014063995,0.555944297275996,-0.349291914757017
healthy,-0.334208434709809,-0.186503117286566,0.0750609738857398,-0.189195257054343,0.323462834756997,-0.132692618126036,0.0657209737281454,-0.18674420185113,0.171421886196158,0.238351579405593,0.202421056882807,0.258969696982508,-0.340725175174192,-0.173748933133396,-0.347548967928645,-0.0002262530570806,-0.154656733018886,0.295858247807199,0.19194954954663,0.323014890057067,-0.285928360032292,0.442993139647181,-0.355048665514828,-0.107096055566668,-0.0722153978189668,-0.0674200175943093,-0.296959704941728,-0.109996548296286,-0.414299501227315,0.0190048006533554,0.164226745944684,-0.169633542279576,0.337561627068131,0.317568312661095,-0.309854954285601,0.313850891376444,0.149324819900949,-0.106298713447892,-0.0829904603609687,-0.027977987083224,0.324480776543701,0.0822263267200403,0.176430063305916,0.283726814187504,0.0906883583067135,0.0153147478540891
healthy,0.0032800199664332,-0.236806945512585,-0.0360526674630472,-0.247764836216445,-0.0010863426128826,-0.239898036328951,0.113138384706174,-0.0760334868378948,0.0724687611383752,-0.0461892411673124,0.0112124202532553,-0.137906471476704,-0.188492251407024,-0.094871297509114,-0.0751754336146759,-0.122276520332657,-0.0012700237310029,0.242868422410553,0.239412593373919,-0.07628801638729,-0.112957327604027,0.508938394055669,-0.495344679306783,-0.0057977632926673,-0.0897820185291962,0.0811713101133158,-0.104240346541234,-0.0657040479596034,0.222483754323164,-0.280399722874469,-0.335994749297525,-0.0795076839863409,-0.286564848403376,0.283120827438622,0.0312638383120547,-0.0215116829478555,-0.0375824687753916,0.0060352367382371,0.0713496183258282,-0.435748028524678,-0.0878559908049067,-0.0802896407463385,0.0844250899200175,-0.298578905536428,0.0709993121934131,0.0844867542953865
healthy,-0.224120290413668,0.124230831580221,-0.239108763749351,-0.0862809080031436,-0.28216497590649,-0.284259104878324,-0.175689037645936,0.19858720377005,-0.265847536107913,0.225637465485098,-0.239496687169565,0.334996529504361,-0.21791515943355,-0.262795104788687,-0.174406917867263,0.161918578099993,-0.238748783965339,-0.322084925835799,0.280785875272764,0.142738559334032,0.0150632636561055,0.317924611528334,-0.305580921171991,-0.261374088700658,-0.181727328680496,0.179020083455528,-0.19968193681184,0.12806321909814,0.24468598478658,0.156083289363723,0.130082557749551,0.330926621078726,-0.119854365028019,0.073730105990246,-0.223478408652678,0.178953511851635,-0.166895832830535,-0.194875631385121,-0.370454538229556,-0.255364563173953,-0.203110785348138,-0.171241890131576,-0.213200903631967,-0.295858179517052,-0.213934835018092,-0.4155284452948
moderate,-0.275689728283646,0.149736183647138,0.226300965734205,-0.312818226160691,-5.38113116440757e-05,-0.193867559262997,-0.118296652494635,-0.248456629540957,0.210535122860736,0.173749100214074,0.0980564099509394,0.0086422709376876,-0.26354580061699,0.2728625647565,-0.317603947144032,0.245665194981865,-0.0259357450550766,0.184202219825388,0.341886791707435,0.3206404737096,-0.153124989123347,-0.169654865478337,-0.347011720027739,-0.0452289520857489,-0.130745583547128,0.269133680505083,-0.157297435441595,-0.328442896038429,-0.218761282036318,-0.165559759304355,-0.140779323502916,-0.218961277113602,0.0479142890384812,0.230459904759652,0.199247165410475,0.191507704494865,-0.193267791890705,-0.142929597373066,0.264044263293272,-0.0592336182655712,0.265298916506868,-0.0270289643337405,-0.128999874882335,0.199053052541346,0.204199113239098,0.0400031547885568
moderate,-0.35454257753246,-0.282170171015597,0.223031604623809,-0.141739152481855,0.301913144208754,-0.0918689578194907,-0.133652576058079,-0.167975326682632,0.074718439116807,0.323890727200547,0.113411994144446,0.343279197934252,-0.38267590897412,-0.444225252427009,-0.324330682412361,0.157293156779858,0.0427733706779367,0.225188326858254,0.283783351416907,0.401616091497697,-0.438594618366851,0.480158529991348,-0.422309828182805,-0.202703029409547,-0.236708188918129,-0.0167497782647798,-0.322013747558564,-0.48223892286454,-0.509070804822859,-0.133002150536538,0.41874013204178,-0.264446482041327,0.413026980973924,0.267353162832734,-0.480002596784409,0.287142915987973,-0.0260570260283448,0.199821415361037,0.1852498580147,0.145964581067466,0.331742455342562,-0.0704779704854576,0.0781075982523473,0.487774506545552,0.170606995947015,-0.344902280828138
moderate,-0.361710500720471,0.139335416084109,0.159507917998628,-0.167446836297963,0.31699794451187,0.204655031009417,-0.209469445018532,-0.251383955630311,0.381282170339916,0.247922651782003,0.213369233594375,0.105177495889986,-0.291207567450378,0.0759477191761281,-0.270159158223867,0.24692572028036,0.0667097598108173,-0.0274399253434001,0.178081333447689,0.34822557227567,-0.305322006053376,0.311070244232919,-0.328905309918882,-0.375860010085498,-0.237368015767525,-0.122311466982344,0.257217806550074,-0.293849197448553,-0.364438805601945,-0.180608592680779,0.362557249198891,-0.179533864208738,0.419140757343301,0.237415712003884,-0.173277540869361,-0.287993662777638,0.0525134560290266,0.257164198385259,0.271037971398999,0.241118062209723,0.308513946408869,0.304528344688451,-0.0999076028640794,0.451930076120018,0.258279368456028,-0.214530656990151
severe,-0.280800075914433,0.510790893915736,0.65456169286025,0.586902894997118,0.602419863613466,-0.553217083943965,-0.614389311246977,0.65789406896916,-0.558455435125406,0.587975776042422,0.612576218102397,0.198333244966656,0.303865122838903,0.624687831952159,-0.482007921773673,-0.637266698765997,-0.550968014402884,0.660034144411117,0.676703607153868,-0.221544249206477,-0.564875661451276,-0.355867629193762,-0.473342417005821,0.470040369689711,-0.642667119433964,0.589241055367051,0.534561085272808,0.55948661408061,0.626177733898463,0.490579596838799,0.337245750414505,0.465697665670648,0.630160283503026,-0.369381949710529,0.0016756658022051,-0.571007764245545,-0.679563991424826,-0.516657619773004,-0.44516412517021,-0.594101244413265,-0.0542354637247657,-0.563984753162773,0.578998453373594,0.552767838700614,0.170743521266322,0.381733350578366
severe,-0.3275047140735,-0.391636993726423,0.465883269829692,-0.441403737467923,0.411623719040197,-0.397197989579481,0.0495052471749026,0.345847958135695,0.0134132936972094,0.295648511584938,-0.34277808712179,0.448737482686614,-0.2081946853095,-0.442967289580277,-0.348254713327889,0.437237554433301,-0.33244798596169,0.43013570239631,0.323925664839351,-0.300852786649978,0.352507239568464,0.457588401381318,0.235727806823481,-0.385730131659808,0.435630584023097,0.502984698732401,-0.412297196046623,0.217671715594794,-0.506943658072739,-0.252826721940471,0.368938598356007,-0.38657580168839,0.449307841235645,-0.199529774549904,-0.437731437571347,0.265287280033718,-0.10202263876316,-0.494808243823619,0.288687769015961,0.531933848823995,-0.0920670204220178,0.231236479944731,-0.280146699083187,-0.15937821022322,0.380505627615088,-0.323950334326766
