group,ASCL2,BCL11A,E2F7,EGR2,ELK3,EPAS1,ESR1,FOS,FOSL2,HOXA1,HSF1,IRF2,JUND,KMT2A,MEIS1,MITF,MNT,MYB,NANOG,NFE2,NFYB,NR3C1,PBX3,POU2F1,PPARG,PRDM1,RBPJ,RUNX1,SMAD3,TBX21,TFAP2A,VEZF1,ZBTB7A
healthy,0.151950330064862,-0.0559422001986281,0.0382986203771599,-0.169562241149345,0.277580391342912,-0.11216238287862,0.0547132352161053,0.361242012982332,0.207960542357911,-0.0492494395288772,-0.125608783277711,-0.237129241463155,0.0765694352399339,-0.176018497511413,-0.280975122512363,0.101158992412465,0.0161774929000629,0.017472568641746,0.0210583052871957,0.187427599013038,-0.35699564105149,0.182043635185928,0.213488438475298,-0.132482521999283,0.472714392817552,0.207901031775293,-0.315560253469136,-0.170070503184736,0.413261915973535,-0.0179537517876918,0.0951044748695267,0.312700560464129,-0.169092538677457
healthy,0.199805685578992,-0.205271479104767,-0.0921729946835623,0.38909752059589,-0.190331213853595,-0.2997011192491,-0.284249349071927,-0.23017797484264,-0.172264713752533,0.148443430008508,0.296361639604891,-0.20858790432632,0.308299040459255,-0.0693822677550082,-0.317868831367116,-0.302418956546066,-0.213787968923685,-0.281549293661494,0.423808142180438,-0.293131883849679,0.315990912520693,0.480365224273185,-0.0608706369399692,-0.259879032350671,0.480708697263648,0.203361408126298,0.430854249180344,-0.301088726697077,-0.100628522957368,-0.244865537431119,-0.220691372838057,-0.12047776056647,-0.0960412442249992
healthy,0.346956945460496,0.0956292698416054,0.0838610887971851,0.328276613141432,-0.186612568119604,0.241485930753883,0.0105689085140888,-0.17684164550372,0.0896193400026525,0.244077653348991,0.313845295559132,-0.271077170515625,0.115449774937211,0.157239920874767,0.248601736021094,0.0645158250786142,0.0336354380019484,-0.243780094093923,0.3780520616426,-0.0996671543625316,0.0918728574696207,0.393807067526669,-0.119644305130639,-0.273521742381007,0.169682890238761,-0.13136541520508,0.104592467977947,-0.0711616933283179,-0.0252709085376304,-0.298315007961502,-0.102718984899487,0.194943691256662,-0.228509184108305
healthy,-0.436908609207041,-0.360113277717794,-0.329149158020545,0.273623160461576,0.638354944668899,0.324018945742229,0.278450821759375,-0.672773407300214,0.289937235506619,-0.355265884834308,-0.319868735552976,-0.597845999255892,0.785876171890432,0.308662510322471,0.581225426913195,-0.571562211683322,0.564236531637696,0.69206300546668,0.341732647931921,-0.317982395961411,-0.305576490321207,0.580401962070573,0.256810534018204,0.307397057960487,0.31134732141479,-0.55065067717348,-0.306156598940371,-0.537041144806441,0.751344581501185,0.160595375896963,0.325565902059998,0.198732584710534,0.346394563909959
healthy,0.636735999661123,0.552433443952607,-0.564832306236405,-0.560745148925947,-0.409752328914364,0.617735818887166,-0.871397898905971,-0.34594808470894,-0.66431443914606,0.621331003558402,0.585173482665766,-0.162615056590656,0.0409661832275042,-0.705408140365335,0.154574841535281,-0.323300889370317,0.294656234934827,0.010054176628644,0.565346491687096,0.702197155062856,-0.730404134842718,-0.772851172168214,-0.618384926600119,0.576336074487638,0.56635264977701,0.100544234376604,0.602536496964721,-0.553798297812923,-0.216426003724798,0.57341550112771,-0.615013515437024,0.701617976571197,-0.571174475259416
moderate,0.230682543137896,-0.119326405086017,-0.130567672933627,-0.111436256982586,-0.122179802757867,-0.194524287840213,0.112193806089976,-0.151658198156776,-0.149494763231774,0.201580572435776,0.171898970363453,-0.0147378549240792,0.130983485708082,-0.0094629856593337,-0.236179417931306,-0.137504226724921,-0.239099506780114,0.232813751453898,0.042523681962815,-0.0690199970497705,0.164037691930584,-0.0930496337728725,-0.116529180184021,0.0172902471160361,0.143861820533698,-0.142850039288645,-0.0012082740415935,0.0847729901573408,0.131199672543455,0.320099298133738,-0.0206610608990482,0.308323158095091,-0.258787726919983
moderate,-0.192007052394201,0.187754655023342,-0.0545796581283055,-0.217812845489527,0.0442866829853565,-0.166498818736801,0.034185953097831,0.237021148623616,0.186627226229374,-0.112794061723643,-0.147079224165347,-0.178405471927341,-0.0667286985634634,-0.131300639951502,0.0553424428531135,0.0330295891979238,0.161041596022306,0.16444451767336,-0.112476301443285,0.13717533531064,-0.0462084267381034,-0.129643564961143,0.127054347419272,0.148053700457393,-0.0123066115790389,0.256577816257186,-0.283633809423716,0.176000588501696,0.285139223760028,0.14360526231346,0.201847537812503,0.0601488143166266,0.124139607077513
moderate,-0.0250452974127893,-0.041618190920942,-0.185022903764919,-0.0385996124375071,-0.0622725766232368,-0.0326358818190431,0.0191964687812394,0.0179748866394945,0.0137150733135099,0.0573041809498289,0.0021875385095242,-0.122179494552968,0.0496208992953004,-0.0481423048393492,-0.0925729821174947,-0.1018302280828,-0.183025381552747,-0.0604377217045362,0.078055262762832,-0.017974987113425,0.0479855454129908,-0.0074016532273508,-0.0584510305820715,0.0156522106934544,0.272740342527738,0.0574570017981118,-0.0278477363769433,-0.0566659504485382,0.0527080009993329,-0.0322019751028072,0.0707667230864325,0.0216950544847902,-0.339956799185342
severe,0.0603568286010729,0.0857708354481216,0.195815133613409,0.0426381400891785,-0.175511531220594,-0.176238987518561,-0.263457068039056,-0.124147749317585,0.21538648750603,-0.11080721675973,-0.198936774143686,0.196080621616751,0.119134147348324,0.0435112793348288,0.111976514102972,-0.254923114314281,0.110626071515572,0.0522637574811272,0.0542381447984043,-0.0655889549918573,0.128315048373663,-0.0163164901404495,-0.0806010076862804,0.187365522647819,-0.161833627626001,0.0587380226889947,0.0597117981813993,-0.0725922793255194,0.0596657930400259,0.131515281020453,0.0049589708638795,0.157925107490148,0.12435573089421
severe,0.15542288880778,-0.0400774497491585,0.124304109654778,-0.115727337977685,-0.0593050133426455,0.130055527318379,-0.20635304830913,-0.0420986223573625,-0.138939912093465,0.149381307735699,0.0762317107331573,-0.0104583467691899,0.276794952061756,0.337581693325364,-0.0250702182051158,0.309512621336739,-0.107946272142401,0.023820321873402,-0.0511136305225192,-0.0937332507524948,-0.0204315921699085,-0.134279847868284,-0.0305284810848932,0.109166753283221,-0.142611326767074,0.008991575724953,0.138557514611843,0.0915724806281839,-0.125265836828242,0.168717059404168,-0.0879728589628575,0.0554825342141057,-0.149375324985008
