group,AHR,ATF3,BATF,BHLHE40,CLOCK,CTCF,CUX1,E2F1,ELK4,ESR2,ESRRA,ETV1,FOXO3,FOXP1,GATA1,GATA2,HIF1A,HINFP,IRF3,KLF10,KLF5,KLF9,MAFF,MAFK,MAX,MEIS1,MNT,MZF1,NFYB,NR2F2,NR3C1,PBX3,POU2F2,PPARG,PRDM1,RARA,RARG,RUNX2,SP4,SRF,STAT1,TBP,TFAP4,THAP1,TP73,USF1,USF2,YY1,ZBTB7A,ZEB1,ZNF143
healthy,0.0890506677149266,0.0982891747456453,0.0833385292318334,-0.183142102069806,-0.115592760547722,0.0832731226496927,-0.170455867090223,-0.24044599998709,0.220863557727881,-0.276303289280248,-0.128715015170118,0.0496655798247283,-0.108922598028165,0.0622659997203507,-0.237284463707162,0.0737895802874378,-0.002962710934996,-0.2268409219012,0.0888668094126002,0.0774781746102224,-0.27915861319943,0.0794664522976703,-0.167476213705378,0.108297302861938,-0.0071227004450188,-0.253822355000025,-0.162637120390124,0.0259744722866182,-0.175110993031585,0.0985421965395923,0.132855262726776,0.184451990976731,-0.209716043799742,0.109377644599633,-0.0887093100719481,-0.0516720239873714,-0.0779727414456082,-0.0547292757315724,-0.144229439487187,-0.240261050969108,0.13280673799917,-0.118319404257683,-0.12034584487401,-0.26280106568067,-0.0948041079641743,-0.0389334831325759,0.205994267482905,0.0542897536796001,-0.102683971098168,0.0801603292405018,-0.0165813866093915
healthy,0.0383828793015133,-0.157473339432667,0.164263382794965,0.102968093819079,-0.0693993537065026,-0.0281366708686894,0.108227600143186,-0.156803059993763,0.0478300253555014,-0.0068215221007677,0.105866729311983,0.0866455213481725,-0.0354091233064867,0.084207525880015,-0.157717878436128,0.0738300120616959,-0.0856737578333616,0.0136775636963012,0.142876879916242,-0.0072142288655448,-0.153126578307996,-0.0230604046654455,-0.0533040086606004,-0.0059569797994284,-0.152593651213129,0.0804534012465612,-0.111575265500435,0.122166668880916,-0.0936169043586488,-0.10480028770342,-0.0610552419987717,0.134126239824208,0.147717245628229,0.0372782554690106,-0.0012896953179532,-0.0656594307871115,0.144148399804518,0.113183687364653,-0.0651514862695381,-0.154378471496546,-0.0434305693063875,-0.022787013031225,-0.0658720764035161,0.0278221944704284,0.0877623773139554,0.042950026149524,-0.0396331138957203,0.0900747688146721,-0.0492666099349651,-0.0401021160002798,-0.083397509867705
healthy,-0.0807252784163703,-0.301784301670643,-0.362322566781218,0.313120498247686,-0.249227108644834,0.240587068339933,0.217225426272005,-0.316167839677886,0.26935085010406,-0.343811201025413,0.0329832577816586,0.207441245557934,-0.255073103402668,0.238047812903482,-0.245432465825574,-0.363929340869049,-0.350584110265752,-0.23330394643789,0.362267183065784,-0.346484825737079,-0.298027494081251,0.0650787011916206,-0.318377496330997,-0.321561257255519,-0.155215896131639,-0.0178930266234375,-0.111631664244011,0.324500062171235,-0.230378151726125,0.282889954985904,-0.187775078253611,0.269235884936448,-0.235576242497099,0.141148043217397,-0.0209198033135242,0.133341072959124,-0.02250977950448,0.0798589670206494,0.321934584779918,-0.21163961474352,-0.170923410038145,0.329041241891075,-0.0202265512600055,-0.215873247697723,0.0692958211946537,0.325370849299512,0.222863869357395,0.322477454999512,0.274155549002981,-0.0932047327658829,-0.151113400751349
healthy,-0.0155103200175116,-0.123098577799721,-0.0738822211983264,-0.14046812051427,-0.178346136131591,-0.230152408515663,0.191745270319086,-0.185342754497904,-0.159734017334928,-0.0585071655995722,0.160410339428714,0.20211686854557,-0.188338463536853,0.336211647917213,0.122670240473656,-0.0860268442079341,-0.0623781149951875,0.137778745600153,0.207113695309077,0.0916973408217235,-0.0036959013242822,-0.169709105157407,0.110451354645907,-0.116718606048332,-0.02369779571759,0.055926532669162,0.0562859116640958,0.121659735698233,-0.209008723293433,-0.107157268212639,0.245983649997286,0.175154161073268,0.0176838335698972,0.001460060049528,-0.314044196702035,0.0401257919878477,0.10462437566532,0.0126485492755665,-0.136716522076382,-0.176533327695892,0.0827513234792018,0.162603744807388,0.10337384285269,0.311864052540887,0.105280805932819,0.0391537447432482,-0.023439201975848,-0.157199798665856,0.196671812629709,0.0517399662964462,0.165313011547793
healthy,0.0622829107868672,-0.11320460486917,-0.240583784359444,0.123638701829314,-0.263580732788265,0.216025637014949,-0.158670523452742,0.174759124576179,-0.0168102556383947,-0.157504255654356,-0.0049008509650582,0.014771602685404,0.0838769695751753,0.248306413947167,-0.138590507625804,-0.116094591211452,0.0865311761459422,-0.313059117840652,-0.128996797136988,-0.0263677570908708,0.0049648483316122,0.0961173079992451,-0.149367327325257,0.0651434246577096,0.0651956330356878,0.157980867621061,0.140903675598487,0.0991336049334098,0.112901459448651,-0.121852670060089,0.0428075016597423,0.060992858608436,0.133930488855936,-0.23496885751494,-0.0182240921968712,0.121802987893948,-0.121775199563734,0.342369069651783,-0.152766766388133,-0.0795849356629928,0.112199172557782,-0.0973762035650118,0.0336575623837418,0.219696222815067,0.122176025175309,-0.0771404046747516,0.139292794516673,-0.10748862955116,0.014993909327118,0.118277238239189,0.167785937833628
moderate,0.159302862696981,-0.20623071224842,-0.0427732269057529,-0.0507181313085807,0.421440777265286,-0.0004290348915504,0.0139579497091633,0.235553269110465,-0.360747967209594,-0.280342501028781,0.0078985695087836,0.0242493230858505,0.341637227585406,0.0069229140040046,0.369773873432905,0.0398123834641664,-0.165077458147645,-0.0524996205602505,-0.0385099795320476,-0.0148717525016098,-0.423033429967644,-0.0768333081229928,0.193444685661261,-0.137715173288818,-0.182376765687692,-0.316860517238571,-0.494614940123716,-0.0486796145314583,0.333487094571694,-0.325771679030877,-0.0081464174797557,-0.212754097071704,-0.30939600952022,0.102165162955073,-0.333861489258003,0.0650181287025512,0.268071840857452,0.0505185852790415,-0.0192803428212555,0.0350453533981413,-0.364457381462979,-0.178042923168816,0.247642523800394,0.338855385456188,0.159104409471546,-0.0642627825053029,0.0169413049153089,-0.172219151533434,-0.383063245590742,-0.364390064730122,-0.0764927903639323
moderate,0.312649630497839,-0.275710735393733,0.30145516511025,-0.281156109107812,-0.0875402539970084,-0.0843141547359298,0.21937596653565,-0.265458286942019,-0.163165912177382,0.0459719571146106,0.144572216369198,-0.0560040883675074,0.0004544170158329,0.239164008087625,-0.0661484478869021,0.272483282888788,-0.116098020851889,-0.0254894399080579,0.102911216596083,0.18046821532453,-0.370211700567979,-0.191072393463425,-0.00191506750629,0.140664139058657,-0.312241724132526,0.153717324697445,-0.227503537822863,0.0844778745001176,-0.190089824698759,-0.0877270130223094,-0.0606529700343904,-0.0272583684486205,0.332997619343599,0.124973560727676,-0.183071560855928,0.101404817365518,0.247923862670567,0.196533426142239,-0.028502818330844,-0.353625934361963,-0.107088157307659,0.0006758600225726,-0.148559464131797,-0.105902340411762,0.218073452256959,0.0268171086021399,-0.0758100518718587,-0.131388334665271,-0.009363628783108,-0.0174880387107014,-0.316438758809741
moderate,0.182992091663154,0.0083164271533481,0.344965375851857,-0.164183714388176,-0.0146045034349759,-0.0816896015086799,0.393079196238358,-0.0521109591590192,-0.163313641619928,0.216918830890191,-0.0394857759790792,-0.0746046974594235,0.0933409130616463,0.146368808949869,-0.175237931733133,0.177802509836177,0.0346230582427885,0.0396181024715709,0.0437700568205832,0.115248651233839,-0.0957772973673855,-0.0170076255629481,0.0322453943196332,0.0807986847098527,-0.0682041356345268,0.004038746587167,-0.001504601972466,-0.275621719735216,-0.0254471709219393,-0.0260025369455366,-0.450836500350651,0.408810400775718,0.365145767805656,0.0262496761300432,-0.0840097086236244,0.203888182164504,0.262635186527569,0.0408665977122072,0.0489434087912192,-0.0099087987444695,0.0656562488052478,-0.018979482892695,-0.009900774093621,0.0750915329647746,0.0256433335119308,-0.120274891292795,-0.160618622817341,0.0002405589708108,0.0008392982322442,-0.023957916094221,-0.380819856890601
severe,0.0793945778458616,0.0999811203534429,0.111137105849096,-0.0198452969006599,0.0238260249213138,-0.0071771703668876,0.0021319180101002,0.141861018921528,0.220007434809928,-0.0016498692541153,0.051255938161182,-0.0137661264779603,0.0932936503100955,0.0496012866773447,-0.116155577719439,0.0707932594677404,0.0641574375053915,-0.0996023677594547,-0.0705398012924706,0.157419525099321,-0.0766247103908367,-0.121144399765506,-0.0559530441942025,0.0667331464337002,0.0664921220557077,0.108583395177508,-0.0023624214827042,0.0499867343929438,0.0374706827643334,-0.0942998314436197,-0.155002586197785,-0.0449854785495995,-0.0019741044292718,-0.136217031403537,0.0947694464023273,-0.122662279479292,0.104771958089016,0.0711710556157842,-0.0537206993599386,-0.0748017244207823,-0.102814113240799,-0.070540757738415,-0.0517226837820564,0.104941249021177,-0.0764458549992311,0.148689086518704,0.0460012241425678,0.0879480739267619,0.119094736106626,0.102397102809034,-0.0730667314776141
severe,0.217562149816749,-0.0037254267252467,0.109793951586098,-0.0312165920098776,-0.0810251861149103,-0.372337821061767,0.0460425929354413,0.0858560190433981,0.129027722636313,0.230252054690661,-0.385349847438951,-0.494716777738837,-0.402710761515456,-0.1628796742874,-0.506218148279631,-0.126106857453801,-0.0516666067698357,0.0885458078172647,-0.192327319485914,0.034483824400209,-0.378452686710672,-0.363969094510552,0.0448911693745901,0.10322534489495,0.075762383797242,0.0404319389790629,-0.284756893323428,0.0734422183151485,0.14129901799906,0.0922583694747924,-0.159342770285266,-0.0174133639679751,0.0833799883177858,-0.321301107799866,-0.0866106047461476,-0.36483204366832,0.392885808260509,0.198171523902422,0.46604796394762,0.0010786864472091,0.168710518825892,0.0234040322323612,-0.467600678659245,-0.0657904718841196,0.342429507476854,-0.195071537392438,0.486547954547564,0.1151626433073,-0.0784363386416083,0.210818380280504,-0.10338269456936
