group,AHR,BACH1,CEBPB,CEBPD,E2F2,ELK1,ESR2,ETV5,ETV6,ETV7,FOXA1,FOXH1,FOXP3,GMEB2,GRHL2,HINFP,HNF4A,HSF1,IRF3,JUNB,KMT2A,MAF,MAX,MEF2C,NANOG,NFAT5,NFYB,NR2C2,RFX2,RUNX2,SETDB1,STAT3,TCF4,TFDP1,TP63,XBP1,ZFX,ZKSCAN1,ZNF263
healthy,0.0811402422364237,-0.271387044921032,0.18315361737761,0.33453604971141,-0.34555931799353,0.0273925530841528,0.0174419782322022,-0.159252279632692,-0.171520048978422,0.0471632103099682,0.0613735664652397,-0.302662520710707,0.197530710559968,0.174897992538477,-0.392707183365892,0.0629128645951734,-0.366411623897015,0.386640112100382,-0.136488560862312,-0.154580339114065,-0.0373696548313982,0.367975270618798,0.391733505929017,0.379262307244826,0.354081421954192,0.235562133978182,-0.181096439705137,0.264530362859813,0.180047562392641,-0.399379084786484,0.428356232610556,0.326640413720058,-0.0764464339715386,-0.370905766447726,-0.283563797487788,0.350232662307711,0.42532600678887,-0.185950571103629,-0.32781926313815
healthy,0.139452646142348,-0.381738254844212,0.211737588037789,0.119600972832352,-0.44459105091377,0.291035587249128,-0.0035631164308698,-0.259763284459524,-0.061338594828161,0.438225469413277,0.41138007825775,-0.367316560136714,0.157049530257461,0.222687623738454,-0.428555251604581,-0.435544591352543,-0.458625990687126,0.410108982087711,-0.150645580075116,-0.414859941888375,-0.204996731181822,0.413191679875013,0.313184451801337,0.312267671275572,0.445015622958416,0.394477760361826,0.351054409735844,0.065893229702366,-0.382385558293572,-0.4193031248772,0.380269937444276,0.435955891211643,0.256410351185215,-0.454535537574951,-0.286638219155345,0.444244560687987,0.41651231175229,-0.413946332897857,-0.232169514405229
healthy,0.563209839103963,-0.391999401297601,0.0001483293546004,0.478322645591812,-0.501825507219344,0.458876470561503,0.205610750757595,-0.237785762068489,-0.0075149555864962,0.464778181995832,0.431328644434523,-0.46325059879291,0.435450556480364,0.341110300611119,-0.522234881534551,0.280710367845609,-0.480780665962851,0.566415579225749,-0.200546387609403,-0.415727414753358,-0.0014231682869352,0.605436177513184,0.367385004082083,0.603434686643057,0.589387520849238,0.577607528279156,-0.0090120418794389,0.526386387187046,0.331168036966665,-0.539680670504186,0.54978172097636,0.594581035527572,-0.0430583433087627,-0.566922714558373,-0.413764286480633,0.582302822533844,0.532774444080529,-0.423757426947797,-0.593962175470508
healthy,-0.212056643743421,-0.169625058115244,-0.651795351457093,0.219029482586962,0.137638919243635,-0.269515150886146,0.0303879500025464,-0.3041346840918,0.2319189087005,-0.224704039608475,0.185228116851726,-0.430407389329201,-0.343301492129018,0.258172613752046,0.324440232710504,-0.271364577676189,0.0253224147475985,0.339344823719025,-0.14826720406835,-0.0787532228639275,-0.311319299402764,0.124750808511882,-0.146299392917635,0.181414825056324,-0.106559078422054,-0.282980714221617,0.335852485079221,0.284165873210116,0.193639983368317,-0.275091054273765,0.367303263564238,-0.39419887492698,0.0255868064864311,-0.389260931705201,-0.214842622364553,-0.311389014637382,0.385534455107624,-0.145596979044319,0.384105950488857
healthy,-0.11244614062071,-0.170331499751306,0.476450342725516,-0.371821652500143,-0.450048025792637,-0.358728349326151,0.0925875936448761,-0.331198903421053,0.0185453470410724,0.116390680362054,0.380017008080469,-0.187292773642233,-0.153948198496243,-0.308108814286009,0.141898045364472,0.282795753474565,-0.144181942931262,0.305093806034537,0.301453895745144,0.0033739770110683,-0.635837411923349,-0.148622946347002,-0.0141101068852341,-0.123671324263684,0.311488554556979,-0.185514396301114,-0.467808746164224,0.284721505604601,-0.297989353221333,-0.385870833494987,0.386819301410251,0.24359570626837,-0.227145715863015,-0.370867421324978,0.39938238467328,0.287794146455091,-0.402626276675137,0.369964236166085,-0.318327897414701
moderate,0.433840817990283,-0.390891129562699,0.205802161174091,0.32771570526375,-0.584252180413418,0.108887003272758,-0.216542651804727,-0.145723754049823,-0.206429893459178,0.508199915420024,-0.62385213681831,-0.491107361467419,0.187663459806428,0.532508979668197,0.0344785902829107,0.0819021863233464,-0.314736726564818,0.533541976267226,-0.311568475803317,0.322240143830071,-0.0322905136760572,0.615950249827397,0.278394665650688,0.516188378616457,0.36092546098019,0.109186622697938,0.173960090324601,-0.213857474352001,0.377831930885994,-0.443165842455733,0.387727919947342,0.118462989144082,0.466693090691019,-0.587187223370683,-0.404905954204132,0.47765846027574,0.517068168208755,-0.192378246532866,0.309182041054702
moderate,0.186122339816014,-0.0420505340459833,0.221976473699503,0.174183981345304,-0.420832045344163,0.244356455951389,0.0928153840118335,-0.384096106628427,0.0283936822455498,0.0111258673939148,0.33089373805494,-0.257337447586756,0.304806139200879,0.23686604398151,-0.218644478661446,0.162881448957339,-0.352602999115773,0.381774231952554,-0.33309431933093,-0.355671363652529,-0.0308243829207765,0.326372688797951,0.103625584538449,0.5245305057525,0.406428476796576,0.187043566137653,-0.11200012692484,0.210011183828558,-0.26810836275574,-0.212548271475736,0.328230025180535,0.41062659882563,0.0971003240720606,-0.445529534711226,-0.231719219703533,0.326901356495425,0.372968537587488,-0.015743592890505,-0.363026392585164
moderate,0.61717457487856,-0.321784617317491,-0.423091963447829,-0.153891718286149,-0.627460662164154,0.496809237610908,-0.047081825411477,-0.0468579208264066,0.0085283376830068,0.524319073412368,0.226348558153692,-0.521749845777802,0.612668188206218,0.121833174102621,-0.565713468795038,0.605666289744638,-0.614096178638307,0.577025983319257,0.199820251952055,-0.619566848260338,-0.53950304834082,0.210985395158957,0.527364183819104,-0.476164735781158,0.614650184509457,0.150436652792008,0.450995715153313,-0.479377603568907,-0.498282045184014,-0.55399323299691,0.601015188181838,0.617076327333682,0.53487569362418,-0.625382752751762,-0.468259652187638,0.622577304371236,0.606929541462599,-0.469456191367445,-0.609753423835569
severe,0.135847944261529,0.0683041320767747,0.0924754531996959,0.255892844159121,-0.0828387078348747,-0.069540246644653,-0.0969269881870202,-0.0849950093058616,0.0202593372980194,0.220977127665982,-0.240658850227511,0.12739402446089,0.163090995811787,0.009296076376907,0.140551650427058,-0.14874673792403,-0.128600639758865,0.0720286527993885,-0.157388120826957,-0.118052271795101,-0.230532987935908,-0.0490963010124008,0.0646861893615531,-0.0372908835150204,0.0030241509597513,-0.2116667774488,0.0119272209344,0.140673453864077,0.0662191998071665,0.0353220451463214,0.30309643395096,0.054614567662998,-0.0362679249619264,-0.220957144289596,-0.0123535329639684,0.121562684913578,0.0465051232076799,-0.0001103843647989,0.132645846093007
severe,0.114696064824794,0.211780453628626,0.164991461102771,0.288775875091208,-0.208036067626641,0.107886111213362,0.21124858061698,-0.0034168511799292,0.148267889319859,0.204512347078791,0.255799748369186,0.0183191908178485,-0.0564324686839783,-0.048355915156442,0.15741115746424,0.0408270671395026,0.130215377156222,0.170324044655809,-0.120070703453171,0.129355969322521,0.443220912830039,-0.368606798162852,0.0930985571928401,0.100024285952853,-0.14234208182174,0.0422910785269064,0.251139551255987,-0.12512819733693,0.1270909324413,0.0147875540205222,-0.152955793306223,0.0921016045244998,0.0675112598251565,-0.242548936278125,-0.422390786631632,-0.133302714451727,0.0516332424393629,0.254282302297822,-0.0636882060940077
severe,0.5082152489151,-0.639599721150697,0.241287852312852,0.607478426885644,-0.522560756289867,-0.633803906399885,0.631814525298273,-0.650772838449687,0.670373642652662,0.600244368642627,-0.639497265308703,-0.614661076190275,0.492060895114366,0.649478322764095,-0.606965302927861,0.593523434357393,-0.614678212503071,0.612965908684401,-0.612555964638166,-0.539906083829868,-0.470436799218966,0.202063315037669,0.605086463111604,0.507291818876305,0.633555671220873,-0.6112743615263,0.613517166972066,0.636571662272829,-0.620832924396508,-0.624752674931022,0.19866199830434,0.607621068587925,0.622561278423641,-0.517765967698466,-0.615390455588404,0.300621490618427,0.606355153649744,0.616423099451703,-0.451560909318532
