group,BATF,E2F1,E2F3,E2F4,E2F6,EBF1,EGR1,FOXA1,FOXK1,FOXP3,GTF2I,HEY1,IRF1,IRF2,IRF3,JUNB,JUND,KLF4,MECOM,MEF2A,MXI1,NR2F2,PAX5,PAX6,POU2F2,SIX5,SPDEF,SPIB,STAT5B,THAP1,VEZF1,ZFP42,ZNF263
healthy,0.0984111680445547,-0.266583853771304,-0.0970537386265835,-0.0956178960628835,0.293316634979687,-0.0366360352959147,-0.0777172743685349,-0.0633969437467095,0.171604003904537,0.269252703784606,-0.258425817749711,-0.291351497641243,0.121117077796372,-0.0636245472658527,0.133052428491013,0.0928155987160568,0.187430712674772,0.303785696095644,0.299111910145743,0.117345949183512,-0.266616765544642,0.258996385144765,-0.226044438661736,0.230284656701857,-0.274781507158821,0.270324571615628,-0.11980597133691,0.133939826074117,-0.0397758233052442,-0.283077690469823,0.0473019025337178,0.209172732759416,-0.234115579869141
healthy,-0.378110546167261,0.288123512251589,0.396935598742566,-0.188767709808256,0.0604798610427313,-0.141572567149466,-0.185727602896527,0.342562807955946,0.446601430043796,-0.174844592356173,-0.246572140595204,-0.400066281638431,0.392789632653225,-0.119745371172867,0.0672257086265991,-0.338333452815152,0.370756078863111,0.387368415853299,0.421496236244969,-0.320197451709139,-0.171851733509062,0.400228211140821,-0.333632304772935,0.200891136787392,-0.33548058441277,0.453238270084113,-0.370935992890825,-0.0651986153506568,0.190382878363634,-0.354268498771345,-0.0239027064832411,0.209684778764305,0.216886979379862
healthy,-0.0047530500555107,-0.119608559503851,-0.296630044016081,-0.211671151748333,-0.0127419710536762,-0.0759317667479757,0.11261890767933,0.0027565438389356,0.300082910576342,0.234168456141662,-0.288718171184746,-0.111262515725063,0.33505062009291,-0.0265182897278123,0.0391423004320563,-0.0502950415887162,0.337895298961473,0.128474690504758,0.298983355060855,0.172185504170039,-0.382292979719459,0.138781014659774,-0.343252610687443,0.351408823044878,-0.0554950498087457,0.266415564267264,-0.246755625836737,0.0732219964754649,0.291676400540855,-0.355854883122674,-0.233299153477474,0.0833170619805307,-0.167684009778259
healthy,0.0594243198092272,0.0466088272882253,-0.0390840381490641,-0.274684976199714,-0.192452779128726,-0.191834896338534,0.639161046789078,0.51564876955038,0.223731291584274,0.0160531458674889,0.0041139711890533,0.311957345276048,0.117328201924541,0.14415428510214,-0.57685458581201,-0.0525161016072008,0.0504997834574639,-0.334611735730053,0.272656851372458,-0.174515812270332,0.19025673711008,0.203081412602486,-0.263492245911129,-0.103732156834187,-0.577746645891269,0.256971024361134,-0.638661230774081,-0.321630949723777,0.258442923491911,-0.490891478644827,-0.609894916924094,-0.138529059190577,-0.31114530823331
healthy,0.632571566101579,-0.627349556722539,-0.645778631056123,-0.619997322554316,0.64341253646968,-0.638170802787037,-0.514626805320219,0.627463793314243,0.635134903724057,-0.603712444391635,0.64633502078694,0.680741602885382,-0.542687092734219,0.68323179621533,0.605551735702666,-0.660933470991517,0.637607838288352,0.60642617982909,0.640282946964584,0.648627971080852,-0.706261564364441,0.61062827834263,0.664362212434601,-0.623751515006859,-0.616216831030302,0.286733023330788,0.557962744029185,-0.640915768371864,-0.616084513826962,-0.700096075796365,0.14254178922097,0.67060166714119,-0.630354225638147
moderate,-0.142805538059417,-0.299500213533405,0.266115210479618,0.0326829636343941,-0.274402413234792,0.286070168935922,-0.186285789523907,0.0382010109019645,-0.0984010000595255,0.339911711682339,0.430770908382637,-0.507315865586666,0.209191405279222,0.290155811751883,-0.0504259096184228,0.0982669981219319,0.0496563245069101,-0.243039858936685,0.0310557661222829,0.106903259582837,-0.150044693140079,-0.011467951186052,-0.232674209868171,-0.016833911701687,-0.0798616685764653,0.54655468336466,-0.300835657233422,0.149306266202673,-0.312816737790259,-0.209261347753966,0.0243181922779467,0.188139591938615,-0.201282240510592
moderate,-0.266509793843094,-0.159888974859055,0.413484009138657,-0.165832220945361,0.081243914681581,0.0650689430910906,0.454784871767335,0.159403015891252,0.414711279257888,-0.176267706170211,-0.315226434613582,-0.301436716143099,0.247971252430104,0.522582430169504,0.257176439331589,0.145416509349172,0.415603910221836,0.334769865229571,0.403781394511177,-0.130653607424938,-0.352840583001751,0.267831876129803,-0.208535266379786,0.199370982832641,-0.214265442147643,0.451509010252558,-0.378911635306187,-0.0627733835696328,0.334354018226872,-0.338700621085282,0.232017780412853,0.327064113943446,-0.186777066016794
moderate,0.0586070542726303,0.182033140430682,0.224872847698753,-0.402072271118781,-0.298578570620147,-0.156467968228235,-0.395602017518673,0.117503964742189,0.485705829447034,0.182890979229326,0.419797270304507,-0.0306796021874376,0.607383234182385,-0.166732659204297,0.478215103981508,-0.277956052113323,0.448471218392166,0.319815329216672,0.0549984488856858,-0.330810655912151,-0.0050083605825448,-0.253191092346075,-0.303472961735112,-0.0719055106169767,-0.0429710207872799,0.641872131482491,-0.355413022714478,0.0173548189762838,0.178348281369352,-0.32545346935714,-0.507090764392154,0.222663476183314,-0.222110571878505
severe,0.275979081190428,-0.552827217506628,0.224902168798441,-0.593054223328387,0.216082587522048,-0.46455929973226,0.248685437240419,-0.592573207008773,-0.0207263954995792,0.438007578389624,0.192150365308513,0.44198094396466,0.431843548747549,0.101002990867422,-0.234333693913397,-0.280516953097161,0.502575717734097,0.0419613210727542,-0.174910626563532,-0.310450968679291,0.319006797417514,-0.190046986254106,-0.330886097886718,0.245308835501748,-0.166975280415107,-0.164264701272825,0.01786686258574,-0.220027490592965,-0.419160656912047,0.0329282710154671,0.111640377406893,0.4386707547356,0.0597171798924294
severe,-0.397042082401792,-0.326356444168154,-0.172332358447882,0.0694074669409733,0.227070488551643,-0.144008122113153,-0.170034317093645,-0.37767344114043,0.391048308519346,-0.365931847511453,-0.267232625857726,-0.403279341001117,0.425882427314896,-0.307093000157696,-0.259006497167381,-0.132558907697953,0.211060257178271,-0.342676340688552,0.243019972216748,0.359390356486981,-0.365861222127044,-0.161968206756787,-0.250119058059387,0.263639127277578,-0.181018786846404,0.129909221073092,0.141711562410337,-0.292156966064673,0.513718180748593,-0.353085929689896,0.388394176940221,0.334487253283737,-0.54530698904797
