group,ASCL1,ASCL2,ATF2,BACH2,BCL11A,BHLHE40,CEBPA,CTCF,E2F2,E2F3,E2F4,EBF1,FOXD2,FOXH1,HOXA1,HOXA6,IRF4,JUND,KLF10,MAFF,MEF2A,MYBL2,NFYB,NR2C2,NR3C1,NRF1,PAX5,RARG,REST,RFX2,SP2,SP4,SREBF1,TEAD4,TFAP2A,TFAP4,TP63,ZBTB7B,ZFP42
healthy,0.130979484544426,-0.111315481934966,-0.0471677737414854,0.108362490359725,0.0538689973622716,0.0258855727382003,0.0346323468261492,0.251663356781368,-0.0686377420402491,-0.0474638096920697,0.0984021491406628,0.285624193558017,0.0307778181660374,0.136746686854288,-0.0251651367258828,-0.0277039513943317,-0.127286046189682,-0.0139058741057585,-0.122961070926175,-0.115591422349982,-0.242255138519553,0.0138323762758594,0.279969179787522,0.137611686746352,-0.0286673597388077,0.19458760373157,0.137555695313139,0.230657447126463,-0.0519047602967143,-0.299373756229652,0.0438026861856644,0.196876295908606,-0.103801208986986,-0.222305177933551,-0.0025685767526548,0.0530338563416787,0.0719525728083498,-0.28215828996655,-0.0031273659328273
healthy,0.134463385780921,-0.118788067417754,-0.0561990198631564,0.113499374651191,-0.0002535665185457,0.119391836554747,0.142990592403986,0.0377894298570771,0.0107332835148055,-0.0797098464975633,0.0353617575781338,-0.038569263911128,-0.0078561570105354,0.116675426071325,-0.122202542947618,-0.0395594397894665,0.0179817481278815,-0.0072081995714502,-0.0048011072026711,-0.125508681425312,0.056411598634201,0.0632433028591678,-0.0850435535157902,-0.0424368071956951,-0.126115134898414,-0.0484137224429692,0.0659637398467524,0.103008300848319,-0.0446929228656604,-0.0416358770129976,0.0094544382611192,-0.023647968677893,0.0537442289066052,-0.0060078195270859,0.0104172545598916,-0.0485251223914671,0.125096704661806,0.116330420052267,0.101630961108194
healthy,0.156520870511634,-0.122032507131207,-0.105227106855513,0.0976418842512559,0.0694067314378589,0.0948103742355544,0.0165127383687549,0.0311282733080031,0.0882617494987159,-0.186690337241043,0.153234502261273,0.153925153857979,-0.0176269403433933,0.140092904612334,-0.160647115694407,-0.137520682716528,0.132699501558072,-0.0645376733842398,0.0194910750225484,-0.0804208021577242,0.112575288220352,0.0659104840788718,-0.0788604770900287,-0.107945559181333,-0.136082074221144,-0.0755660530979679,0.139252895959532,0.0827291465179663,-0.158470290676497,-0.179819510566816,-0.0559648736953177,0.0432412872353108,0.147050507292463,-0.0704188085149226,0.124588014402883,0.131944813054239,0.211064294025429,0.0763445829922542,0.0955299765872853
healthy,0.176239520506161,-0.0218263945315265,-0.246974716668415,-0.0069882869799928,0.149067671751655,-0.153902782412008,-0.0500255070035886,-0.212944797461493,0.0749008097262733,0.137287679620502,0.191866819133922,0.235566959661549,-0.0331170881954186,0.225520557261176,-0.14731435224397,-0.250647085809793,-0.181912489025775,-0.0346783712078882,0.119015275568919,0.158852325778413,0.0776129963915745,-0.169232819067723,-0.219713426258603,-0.144264128734352,-0.0753980001042965,0.236738908409747,0.0961866083705842,-0.0762832094281315,-0.14113367079865,-0.172493493531002,0.25608855828038,-0.172147564775923,-0.270872737775038,-0.0175016274338009,0.230973867597906,0.180424863847087,0.0112328196516353,-0.242280345083323,-0.152032399561349
healthy,-0.382536385623469,-0.379257250185694,0.297593911961934,-0.209636217183571,0.317970571735858,0.399926689909419,0.113161512428872,0.452289765382209,0.400293695761987,0.460971721809137,0.400840493245701,0.337902700825436,-0.437489945102812,0.311367765318647,-0.217644367359829,-0.135543921041999,-0.166470555795809,-0.432326296467019,0.0674457789149533,-0.359646766674771,-0.452738419727821,0.114544588417089,0.339298147797447,-0.201071372736564,0.139912527785937,-0.332425653933518,-0.476055249983553,-0.283736760647672,-0.406253211021888,0.526947827849313,0.420460048811406,-0.347070424549358,0.252287245645484,-0.247419675888504,0.29156676865729,0.215844801583866,-0.284071601942374,-0.0550632488689866,-0.442551326939238
moderate,0.298248002409078,-0.284502656657127,-0.517385458361092,-0.29560415536351,0.332722407928986,-0.29080203469728,0.0668051394925238,-0.233483448184682,0.235347500924006,-0.275295286602383,0.615220003765141,-0.222800179012586,0.169370102844314,-0.0676028049930413,-0.352856487692459,0.202978409266119,0.102621192231335,-0.458860784176399,0.07388431183892,-0.112086604896083,0.380906852695085,-0.0233345491282543,-0.0502862715658227,0.407124112636275,-0.184002252126758,0.370449152865349,0.437406851333382,0.32959037216179,-0.303293563611942,-0.565436087111529,-0.510620121621456,-0.207042580373674,-0.270919677243397,-0.512242259413902,0.604919657621573,-0.0020381879127977,0.32074870776548,0.182776767670635,-0.466432286130902
moderate,0.570257816729443,-0.319678553141307,-0.410261045430914,0.566313873542842,0.423754754478854,-0.252400072552763,0.612470380426139,-0.28566243714788,0.203036620084357,-0.600640166370682,0.520689861745866,0.461415086765169,0.180739508182884,0.437418588561374,-0.451313665710021,-0.504181282671482,0.309667295304234,-0.373746162212008,0.504166404215373,0.211623816489137,0.502092356471601,0.201902208413773,0.0885537351536866,0.201994642375718,-0.431769181160997,0.152115109700813,0.627842028546939,0.546429568219519,-0.16737856421937,-0.311531338780272,0.293834200396633,-0.246412053182038,0.445030619094589,-0.190434466085156,0.449934171862655,0.182445774500217,0.513984309906432,-0.271956238440905,-0.300692423045371
moderate,0.373800367020102,-0.327288597188857,-0.224473538519162,0.130386657747457,0.215624378443949,-0.263101494021793,0.0252426369094752,0.367616190529831,0.111802059259065,-0.347970702323293,0.34313209840898,-0.281313501161202,0.282623649126888,-0.0977723262155383,-0.332408347527965,-0.173997628210357,0.334079352314898,-0.215140108147782,0.348265512239287,0.349857369244111,0.248263123419702,0.28952929813922,-0.371960276529578,0.357517021943579,-0.375573566683858,0.296897154928106,0.419494035315791,0.185994555257341,0.338869430742085,0.340496049275989,0.121230511174388,0.212175894105576,0.0706654666788768,0.271361255292081,-0.0451743953500077,-0.26177247838223,0.38519264439478,-0.202600157792473,-0.427738706465651
severe,-0.639781197509772,-0.651737269056372,-0.634466650197151,-0.757245687817657,-0.797556761570845,-0.69437031529239,0.458610432758745,-0.651472632486638,0.701814285899111,-0.475288227761034,0.438060786582063,0.637813022304759,0.661854163869226,-0.630580571250192,0.632041289233671,0.361555207938221,-0.344208707625312,-0.65491859900221,0.626887041491964,0.617128686547782,0.616551987499759,0.671358315943556,-0.600260239393103,-0.622679414885005,-0.798448368651671,-0.657378106619849,0.134904893919731,0.638191481055024,0.635811648963757,0.616809035924124,-0.0902334821340391,0.643637872393428,0.615802658144597,-0.640960205596438,0.182628637179994,0.706253350939816,-0.742536068020381,-0.758390549250164,-0.759328633721373
severe,-0.260222051865408,0.209077428140456,0.177483657111876,0.14079290584436,0.24880286050169,-0.249070030960877,-0.201068734357408,0.144737250497822,0.300847764720352,0.151724671619876,-0.172674588846517,-0.0240216367389163,-0.250027597541954,0.303417737122583,-0.0973754839214267,-0.23361068890103,-0.291733350682002,-0.188314678388919,-0.253168455435534,-0.338741029976999,-0.26830581017673,-0.315017675968856,0.0874027662637302,-0.343778254900664,-0.2712698713524,0.128501583185035,0.0482941470328544,0.0270390332373082,0.0354526803965722,0.124100431369377,0.326273404445345,-0.0317404431660628,0.208709019337215,-0.381982149027603,0.0678612966333918,-0.171466148710418,-0.283015494644995,-0.137913786108578,-0.214855915280829
