group,ARID3A,ATF1,ATF2,BACH2,BCL6,CEBPA,CLOCK,E2F2,ELK1,ETV7,FOXA1,GMEB2,GRHL2,HNF4A,HSF2,IRF2,JUN,KLF3,MYC,PAX5,RBPJ,RUNX3,SPDEF,SREBF1,STAT4,TBP,TCF7L2,TP73,VDR,YY1,ZKSCAN1,ZNF384
healthy,-0.149556242545168,-0.0860793386737575,0.0094555112405944,-0.0967760946670029,-0.057356451964416,-0.201964385283473,-0.266266710010035,-0.0904540788977961,-0.275205603307355,-0.41530432357688,-0.408891229726406,-0.15625240775064,-0.0727309360524743,-0.0282007202476815,-0.0312125117546629,0.300562453474556,-0.243448985425539,0.0254630836993416,0.169539728211009,-0.004973531966892,0.122479036697151,0.18227144572338,-0.111120698631815,-0.188286185029,-0.0939863529274515,0.18567616440352,-0.153984553835362,-0.015043680937344,-0.0813546420073735,0.320799184180409,0.19784622163341,-0.0529756907499026
healthy,-0.0066353819684137,0.0676699486481599,0.101308851164303,-0.0378320396724608,-0.0370393259840397,0.159882265734544,-0.0841244507641624,-0.0965317814526467,0.201330857042522,0.0512793065385075,0.155152864697203,0.161313475026259,-0.0791383561789409,-0.0843611924125668,0.157480516662571,0.0430887558331197,0.1686624246665,0.144336567416653,0.1506305037895,-0.0712127513777609,0.100762663563645,0.146089305224526,-0.109739277324295,-0.0930925684280028,-0.16828208505398,0.0239416874297489,0.0408582170398943,-0.0645405994165961,0.0969393503590409,0.109817935859925,-0.0961496311965445,0.0562264026465687
healthy,-0.0846280903379857,-0.0382508107705723,0.0837794781555859,-0.0465841315451098,-0.0216186340435456,-0.167204129760112,-0.161550617020919,-0.144948737114087,0.0718445274366319,-0.0088180909127923,-0.123717860338766,-0.0532666854141619,0.0014761451404403,-0.0937404772068546,0.108032310385623,-0.003543929387666,-0.0113687469310422,0.0853895177286752,0.185174739445333,-0.0107011801400734,0.120784721851276,0.0171734005239986,-0.108720997387664,0.0040917869623776,-0.111663053297607,0.195412682955887,-0.0394325268590786,0.0048312465315339,0.0279565116719334,0.162500361039886,0.101395149209025,0.0921419189027363
healthy,0.136542905111706,0.0780695507095247,0.0827265447086202,-0.0768523216181798,0.211755477420762,0.0781106106679923,0.137472714493778,0.128960057943099,-0.122932191137103,0.0062808491307483,-0.0872908226724664,0.0352705043236391,0.0895040868853472,0.266967876411745,-0.0995611276803222,-0.0163868969729266,-0.0807463950986521,-0.0448308520726355,-0.151382768810758,-0.152992054279729,0.0720496309922638,0.0664813708181462,0.119977198642227,0.0186955262506352,-0.0241101427091968,-0.208752802393473,0.15077614103727,-0.152553639884478,0.0926339153324071,0.0746509780384025,0.0515964736162589,-0.130132253531609
healthy,0.499201190216195,0.414934351096656,0.121000181770069,0.132761810666422,-0.584317124209701,-0.702243083068437,-0.589102023558291,-0.203481424316413,-0.291370235785589,0.242314195665124,0.0003870873690143,0.0260347472385464,0.445793955089627,-0.471237665700216,-0.449142885166067,-0.033997092796874,0.0071973277258024,0.0380144769750747,0.44791086515286,-0.048870404672529,0.0209035503727302,-0.042965865514639,0.0920235705270136,-0.446723797221216,-0.403191868457266,0.193725157725341,0.413849674017461,-0.143032528857603,-0.414203463548281,0.238959438467,0.466676694313485,0.191597425864694
moderate,0.147378800484742,0.120009850780243,-0.0704033692880479,0.0718724931641565,0.0598103858729747,0.210738875317542,0.059007253136647,-0.155408156163725,-0.455203848660031,-0.0332710771047744,-0.0762294773049332,0.18542880216951,0.0092097373438309,0.012917818275387,0.0979000403196832,-0.258765599537053,0.10508836310866,0.0352933679637602,0.0925364018080864,0.121988545508697,0.422225238059075,-0.246720799252464,0.0586773246312161,0.399994716704431,0.0080858772954508,-0.571416016411293,0.0606972056538408,-0.0012634114812881,0.319639818625414,-0.169983284627415,-0.0234604142029109,0.342810395236901
moderate,0.0870405501148194,-0.065096070639383,0.0162673960265794,0.0953829205950126,0.119334084894073,0.127435892120343,-0.119653254443937,-0.0436714121301073,0.0578173597338225,-0.138652779590237,0.176969588637984,-0.155361708853586,0.147199760813835,-0.0472735692496156,-0.0133960874571217,0.13921444654807,0.214198128845195,0.0393415352391536,0.0812778177738165,0.1254294120895,-0.0437007657621126,0.170903046205725,0.0081954885463987,0.0948837836997767,0.0530685792084477,0.0416251340354057,0.105298054127104,0.0964014461160927,-0.0734036263467326,-0.0010226441314623,0.0171664932239539,0.003734987993021
moderate,-0.004213573546486,0.0636280934632313,0.0564911637823459,-0.0622439898392856,0.162347766526422,-0.0877177340269385,-0.0765702329340841,-0.115796567776433,0.014393249777239,0.0003041694830131,0.173079150660468,0.0510653618873079,-0.0355749054950028,-0.133229287592053,0.158171953763551,0.013019036363892,-0.0638918930886678,-0.062298578138684,0.0615021229174876,0.0628007743128456,0.0996288240992248,-0.0974906171988549,-0.0257162869391851,-0.0838461514232191,0.125565183393265,-0.164984872864087,-0.0850058140103275,-0.0132313219476213,0.128118394856568,-0.121229489005072,0.0430176024638856,-0.0473323029081085
severe,0.15889189975135,0.14009106512138,-0.0846309398329837,-0.0206455312041851,-0.0900076485138796,-0.0017788826840288,-0.168396760848587,-0.183969853385927,0.184428642968243,0.217331772763557,-0.208293331844598,-0.368137148442415,0.0028242743310506,-0.139142963572895,0.124769782250841,-0.0127698023451896,0.0828673183408822,0.152835114205192,-0.113280012378556,0.186861849256156,-0.0589167852599357,0.114818531289729,-0.0228679422786018,-0.0960415422721459,0.151993841000199,0.0698313989614598,0.237992565159669,0.0245781495989578,-0.0946861576641003,0.0283657866704209,-0.0372678306865289,-0.539277108539939
severe,0.0283116027129963,-0.410047342323307,-0.521329171815858,0.0386817081391915,-0.0198310116862973,0.0011704519411411,0.164710738228543,-0.568425293530224,-0.254391556137306,0.0857299252804391,-0.0230588909636386,-0.0117178536740325,0.194699001000684,-0.0372756842250865,0.193473730424325,-0.400173567783545,-0.0313567532062775,-0.554872250230335,0.017715802545408,-0.477485128596182,0.329021448578467,-0.0035246900860441,0.153821090421723,0.0164905319690488,-0.184769420102547,-0.32556540525184,-0.119940704549103,0.2626168207279,-0.0334536894687609,-0.449406134686678,0.146013138864996,0.255435085652763
severe,-0.217601005982302,0.0696649247073625,0.276310365678349,-0.47684272242899,0.305829984281378,0.138555212282046,-0.271547297601718,-0.281664186873823,-0.299298167471262,0.319989053346775,-0.383860602642574,0.480623784501514,-0.212088480414122,-0.257639298611829,-0.220647984671084,0.0565000882987385,-0.456648166018078,-0.0819035619126541,0.312387707068427,-0.260966037640292,0.163315031319551,-0.614026975885035,-0.495053534709068,-0.184501762435797,0.21073955377411,0.227612455507172,0.208898413572375,-0.404680049955015,-0.243306756345756,0.428761229241653,0.252421302211302,0.170337487963821
