group,BATF,CEBPD,E2F3,E2F4,ETV1,ETV6,FOXA1,FOXK1,FOXM1,FOXO3,GATA2,GMEB1,GMEB2,HES1,HIF1A,HNF4A,HOXA4,HOXA6,IKZF1,IRF4,JUNB,KLF10,KLF4,MITF,MNT,MYC,NFATC1,NFYA,NR2F2,PAX6,PBX1,POU2F2,REST,SPIB,STAT1,STAT3,TEAD4,ZBTB33,ZBTB7A,ZFP42,ZKSCAN1,ZNF384,ZNF76
healthy,0.0215093237295819,-0.149403095615331,-0.009229116623931,-0.0093599431852971,0.171124868378233,0.170502134431617,-0.302990772070114,0.0298966183412862,-0.170319554975023,-0.0901462004993949,-0.0884766962786329,-0.0114551343887841,-0.132535414293799,0.177673685080768,0.203962687259073,-0.0108024823167608,0.320847608517188,0.0299536144941924,0.0353400422359156,-0.0403017903800695,0.135051631806519,0.168245142607519,0.1795470452181,-0.130526724704827,-0.0526525872696433,0.124689631683385,-0.0259003457029297,-0.171346250369078,0.141024139239795,0.301249355113839,-0.0168742960794827,-0.217833761857488,-0.0754970968571679,0.0364847594764059,0.0720801556435379,-0.111314554696696,0.155224507412422,0.0997122207034725,0.0601101503428221,0.201391403403564,0.111432758600689,0.0146660349951452,-0.0908099459453016
healthy,0.335267409465835,0.126377026209868,-0.286160753234828,0.0757331328900742,0.0268907631893323,0.348791374481363,-0.0901622592737654,-0.148175987165109,0.226292915695513,0.0522479758765605,0.357432629330171,-0.225043754054835,-0.19923041321332,0.0952297161240984,-0.143497986896682,0.0684767478068425,-0.126230849569955,-0.184033885554423,0.135675223849855,0.149416558363232,0.130336385528847,0.334946293854053,-0.0775125369890255,0.105814115167197,-0.32772340106305,-0.120301148785115,0.306116142615352,-0.25936455447184,-0.225444548629748,0.145634468217139,0.181568185087304,0.314570251021291,-0.121068863072397,0.157257893459955,-0.104334785312636,-0.0188223899994959,0.175225621373029,-0.250646298652115,-0.171544599348656,-0.0204714419579771,0.183865137265853,-0.232252839535334,0.0581508271810266
healthy,-0.156163580558374,-0.0989893301460996,0.0006812694341471,0.156728611246379,0.108237554267063,0.24917758305714,-0.223964257187267,0.0853683342064708,-0.0635655229817591,-0.103423691886639,-0.0804653075843659,-0.111905234466689,-0.115419365760618,0.18583560424833,-0.163962523209908,-0.0256743879264723,0.0874874597536416,0.0454586280038371,0.0351355545033499,-0.09181640269431,-0.0569465880424689,0.0023898353935183,0.0390658982262342,0.029258387773906,-0.135534385041212,0.130049136899097,0.110398875492794,-0.107734740030027,0.150715628496507,0.135260570708004,0.0623311339520531,-0.107836998025816,-0.0585373242941776,0.132804252833952,-0.120077292793066,-0.0024349314090092,-0.157329382251376,-0.147721502271619,0.160758974355479,0.14276634702093,0.20991314550451,-0.0319945600032221,-0.0217976652385544
healthy,0.114485441244832,0.0979514857297683,0.242100709473041,0.142868820928086,0.124672352857178,0.0305808458760202,-0.0743156519821967,-0.110585240418257,0.126712952945884,-0.151075465568672,-0.0086906503120857,-0.186437375778678,-0.200253659559308,-0.0651289293752218,0.0617556377699753,0.285399776401275,0.0589266849531748,-0.157112799471066,-0.128555124116635,-0.0689942710675611,-0.106978660760819,0.064112651538665,0.175942094901941,0.0470330164992235,0.0616188827048978,0.0263843424084441,0.0410761267527569,0.139706024864184,-0.102664172531216,0.164018930257483,0.15006857288364,0.232687402493536,-0.0985320243883819,-0.0164253559045606,0.0272477763487377,-0.0652308253060639,-0.0371276594326254,-0.258885382607414,0.189176499288026,-0.160250121552257,0.118010236010409,0.0910721696619942,0.114663759123805
healthy,-0.0283334203221324,0.0045505651490387,0.11726352262798,0.122206479940028,0.0532088847077437,0.312120904145553,-0.0930282325255543,-0.30139269944741,0.0335512212828402,-0.0004904902037618,-0.068550234339543,-0.0060025852867268,0.115372598325201,-0.0468333577316049,0.0427614433676165,-0.0264145888181054,-0.0458997349989272,0.0301330119662793,0.112150585090145,0.0836201230137431,0.238830673957587,-0.153848172119258,-0.0228230165846976,0.143414261543372,0.0641138350137937,0.0888455350293369,0.062284644822868,0.0959145136728632,0.0467851543839938,0.0310708630627825,-0.257465073336712,0.0650119394903369,-0.0177126160651583,0.200498864533599,0.321473199254867,0.042106892647424,0.0451470862379823,-0.0090596923325872,-0.0437398867568448,-0.143107282329638,0.157818605751433,-0.0145574109785454,-0.0685933636505634
moderate,0.0625997611626598,0.313675172655947,-0.206927400943306,0.225722141201642,-0.015738855440845,0.195783295965821,0.0447243205405832,-0.233758366752931,0.193915640882554,0.120719247387007,0.0887432184277721,-0.022062754340754,0.208567634229674,0.0512133787857898,-0.121813537281975,-0.0575702658618098,-0.125995389382091,0.152574028414178,0.0969317139045534,0.312242480874912,0.023821613982277,0.0867211087715881,-0.152345732758311,0.0128953183530219,-0.137312736900345,-0.390921247082423,0.165951061524318,-0.0514608993389939,-0.367154467750503,0.148561486489467,0.188045056323244,-0.347747589283801,0.02813388953364,-0.150711616484731,0.120866929552908,0.376739608325813,-0.116406316441417,-0.312111183564695,-0.0396535354034088,-0.401757535237786,0.066961846675303,0.120083296521714,-0.140359009269168
moderate,0.0429724866641368,-0.0664021015343473,-0.0358311409293361,0.0319390154545709,-0.0649201706744643,0.120277327691231,0.132058563751325,0.0679003281484422,0.085747093047816,-0.0805381197884444,0.0634495302810338,0.11828114351067,0.0066891214140253,0.0141131859140443,0.0527672405740517,-0.0862431764882724,-0.0027015183611113,0.001898695345231,-0.0346183071383035,-0.0782283966118725,-0.145682271376339,0.0922383456089814,0.0909659283239372,-0.0960566716582907,-0.202275380214132,0.0820930615695472,0.0564208720864036,0.135239926936669,0.0123079911725729,-0.0458514299059587,0.0086648044844493,-0.0301801939042578,-0.165130396958365,-0.207225506959722,-0.0596804228946912,0.0249713120656672,-0.167992084527775,-0.0769176054540068,0.0271499378422962,-0.0085210110235463,-0.0220553319799458,-0.0121520044650051,-0.0997263818004996
moderate,0.146254933916758,0.129744209323625,-0.0618263447260812,-0.0016620374588587,-0.162291976210874,0.290482458896465,0.191866105832421,0.0062967382382333,0.116902944959577,0.0244667610693908,0.0715319114036851,0.122059660067793,0.0044511729835037,-0.120902329120211,-0.0513928554750258,-0.0716834004610618,-0.0864614765693954,0.0094098119896421,-0.0490107884568222,0.0651738957808713,-0.0281339690502341,0.23547780886354,0.14893032075996,0.0293467337112848,-0.094254620713398,-0.0370168766945832,0.244807554442733,0.13610585695036,-0.124114927895251,-0.0363516112613915,0.0475053532675634,-0.121178178803446,0.112970681854636,-0.239430930627867,-0.169547198254674,0.0682124424350736,-0.0343090047213437,-0.109146506374749,-0.173533515317403,-0.224839669380405,0.0712771029945589,-0.0958119590648279,0.0172892720256994
severe,-0.0752892829778889,-0.233187904302711,-0.0710072929100042,-0.218926957798329,0.350978742048941,-0.131264947194196,-0.0301991483282972,0.179614563852852,-0.320354815744535,0.267146385233883,-0.0750517114028842,0.0099856084405974,-0.401590040101642,-0.0356176808110044,0.414829428833503,-0.306079614945653,-0.0194267028312842,0.337244254154769,0.385176695127717,0.0225692996254463,0.103361690566744,0.235181604960151,0.0911048978691016,-0.391162548531535,0.163090035381825,0.0412272208400153,0.0519939646192282,-0.176785561537696,0.131106249382093,-0.088694021525954,0.15422196363005,0.218238950517116,0.35347039272759,-0.0087663911176733,0.0974052960382262,-0.0941249077305614,-0.184386901651546,0.0350883713418939,0.0478450146333462,-0.33021403610723,-0.178142570374123,-0.43083985241622,-0.351785535117657
severe,0.0260906604617765,-0.215580598002807,-0.358778724979326,-0.33672520476282,-0.333334425571508,0.117432391269701,0.201508166667672,0.0815640871081107,0.0363731335738182,-0.410418836878517,-0.149340799567952,0.432211221249014,-0.109200133559343,0.357925548322136,0.004276847004679,0.0805574183887619,0.122367559748766,-0.0183717041281161,-0.0892162644277153,-0.0241550657558602,0.315333992827508,-0.140739263876882,0.303439354711955,0.219418896258463,-0.0752145989134457,-0.0749574498742457,0.0030050556325116,0.322735001318127,0.2499284337175,0.195778626931854,0.409792908209456,0.186728575474738,-0.241998176622946,-0.310922591093015,-0.0635950504677342,0.157059755901612,-0.484578427040051,-0.0755489923345759,-0.334854894018406,0.097927935656892,0.584051250335547,-0.127866861391347,0.0457092384195018
