group,CEBPA,E2F4,EGR2,ELK3,ESR2,FOS,FOSL1,FOXD2,FOXK1,FOXP1,GMEB1,HES1,HINFP,HNF4A,IKZF1,IRF1,IRF3,KLF5,KMT2A,MAF,MAFF,MEIS1,MZF1,NANOG,NFAT5,NFYA,PBX3,RELA,RFX5,RUNX1,SPDEF,TFAP4,THAP1
healthy,-0.0268889918765499,-0.0637528538318681,0.0966268184920648,-0.110723331347613,-0.0141019609769705,-0.0683633658455129,-0.143398131533566,0.128953808673624,0.115255503965645,0.143232380593364,0.199574424240968,-0.010624307896433,0.0216526707048887,-0.0032458602782207,-0.172158921561365,0.111147753294486,0.189345183668225,-0.101509978178645,0.0935624615938112,0.147999861320439,0.0125800626860036,0.0795900716819672,-0.0467564062081646,0.0775410465032635,0.0277068744948976,0.0499520133043113,0.0209815370422708,0.0719233085116967,0.0626747901953685,-0.111943094461452,-0.102452080381432,-0.0991927628808965,-0.0107596653255533
healthy,0.366856645797911,0.132802537944356,-0.382608906931078,0.388271649269017,-0.139716980010665,0.315315137164547,0.244818601845376,0.0581592749159919,-0.136472543808928,0.253448960854609,-0.352640873907556,0.397700655640341,0.0202801052323737,0.100032540244549,0.130589905490055,-0.147402552382241,0.362043531236953,-0.291832506853189,-0.230909846105873,-0.20212284790949,-0.349369367242926,0.111857557408906,0.365327989125581,-0.267914756639549,-0.207859415659556,-0.333703195678298,0.313712277192917,-0.378480008625745,0.0076546199768225,0.117309301291151,0.109657257817776,-0.137684840211235,0.170304885410373
healthy,-0.259856673524244,0.0186752679154464,0.0175301920655665,-0.0021504681784424,-0.15233171624955,0.0232664581689876,-0.0078036969629015,0.228123712894925,0.184217867011462,0.199725509705272,0.061179979142434,0.111849533657455,-0.101616651228574,-0.118936799590544,-0.0513502697513532,0.109964511173076,0.123372954130525,-0.266063486739213,-0.20315946539387,0.0804558419608996,-0.140166144196394,-0.0796944672327696,0.124570279967422,0.0560799131389,0.131746500138231,-0.212126624893444,0.198484332311604,0.0953049302145636,0.209251990834617,-0.128060059296072,-0.123778650153544,-0.0970104267480498,-0.163356359825787
healthy,-0.102001330540026,-0.0454180150579335,0.0579100422093766,-0.0004435584395781,0.382477678434233,0.392976983100449,0.400101558273852,-0.392412334523064,0.0050054977617677,0.414044034684687,0.107474078290073,0.116621648483154,0.354630895329915,0.360430059973183,-0.0538245662555172,0.242180275615376,0.097671041916251,-0.159806076977396,0.10804399165606,0.525886571315888,0.0861398386843688,-0.117150759737488,-0.069980886272793,-0.0255460704859719,0.406131057418385,0.0152126066606658,0.0704928869641755,0.113054754206428,-0.350911322183779,0.427854891380514,0.0053964083153426,0.0077366068481911,0.40984799817022
healthy,0.042292341228482,0.130776553633041,0.0543961959207073,0.130675861545192,0.0076709063288368,0.0426227111365476,-0.201320931080227,-0.142959464096718,-0.147755236842767,0.137490469044308,-0.258873532696885,-0.14749393671397,-0.115031972623972,0.0570483090113997,-0.382222172477551,0.384788572468669,-0.203510359866424,0.156956496473701,0.147581314145574,0.227951075735153,-0.190534395190187,0.0386640974018679,0.214258616119761,-0.171124955049832,0.106306711953778,0.50734665453482,-0.0440007780578487,-0.122008852496067,0.176195342580924,-0.0538228335361804,-0.170169628464293,-0.239072142363334,0.0534292190109537
moderate,0.185369820516266,-0.047442674589617,0.158577368596948,-0.143607237246006,0.337939178140797,0.324261769249394,0.155536104465774,0.064418018277513,0.441742852449211,-0.0141221158760514,0.0497350617456626,0.207953788648965,0.0568124611946382,0.0338047032113066,-0.288720290254337,-0.0661425923997543,0.0924408770279486,-0.305427415275843,-0.386472158340989,0.101739196758416,0.394393215528602,0.357402135568886,0.0277128058160136,-0.0067924034980101,0.174431466746872,-0.076239903072263,-0.355837272480328,0.174701210620951,0.0820925607472501,-0.369474372311388,-0.0908252463120396,-0.0069035257724691,0.0491539576162858
moderate,0.0907078685323812,0.0713386078546796,-0.0127209172797429,-0.130471719862611,-0.0019615725322165,0.0547087005363786,0.0556965925576946,0.0565618001568227,0.022216759338539,0.165452313434843,0.0554489417378784,0.119826485184009,-0.0638022145093734,-0.0448116939733177,0.0522132361263902,-0.157913672004821,0.180395219572794,-0.352224569860175,-0.0460190736225057,0.103676865914449,-0.111393648288622,0.0318008076559394,0.133062225160617,0.107077427306139,-0.0817596666885395,0.0234465181627135,0.0391235990625044,-0.0453543409548829,-0.0034722741644382,0.0481240942940355,0.0245249210118905,-0.135793625496701,-0.055201934841825
moderate,-0.0744716175841093,0.0019944301406019,0.108595657186169,-0.0533241656666958,0.105624486853577,-0.10553848431953,-0.0959006895861188,-0.0211593184971815,0.0643027833496564,0.0870100066697627,0.112409917842006,-0.127260841857433,0.07659897353096,-0.108752074797789,-0.0505160904109498,0.0570187146568061,-0.12975580031008,-0.0089067329683135,-0.0234013780108406,0.0945981212716858,0.0336965410377052,-0.0634598338163395,-0.114849867657932,0.087457195711393,-0.0810527824977522,0.136176062447207,-0.090403587016401,0.069466716607752,-0.101223956818659,0.037163332147658,-0.0115518338242965,-0.0277208934977837,0.0438789112182324
severe,0.0405946022097626,0.0330545077283752,0.185722935705865,-0.0051607083676983,-0.010612441252091,-0.0040051419642773,-0.137063067737033,-0.146925670576403,0.263026441448095,0.166545652407089,5.30859053253324e-05,-0.200456170358835,0.101086939290574,-0.113416140802382,0.0874438616219635,-0.141041666748647,0.121226404623372,0.0457079124477063,0.0422544847137744,0.0895322232189583,0.101211122390531,-0.133936687098409,-0.0215348662727781,0.416558463349717,-0.121843528272779,-0.115647644751237,0.119143730801948,0.0595841889147101,0.0289024315618582,0.0633874148462321,0.0845042296145732,0.0475981498623261,-0.0144384182858953
severe,-0.131193475463516,-0.361304613592722,0.111535672937476,0.0744735136459797,0.235128467759444,-0.0757402113178091,-0.216510831263805,-0.0737137918092245,-0.0499200556901205,-0.227853240873486,0.123239148263843,0.0901566256250375,-0.0977172428103496,0.162352457592464,-0.0057498478855981,-0.0873937309765255,-0.123557677471441,0.0123093732756027,0.289341743204144,-0.167264929781691,-0.0832414752346247,0.10683934556769,0.0530004903250887,-0.113577919984326,-0.0017118471855531,0.248186681439244,-0.144801201487479,0.0277155033350101,0.0126348270311918,0.196167993097202,-0.0595258875857077,-0.362986289533456,0.0498394341670794
