group,AHR,ARID3A,ARNT,ASCL2,ATF1,BACH2,BATF,BCL6,E2F4,EGR1,EHF,ESR1,ESR2,ETV1,ETV7,FOSL1,FOXP3,GATA3,GMEB2,HIF1A,HOXA6,IKZF1,IRF3,JUN,KLF4,KMT2A,MECOM,NFYA,PAX5,RBPJ,SP4,STAT5A,TCF3,TCF7L2,TFAP4,THAP1,USF2,VDR,VEZF1,ZKSCAN1,ZNF143,ZNF76
healthy,0.315721569949282,0.0069264305499279,-0.0659783297081725,-0.263277588435514,0.0269764531547087,0.157363486643479,0.199622974315773,0.0550061998786557,-0.0635751539305368,-0.267353986576266,-0.0075429252753397,-0.0994239445879125,-0.011073233204677,-0.0654106574152235,-0.204083034895758,-0.148429653651412,0.148674853472422,0.0168661523013401,-0.0378943833627054,0.110677374730428,0.0607694588893145,-0.153002622980715,0.103027174533396,0.150303628479626,0.019447520791802,0.0731437029863891,-0.0417091568140545,-0.0217270945464266,0.0631420213519766,0.181401709267589,-0.0345523503756767,0.093772909957055,0.113924671422976,-0.10591779249907,-0.0795952299754896,-0.0842838699739444,-0.0491621974859489,0.0051604150129217,-0.16671972227776,0.106406517879952,-0.159353877614782,-0.142073351792161
healthy,-0.121843081967606,0.0259406292276195,-0.250563746437571,0.0151225085057993,-0.0065496083994899,0.0027462472635525,-0.0962161961259433,-0.170301413785704,-0.015027004583408,-0.0327227429451606,0.0402331179929011,-0.0439335611786236,-0.209568564769606,0.0243997412553512,0.0098593569152092,-0.0277489492651269,-0.0822134869220896,-0.0021925493941478,0.142408470747965,-0.0490039480457999,0.0710694652141843,-0.0341609589302223,0.147000635251733,0.14444402546763,0.171073561944111,-0.104077033323033,0.0846204809219601,-0.0478380833861446,-0.0485925573455213,-0.0188488832201181,0.0149540589826411,0.0178006240160344,0.109426412516842,0.0531887275325678,-0.0498710027878629,0.0224760645669201,0.0247674559528585,-0.0303077375787319,0.0609373353226971,-0.115420320205287,-0.021474819435007,-0.151177192546507
healthy,0.113560040594871,-0.0265321208825339,-0.0482113966594019,0.0360502981902217,-0.0185057702835897,0.0867655532999864,0.0264210638562845,0.0709674570411169,-0.0057829557481156,0.0431106136130077,-0.0134713353156795,-0.0259225197448254,0.0291953291761645,-0.0187115602050805,-0.0438168933793643,-0.0028544695954554,0.179452617165572,0.0249209463202674,-0.0250132184350237,-0.0803524803722116,0.0386011546864755,-0.0147961580092977,0.0349243194359694,-0.0159976197742414,-0.0697372599412654,-0.0532844530047499,-0.0108471561450902,-0.0662579523987029,0.0382270588253006,0.12085668393883,0.0660776000801328,0.0912299098400128,0.062762585402103,-0.0698020271113563,-0.0570721879060094,-0.0462310692572254,0.0441660666846969,0.0895325793470442,-0.0891801440768827,0.0656997415139139,-0.0894690282603325,-0.0709764918252814
healthy,0.195038955637411,-0.417027851769108,0.181358420146163,-0.310481700788797,0.0599576528377856,0.131766647486493,-0.196889716818757,-0.302117554299173,0.199599134134493,-0.320092718431184,-0.117168145233049,0.311898416012099,-0.240991212499823,0.180131768525606,0.139536339729231,-0.282549091029251,0.149112310182461,0.43411605242164,-0.136677297875163,-0.3120156892989,-0.104076672113431,-0.343497500945179,0.359886105783349,-0.33218669462859,0.205869885056287,0.0737648973975302,0.178624739391779,0.136351089422224,0.311104462380772,-0.166373050843158,-0.332573561678151,0.335828906363476,0.27166693879545,0.344249667543279,0.26063920592976,0.407577242415562,-0.247120426696168,-0.201626479230447,0.348102162413117,0.36901589855921,0.231165867816042,0.0987966782697801
healthy,0.122947369902234,-0.0912030469201281,0.029758104227448,-0.0343731671567365,0.0042487063814531,0.0280910532381177,-0.155862832668403,-0.127159183235544,0.170768482095904,-0.0744227158602611,-0.0656979389634522,0.0169553585440788,-0.116610345400333,0.0091323163821057,-0.0057999303591727,-0.0453630056139324,0.0684923728657933,0.0289541789690834,0.092385340416421,0.0541169537581099,0.0472574207371652,-0.152100599735715,-0.108658606558792,0.106372095551811,-0.085530955262659,0.107556962981695,-0.0589568068877095,0.142734055396796,-0.116514251879589,0.0273394646294439,-0.0967867668576276,-0.106280291920386,0.0753141548607316,0.189465535703462,-0.0599666468333821,0.103606832896838,0.0830162221439112,0.0061079444122708,-0.0395793768341715,0.0449563241064993,0.14627064015131,0.0140768428110869
moderate,0.0687645017843644,0.15754833082098,0.146479806105285,0.0659403409982728,0.0182169184700276,0.153008728557807,-0.0360313285748952,0.145926129440087,0.0206601988856935,0.0521523805236201,-0.0862162445670035,0.135046109773234,-0.0628147542645161,-0.116013019080865,0.048187399931071,-0.193307146662224,-0.0894360838251811,0.0707829628508286,0.202854426527241,-0.100090261694388,0.188670787580502,0.209858481874609,-0.100877520702716,0.195364765782312,-0.107889999584876,-0.0179234607309488,-0.10573380234142,0.0575901137260222,0.0144556963541856,0.0461186253189618,-0.0361722520353217,0.0841882216502357,-0.213303252278023,-0.141726883515101,0.210507777042843,0.108729848769873,-0.137665601430208,0.119875551277305,0.128187303485238,0.0900439443087656,-0.19180479784905,-0.185171150369394
moderate,0.196640753649881,0.151619843489722,0.0762800000562727,-0.0926579235814535,-0.149191567888836,0.192193403856614,0.153225537643655,0.0748737447696028,0.136865089453225,-0.097267549356629,-0.148795440793069,0.0559390381417061,0.092074027349667,-0.0032031363915899,-0.212332691278374,0.0654885887351517,0.0817666699258204,0.147396512739858,-0.0424543066918336,-0.122237649024288,-0.136307025816077,0.0480548764156765,-0.0028170637583485,0.131113632562419,0.035354357928287,0.0435651082612988,-0.144759586558079,0.0593950460215493,0.170096820418506,-0.0366229993431093,-0.049941323000513,-0.0483382507320351,0.0080676820030303,0.0294161736327361,-0.0352237903735996,0.0145686118740413,-0.126841199984503,-0.121454559727,-0.0755422904460777,0.153353717409803,-0.227327956485979,-0.108947381882221
moderate,0.0971999737609114,0.0398782928625751,0.0491888191454007,-0.117737467719995,-0.0014855256981103,-0.0063686236832242,0.141442327972026,0.121603096910917,0.0741839940101884,0.0360270745423523,-0.0467933031752746,-0.0192648812101924,0.0808148955401316,-0.12250286670726,-0.0491265968895039,-0.0461422588749084,0.0601454143582072,0.0489011127552075,0.0159129331265927,0.0016831896976249,-0.0411213888777233,-0.0351732764455864,-0.107804105649661,-0.0961804199896817,0.0830608041873572,-0.0462700557027229,-0.0439025233949893,0.136842868627787,0.116063660419038,0.0261122932967912,0.0667227810365756,0.0471547400769724,-0.0214124279995416,0.0074974956622517,-0.002412829455916,0.0239957963125363,-0.10570422715885,0.0308557182613588,0.0475248643829922,0.101933587068833,-0.033257918422575,-0.0462112062037981
severe,-0.11943549823704,-0.0361802610982807,0.0111096201055874,-0.175398756466979,0.0287679866446451,-0.0572184997524648,-0.0976362999361265,0.0315998505931282,-0.0618917102145355,-0.133571373779813,0.0835482896342904,-0.00117514050708,-0.0099803911561405,0.218369043886718,0.0132606254227863,-0.171705318181635,-0.028691792995807,0.0685234881884063,-0.318999363485521,0.187473496124516,0.174882007233193,0.0929894641986536,0.175904760442597,0.0796086872526995,0.0607429444320532,0.0716865014568396,0.17147087618521,-0.0452609810931405,0.0829944204177365,-0.0782625994565595,0.0555617763110618,0.0510048100055518,0.0333024855921644,0.0810895791967838,-0.0141036397682644,0.0547695577314758,-0.0629144634239394,0.331307568297831,-0.0891661059736233,-0.0794553231133715,0.199819797761245,-0.290712959775199
severe,0.322174611612116,0.175863877642049,0.328389121209392,0.158521832638572,-0.337393818789118,0.381769584477536,0.402335142112252,0.265657199986358,-0.388977066818205,0.212407086409313,-0.30141277451976,-0.0494110886978724,0.382748465362432,-0.399064824379575,-0.330390165115997,-0.446928828326716,0.314210698438542,0.265516784682046,-0.10085543126463,0.0788112350490266,-0.340428097891966,0.260202140905951,0.142134007767622,0.0548243754834488,0.367409477388204,0.438211504004201,-0.340456281608961,0.373138321147986,-0.396135227654134,0.301729841335948,0.257892585954388,0.0455005979648928,-0.314237875594215,0.129133261742612,-0.397467914843443,0.123307788095992,0.371216795585758,0.104205267341684,-0.147959984694903,0.136250656845032,-0.321033171073841,0.363990188579985
