group,ASCL1,BACH2,BATF,BCL11A,BHLHE40,E2F1,EGR1,ELK4,ESR2,ETV1,FOSL1,FOXA1,KLF4,KMT2A,MNT,MYB,NFYA,NR3C1,POU2F1,POU2F2,RARA,RARG,RBPJ,SMAD3,TBX21,TP63,USF1,USF2,ZBTB7B,ZFP42,ZNF143
healthy,0.159665291623736,-0.0595475720944574,0.0375612080844622,-0.0481242801679423,-0.0795829280249274,-0.185111126885368,-0.106784895987702,0.103766587978378,-0.147654404194093,0.114455452185264,-0.0003512095724113,-0.12868120936884,0.145242235087918,-0.0969160378975318,-0.135713218132761,0.009420701683273,-0.104190686444726,0.0520376041650446,0.142658860708091,-0.151395832084993,0.0660067352361819,0.128452192318654,0.0720467326983616,-0.0173134999240861,0.15586744574127,0.145571035022004,-0.0613975610634145,0.128862655932045,-0.0809784946145625,0.124647874425985,0.0614447194748387
healthy,0.129556014957433,0.155224649711907,0.0985923538132907,0.0992299704463404,0.0796690500639272,-0.152197181194298,0.163388397583726,0.0266032017244391,0.0352810271420193,0.138326148836372,0.158203145287859,-0.0890468496101847,-0.0532522291181551,0.010733305550766,-0.0398809213605184,0.109167811549279,-0.114555596010646,-0.13177217890908,0.114596752649468,0.11120969961603,0.0132472844745972,0.147073456344199,-0.0544471896458456,0.0615839237446982,0.133550526145724,0.15394415946337,0.0437098376020189,-0.0683720714883486,0.136398115941892,0.0796984822484968,-0.031223570506117
healthy,0.179165297407023,0.0336180960469476,-0.0523602479724929,-0.0950330868035884,0.147811579479667,-0.188277988039739,0.150926824363837,0.137492958418434,-0.0812630161674219,0.068180094139788,0.1316190215466,-0.117804232179211,0.0238955438005585,-0.131961357143403,-0.192759847371091,0.0724573092555973,-0.147824418891292,-0.081378772683943,0.0945021127618327,-0.0429205316104954,0.229613050646838,0.138785765386103,0.0327008540476336,-0.0083508716248636,0.159501602801197,0.172332440901065,0.159708209463395,0.125503000874104,0.0062617010209909,0.0905917916621367,-0.132102395818427
healthy,0.0737040529121452,-0.129178560131524,-0.0163104376003455,0.147062058804184,-0.178174591650062,-0.104961872674861,-0.21798452765395,-0.167027122758093,-0.248530441524157,0.141620403373508,-0.0699781038903155,-0.113829657762619,0.176853801496985,0.146190337303154,-0.118875076147372,0.0068113148194171,0.151601614560309,-0.0394599266133228,0.233097008585455,0.253947001941925,0.0429111512833125,-0.0327384255243149,-0.189973210087497,0.0039953902130573,-0.0141377377985342,0.0018702388567567,-0.0967756153060909,0.0764962032957496,-0.151882942862915,-0.0587949736642142,0.0818004965505061
healthy,-0.317004909047006,-0.0923805001022085,-0.320135187526827,0.311502479352858,0.316704143803974,0.323868653601489,0.146173565222354,-0.268226255086171,-0.218446707424007,-0.156694548847757,-0.259558747627884,-0.318667817704762,-0.291480462554319,0.252580662567785,0.276821678312658,-0.267801206684862,0.126660280818366,0.0230628114043999,0.0185480185413651,0.366065271499937,0.28175737680506,-0.262022039824948,-0.239753812079137,0.239232651368759,-0.0931046566377733,-0.230433403762697,-0.260915919716277,0.311729503255312,0.0523886654316078,-0.353960920438077,0.281025763279998
moderate,0.0922834803080453,0.0536413377368421,-0.0346246454828108,0.125718379877943,-0.0942698158847588,0.0289107600848473,0.124704876421529,-0.105128625301271,-0.0011945565010552,-0.0555778181273501,-0.0840774915890994,-0.0927411421708878,0.021037139273938,-0.153682766077276,-0.174272520653949,-0.0215044223130658,0.0145738954412104,-0.116254203696601,0.144351974385343,-0.185588554607108,-0.0160430927925906,0.104168256977523,0.0497375454590937,-0.0746159393649258,0.162447657673157,0.0896936345825285,0.0520206068589688,-0.122788950362176,-0.0389920035270313,-0.104445740448114,-0.0773376389381703
moderate,0.269897035321168,0.225569544082271,0.212329136687871,0.125982952313731,-0.169400208177141,-0.204511937946872,-0.023035487974211,-0.183912570708327,0.0016018612648597,0.0541787876322538,0.106331195511041,0.178921825439451,0.153028740001119,0.0191800229326268,-0.168390593503571,0.103673400829408,0.102987926559446,-0.205865260167711,0.245832649276008,0.13106458719191,0.116462061441905,0.229262093358129,-0.0497174334781036,-0.0240048333753278,0.235200051818064,0.209009520826409,0.0611795121194514,-0.0602541360423158,-0.0964237514032452,-0.0602272141950047,-0.24964145507885
moderate,0.359706148781632,0.145166173660795,0.388549579518445,0.205600743182351,-0.149301081357589,-0.34224173165811,0.0423825218713791,-0.176260049425743,0.345359450933409,-0.278291249702968,0.0125586459882637,0.304276339679487,0.0956395020853651,0.205350490053126,0.0874673464495248,0.203385631325646,0.21505063412638,-0.334117841859637,0.311312697023038,0.117118847219803,-0.0066480147672657,0.0972450260853949,-0.0101745231234122,0.0434351441859995,0.236025363557115,0.353738065904468,-0.3172793496521,-0.381512476834333,-0.0980249947653005,-0.340500958562884,0.0822990542823041
severe,-0.476870860993262,-0.503575264332323,-0.18386833077587,-0.499402938860439,-0.49058318822732,0.471009081026044,-0.181327497637219,-0.111599966829256,0.483626778575838,0.176738034638084,-0.0831566986271685,0.372854435405432,-0.145187614467639,-0.0209547468985311,-0.495019669126483,0.51197882763757,0.190207110831196,-0.500990722022251,-0.15224094445575,0.179597184568601,-0.0822150510428741,0.464267416434149,-0.192384967807182,0.494827728851985,0.494862886228997,-0.47405922103168,0.456264837266714,-0.42086135861563,-0.552315741462879,-0.45353586465108,0.0058627301665957
severe,-0.374062042342076,0.333513481870855,0.478025626241683,0.37802594547812,-0.348505611143827,0.415218110825779,0.482755969804231,0.482303928389891,0.478835636924991,-0.494153057774328,-0.482510887109709,0.466319585541522,0.522227156652666,0.571607606224655,0.160033553240656,0.359372429283958,0.562135531418802,-0.43176045003117,0.457928845290892,0.469799264687177,-0.454395693557341,0.134614269328028,0.457385207313953,0.32402605845181,-0.241675302393147,-0.33673421505846,-0.31037074387623,0.481562243791116,-0.309848395911138,-0.271160978568619,-0.474575158972748
severe,0.211159326040563,-0.0634495222843747,0.0943468511101924,0.0402960323169483,-0.0936563277100485,0.0277444982653917,0.0836841407303953,-0.0663072769891856,-0.0709191809576468,0.153492831546198,0.0344533371210136,0.0013852742480759,0.0776120762958961,-0.0219495128373522,0.0664357914019463,-0.063038976712031,-0.126263236421407,-0.086739498423248,-0.0268514197240827,0.0602848548701418,0.0160560882679593,0.103706178944782,-0.0674705498362706,0.102410526589815,0.214227607645225,0.0287436253540728,0.0013398593804085,-0.221130667530658,0.0531729590639724,-0.0758760446656237,0.0716005247568792
