group,ATF2,BACH2,BCL11A,BHLHE40,E2F1,E2F2,ETV6,FOXA1,GTF2I,HEY1,HINFP,HSF2,IRF1,JUND,KLF10,MAFF,MNT,MYB,MYBL2,NRF1,RARG,RELA,RUNX2,SMAD3,TBX21,TFDP1,TP63,USF1,USF2,ZBTB7B,ZFP42,ZFX,ZNF76
healthy,0.0261108394025613,-0.205191917713413,0.0213235186531855,-0.0842628813360426,-0.237366373093,0.0012792491383502,0.228189589468201,-0.422418672928163,-0.231763446123259,-0.198847607582739,-0.109829850090255,0.0375660445661738,0.0186650958727237,0.0902868253238725,0.175720908040079,-0.217630218255318,-0.123218184001759,-0.0245314535671856,-0.0802517732602381,-0.137728761855431,-0.0415290910621465,0.0428551911611893,0.033568434893773,0.030443282116521,0.156588682666249,0.0667876788029944,0.0937965433769275,-0.0913855590423556,0.176125242726428,-0.095936627466689,0.143785671002426,0.0439353539820749,-0.154801227719395
healthy,-0.230494103470092,0.309059464897732,0.236482801786868,0.09375942311694,-0.296238988495823,0.213641094000728,0.219001325372901,-0.179104354831968,0.0909724683964766,0.035343986662139,0.157973629520859,-0.189162284005065,-0.2529286389026,-0.197173480555565,0.0613702662490473,-0.020412314163229,-0.124134425304993,0.210122018392393,0.278785727834615,0.007696218736254,0.277520831217636,-0.20870932662384,0.294374706200888,0.177012477004955,0.298821335733082,0.209557391752194,0.313800680736962,-0.0173212871035131,-0.158539710224391,0.213285540895397,0.124370572114288,-0.173121265045189,0.148065538112112
healthy,0.0054754970323205,0.0608779281473084,-0.0265569194534006,0.109020435736903,-0.136815133110536,-0.0255778398874496,0.111746466768088,-0.0991332777128624,-0.0480420859534843,-0.0669283979825177,-0.0484148344948527,0.0187419777230423,-0.0065934427446078,0.016198055937504,-0.0978682287412895,-0.0555866327686663,-0.10129716240239,0.0400295930062086,-0.0309637190837945,-0.0320373127205142,0.109363088476089,-0.0107927243211624,0.0578137500288967,0.0057377245814818,0.097913822312289,0.0308899826247757,0.112701797502885,0.112538896562964,0.0591312556698113,0.0095734711866987,0.0687522663669785,-0.0265775994194422,-0.0197626892341205
healthy,-0.146360593071243,-0.0771620480155516,0.11711173713784,-0.0778810763325913,-0.0432540471969189,-0.0481299579718442,-0.0175316022007619,-0.0927150006012244,-0.221668235335311,0.12964318470007,-0.0149885682265259,0.127862796569459,-0.0624959851371097,0.0506663832299309,0.120971227369008,0.0966775868043218,-0.161211700001864,-0.0217373891581521,-0.143463331911406,0.0912624047916167,0.10528477871712,-0.13823583743734,-0.0243967365366151,0.0172725405277108,-0.0963352553077901,0.201791860644791,0.0599344467576558,-0.0843496876994888,0.0673533915068171,-0.0164398422929038,0.0459160380618415,-0.239298968278312,0.0703127745984566
healthy,0.117781151520372,0.03523841180483,0.136493603051265,0.276639649783564,0.334800151386848,0.254178572172772,0.475355802472934,-0.270449151594551,-0.403138574938986,-0.474891473650828,-0.440152215329762,-0.480098589727308,0.302633772235419,-0.300741632285335,-0.0627333113424229,-0.219411951617547,0.274604894552404,-0.245322329049701,0.066292060100425,-0.263376428643535,-0.283242239802196,-0.427116183649122,0.461799059184646,0.318234391499587,-0.0415159716479879,0.208400725264735,-0.146714641247884,-0.234736461064283,0.284271225638329,0.0840161545671194,-0.323823749695695,0.407575402665935,0.249017888978502
moderate,0.0067297628728262,0.057023704787853,0.0175332614336439,-0.204698551807932,-0.0477053511987083,-0.108918711878604,0.0999622232610404,-0.130195358456755,-0.0100017538795673,0.0793996098789448,-0.0193060031092838,-0.0584921008327049,0.0468024518146834,-0.0257541195547769,0.139256307486334,0.0491054292525795,-0.182250141494154,-0.0956718534274555,-0.11242628976392,0.115535199114772,-0.0022527306574329,0.0552791718310697,0.004882973310188,-0.0976477860311088,0.0592094397380017,-0.0668174193658535,-0.0270801497216497,0.152833075719734,-0.04779041811651,0.1294443013172,-0.23853358779264,0.131985510201064,-0.104602777893555
moderate,-0.126818333504028,0.230992710728025,0.127300366004559,-0.186255390865058,-0.192401536329373,0.0664851094724268,0.289132236699165,0.138768907540814,0.0973285708455807,0.135738530876476,0.010279248073204,-0.103888416843541,-0.1774237808438,-0.0946815173441718,0.248545250786101,0.0110379405946348,-0.146617749138546,0.0896437122745919,-0.0068089586962059,0.0231081412194056,0.221960635165307,-0.165803820324813,0.20941648137076,0.0297278290400689,0.236834751552141,0.0716534276858377,0.212959051088147,0.0169100050334595,-0.0826684540203682,-0.0582390227011448,-0.0607481570055317,0.0165217521093918,-0.144788944694167
moderate,-0.0613151513578931,0.0325982133589736,0.0477103054496111,-0.100902730343753,-0.166940019391808,-0.0066533487532621,0.232840981941145,0.202502341822443,-0.186797152510405,0.181393139320414,-0.0364525960288467,0.0832224673429131,-0.0317523086494565,-0.0483037064288072,0.145964247564178,0.12553746732601,-0.0399092382410059,0.0446646070340197,0.083440281932963,0.0939017611690702,0.132131239050272,-0.0539894650995874,0.110870076648305,-0.0076943874707488,0.0791730924187084,0.025592282806961,0.163978340382512,-0.126530451560214,-0.194513613047643,-0.0635097811814401,-0.206134778796244,0.0418995808216723,0.0453854850348191
severe,-0.401914668956416,-0.416424749029491,-0.437180468130023,-0.516655464018837,0.440622796583036,0.404575341611535,-0.106878592949296,0.285929120318029,-0.201514097823302,-0.150920427839163,0.251656081062915,-0.183227916565995,-0.439711815738289,-0.432846177221505,0.445420185269626,0.414403094252942,-0.418686986429966,0.542957896342139,0.452853522705318,-0.455342078937786,0.497289989171981,-0.0617165749330058,-0.174450929930273,0.478013900754568,0.437111051009285,-0.422478302325591,-0.502861426300767,0.493899010369924,-0.421591094467398,-0.505194031741442,-0.432947925603956,0.172525318019402,-0.407717179514506
severe,-0.0198418127503163,0.0141900828093125,-0.0246330116296577,-0.0783435414270455,0.0808651206302103,0.134534979795289,0.066642798905043,0.0898954889527952,0.113947208130425,-1.63674495878124e-05,0.0039386035508126,-0.0161016025278407,0.0296692262694955,0.092934378759599,-0.070075499468596,-0.0930816858058893,-0.0994902862944992,0.0346429470109071,0.0846727845843205,-0.139433311071932,0.0731872988235637,0.226398034581868,0.0710124119616681,-0.0813100176690063,0.0942239353937903,-0.0675722716483024,-0.101197956868161,0.0004875516043884,0.200447691252051,0.113850491382861,0.0364736214481379,-0.0653294350714512,0.157872482990905
