group,AHR,ARID3A,ASCL2,BACH1,BCL6,CDX2,CEBPD,CUX1,E2F8,ELK4,EPAS1,ESR1,ESR2,ESRRA,ETV1,ETV7,FOSL1,FOSL2,FOXD2,FOXH1,GATA1,GATA3,GMEB1,HOXA1,HOXA6,IRF1,JUNB,KLF4,KLF9,KMT2A,MAFF,MYB,NFATC1,NFE2,RARG,RBPJ,RUNX2,RXRA,SMAD3,SP2,SP4,SPI1,SREBF1,STAT2,STAT4,TFAP4,THAP1,TP63,USF1,USF2,VEZF1,XBP1,ZFP42,ZNF143
healthy,0.266824285371779,-0.0147713931826175,-0.277947155330996,0.0605421540359957,-0.0481144251944769,-0.0672744518686435,0.0093313046387688,0.121378932129099,-0.0056405676378155,0.0140152407096821,-0.0886818896551846,-0.0829324676610172,-0.106337426505903,0.122843183159421,0.077201765611258,-0.267480464860046,-0.116495437815853,-0.200266365122857,-0.0263181214559371,0.15342382989888,0.0630624280273822,-0.0150403060927771,0.110884131450365,0.0032309654731117,0.0240127693894136,0.0490829309008744,-0.216296077830837,0.163486121104736,0.195083254767329,-0.0298084520617368,-0.156377558447717,0.0112630211546665,0.0799849306277744,-0.0391362550410014,0.251344769398837,0.205981897353588,0.0376029401381054,-0.193694234892237,-0.168501394133441,-0.0299920892639707,0.1302237726591,0.202527310330963,-0.0825317033365854,0.0733125002678263,-0.0350390710917151,0.0027928703080834,-0.0628384551002713,0.1381967605549,-0.169306012481867,0.0527302424773882,-0.105851471288828,-0.105223547405972,0.0324983081514649,0.0656059777554731
healthy,0.0668517845268374,0.0124666385557824,-0.071389183210053,-0.0519139077340789,0.0328901722007855,0.019670249958255,0.0445657397035262,-0.0550023743196604,0.0657649032831131,0.048809791835184,-0.100169276668767,-0.0488819660517963,0.0060752993824814,-0.0503293713871559,-0.0390955239697395,0.0750551476259605,-0.0555411479068425,-0.100050917893352,-0.0940791260532521,-0.0293328854995077,-0.0945289657379452,-0.0319942403388003,-0.005299634748755,-0.0283776875019582,0.0860676145135758,0.0708187640048177,-0.102490441113989,0.0711407373490222,-0.0801631737092669,-0.114242971315021,-0.0476937286125314,-0.0993012429174341,0.0099855110631648,-0.0474202646696845,0.0040553581941878,0.060431089878895,-0.0607204460290536,-0.0863690112662173,-0.0933062720500765,-0.0719461391479586,0.040568224980056,0.0161123386724103,-0.0749981716338079,0.0052263154604368,-0.0545788712842022,-0.140625805108787,-0.0797288792404596,0.0166299804817478,0.0865500366931722,0.0709953826406622,0.0482492965847329,0.0694403058658083,0.0171909962193379,-0.0764429398343298
healthy,0.0265725478097355,-0.0032117061531407,-0.110732157546708,0.146899150258486,-0.0322124123889429,-0.113224496310318,-0.0633565412480482,0.148315757730553,-0.0045564834819082,0.116091926369266,-0.020897722642839,-0.0509875995830287,-0.106809284205653,0.0292493876261919,0.0853580514372381,-0.076230356158879,0.1147235586559,-0.107183804204022,0.127816507756565,0.128644038383216,-0.133236367266412,-0.0314813682467284,-0.0829270295592901,-0.0341400101646108,0.0262730767253932,0.0306446968685723,-0.0023944379708224,0.049412192454685,-0.0018026648823954,-0.106637518894993,-0.120403469759228,0.055271957597709,0.0956127344925189,-0.0275059564856324,0.107970326855557,0.0108695030994822,0.0685400440545572,-0.106468303519586,-0.0116902966021215,-0.122990511446006,0.124369301845539,0.133574519335778,0.0630172047825268,0.125157357245039,-0.0862869176055277,-0.0188651176974519,-0.13361682317963,0.136066161395768,0.147351930974574,0.101266087253824,-0.125562204752019,-0.0341789837651555,0.123773501810184,-0.124152041788445
healthy,-0.0847271486737475,-0.0213609477539775,0.0544740395050708,-0.0205797549067306,-0.0081201900681786,-0.202721519896443,-0.0142801525533837,0.0032841716158289,-0.109998012735699,0.0032775848295958,0.140533036355153,0.0306404121991836,0.0550378684066251,0.0586658702638224,-0.0262522952106854,-0.0035081223477546,-0.117483236611006,0.092677399657112,-0.237850168234868,0.0288870097039296,-0.101053157031135,0.252561096607897,0.0157279281674214,0.132534043153664,-0.0204308935378623,0.0943056532139369,0.277331364916133,-0.0184469535244494,0.0323872279082045,0.0326796812169546,0.0500002942955421,-0.131690934515826,0.181368476285945,-0.0776081501130017,0.0562419329300377,-0.0237256040116642,0.0510568148073331,-0.0234832102782857,-0.0232961455492654,-0.106947013352523,-0.029830237492511,-0.166520542759268,-0.0058148148865899,-0.110540763921308,-0.0871747984379714,0.0712940568299419,0.245032399943452,0.0186485091831826,-0.0460245101252366,-0.204681747479417,0.197052931664228,0.0806696883541514,-0.0756992994626462,-0.0829355428183415
healthy,0.11578031474368,-0.140636675797209,-0.222506095676688,0.148650430089243,-0.0325187799242599,-0.13782847244152,0.152076983786426,-0.17820889908718,-0.108560991839581,-0.12614429633634,0.133816635266026,0.118579424711994,0.0370373667780109,-0.0436680995174799,-0.0193804885106731,-0.106356258736955,-0.114763508700849,-0.126334430799633,-0.201318503093146,0.138462529543025,-0.189076323671778,0.0917423585538937,-0.15616074138934,0.0474393752633292,0.038743616918176,0.164418363797338,0.113536728076816,-0.126727926471493,0.189764941097532,0.209933247623505,-0.170357172424735,-0.153209523850392,0.187512261043293,-0.0364000029901877,-0.196008791537778,-0.088493539246312,0.328203497164751,-0.142361939383703,0.338183076472926,0.166214721139673,-0.183092048107507,-0.0238395550106975,-0.176145526824655,0.155725085466924,0.04041597352358,-0.0133937329316638,0.237630052224323,-0.0733017956291545,-0.152233224714958,0.182453857648104,0.0048707489466339,-0.151518153798658,-0.200248790069225,0.190156783426233
moderate,-0.194975698629851,-0.36406738912968,-0.399917661532728,0.336417146725152,-0.337983199040311,-0.402301706286575,-0.0186210744652168,0.379859035835427,-0.501226123406928,-0.330227240811873,0.505447427693784,0.369192790322454,-0.0869958888593545,0.351403913347626,0.309694166387777,-0.401203327981246,0.176123409630802,0.487237207031595,0.37690198114991,0.275942089390512,0.409269830493781,0.26631150141613,0.369184048752177,-0.444660951918019,-0.135861485248113,-0.381875497559118,-0.402504729256263,0.373508503568304,0.251218961793302,-0.195292362013142,0.386821915100467,-0.455260542957628,-0.141093970676783,0.439702733256796,0.454856245332308,0.366864910157638,0.420140410211983,0.459836317919224,0.0002950279968552,-0.375791583185449,-0.38129024942906,0.357035014380936,-0.285436745947084,0.472463953263141,-0.462516920444725,-0.0369838355287425,0.356165883756126,0.492157181322856,-0.456082906181455,0.112643000434864,-0.40306506391103,-0.390725681847004,-0.412608236182641,0.376792930060702
moderate,0.166893448381333,0.0769620802628142,-0.165637532511026,0.154697975574645,0.122816667970071,-0.033823790817314,-0.0488879349531621,0.0904772387088968,-0.003150087616326,-0.0683836337710812,-0.0589435093812829,-0.0632392998425619,-0.0443941939242794,0.0543626117780354,0.0100443765569143,-0.124669761869122,0.0189975245517945,-0.0837883390031532,0.0341945052859523,0.111677235297994,-0.0068821569641539,0.0229963948574314,0.0448195193741626,-0.0244020067862566,-0.0527205687028319,-0.0463171292763991,-0.0695919900154599,0.1613647415431,-0.0462090009005175,-0.0560904786189249,-0.0772824441813686,-0.0067578640112205,0.0657256943030078,0.0958111504325512,0.104217197552119,-0.0261957052626518,0.086371846232709,0.0212629006021208,-0.044323646196526,-0.0536071598708144,0.0492271746322345,0.0459798945061084,0.0656255172130896,0.0397311861932027,0.077996373972061,-0.0947312222654681,-0.0954771850305578,0.0781517999687455,0.0755011852526412,0.0098134475181582,-0.0746938905052773,-0.046749198510366,-0.0119265985909344,-0.152674874524134
moderate,-0.0699380154641377,0.17489914462462,-0.191539171483308,0.0341769812080017,0.0454619308188799,-0.0700278757801792,0.11643571210063,0.106636233663424,-0.158530313817468,-0.074909667162125,0.20900889715313,0.126048100996439,0.11649726772939,0.136882719398685,-0.0515744310001716,-0.173503170368722,0.0766635079563634,0.0622495579405604,0.175213585069991,0.0754899738177746,-0.0152072888113918,0.166950029599265,-0.0070608081491865,-0.166099273877408,-0.139662635390069,-0.125521900305065,0.11048189582949,0.0914836161025017,-0.188394565141672,0.120390858089184,0.170657297591783,0.133272640253938,0.0163236684780163,0.156126414089008,0.0077157527712268,-0.0817494887870721,0.168481834052047,0.126268643367241,0.088875082771841,0.0712967817752003,-0.0335065921595916,0.115940561772337,0.113805899782526,0.074033857148601,0.119996752668055,-0.130969401845582,0.143243965694097,0.178840885254861,-0.121324246539317,-0.14036163195765,0.148907487315863,-0.10655285394982,-0.102861878312963,0.131434046908196
severe,-0.122116715324845,-0.0702514863627686,-0.0793244092870445,-0.106368333294679,0.0739697883529961,-0.0382929040639368,-0.382485277023361,0.0550266883848939,-0.163459900346775,-0.22340884896918,0.0787314574746494,0.0959403634401538,-0.231004143578913,-0.21398338578465,0.219348459394878,0.128698100345114,-0.120111701984855,-0.107289119041811,0.0915996520955694,0.0249106278236167,-0.0763102375740362,0.0956239324248853,0.183383651389223,0.0353576025439234,0.418858689643327,-0.0092268623371092,0.0013788030124763,0.114450152468429,0.237887705965115,0.267931548036421,0.106669560417322,-0.090542031314807,0.107451610644247,0.200860525962252,0.173923029202997,-0.0559759814306995,-0.107931483505239,0.0795914276512801,0.121788881390107,-0.175343642920193,0.0131542178509375,0.0145235184305229,0.0723876332766534,-0.0461932267694699,-0.0177077836922791,-0.0556709533349001,-0.0928872317522927,-0.0528477805229998,0.0714041314724405,-0.0765630022889354,-0.188734471350115,-0.006705866891141,-0.112353915772686,0.59954460033481
severe,0.388867010660325,0.280909723313461,0.167801321482819,0.374851637100974,0.366062225820534,-0.0886197894406779,-0.13966995116933,-0.27259220011891,-0.288628959827688,0.380724958455695,-0.173108079726017,-0.0616820184032604,0.37175313665466,-0.005968987741882,-0.371253490446072,0.0820093907921361,-0.462408191306114,0.144081509955475,-0.249453326445201,0.352426048044486,-0.0722583588324697,0.356592244853198,0.0653505517264351,-0.333352252303942,-0.28540802623304,-0.197830653435875,0.159697436696901,0.29941100777333,-0.357948427419366,0.356733513870507,-0.18438828683796,0.300147093705625,-0.383841799090221,0.187626569259294,0.149928560229785,0.275530099998177,0.346279606589633,-0.127288341403139,0.352240167758553,0.306180024265868,0.199146685860281,-0.131985412308477,0.232541690190631,0.40358625090241,0.196242492272863,-0.412871342945338,0.270341313776451,-0.14397692131459,-0.361092034815066,0.362836831099024,-0.268681774583641,-0.0860392753911647,-0.264023366777777,-0.380023074496012
