group,ARNT,CEBPD,EBF1,EGR2,ELF2,ELK4,ETV4,ETV6,FOSL2,GMEB2,HSF1,IKZF1,KLF1,KLF10,KLF3,KLF9,MECOM,MEF2A,MEIS1,MYBL2,MYC,NFAT5,NFYA,NR2F2,NRF1,RBPJ,RUNX3,SP4,SPDEF,STAT4,STAT5B,TAL1,TBP,TFAP2A,TFAP4,TFDP1,TP73,USF1,ZFP42,ZNF143,ZNF250
healthy,-0.015405220891692,-0.0280318833312727,0.0054614836943404,-0.131443709932791,0.0260811197864317,0.0659562236779381,-0.0698862290675449,0.167594602635836,0.0352725872975971,-0.0310863734191408,0.0890765623769296,-0.153235574424485,0.031319780025956,-0.0510450435636557,-0.0700176525732784,0.0939271095695073,-0.0164190868532,-0.115005669616466,0.0252294646819272,-0.0466656390559807,0.00259200634551,0.157957007162675,0.0173377044467166,0.0619625269553917,0.0014941486413188,0.0081969398546738,0.0068765473270846,-0.0733034326375618,0.131539343142674,-0.153475715764391,-0.0825624399005756,-0.122269560306715,-0.0678013481237342,0.039205960053749,0.0761658866218837,0.0012088845897084,-0.0538873895591795,0.0120767233775215,-0.0531859190025886,-0.0085222274629352,-0.0236195748419279
healthy,0.294574729579463,-0.278936131921157,-0.198365666657726,0.197325228417625,-0.144076918735386,0.207918456544114,0.335804671886652,-0.135914220310078,0.205538368168444,-0.132107755705113,-0.197847509172233,0.407599583491933,0.361414708688857,0.0193918720916846,-0.352579505070839,0.0104401174000068,-0.170414987421054,0.299494751730175,0.289702125023578,0.0833123017828191,0.0903294186055857,0.0282634979202212,0.193160039399626,0.362790781034945,0.0097321520929052,0.138650421695009,-0.200943809393236,-0.401702209118586,0.325377748947814,0.403281008862844,0.0962338025364295,-0.18619693740227,-0.0566016270114299,-0.0351599404002126,-0.249829700351459,0.367473028000006,0.286987364638047,0.150765823336573,-0.213437177370371,0.184203749111921,-0.27297622129956
healthy,-0.152387494086594,-0.221582850392408,-0.10846958038189,-0.160995843256643,-0.119575007937145,-0.0112259006352421,0.0224298970741227,-0.0710791171928987,-0.0178847763291223,0.0926218943143828,0.0594589410231506,0.103573992495107,0.0869596595549485,-0.145005779912786,0.0330643844076057,0.428632266498995,0.146670498836256,-0.350828561023132,0.0631169418155124,-0.0315529948586658,-0.0332724742730395,0.065712589084344,0.0963675118921904,0.0238646219357976,-0.06444214569538,0.139715916491496,-0.0669611282769465,-0.123725853147639,0.0898291092782982,0.0108206730025553,0.0059141330175909,-0.112938036439626,0.0359666904254976,0.131874214194098,0.147765708654328,0.0253102988956531,0.237682434718072,0.271294424034714,-0.011784457642459,0.0007337905781085,-0.154347919660943
healthy,0.220915653801891,-0.358449690146455,-0.250049598173533,-0.189276605424896,-0.0509447134010198,0.354638708070063,0.11620849383036,-0.26643657686048,-0.282284595894667,0.373481128317018,0.0490257890784276,0.128746225933847,0.281144802067077,0.0731031195478125,0.025493117230941,-0.142700558937338,0.0095946216129607,0.0481334933391145,0.298381741294027,-0.246155573975417,0.0693466847474561,0.246550431122832,-0.0865217494523368,0.043572689751859,-0.263049760915642,0.0973359504608186,-0.31697910586805,0.0149573515717704,-0.311618004186137,0.203116959045629,0.241266672593506,0.132330877521617,-0.354708723976615,-0.0842429759356056,-0.155668970279965,0.241264230178161,-0.0416838885518532,-0.0692099094881453,-0.0818591785590465,-0.357051814430761,0.0447816853475524
healthy,-0.349278982306405,-0.222064505844502,0.352215539839232,-0.38213415385406,0.097771008360875,-0.0122369545996602,0.12725342284828,-0.158636420990884,-0.44174549284273,-0.2432201829245,0.19815142460901,-0.363019267420218,-0.118467118081624,-0.386145631650894,0.223443207922248,0.189092495137715,-0.0544158910459746,-0.284363145493185,0.374913493819761,0.0262420751408371,-0.406911844867122,-0.27221966222083,0.335398490201635,0.214929527860231,0.0445780338471389,0.205675866457051,-0.400462323283087,-0.0108193061355366,0.16683074068461,0.10894862125108,-0.504612749732518,0.0121980082132832,-0.359327149991677,-0.377966890511719,0.143089023549177,0.0826909675556922,-0.519022912692016,-0.457331836670814,0.363206210074828,0.103488337881022,-0.475706741763492
moderate,0.116913204560964,-0.193316570354375,0.157557843191024,-0.132305773276511,-0.186386194306303,0.174263105805751,0.0056117007697113,0.0123725557785693,-0.0357057700745093,-0.142966487511073,0.174195997649091,-0.0994618743089384,0.13534825285724,0.120767109288086,-0.117875331285246,-0.128326989023084,-0.022017310876224,0.174834546348437,-0.0775023348023605,-0.0312748810874124,-0.113674360678357,-0.163239569863336,0.121238033483079,0.180295545540258,-0.0512802602495229,0.0548750691370198,-0.149465912483553,-0.140356709653501,0.0979958528605209,0.0042577207654558,0.0718710851348397,-0.199458425561697,-0.130389251854692,-0.055153567987157,0.1092865084439,0.155335687881809,0.181493426136632,-0.0800842481861891,-0.0779242408655333,-0.0438128730608772,-0.0617619707705601
moderate,0.0094454147638056,0.0335576476974635,-0.0824497311935057,0.116902416848908,0.026368804426278,-0.0158393328369553,-0.0328830072333409,0.0420119461382292,0.0729587427106398,0.0428094115107702,-0.0618516055544736,-0.0814804304868029,0.0075298243429746,-0.0818873066736923,0.0459312859774177,-0.0481714210467701,0.0100271147254511,0.0009568986782372,-0.11856324270909,-0.109075840354937,0.030791547083546,0.0584574841497018,0.0115060939754811,-0.104467814380834,-0.0266571889436105,-0.0765255959817518,-0.0292560863062871,-0.015712921799824,-0.0618947885210587,-0.0313974534140038,0.0616026684529834,-0.17016061205296,0.065236313371374,-0.0612421130953029,-0.0643544245520492,-0.0925218219498983,0.0904720505463914,-0.0004313813997612,0.0390371029488124,-0.0388755777347002,0.019646755575894
moderate,0.0072819207999027,-0.0253009219683066,0.0014074017768118,-0.0574466853379549,-0.0182711123503553,0.0157502742671958,0.062333873830672,0.0517014428702707,0.085946896380315,-0.0142550578680495,-0.0466394144060385,0.0936093973953317,0.0031261649693789,-0.0111671156182216,0.0312243941760218,0.0508200118106797,0.0717731473339219,0.0107444940614196,0.0110419907308493,0.0058664529251956,-0.0097882462940323,-0.0051474615802875,0.0118262225734393,0.0149821518090334,-0.0631907051165916,0.0062291307827639,0.0262872214250806,0.0421190782502868,0.0194179079936994,0.0173299748297039,-0.0247847738239186,-0.0288448223005703,-0.0179853817818712,0.0258536960368478,0.0573212867142286,0.0146277088534452,-0.0162434604937633,0.015814136958563,0.0210460325172142,0.0182450298381002,-0.0101125691261452
severe,0.0807794328015607,0.100395377948159,0.0010838543032294,-0.0833156902837756,-0.0418163145048418,0.034853272558782,0.0154700052289032,0.0305161336356554,0.0682315127673466,0.0010584333548858,0.0328074898446079,-0.0045431405207127,0.0441123419673889,-0.0427992944242772,-0.0194733107159841,-0.0750872050529701,-0.0143694208412134,0.0975010458989093,0.0552661706094143,0.012772483176921,-0.0547848668634824,-0.004542043016197,-0.005029938648626,0.0632049626639126,-0.0427571433914733,0.043704660196247,0.0559064547438402,-0.129535494719118,0.0320351279011275,0.0474895760035214,-0.0076660004477321,-0.084435570172731,-0.0232302401581097,0.322534928870824,-0.0016254384846829,0.0359049562608966,0.0572563852980808,0.0244584643209687,-0.0275284039521245,0.0171806032045968,-0.0321622600804583
severe,-0.414740654436453,0.15326978571624,-0.028269530011979,0.0401987829565743,-0.252561040586215,-0.0429657134935275,0.36587640357581,0.114236204521798,0.386241337689533,0.016734439269059,-0.427202348325873,-0.0681954835856226,0.0328398458241805,-0.138985727116237,0.118586562235214,-0.313298283922426,-0.385806844187773,-0.114322628736266,-0.112597533631772,-0.364447523229926,-0.144544668158264,0.382750477261971,-0.420724260344085,0.0716249997668362,0.371479065102803,0.456046684093692,-0.0174095648973797,-0.320327114447398,-0.10674678377148,-0.132163636869014,0.217154565051556,0.108951109618166,0.0777984000278114,-0.240277617821541,0.353351331929112,0.0480264443580282,-0.208920201464366,0.0912117770318528,-0.118986147132699,-0.16831946118089,-0.321450290317004
