group,ARNTL,ATF2,BACH2,BCL6,CEBPA,CTCF,EGR2,ELF2,ELK3,ELK4,ETV4,ETV6,FOS,FOSL2,FOXO3,FOXP3,GATA2,GATA6,GTF2B,HNF4A,HOXA6,IRF2,KLF9,MAFK,MXI1,NFE2,NFYA,NRF1,PAX6,PRDM1,RBPJ,RELA,RFX5,RUNX1,SETDB1,SIX5,SPDEF,SRF,TAL1,TBP,TFAP4,TP63,USF1,ZBTB7B,ZEB1,ZNF143,ZNF250
healthy,0.0697404087235262,-0.0195724967504194,-0.0320117592848866,0.185554623380556,0.0268791098554404,-0.0330210858331132,-0.146890746686081,0.0889453883609748,-0.193591561417969,0.118324556443326,-0.0415112693477144,0.149081144835065,-0.0736220199051847,0.0639648926704761,-0.0949551196871184,0.123922849286042,0.102844820220067,-0.0206513094055179,0.16030733179424,0.0929861544430202,-0.109972960710342,-0.0235817393980887,0.10342300613838,0.143676990216251,0.0472468044596045,-0.145501505088802,-0.0353467079826075,0.0701730870819452,0.0475824137060726,0.111485508912208,0.0695787550143167,0.0308538497197529,-0.0580529032125048,0.149975333961393,-0.0733582033583477,0.180818323473571,0.150219832793872,0.0136659854502513,-0.158725297485503,-0.120215962505895,0.0392117885828248,-0.0236300817380009,0.0063919529679544,-0.111402279356812,0.0998284696472145,-0.0580504044036823,-0.0107426674520215
healthy,-0.0180025096942945,-0.0951268059066897,-0.19521666368527,0.109612929467798,-0.0237155576105751,0.202358419109252,0.12730151283388,-0.207993876500743,0.252726733242321,0.0394491613405658,0.270142927257241,-0.113520832453987,-0.163686808045378,0.0046624228597629,-0.133153565683264,0.034140927593374,-0.190782077313494,0.0985269433384235,0.096931676665316,0.160302024215723,0.293609125919773,0.103161126537221,-0.127683707857049,-0.160118329333712,0.104871545225917,-0.148586266229662,0.0689502852200961,-0.0719742594009056,-0.0539191087851989,-0.239049826762192,-0.0336864883889956,0.223240551707671,0.0372060274940367,-0.182141837743791,-0.0098047828702133,0.123988699013968,0.170525192742577,-0.267100994845429,0.0092997590304154,-0.0635645980338473,-0.017897364937203,0.11516215993333,0.0310087927693505,0.276165651844017,-0.0988164684061904,-0.0107083149353892,-0.0714833553915906
healthy,-0.0717457014270946,0.136403910763604,0.0167322130536687,-0.401506978058588,-0.240445649244222,0.118282857891251,-0.349414462319696,-0.484958615100305,-0.453511313491532,0.0159937029913526,-0.124400366616407,0.192718058649765,-0.0897675514552556,-0.330058885164069,-0.362608440597194,-0.0609546364866851,-0.448330720517076,0.0941655442144215,-0.004232654685513,0.16382798591349,0.0971967422313905,0.218047851533382,0.352677133639779,0.213076686785553,0.447382782228133,0.139159545324485,0.41709284713493,0.110556058582541,0.446666317242304,0.0735754427755196,-0.0181541204870833,-0.454889130771973,-0.473318814715144,0.123694924168821,-0.446192348097832,0.221057004473864,-0.187107586683812,-0.388864126693267,-0.252085449629383,0.126527716497407,-0.0948268965090329,-0.133923839658811,0.414315167497562,0.232498399170642,0.117764798593805,-0.0566007338804933,0.0739061189228253
healthy,-0.415273919428054,0.175483138306629,0.451772365935841,0.36678556612578,-0.455290396793956,0.466843103470189,-0.433159081648895,-0.0663489996286337,-0.28973864734184,0.410445922608136,0.25894750106938,-0.397751592445542,0.440876685231716,-0.503759137380646,-0.464943121647862,-0.468440722593909,-0.0805731216068825,0.101977949078804,-0.473958433245244,-0.489405898358127,-0.500744499555886,-0.464836886105108,-0.411187937014447,0.423494916044232,0.480337468989367,0.421478892321358,0.103537977164319,-0.451638345712674,-0.328624941972138,0.400436900087765,0.343930214897028,-0.155724961747391,0.094343699537221,0.370096029077284,-0.321080584043654,-0.423302874870792,-0.455835466847931,-0.162498703392669,0.324668076602801,-0.445944120621072,-0.361958386502344,0.213399420711937,-0.267509268618852,-0.437673275019448,-0.30257271810298,-0.407462338249721,-0.100217707855022
healthy,0.28358893854733,0.0001566357020421,0.109300392885019,0.243043787073717,-0.0633043189803389,0.0043153135912615,-0.139491924453645,-0.0024826758773682,0.210385243197927,0.0447664836436492,0.194392738019422,-0.120805285200016,0.209609896472818,-0.192027538918586,-0.039088439444621,-0.104209732568649,-0.0601011188735767,0.265834281720851,-0.073540462108794,-0.0794377962906813,-0.0588245379019331,0.1136861925422,0.147738794166165,0.0721698997159251,0.0558327959929278,0.16677786374939,0.216063287396955,-0.0566159745031386,-0.207260360942186,-0.0331206191968147,-0.0324705810333397,-0.0193053502766962,0.136539341470151,-0.0713945529908164,0.283314826068756,0.0753730998226873,0.0683714839414027,0.153745773339482,-0.0845911108878684,-0.201496167107034,0.169284034982064,-0.145240454718593,-0.127689424304769,0.15633809420828,-0.187649571046507,0.0728277696645022,-0.363551464439853
moderate,0.0158872552239682,0.42365119149162,-0.111563959212492,0.13985332021367,-0.0120344231635252,-0.0142699740826396,0.104882553801156,-0.104854259361665,0.0005621161978742,0.106849815394026,-0.131178535265318,0.0759589620563257,0.251071942164691,0.129624372489006,-0.239627059040392,-0.200273846700052,-0.0050474378056931,0.0665813142110965,0.243369325137288,0.0991619985349723,-0.126205098301369,-0.0498529160859726,-0.145995970477173,-0.233986743902609,0.0686961421883856,-0.114080858429923,0.135437356257525,0.130254250241968,0.31946772799541,-0.188853195223932,0.0875184739354826,-0.127505626820096,-0.155712280998148,-0.061024866693957,0.134190079324916,0.111182637227977,0.0374582103929374,-0.221859166738301,-0.101652344509189,-0.109305337442716,0.269589274364051,-0.0444173366103481,-0.10662969916476,0.155114905575678,-0.144625503908014,-0.0353490413035464,-0.046955130183095
moderate,0.0532631396075353,0.0842951176519404,-0.0006746114600601,-0.0326512543142532,0.133417985997635,0.0936229184170023,0.045764573763021,0.0423423074039628,-0.0717277205186633,-0.064305950629483,-0.0082179128125359,0.113214685010401,0.0118054023143321,0.0219566346626062,0.0003806991727527,0.0680783468975203,0.0380638034225206,0.0028053637042685,0.0010542668042937,-0.014775541806259,-0.0113104784779176,-0.0482347193942977,0.007076560886077,-0.0183165063797752,-0.0898029533921659,0.116058372133157,0.033351812368931,-0.006022592318503,0.0037740365699958,-0.184839066505673,0.012586186046621,0.0447619019112429,-0.0944891469694977,-0.112540073550341,0.0229423070213589,-0.0349376861261678,-0.0290099330845432,-0.0524613301865046,-0.0732719902534958,0.0259707517919957,-0.130897736597441,0.0504728368576138,0.0632249916387722,0.0593522387145412,0.0161660705120637,-0.0267139576975968,-0.0252534924810122
moderate,0.0237177939493834,-0.0051822743623928,-0.020369299108615,0.011154523977332,-0.0275669543894424,0.0146224407775793,-0.0224901630010936,0.016607158680984,-0.0262606677376277,-0.0292863727484722,0.0396927476059846,0.0307737331528163,0.0506672714721934,0.0601188074745778,0.0064709560480741,0.0189997410252184,0.019920590412242,0.0419719690176523,-0.0263530467806639,-0.025070531650751,0.0158374312041861,-0.136368769665711,0.0120302666606659,0.0130109738501853,0.0196469953821311,0.0015132746208469,-0.0230413172757378,0.0040627691977621,0.032455289593542,0.0327435898403476,-0.0299075293604366,0.0121442332371026,0.0027876777934692,-0.0198616181344956,0.0121970297826583,-0.0377286812409084,-0.0177490589041753,-0.0286400176809424,0.0130997511474789,0.0187026818833519,0.0005235699492874,0.0305967612610436,-0.0159375092655106,-0.0305102184225738,0.0272395304662699,-0.0193888305060747,0.021116691173597
severe,-0.0426461119120706,-0.0618637423748325,0.0077944836146613,0.167205961289021,-0.115567937695942,-0.0372445816320676,-0.132760272365466,-0.0361641961787389,0.0354799486359988,0.042174115330132,0.0230891947634997,0.104399758940096,0.0202844020121554,-0.0063657697625531,0.0764461499767925,-0.036575768656132,-0.08240339310773,-0.0367575816929515,0.0946155509041182,0.0400056305623709,-0.0446575679296636,0.0430233108220613,-0.0606693259312763,0.193174041569124,0.0333158170320903,-0.055528451603845,0.0265790837876435,-0.0448420572040088,0.141894681716675,-0.0412027300880501,0.0522054407053156,-0.0426708003743605,0.0371602835723052,0.0314524917882369,-0.0518531971969076,0.0291999827446036,0.0547136707469015,-0.0091367296696781,-0.113642538799605,-0.0406761820660087,0.0185640193373242,-0.0181142882302482,0.0170424379896934,0.0067203609678187,-0.167514228260081,0.0339548217869911,-0.0479788882126716
severe,-0.258918925398978,-0.222034553735407,-0.115764912597039,-0.13474226246914,0.1414023823337,0.0463941893003291,-0.0376999724860745,-0.334135182587378,-0.0086380618011746,0.0078312563421654,0.406205067627247,0.0512576870295435,-0.0069994179255181,0.36374172924251,-0.0352717755951863,0.0584265848439352,-0.479955205377766,-0.183413436064895,-0.103771757905947,-0.0142376637982315,0.13671885127291,0.166140357011448,-0.360305786665086,-0.323988039380484,0.0402083424980467,0.140739008956292,-0.450969070132202,0.38340071978543,-0.0617268758536184,0.157621032617448,0.496036512677716,0.146166086515573,0.091071929586397,-0.446458063509188,0.123197333033053,0.157088913126035,-0.0943827073756312,-0.0538161229567917,0.133757520040974,0.0341973881160192,0.425594446450741,0.0859665593610855,0.0382841875920322,-0.0859002558516659,-0.448866301690608,-0.160619913285841,-0.412231244753784
