group,ARNTL,ASCL1,ATF1,ATF3,BCL11A,BCL6,BHLHE40,CEBPD,EGR1,EGR2,ETV1,ETV6,FOSL2,GATA1,GFI1B,GRHL2,IKZF1,IRF2,IRF4,JUND,MECOM,MXI1,MYB,NFAT5,NFATC1,NR2C2,NRF1,PAX5,PBX1,RARG,RBPJ,RUNX1,SETDB1,SP4,TBP,TCF7L2,TFAP4,TP63,ZBTB7B,ZNF143,ZNF263
healthy,0.280444256178868,-0.368950454720736,0.252148372769171,-0.275451451757056,-0.192973641333903,-0.21404988447007,0.142979128698458,0.302093873339309,0.173441230297888,0.211615874330558,0.217805302092423,0.212225599769218,0.263002770825218,-0.505230948113857,-0.207679275120407,-0.258167361313717,0.141831325595666,0.0859024205831915,0.263583146573107,0.205304923502658,-0.186286611625244,-0.25813053032922,-0.251935539554072,0.0716981293903437,-0.289610951101571,0.438184840624708,-0.246049487844193,-0.199232990417898,0.286971876782752,0.117821264350684,-0.281175312855518,-0.124006471895576,0.339555300703444,0.246486568043025,0.278236890873641,-0.244827926858386,0.429856626083437,0.298972351489192,0.194825837015194,0.141809744940688,-0.495187599028915
healthy,-0.0353484321957892,0.268402003895453,-0.291552533982894,0.0478194542435295,0.187283471966397,0.124255384374539,-0.159056894573813,-0.0208717111725543,-0.0568069010403339,0.173088601989508,-0.0580764585608042,0.10781157223937,0.0624982185386124,-0.0497351136785653,0.16074186179231,0.113576694876115,-0.0334637409057294,0.207938406124119,0.0552729546874253,-0.0934359410638316,-0.26988533711274,0.249297523339724,0.0087214208818122,-0.199156413187817,0.0513476399940563,0.0440263339663797,0.0993793692753949,0.0324739880784124,-0.206999130008878,0.306153127586033,0.0032867160738416,0.0316217501856144,-0.426946218782836,0.150589767182024,-0.368892679377785,-0.11882981994416,-0.042907524464405,-0.0188796545516745,-0.191407010072322,0.0148835360378538,-0.0683198205234639
healthy,0.0191483510216388,-0.259069129152264,0.0064154600408107,-0.0466836362222662,0.262924940450136,0.143961180576223,-0.316612211317973,-0.156323739398499,0.316688456174146,0.139332028594314,0.0278402646253179,-0.0869300281591009,0.112842387135482,-0.169764618329501,-0.452393408039105,0.0775954793391098,0.327384520282934,-0.401178648935723,-0.0441348796016385,-0.0251063419254138,-0.0098464785685787,-0.1244098210291,0.400252818539341,-0.115412928000731,0.318496548477668,0.128548827507043,0.0367391285528941,-0.429073374172593,0.513356616610273,-0.422559885030989,0.211067546130442,-0.234104384816885,0.0386343578348993,0.108224127275884,0.080710626319877,-0.175210679484688,0.0523039713344196,0.15142228435883,-0.427058331545173,-0.305589383539874,-0.245682710832813
healthy,-0.460530779604656,0.414270712398047,0.387290678816485,0.109389352112598,0.473407945882347,0.308904257163427,-0.40412742761451,-0.430955669082235,0.486403623649987,-0.419129683485936,-0.432855099811546,-0.439781528193262,-0.408545633366494,-0.148385314363391,-0.253185187269354,-0.334747879197538,-0.0713082011575038,-0.435541089676201,-0.400384575010726,-0.423982160793553,0.217984839587048,0.456747340874177,0.365915589331459,0.475740836444758,-0.436101178224588,0.129724625031706,-0.288844158183309,-0.267189836146624,0.437544420889851,0.351322441617116,0.269557630777992,0.437199438812946,-0.384597383449025,-0.109937264822977,-0.410665852625025,-0.268827892220021,-0.277207303937407,0.214152697504536,-0.438330980025194,-0.428465304348248,0.0535988506355425
healthy,0.341874368953614,-0.281156809496841,0.0651788855100489,0.250992338394468,0.339185137569584,0.423165325732722,-0.101040485527145,-0.0462843147164728,0.176028070478367,-0.240911606876875,-0.0305919500796032,-0.228887789099145,-0.360116062763784,0.0053551457329386,-0.33305275733259,0.426453027684875,-0.403594560920619,0.349537901163596,0.145265128807872,-0.0129020927673123,-0.0460278273301347,-0.0597382439816641,0.38466890074688,-0.18003082817425,0.179727706717669,-0.112901084059023,-0.113452920556902,-0.185766818814176,0.101094891942429,0.282649099744626,-0.0599247802626373,-0.191774841530521,0.349856567310259,-0.171994223402322,-0.283884902606074,0.369862583444633,0.320275022085927,-0.123370432828644,0.102159703212984,0.022174500400688,0.322606725598092
moderate,-0.275994256572456,0.101150806433976,-0.210081942504018,0.168764130192818,-0.0592989831576077,0.164724630693752,0.25903516967105,-0.195267159605758,-0.172566259281858,-0.175849448542875,0.185480050092989,-0.015991201084213,-0.0293548073731949,0.212327252108988,0.173363725317495,-0.12307974572356,-0.109862358447836,0.0622797352722728,-0.188530651131728,-0.0497453313557987,-0.0408668375151071,-0.0780284939291517,0.0936543648523908,-0.24375347135087,-0.24303367963744,-0.335629007275869,-0.0506739452675481,0.111921452560203,-0.197454793128194,0.0734987477285488,0.18030673735336,0.165759322224634,0.271841143885685,-0.174329437412984,-0.222421001296735,-0.0110514909703237,0.210380466951304,-0.315461941884389,0.178226195853518,-0.0609113050025085,0.15674388391662
moderate,-0.0393640433792639,-0.0152599556269606,-0.113553038049841,0.0159798181956849,0.0363942754980796,-0.0403246537024728,0.0125362920634013,-0.0581021940055013,-0.0228430635129608,-0.186842725286484,0.0207785548025328,0.028397819489732,-0.0543223947427263,0.0954039605756457,-0.0289888269562415,0.0654624093474856,-0.0660986500138489,0.0463637322632038,-0.0497322665115195,0.0137406260095061,-0.0239133345871308,-0.0599781814520653,0.0443324044855632,0.0237096363943686,0.035722026823938,0.0272949626564568,0.0115981495466987,0.103736392127644,-0.0242225273150782,0.0877641623964077,0.0041755897614949,0.0661892652069768,-0.011457093383997,-0.0211605075131396,0.0188123985431025,0.0111060897048691,-0.152184422626211,0.0251948923185122,-0.0955176387489623,-0.0041833270193646,-0.0825325857291177
moderate,0.0088428569112618,0.0127145041145928,-0.0152568419059153,0.0270202273874328,0.189879135815366,0.0502638998788175,-0.0141175988627414,-0.0320082143454267,0.0249358916955517,-0.0668436204481402,0.0283554127026891,0.0609538096831575,-0.0013721098187155,0.009981958969141,-0.016246804261622,0.00917098881477,0.0121167082736402,-0.0208974770803047,-0.142761190897119,0.0254842562730361,0.0633405406404047,-0.035673390858704,-0.0552034652099693,-0.0129090137941651,-0.04685187383186,0.0517702595334257,-0.0656374821566129,-0.0007209396739573,-0.0167453919342707,0.113498574206681,0.0103272410515561,-0.0211463616044833,-0.0239744402047527,0.0980515203987235,-0.0224090713824658,0.0287592719010735,0.0754446966749086,-0.0225240699037701,0.0044048535876844,0.0190741051688145,-0.0359810344153611
severe,-0.0224173488907487,0.0487290864496106,-0.213580904640071,-0.0928178299000504,-0.0428159532413482,-0.0239283303264005,-0.0406520399102085,-0.118143804060447,0.0236484643387664,-0.125283335720838,0.0445079621936122,0.0724981447816827,0.0120086933313386,-0.0094644235690319,-0.0498169103481277,0.0177413929139329,-0.0328815571455919,-0.0567818244183029,-0.144599986819034,0.0279347732456239,0.0105396801890664,0.11906838303901,-0.0050523599613551,-0.0379124619433016,-0.0668750692757608,0.0132764661859029,0.0698864308523965,0.0487235366411335,-0.0035497407832488,0.0616426306580374,0.0011652481638897,-0.0301934292481713,-0.0079138016194479,-0.0339836617320969,0.0127430565494883,-0.032955267885981,-0.0249982214489404,0.0305200351357354,-0.0462192418830608,-0.0050666269966777,-0.0233829199971165
severe,-0.10513402740152,-0.22782573261105,0.401277043511693,-0.486671111528579,0.0821397528748073,-0.186816221470629,-0.133826312510057,0.223653932591026,0.19579864529779,0.0968076745891807,0.164408352686031,0.175245360763339,0.445430284628293,-0.229673553242488,-0.0429320697585988,-0.19715677993466,-0.107031560630472,0.191087446685683,0.288665835626812,-0.234955263092742,-0.485426943866965,0.0479784056777623,0.291425053879356,0.455118492067791,0.185104011394317,-0.256739188051388,0.448750206871855,-0.179904479511383,-0.20246047154572,-0.0055874254159241,0.445930792412797,-0.393736285012463,0.212824702675234,-0.414981149559961,0.106864161067412,-0.43976203396879,0.432936189967155,0.220317439481626,-0.202712416342649,-0.22142261477876,0.137416103140128
