group,ATF3,BCL6,CEBPB,CLOCK,E2F3,ESR1,ETV4,FOSL2,FOXM1,FOXP3,GMEB1,GRHL2,HNF4A,HOXA6,IRF2,KLF5,KMT2A,MAFK,MNT,NFAT5,NFYA,NRF1,PPARG,RBPJ,REST,RFX5,STAT3,TCF7L2,TFAP2A,ZFP42
healthy,0.182766078458532,0.156462877798776,-0.0333143591454285,0.0435094219838923,0.162906171341968,-0.0761102285295188,-0.176643163310082,-0.0358552978648851,0.0432041213493337,0.164227444110215,-0.100670651392692,-0.0566167974184527,-0.121077487453518,-0.0863120139362177,-0.0942517511685238,-0.181198279509438,-0.0909452079637883,0.11557093577553,-0.0430992492848675,0.26188244742937,-0.132606788013254,0.030286706485757,0.104068045305289,0.142356144577736,-0.13864519087532,0.0747396889397779,0.0589759386854968,-0.0671959109765139,0.147867113943422,-0.0730852648971413
healthy,0.0456101756244249,0.313006719966922,0.456124164138472,0.0320070808620958,-0.0241096644832388,-0.498752313595621,-0.0451887979062173,-0.158247418311626,0.338382703740805,0.299711460483167,-0.116073848513516,-0.178322842033582,0.0940968963530725,0.346481927801177,0.0105880032877229,-0.193239258011025,0.317099849767292,-0.0599998694541082,-0.48122920367915,0.187402411466243,-0.192255086900698,-0.213285715430692,-0.455698550781723,0.0638936509759883,0.165689161963433,0.198078406728844,-0.101645760669949,0.116924665326511,-0.127790717789511,0.135745110338437
healthy,-0.0288492202832714,-0.117146644304171,0.128246704420744,-0.186732538414276,0.214258500299414,-0.0443674324068355,-0.163799704853237,-0.177108840973306,0.0817248761095099,-0.0789471270754118,-0.0550300517306375,-0.0567470068422651,-0.108671228944226,0.0627618177428713,0.116665459432123,-0.0788158948375804,-0.0391728229926756,0.195361058051691,-0.0375542920594215,-0.002580900677351,0.326549551803823,0.0590873150835919,0.0263120636851975,0.0714340814595636,-0.283778778290603,-0.177174457092221,0.177775938182282,-0.124823730217308,0.000732713327892,0.0661410478670301
healthy,0.445134235714104,0.395230360223617,0.180194342665573,-0.248814096800107,0.460261289705437,-0.300392000505605,0.529268542865044,-0.369717845959884,-0.114338153753786,-0.534523289058604,-0.523845988516275,-0.283008048426818,-0.47866344005931,-0.473363296490428,-0.200912569828301,-0.463992791823449,-0.474321505376696,0.0962635130361667,-0.0721121093646874,0.353180230663893,0.312797643979848,-0.238550236640178,0.032583966137602,0.428141835997473,-0.478737210794209,0.357737802879288,-0.504212434356784,-0.363023354434673,-0.454685519214955,-0.520189067800578
healthy,0.0544098022090677,0.5433180916304,-0.0953445682479931,0.472784578519752,0.273647482384719,-0.143283264261886,-0.219345789348363,-0.382799136404755,0.486344557611311,0.126317846229908,-0.0430506169905695,0.622662502317055,-0.339787129833011,0.376358918544641,0.661991074932834,0.107584071015716,0.163167629957082,0.475626305345318,-0.114317728058904,0.0653597169880144,-0.10819411563316,-0.246473469615246,-0.290612900416698,0.0870510502842493,-0.135908674266192,0.598693154310108,-0.220921094436449,0.347547824016962,-0.264975582316485,-0.0009420942193451
moderate,0.140199428023662,0.200406409159747,-0.112345815213054,0.0930856375807765,-0.228738321312478,0.107695376551895,-0.111908558537342,0.0478144163136542,-0.0118587201049194,-0.248195010651419,-0.131850943599985,-0.0130314091529496,0.201342849078512,-0.225934077504327,-0.0538495736281146,0.210086967403133,0.0128853668735325,-0.117906153835547,0.2612941474553,-0.248743648132089,0.323198235596091,-0.201906279322341,-0.255403582149359,0.141837509002824,0.0857289934241628,0.135147409350878,0.195961038803549,0.0368100507946791,-0.0153224020903392,-0.242168554962346
moderate,-0.109932781059176,-0.101709019278254,0.0976188194716894,-0.0508931779640135,0.0227563464482997,-0.101755063641992,0.107253565331024,0.142669876643827,0.0958081881973416,0.120519110435751,-0.0880971728747388,0.17366622705961,-0.128357232044011,0.0803265531977833,-0.147165237049105,-0.101851324674271,0.116051466055248,0.0685003042397874,-0.114068131164163,0.121811630859888,-0.0035363263437429,-0.0583605604881998,0.13901106335189,-0.104009151312723,-0.104150562643425,-0.218750662670185,-0.0878334236067283,-0.0892442586742556,0.0103087220961774,0.0542287866444739
moderate,-0.0263582940069238,0.0089308781970836,0.0405743086010728,-0.101148856580834,0.0107336733314636,-0.050758920743306,-0.0022544783132164,-0.042285554977987,0.0334767780819264,0.0352436858856333,-0.0049820152448005,-0.0110489519917809,-0.0453969969810148,0.0432732300248975,-0.131689369648896,-0.0647111219490988,0.0099372975810363,0.0109915984939048,-0.0756352644188465,0.0324802706961434,-0.0480431829454698,-0.0157645907914903,-0.0589385148429632,-0.0525139840494289,-0.0254738988054729,0.04125246619484,-0.0171545568725821,-0.0360435773333518,-0.0437996728054898,0.0753727575089675
severe,-0.064138242742423,0.0877806900773384,-0.0052280838682072,-0.0309607540790638,0.0436126976199183,0.034830421812391,0.0255698618618912,0.0838032675469598,-0.0494631444211648,-0.0065765642421966,0.0222635647634586,0.0466651985962185,0.0186130786845221,-0.0179445790833964,-0.038744236326386,-0.0031017421422836,-0.0722065455765445,0.121375234526467,0.0146267255941138,-0.012007910665446,-0.012107131512331,-0.0724595074503432,0.0272141926797457,0.0312071513758116,0.0409378239384756,0.0662106044983045,0.110292566805851,-0.0096031488153477,0.275662112860033,-0.0166503385272907
severe,-0.468412517609788,-0.235339986896523,0.230355300434638,0.37926668364841,-0.179163168592894,0.231681306107232,0.311737040019479,0.466669178347577,0.177350217412091,0.209483552124802,-0.228895477675818,-0.216193667986348,-0.170772904870965,0.240612920768889,0.23307151694746,-0.185519142266652,0.0762348505941976,-0.374031259110819,0.168814647258151,0.468843368076801,-0.487935281555455,0.458182606874199,-0.153418248059693,0.507982838266041,-0.436113263227035,0.253571551128892,0.268250542059532,-0.48311989398296,-0.300516680092663,-0.210531785966899
severe,-0.0183948630684903,0.030487914823954,-0.0821296359421263,-0.0046820815785082,-0.0048974730740195,0.0564966168035443,-0.0192821901596335,0.0590931219246839,0.0089501964455435,-0.250499951486555,0.0125986135215062,0.0741397563968361,0.0123105900100666,0.137686687849968,0.0589832794178368,0.0257883013795321,-0.0366802414233153,-0.0206672075668171,-0.0657877901514505,0.0504903426587775,-0.0048910327967451,0.213142407569879,0.225981815902812,-0.0965197199254689,0.0119889339395272,-0.0584286999858723,-0.0239968309176957,0.065433574901357,0.114090943089196,-0.0183562214048437
