group,AHR,ARNTL,BHLHE40,E2F2,E2F3,ELK3,ETV1,ETV4,ETV5,FOXP1,GATA2,HES1,HINFP,HOXA4,MEIS1,MXI1,NANOG,NFATC1,NFYA,NFYB,PAX6,POU2F2,PPARG,RARG,RELA,RUNX3,SMAD3,SP2,TFAP2A,VEZF1,ZNF250
healthy,0.0721356220431226,0.053096973564934,-0.114383864348599,-0.0088794283060711,-0.0790802037008424,-0.109252088571678,-0.0279275089571463,0.0372832619939885,0.0078736506870455,0.0897034290309811,0.122148563814139,-0.143975478093588,0.0510296915095224,-0.0482621187406152,0.0811368986234221,0.0468294871751419,0.0171970648454196,-0.130537230390123,-0.142909161324097,-0.0593423232224413,0.171589607918912,-0.0798171643926011,0.0741202282157836,0.0378285955814908,0.0571334623270693,0.0890998662129036,-0.0207935138683985,-0.0273333783119554,0.114435067572841,-0.126939915147185,-0.0682566890668575
healthy,-0.149089650243667,-0.119405956411905,0.188829749857321,0.224539314641427,0.24730236734052,0.260235086143888,0.236595608329057,0.256906767282898,-0.0627957078164419,0.0434013882935586,-0.187486835956343,-0.0169662881548767,0.178333338390947,0.2066730148592,0.268369260195702,0.205444585195877,-0.205284996927242,-0.308714333142315,0.14814053453366,-0.134116767152157,-0.06910599623631,-0.0722607956142029,0.0393887847301499,-0.147767288332341,0.178103818184371,-0.10726704096722,0.216146792424397,-0.0688283374767919,-0.182420287742424,0.116811164268808,-0.0996032178195069
healthy,-0.52369810906261,-0.184405699532788,0.320485601740648,0.203762413982464,-0.0118339913340061,-0.253166028361976,0.183019934748323,0.314777570604636,0.185406529654902,-0.0464341184128009,-0.0827279580059422,-0.0447953965645045,0.0674955435100329,-0.0231950629399803,0.0117020137354856,0.319286805220754,0.0445974301667237,-0.123718000479772,0.233787317645881,-0.411187206323872,0.0789995908477377,-0.0407260872767886,0.18750717309802,0.600179127405248,-0.439980319067764,-0.0612815982463587,0.117877991745239,0.326842522736053,-0.201804746271076,0.228761170768891,-0.0890078920688767
healthy,-0.438270059179142,0.0098037367132117,0.199601574253324,-0.11591639614507,-0.275736093777928,-0.266597706490702,-0.138133210596631,-0.147609152910488,-0.391208381381936,-0.324226890085472,0.459831284831993,0.500577023395971,0.30897021626736,0.368091962449763,0.367807277487544,-0.0331064209492363,-0.450708351871288,-0.157832596596571,-0.429693721345896,0.437044287070388,0.331915824222201,0.448523598132659,0.0517492190465411,-0.311977302853997,0.436040569232165,-0.201700922503287,-0.320656127273641,0.106146821627324,0.21918627288277,0.46124088208778,0.320869234302502
healthy,-0.607405376226735,-0.13451328436591,0.337363934474588,0.567445719441653,-0.602958528030799,0.654748040556636,0.609481605001144,0.528005119850175,0.506561085344338,-0.618336565781552,-0.471443379992114,-0.420095453436954,0.315610015077049,0.623046816135435,0.64918560675057,0.674448972546644,-0.652563352070131,0.0288038006837789,0.627315480518642,0.644250689850202,-0.25869190759353,0.208482808015377,-0.431940803422295,0.299046667615532,-0.605019262560623,-0.601463333428333,0.696783926116126,0.632467316843202,-0.297884599271646,0.301796896029395,-0.644676781576293
moderate,-0.438517158646077,-0.39247891599616,0.357846525863022,0.389049029989592,-0.393274279382397,0.380946803738311,0.336082119837769,-0.0980280629673725,0.402790176838616,-0.364504282290446,0.190359549154664,-0.306710892834291,-0.0401609611768349,0.0844346327171507,-0.25241248978299,0.271001134899022,-0.339352320114012,-0.392392212775125,0.400349057867901,0.0764351658389491,0.455871085669949,0.343857822342489,-0.230971104343852,0.302556728405534,-0.401345269119703,-0.38248454520904,0.516134057275442,0.455247231180543,0.222102269814994,0.417956088233989,-0.359695172823325
moderate,0.0951856523397524,-0.0908370494650677,0.200398440412977,0.130427823104707,-0.169647948239145,0.108670576068392,0.0645451262139468,-0.0911233507154474,-0.11032261368636,-0.179708792911045,-0.137612621149951,-0.126189036460545,0.138084096835427,0.122992680010073,0.0753522118738854,0.169049876762685,-0.153488931879408,-0.107802233814493,0.28012442450224,-0.0805564225146186,0.133497284129186,-0.0586923555978636,-0.063974621158245,0.0088885227021348,-0.117539023224974,0.134334614159732,0.16179421503799,0.183604347653261,-0.188574543352553,-0.0369470939618784,-0.102294343092902
moderate,-0.415305094234989,-0.369755009412696,0.372320356725855,0.389615342360997,0.438625810996845,0.370883151287177,0.408299636754075,0.401639981380615,0.483202237925677,-0.380414354025762,-0.414250716253491,-0.273015391433686,0.38041436313073,-0.283700867303046,0.370512856817554,-0.374557693037762,-0.394292013237945,-0.413438061497672,0.371376485733079,0.384397599694334,-0.202107089361019,-0.431860615394352,0.379974015042319,-0.261780653856481,-0.376599969081655,0.398732105195765,0.393043043894252,0.382090601277236,0.380933264324949,0.626151732185966,-0.347923355431057
severe,-0.136870521817625,-0.155465622879441,0.0728074606530854,0.143983084604731,0.19763870144179,0.137906634724235,0.182150650470363,0.12542232414666,0.160116361933911,-0.0922627698482757,-0.205732863997466,-0.0233292377461802,0.154012425861595,-0.0708744479460654,0.178186476731966,-0.0888207377926915,-0.161537754480424,-0.14225760292757,0.122108661517611,-0.131407973632384,0.238441624186767,-0.204003578121686,0.152103801152205,0.216483296243271,-0.147885842812278,-0.0740577259514741,0.147238519004476,0.146542768776423,0.36905131929752,0.149005442456137,-0.151130502076477
severe,0.0477394308962193,-0.230450473129118,-0.0660503990510692,-0.0249139402879966,-0.048719419213737,-0.0170770845589438,0.0845315346688709,0.389241800509951,0.310471892071744,0.0686517239727678,-0.358886569155613,0.125360200490987,-0.273267928802107,0.0825451176710661,-0.0784780475107142,0.0185384230704688,-0.116681659880441,0.0889870747745273,-0.384676770184109,-0.247177053391862,-0.0515183688981865,0.0496570351550217,0.0009684630311823,0.0314667435276835,0.1090651405078,-0.072830657206375,-0.140882727310693,-0.090973830751342,-0.387279112042837,0.076647560857447,-0.352280207232368
severe,-0.219169890281244,-0.159893273851916,0.38081735769812,0.278970184029413,-0.177838451790143,0.156022147881021,0.3345050704578,-0.144907356655884,-0.0020033076899381,0.200028606105529,0.253188843500843,-0.314347257277135,0.384052973822126,0.226951928795513,-0.155472663055708,-0.230442394045936,0.257527730526555,0.321941474494297,0.220001465489807,-0.175483516824515,-0.14082116813105,-0.266667530631355,0.176920851560005,0.0687336338011889,-0.256447041193013,-0.32070343105879,0.262501768961565,0.244858395474031,0.265509418778396,0.371441705659166,-0.226257993621471
severe,-0.59415453858333,-0.603484114537598,0.600836685343485,0.602441737014245,0.533908643339176,0.605854944457419,0.578167458116891,0.636873174921652,0.63297045178323,-0.486880112923105,-0.655713306973636,0.635645136365944,0.610590666634536,0.25221530039971,0.596909670905183,-0.532219454231639,-0.575806905285481,-0.654263810678917,0.534631662829994,0.513478384395957,0.611189355645528,-0.623637674613144,0.662184145034558,0.596983863231487,-0.569932792823183,-0.382238215390179,0.633486193735475,0.589142876345252,0.60971542577467,0.47042015834113,-0.527248777041114
