group,ARNT,ASCL2,ATF1,ATF3,BARX2,BCL11A,BCL6,E2F3,E2F6,ETV4,ETV6,ETV7,FOSL2,FOXA1,FOXK1,GFI1B,GMEB1,HOXA4,IRF2,IRF3,JUN,MAFK,MECOM,MYC,NANOG,NRF1,PAX5,PPARG,PRDM1,RBPJ,RFX5,SP1,SPDEF,TAL1,TCF7L2,THAP1,TP63,ZBTB7B,ZNF143,ZNF263
healthy,-0.0946967076830922,-0.0161593330784849,0.22098019723999,0.0639754209674875,0.176844167503971,0.0912020922101189,0.0595468731567854,0.353275792234297,0.0548716443483481,-0.242698491401678,0.168419195560311,0.0010548732159958,0.0323049403271347,0.0131291881689514,0.155435520384576,-0.147151646132228,-0.133167233181245,0.111155033488404,-0.164758910281077,0.0428104793162835,0.0697459326028337,0.178485028070617,0.0783886941121981,0.10617342112169,0.0451177625161114,-0.0929344263140582,-0.169329611616154,-0.0371156997070903,0.164308453501944,0.0209960083609263,0.116660627009451,-0.0239573321516364,0.0275001320062684,-0.0132335236726627,-0.0665565488702486,-0.0493700821899101,0.0750188589104526,-0.0567588019734341,-0.0097302695655274,-0.160797328639239
healthy,0.116297172657052,0.0487249182412057,0.173464121187809,-0.103338567843942,0.0400887238566285,0.0267313843152307,0.114001983262967,0.0825616403949056,0.111649557908573,0.045877497679818,0.0300617504077564,0.10355546200933,-0.11689979337793,0.0031820729226298,0.0476134725717282,0.061059541544421,0.0334783812251522,0.17587364557438,-0.0972377348017386,0.0416985879364667,-0.102550546428661,-0.0593413673100237,0.137139962538886,0.0394370828635223,-0.0247867309460157,-0.078927704627718,-0.121996121623868,-0.0255435327465826,-0.131123614155801,-0.0300963932258392,0.0298815529824721,-0.022866313856645,0.0229638066885618,0.0696269980053715,-0.0152911755879704,0.0569167808286343,0.159401738680767,0.0436632328133501,-0.0050978344554201,-0.0131029270670983
healthy,-0.115515579926451,-0.417696684354269,-0.0193625486627147,-0.196979022880485,-0.415101816958244,-0.379455375865387,-0.192910798573157,0.524438094017888,0.379543337472032,-0.407350200372659,0.061265259028192,0.0772192954334157,-0.508099225583593,0.451759816527517,0.436806343397879,-0.011621927277961,-0.119275938610522,-0.448582203487469,0.223103620054028,0.142200932342356,-0.44520667683247,0.120551381906873,0.126972579191953,-0.407042334749402,0.453629000668722,0.0932063174411313,0.451517922109244,0.493706507696317,0.29096599958059,0.0786816571438877,-0.170502579280361,0.434772231244215,-0.156428722217173,0.0880495682515724,-0.0120617353111857,-0.492595992412425,-0.0924586437846494,0.441963092587438,-0.261608813362845,-0.373550953019346
healthy,0.232577284538229,0.2409025544134,0.295784887150518,0.0053280095595046,0.149125529848294,0.351232571384303,0.170347829753508,0.165794833068223,0.0330840758959042,0.004370256807574,-0.288508739966132,0.108341904997773,-0.291007544633222,0.226079413440165,0.06304444200719,-0.0692192551071579,-0.0579424098857474,0.0760630266880314,-0.346819077016378,-0.0671503786345039,0.0064888972647833,0.355107635755402,0.0660824924741316,0.135522014398173,-0.0574080589040485,-0.303892337617882,-0.277962854255565,0.3098607525524,0.204343973431915,0.136214631166818,-0.0696867102407663,-0.17249502331661,-0.284533331822898,0.200512146621167,-0.207113624703469,-0.0880153568145514,0.198901751448841,-0.291167442026219,-0.375512501029071,-0.0541782947261157
healthy,-0.173921015509032,-0.104219391183842,0.0678381565531285,0.16573761661215,-0.0999928876838049,0.133685970932694,0.425441586836756,0.0913257801311959,-0.28375459895934,-0.206765626197876,-0.199264177209067,-0.0983673094145598,-0.278814426950854,0.187480717169564,-0.0544925554451314,-0.378450480380434,-0.097510907204421,-0.0597023355568094,0.455637694394245,0.379957113898271,0.0233924677769409,0.131568754357628,0.111308498367769,-0.369688217026698,0.0924042125439634,-0.146389270383087,-0.133059528575277,-0.0383715768042769,-0.392232212243594,-0.0215369296549734,0.426749979102246,-0.200810458977373,-0.0973602438526373,-0.0479981720182451,0.498370578750155,0.132115900214106,-0.227477872243086,0.0177782755104751,-0.0317503189758886,0.134193468538702
moderate,0.169481656274371,0.125944368429669,-0.063589220282564,-0.0176848394214567,-0.119441278011903,0.0136010349205624,0.18612118788372,0.0153028134363071,-0.157296643739503,-0.0222048895820781,0.161350872263467,-0.000900762473873,0.0533321554987926,-0.0468461727539577,-0.0797011686563708,0.135329086874265,-0.383991867543977,-0.340456029502065,-0.0937061186344272,-0.0265234171547897,-0.105439372619708,-0.0209908247251309,-0.0499274386250705,-0.154288592909321,0.0156651191537075,0.0130406861419499,-0.0570448104852632,-0.0817278479775154,-0.0974390708599678,0.0919653404236121,-0.0002076117596308,0.192225872494596,0.0539219352740567,-0.0844037489883435,0.0992211684503183,0.0497331650511143,-0.0155923390536135,0.09660151978777,-0.0712575172032294,0.0677330466189941
moderate,0.055771684550219,-0.0542574571341131,0.0189285130430232,-0.0305209554947067,-0.0165008333381262,-0.0941213373027742,0.0038409089716551,0.110045676779579,0.0041087477216953,0.0390113544920872,0.144413499838823,-0.0148230425474129,0.0686266038687493,0.0148596878936364,0.0948922302568665,0.106394995885678,0.0117877353333869,0.167504983798767,-0.0225881318262474,0.105489140802811,0.0006033075292896,0.0200533464142987,0.108607570387539,0.0533991218294793,-0.0388829468154829,-0.0054996322651465,0.0011650538732281,0.0768978756128989,-0.0633158589979581,0.0145532672546861,-0.0701315954658883,-0.0022965906614958,-0.0463484678371813,-0.236372314819944,-0.0371688086081901,-0.0382082851364328,-0.0579502950726537,0.259944508260632,-0.0433021372263238,-0.287242013971068
moderate,0.0113439473107543,-0.0722740282604056,-0.0024298909009299,0.0729655331177804,0.0114338602076817,0.114134778195055,0.0908878797691035,0.0735422682844723,0.0679689384634102,0.0968133794747932,0.131795753970032,0.062193374279922,0.0652550671438535,-0.0656193091537836,-0.0644887954990871,-0.0229709797936127,0.0773179978991259,-0.0713728575809502,-0.0766612751961886,0.0669978426359201,-0.0731532836703941,0.110879492838191,-0.0554764446751466,-0.0568302720938094,-0.08308290134086,-0.0660519918468511,0.0585520915091118,0.047767632166736,-0.0526429072145384,0.0525450604236835,-0.0874203524726145,-0.138047520789789,0.0724613266221737,-0.0756810122270103,0.0649812587354609,0.0744269271466865,-0.059498097596047,0.0273951373781165,0.0695995112471699,0.0104500299551658
severe,0.0335997563432794,-0.228902882281145,-0.0203073717584332,-0.0480874659299232,0.120301004582212,0.0194561886673172,0.200687299086294,0.0457417260314224,-0.216289852903995,-0.0185995552874903,0.0563437632045328,-0.0094245214689725,-0.0050771356529781,-0.0301216504941083,-0.0085914010180821,-0.107739417440095,0.0115846023493851,-0.000731584858811,0.0667778821862511,0.0048279629689563,0.093544085715571,0.129613822520995,-0.016467321548017,-0.0476305591891144,0.0029516599976225,-0.102433506603183,0.0633411122578693,0.0110291658918036,-0.0270431754246063,0.0242119626992386,0.0812318081994025,-0.0354780175841751,0.0053263083369999,-0.0844369134691821,-0.0016943482323819,-0.0409044373172093,-0.0015909296888007,-0.0030817274402781,-0.0015844044059595,-0.0030220686896012
severe,-0.396117419169142,-0.0720944075551488,0.311834117550627,-0.367342067936834,-0.12715776691469,0.108244898449564,-0.112300312415227,-0.0655739645587522,0.142251209654923,0.257183230474379,0.0727073684154862,0.0187056180473727,0.334483241099917,0.116762113007545,0.107889563720268,-0.0285275297702969,-0.103974457949332,-0.130081924929615,0.161698263536118,-0.103057552349092,-0.11688686896864,-0.226666705259314,-0.391278645957257,-0.139110672737287,-0.245007522000396,0.378743883741587,-0.122377145532908,-0.0747643203593872,0.124763737211409,0.408956802308785,0.132760290034741,0.124625457568895,-0.110521272124496,0.156175530136443,-0.278859325145538,-0.113905235307683,0.143439603159659,-0.201640456608517,-0.136649024626909,0.0726340024437855
