group,ATF1,ATF3,CEBPA,CTCF,CTCFL,ELK1,ELK4,FOXH1,FOXP3,HNF4A,IRF3,KLF4,KMT2A,MBD2,MECOM,MEF2C,MYB,MYBL2,MYC,NFAT5,NFYA,NR3C1,NRF1,PBX1,RBPJ,RUNX3,SMAD3,SP2,SPIB,TP63,ZBTB7A,ZNF143
healthy,0.0514228703828283,0.244459527445038,0.09009869202254,-0.148686301807624,-0.305171180546198,-0.232943706418484,0.190844623587919,-0.2721204626185,0.0916830454264588,0.0179083384055338,0.242412706331289,-0.0025265989062919,-0.266076839573324,-0.114994918485273,0.147363138318427,0.230250642216763,0.313783812200314,0.0221485393333389,-0.0830463719907959,0.328122715383192,-0.142679318437525,0.0345175551034173,0.0775572485952097,-0.310243707951145,0.207481440251018,0.466601646083153,0.0913799266447197,0.0297262203754387,0.110631815970202,-0.112874048684361,0.183449179249943,-0.121558709515991
healthy,0.228562156785438,-0.0955577036694789,-0.0923049613405102,-0.0141114029881333,-0.129816685622095,0.0174764372826553,-0.272433275809087,0.0848321655493301,0.19495830326576,-0.205503953519716,-0.140634650790058,0.213661399218808,-0.0115053740922281,0.220727378048789,0.328456482358028,-0.147294364462109,0.0069041625208967,-0.146193930789851,-0.113126843901584,0.191162862420223,-0.105423946146592,0.170580876331014,-0.0673829045777486,-0.0290767215374149,-0.0411316916870929,0.228648100144823,0.0026809361898798,-0.0907474966094335,0.0592055939609168,-0.133216897375114,0.139783908097715,-0.109255530106348
healthy,-0.276238162740773,0.338393958555806,-0.4849190396801,0.0770789307263722,0.460164972073651,0.59770966187084,0.546644041815234,-0.630615671419975,0.0093117710808729,0.0196508193984259,0.731796956237053,0.614333879518188,-0.102849229577709,-0.4155833492001,0.298065042522274,0.480224493168391,-0.534173117081776,-0.367047261264921,-0.5575353897224,-0.550686874811201,0.180966483532553,-0.58131741005113,0.26306029453261,-0.482400553551465,-0.483516198722483,0.117175880932267,-0.604591314757417,-0.272858089252342,-0.356012315464456,-0.472724264741448,0.47865596233389,0.518123291007626
healthy,0.158193173464617,0.232954468542961,-0.439128576420007,0.500689390837916,-0.0339039104375757,0.180593270571442,0.672442002532958,0.16233549476205,-0.500831665592309,-0.502824329824809,-0.163668298495729,0.134044078083965,-0.499599435391908,0.254728229662057,0.12695895884941,-0.331834605174872,0.194219757824052,-0.151240516932428,-0.0298180084392985,0.254925288373601,-0.0411337574395303,0.151343543478712,-0.401926181159327,0.347842968057056,0.273077584623702,-0.214715499166621,0.168254615147387,-0.460190963767139,0.522073940559938,0.262164947427582,0.160566054713167,-0.233970833598766
healthy,0.138475967239952,-0.016736023762097,0.0340026067856497,-0.305016958942497,-0.0136853080087264,-0.0112509772796941,-0.131836174129675,0.252124881980607,0.132273105286168,-0.174390147835258,0.0575890868941901,-0.0714148370603606,-0.0018257480467742,-0.0198491582521094,-0.242293930959515,0.112260097850373,0.191453869964725,0.0382626855614562,-0.425539737055836,-0.0797555407441283,-0.0994096404442319,0.366280948956476,-0.114273102107073,0.0926372075185908,0.102764647538731,-0.0341742583114148,-0.243128781562099,-0.105120954846961,0.0389492916645166,0.13942785297374,-0.0874174406669158,-0.10440313937558
moderate,0.033781795081773,-0.0762428440438516,0.095478353076155,-0.155396461477265,0.0695369563160608,-0.152404485003561,0.141023515584071,-0.0431996034042062,0.0246567260644706,0.0832645053448062,0.0857567256740941,-0.0024729765104246,0.197478757095355,0.233519514095953,0.110514481787596,-0.166015404827075,0.0754898567375765,-0.539722786251615,-0.0439552148675989,-0.100860353538063,0.0881091367436108,-0.04400740643694,-0.099398989596514,-0.137164400969471,0.100921875443823,-0.128367788951401,-0.0354519253006862,0.0139163425547137,0.113571187470204,-0.103056627259076,0.052396690955739,-0.274282441829863
moderate,0.0038200279096469,-0.0300937635775065,0.153052839902776,0.154158716269406,0.0045436019927285,0.171321438291376,-0.0470227316376198,0.002979951211367,0.0882710965083289,0.0525599002779575,-0.263225829083193,0.0173341815263425,0.082196787918485,0.0270615509102215,-0.113805834225028,0.197087833521843,-0.006800278613598,-0.134399693036247,0.0072707814631515,0.0931158382943268,0.0370057529249577,0.0604464384939302,-0.0050314754121574,0.0261627736654665,-0.0199451578741513,0.0305933172077135,-0.0077719823025709,-0.0232975281137932,0.0242090337933707,0.118101007119281,-0.186681514449907,-0.0050458510561921
moderate,-0.040431733394979,0.037179899542157,-0.015890221656723,-0.0302855825073326,0.0094305120859071,-0.0398673190120226,0.013199785766718,-0.0167139519029416,-0.0301021951649963,0.0142475287584272,0.0154740427777609,-0.0162073904412002,-0.0254850873822022,-0.0267287143139682,-0.0059171481890823,-0.0404742199935385,-0.0065030992617271,0.0291805871279012,-0.0146634142469807,-0.0278540728214532,0.0214960597010519,-0.0356244398639721,-0.0293487685954618,-0.0233397341977556,0.0146366652933127,0.0114230684623492,0.0235698898049283,0.0264722085807143,-0.0267269356346154,-0.0146055292361898,-0.0205908035950166,0.0259067673313275
severe,-0.0719986563924044,-0.0435316141087972,-0.152566172469397,0.0177942354341958,-0.0194507880621423,0.031230602643661,-0.0043569411458426,0.0138434097793326,0.0283091229790896,-0.0172204216732426,-0.0079343325573434,-0.0174991084542451,-0.0428196175227655,0.0658366583152499,0.0253397854421411,0.0136310743777113,-0.0140440845887174,-0.0306006971763545,-0.0116652207637032,0.0184764350180401,-0.0435622283138563,0.0257184525307829,-0.0945998920027164,0.0043371153921401,0.0044855647574974,0.0868541616274599,-0.005482758278501,-0.0198944948852198,0.0387057152578667,0.009958173238987,0.0466929050463317,-0.0247842179671552
severe,0.523823636435505,-0.575248316864153,0.347636338615845,0.155188050660445,-0.231582480908056,-0.198083328012617,-0.189885278667252,-0.141373538684175,0.169867595160035,-0.208130675704398,-0.20961822089483,0.241845664516433,0.0214677360736405,-0.462306684720543,-0.459958835806216,0.191341073347262,0.317487202341366,-0.26559977511188,-0.197514858767499,0.441285144649755,-0.505841701080589,0.314126039264619,0.45421537113362,-0.186622744835648,0.480079539586613,0.0179866641543407,-0.202255817962075,-0.229239698564542,0.377137291597763,0.293722958604294,0.236716605997651,-0.329193683088415
severe,-0.166713082350547,0.0888268416670128,-0.0665946504344542,-0.0194838519728741,-0.0286092139937669,0.121548874662606,-0.0151826184879801,0.0391288431893625,-0.329733958602421,0.0192028452295556,-0.127277392717331,-0.221515139453325,-0.0320455352801966,0.0144720267232667,-0.008529972254398,-0.0143349327565392,0.0737224600500971,0.0334634888470566,-0.047381038663009,-0.026085895459575,-0.0141885077868406,0.171906862158088,0.0379283737686725,0.0316827028185172,-0.011942248263941,-0.0671602527683877,-0.000613692887707,-0.0126772441902709,0.338057931021998,-0.279366640103968,-0.0571667485864638,0.0089548917743075
severe,0.0057883784418599,-0.10757286544251,-0.104635143292427,-0.0307322274059905,-0.0927066060294831,0.0181555760874648,0.0168906621391333,0.0395576126225611,-0.0034493758415378,0.0169507933378254,0.0079070810696714,-0.0215155223779917,-0.0031865246348282,-0.0038902426550902,0.110584619782456,-0.0956393720497008,-0.180883585761673,-0.0159178929843208,0.0764077439203372,0.034305940155523,0.0072402766858866,0.110753466549048,-0.0652143579782233,-0.0190770254706245,0.0319832641906993,0.152837380591252,0.0052820001694058,0.0130935327738866,0.0072166302278179,0.0146359947601818,-0.0363731133292642,-0.0024765399695924
