group,AR,ARNT,ARNTL,ATF1,BARX2,BATF,BCL11A,CEBPD,E2F8,EHF,ELF2,ETS2,ETV4,ETV5,FOS,FOSL2,FOXK1,FOXO3,FOXP1,GATA6,GFI1B,GMEB2,GRHL2,HES1,HEY1,HOXA1,HSF1,MAFK,MAX,MBD2,MEF2A,MXI1,MYC,NFYB,NR3C1,PBX3,POU2F1,PPARG,PRDM1,REST,RXRA,SPIB,STAT1,TBX21,TCF7L2,TEAD4,USF2,XBP1,ZBTB7A,ZBTB7B,ZNF384
healthy,0.106729654231542,0.287171380063587,0.450210366483992,-0.0673538393952839,-0.0825141327353001,-0.42511767879646,-0.469323325842661,-0.0333795922923619,0.339960539895405,0.359393985688018,-0.539790640118521,0.463742239675948,-0.0485990538339771,-0.0974373696825241,0.443148253241922,-0.136430557088668,0.108992622175357,0.176125611703084,-0.573540968662718,0.383285088989755,-0.39210019206202,0.155120132962638,-0.0203455183459496,0.331872908423351,-0.0337423691264772,0.0307582587579869,-0.205411857666022,-0.0656804437422807,0.52111698307999,0.589309438233756,-0.0898202069252919,-0.123933887683198,0.179202166393035,0.740484672802262,-0.127831604950608,0.113263089523181,0.142503401015186,-0.148401521338279,-0.168273981761233,-0.0815506596048861,-0.093767215044602,0.433401706503319,-0.0963971792728893,0.218560719841469,0.0045742677735389,0.558770111411346,0.153851037371128,-0.456166312456297,-0.304748267699058,0.662807564521833,0.276169259153936
healthy,-0.230813678630935,0.108149878932913,0.270589186755753,-0.177192960087335,-0.0558538918221811,-0.335372633488226,-0.122654794416883,0.283668402503186,0.342862980740274,0.137403125378888,0.499880427099744,0.340894644593344,-0.282951391103483,0.441035690390503,-0.077250576249827,-0.041289623348892,0.20114127728108,0.0457492841670278,-0.0662472142483662,-0.434008296455142,-0.209074929963697,0.359257231495737,-0.284092060047635,0.0328711863650107,-0.129402342418697,-0.155343282729715,-0.193104746083644,0.302334167203894,0.168500953577972,0.0776794186531129,-0.0569165149964703,-0.253851780211469,-0.36266395663899,-0.0577561892407661,-0.154990575885141,0.430338235060429,-0.0478667532273506,-0.259089988517085,0.429078314363024,-0.176113554343652,0.284878384823371,0.489523398685418,-0.0724201980248417,-0.30548492405298,0.39066560545043,-0.193349798885522,-0.321609562148916,-0.147055831653296,0.379370254030251,-0.161450091334191,0.15829537761915
healthy,-0.064068793318731,0.246358987288963,0.0498421686385439,0.304462830091441,-0.0305649289226973,0.0880592147381131,-0.238238817425597,-0.169707196165874,-0.316697509617478,0.115511049048313,-0.166746490800143,0.333732450416631,0.0853706330273203,-0.164003484358362,-0.445085450017484,-0.143354741421625,0.296397084959063,-0.322814849380497,0.173549582173606,0.408163712515422,0.260781541000706,0.130401655446551,-0.172961795078939,-0.0582888868878363,-0.0955371727758243,0.507946014308288,0.144269076902219,0.0375312944891241,0.171100469279159,-0.247730490509854,0.122107326444024,0.0705017965214782,-0.0783716126223009,-0.362436053539549,0.152781104828697,0.15161641558556,-0.413246982389674,-0.313170787049475,0.230913248634652,-0.375106130913488,-0.523446177693587,-0.411973443684562,-0.604299558048928,-0.0863829330236916,0.253270928124402,0.345760315964915,-0.444062265074915,-0.302285840851933,-0.427669536101417,-0.0597801245168995,-0.289637533370389
healthy,0.347835376037361,-0.235065720915874,0.480993103745754,-0.118448923733653,-0.555995379823382,-0.310107649909147,-0.0203079575124412,0.305753112376792,0.291842222174008,-0.379022798813689,-0.260825549707906,0.259696655476789,-0.0348549128518969,-0.223271810862624,-0.386862746706916,0.223302562103328,-0.612989567495975,0.0294855843763023,-0.266133375702092,-0.100279795936509,0.55065032864308,0.0004515576924463,0.601515308497414,0.362494006935163,-0.0417067748267062,-0.288159356478088,-0.004864360733504,-0.0105800452886095,-0.330788668525921,0.589079668605257,-0.156917916611474,-0.255452175016429,-0.49789576597179,0.307921074846441,-0.467549956098945,-0.414939438713059,0.45904157334199,0.0865218526940694,-0.395082229649888,-0.0023646085615203,-0.296899182783502,0.255045934941862,-0.34579689247594,-0.417609941195269,0.14640908472239,-0.1338132146813,0.233758793185944,-0.118386612009068,0.543311302276062,0.40294807332476,-0.0223682906396249
healthy,-0.206501928662299,-0.08208906344644,-0.202047602838787,-0.252648127678191,0.43241639495336,-0.26528669921895,-0.199257869364547,0.0457454638206973,0.327215699768667,0.430443544761632,0.11150456806295,0.403679057590257,-0.264030548510935,-0.281423997271601,-0.319786685765441,0.329728001184696,0.252971798412771,0.119634868657767,0.314469237983048,-0.262404488391972,0.44147146907555,0.251576931675651,-0.0573051329128547,0.225806576046202,-0.0573744909274076,-0.0060418537121675,0.0765018900518973,-0.0293307337098339,-0.256948324580473,-0.287689337919551,0.155192410785243,-0.108221622040777,0.557553666098994,-0.0829290660671368,0.0055717605024198,0.484273070500778,-0.0781510695090451,0.120020190960839,-0.0196745567948518,-0.336910408913957,-0.0195050149815002,-0.0902039511491345,0.108992266646921,-0.247238202543061,-0.267829826419224,0.420163145715674,0.208266704810368,0.173788065131494,0.127641866115601,-0.274141405743542,0.470601835187787
moderate,-0.473887581477941,0.333280652681194,0.0571334660899617,0.014931584902733,0.0855332464150745,-0.109140868019185,-0.346546766503387,-0.427422864986975,0.465726237196252,0.256444303003646,0.0599534822267699,0.194257203434016,0.0917970517140721,0.0317644751835729,0.234167088149443,-0.46898865993304,0.234530979891142,0.206708182371439,-0.0504836052608571,-0.139757172046425,0.337022131942584,0.163477785513005,-0.0522010815704065,0.201218516191725,-0.0867095206756633,0.0696736796264632,0.374002340470061,-0.0186099046102295,0.174935015506137,0.373142298563027,0.0672807147852481,-0.231606808434954,0.105622040671406,0.473343337340375,0.132059528984951,-0.0694594296718559,0.318014438031914,0.234345991931687,0.460097648970245,0.132735162377979,-0.410462786430175,0.379777238671831,0.113795408446153,-0.296663611588606,-0.379172152762167,0.203485596509239,0.457240982908815,0.218331423485585,0.275218625259906,-0.255514148197335,0.224348674746217
moderate,-0.674773905451242,-0.323872451271441,0.538955816642917,0.564965690530403,0.507873496852468,-0.746411254848522,-0.246785074096982,-0.174512720917543,0.65383632875389,0.54017496441953,0.613630625583661,0.550684202657842,0.436562125977551,0.428993981369157,-0.619259108756294,0.543047798860687,0.614335524395706,-0.625728711692837,0.646509842493507,0.537872294966849,0.581460025306599,0.693971244617255,0.403986431952807,0.567093176269879,0.50094124830321,0.612449548291412,-0.393734169483949,0.0026766822189872,-0.53567729360276,0.462206909868503,-0.524891152075833,-0.478258229125483,0.563997272584404,0.411601867240996,0.620809142578646,-0.594629438639819,0.435580323876893,0.46535144264924,-0.295686462549217,-0.557915363994486,-0.563469936890836,0.448542580238556,-0.741407514272809,-0.0504117159490981,-0.633788203490048,0.394042451179597,0.623926609624406,-0.629595393973846,-0.0579765888752418,-0.625502222053439,0.627518768022074
moderate,-0.70255278165421,0.721437851318157,0.732010415205121,-0.744696683198675,0.858494053366465,-0.667018331522425,0.425845876956075,0.63179301212342,0.650157259714035,0.65449121393179,0.716873507513992,0.643502175515647,-0.586077450981212,-0.655768020817079,0.728285076424519,-0.634689223087181,0.704207338434894,-0.671912022829436,0.685699044091104,0.715891149272192,0.726469642202934,0.743953236410487,-0.582189752498764,0.736161103948936,0.724925380141813,0.675646513551465,0.728297618981194,-0.577992338538393,-0.623263316588377,0.653821259182409,-0.702997686582908,0.70455267803747,0.700044759873168,-0.660680396771223,0.625028789097032,-0.743618807517675,-0.657224920140647,-0.708095345155091,0.745057978637717,-0.615188199207889,0.647489625173448,0.668730397308003,-0.282823434086756,-0.547056714042586,-0.705161601712373,-0.832046683279682,-0.641227761685755,-0.707648015120567,0.696671569123088,-0.722453880001224,0.678968777079192
severe,-0.237914728917733,0.620646724275266,0.575250727873352,-0.53456403394055,-0.309196557410749,-0.615622384104985,-0.761187163856265,-0.76681696988098,0.762608771312178,0.753773288451395,0.593038988187224,0.707336299983541,-0.74062080224581,-0.748275340739238,-0.637041706094222,0.215183703010983,0.714993172493992,-0.720517285765403,0.705609318475885,0.631912867477593,0.278661158672171,0.613321186637476,-0.743021618562674,0.500711962889716,-0.569015660732539,0.709409616859226,-0.691238912159586,-0.63714226673992,-0.595861333438071,0.797182319782851,-0.654736489708797,0.558006614282486,0.585542384845662,0.720089280275415,0.574767716017274,0.583155961633771,-0.728432258245972,-0.715749237043277,0.702798936768433,-0.650555432618648,-0.690747110204311,-0.575592681841006,0.509298053984244,-0.584469897199139,-0.588765826144625,0.487656133652235,0.622046028901852,-0.653372120266828,0.762337458894822,-0.719710179949123,0.66472153055013
severe,-0.689683936301826,-0.307887235309405,0.325268900197768,0.54529947472135,-0.585401711918577,-0.579525672734699,-0.371286676526274,0.631832043253271,0.592662274899817,0.510402115208572,-0.370687425187498,-0.0068929096246614,0.0131470679631467,0.635721944056295,-0.639305973471753,0.770185841924146,0.625259184484473,-0.49037834272739,0.534672976051328,-0.217082595543196,-0.457826334792343,0.462119000016302,-0.642177315802054,0.61960495269754,-0.253186897893225,-0.62763458303074,-0.45805455671066,-0.705883303619264,0.728137641506242,-0.527316870462272,-0.589375001499448,-0.488337849718062,-0.539253957130675,-0.623611665310827,0.0776916700482547,-0.267245840710474,-0.605892394034422,-0.534888368926899,0.720389237294282,-0.776075385363545,0.702505214100512,0.76336619288569,0.364671616958971,-0.728149457729824,-0.725578922691269,0.524850318191235,0.722261939928753,-0.58097940584161,0.628588658683347,-0.191285416220101,-0.709294478564045
