group,ARNTL,BCL11A,CDX2,CEBPA,E2F1,ELF2,ETS2,ETV4,FOSL2,FOXD2,GMEB2,IKZF1,IRF1,MEIS1,MYBL2,NFAT5,PAX5,RBPJ,RUNX1,SP4,SPDEF,STAT5B,TBP,TBX21,TCF7L2,TFAP4,TP73,ZEB1,ZNF143,ZNF250,ZNF384,ZNF76
healthy,0.129305425334695,0.084059578180423,0.113719624621622,-0.0407740875102883,-0.0139744051888716,0.0176505184545234,0.0435312445986451,-0.0774612535245264,0.0987793247360372,0.148544350981164,0.0268665312373912,-0.0581958768681393,-0.0368635702040182,-0.0240227110219941,-0.0998906518945536,0.180408103197746,-0.120569570520956,0.0167759999738905,0.0088077053752252,-0.0187280845058355,0.0767174511256336,0.0011443187817959,0.0164844617518494,0.0220014691223001,-0.0165299574889083,0.0648006459519068,-0.0448341732544581,0.0379750897335158,0.0086328401532949,0.0066157342296971,0.0074597619098063,-0.0535292454201782
healthy,-0.0530645184222519,-0.0968981880276232,0.0362507051731204,0.0167762581579717,0.0846680218021044,-0.11474634827467,-0.0381243327980185,0.183127428619373,0.0558806000014949,0.0725293359268468,-0.126187444892523,0.0634770457485212,-0.0925661463583379,0.182849686022114,0.0046273925144142,-0.0857979760833756,-0.214791047657969,0.0258209822922907,-0.101370820550994,-0.126529842774929,0.113434258679496,-0.104779117029296,-0.0612801416978881,-0.021467755699787,-0.0330081738407802,-0.0215712041560222,0.0166254875355863,-0.0808473071432263,0.0318688651778282,-0.0564747408026648,-0.0122846417423661,-0.232714593216208
healthy,0.0458243245841052,-0.0484356169443921,0.142926938808611,-0.184134674789509,-0.0234795950201318,-0.185214449689543,0.18987511073765,-0.169061898633929,-0.127446492537712,-0.061095426741732,-0.0543523426721306,0.130928215684761,0.0225871280109199,-0.137351774528843,-0.0080101668604579,-0.0771488147963224,-0.0790108755933202,0.0746036311033846,0.0266748472753351,0.07149652373798,-0.138806165210521,-0.0058065446154901,-0.0903595301549043,0.107735091556475,-0.154473919372242,-0.0301235160887097,-0.129396698224509,0.032977206895943,-0.0925521342886473,0.0078559133033101,-0.0760470036738385,0.058087482377351
healthy,-0.0908086006437302,0.176698832131697,-0.438095686968891,-0.0546254298039983,-0.403310334197221,0.114086334901584,0.353512252837578,-0.159485352771448,-0.153150473794386,0.444107117346482,0.404961709961351,0.314576518162656,0.400622785155895,0.402348927932967,-0.131905264529686,0.0465367767624726,-0.411526578771704,-0.0958066129219762,0.144484814457323,0.169041714784439,-0.308873908055916,0.411003209681104,-0.366182010791701,-0.0322952861667027,0.0480816908016507,0.0429008244156639,0.155610471057192,0.1133890512374,-0.485630440817166,0.20878200753342,0.125585826566167,0.415395771691497
healthy,0.43843282673814,0.472361627474712,0.03385110712371,-0.205188831566945,-0.0203712652922579,-0.0629240570564441,-0.0200527214795262,0.21981076950746,-0.487325417311817,-0.516126439599536,-0.324526220922049,-0.554654702217502,0.177817371755876,0.461787526764276,0.0497549896764376,-0.0302461234869412,-0.132335530786815,0.0623879711277005,0.0896195824356196,-0.192120765883659,0.25356087493445,-0.419094886496939,-0.540623235734734,0.444112229838309,0.278026593624503,0.382159342942632,-0.421922934005094,-0.113199593939053,0.161649330919419,-0.440079931330802,-0.496019332591007,0.264282593509323
moderate,-0.111882165997804,0.0113176501568589,0.04069370960464,0.0813108129644131,0.0596653420882233,-0.134165431833666,-0.115231881067184,-0.127038689404175,0.0737102631244745,-0.0592403914543666,-0.136401035272497,-0.0986635296605215,-0.0927353280948435,-0.141885540552876,-0.0823595362202491,-0.108977770852824,0.0377047376228413,0.0445618083579741,0.0496814376512425,-0.138895978156859,0.122295744382391,0.100581933060395,-0.0943734323444238,0.129246543374731,0.0413644201570001,0.133757160401485,0.0814070504820493,-0.116804744545606,0.0209791884304694,-0.0986387322633391,-0.114613126966063,0.0082538431728493
moderate,0.0584011965063952,-0.0158810179151588,0.0701866726425519,0.0868527693387002,0.0081575037132567,0.0724798462367464,0.0678599192036101,0.0158682755633574,0.0553277412518893,-0.0352825227680219,0.0356534001604543,-0.0954451620234388,-0.045350779611409,-0.0403866591696128,-0.098989484654513,0.051473104876945,-0.0627922109371693,-0.0737875113516159,-0.0728684130116796,-0.0648979970048721,-0.0424294830284144,0.0838893480397503,0.0499720558347361,0.0463139514975762,-0.0605787894742496,-0.0077867762308456,0.0779659533723379,0.038698822240997,-0.0334723592621124,0.0595187757143915,0.012778929846605,0.0717893606791299
moderate,-0.0001697678105222,0.2208054910991,0.0143686494982382,-0.0441220298787514,-0.0160681145850592,-0.0222335703500197,-0.0082271949019466,0.0340022391185065,0.0803567195804576,0.0160486902774242,-0.0150800231679031,0.112514688840487,0.0471495687491727,0.0044416111434687,0.0034745851394976,0.0112260508942549,0.0035471220048081,0.0088926632024765,-0.001182480369555,0.0653994602249484,0.0131247826638597,-0.0183157043669577,-0.0181149105442872,-0.0163910112192771,0.0061820856345339,0.0623283135331621,-0.0114473038327823,-0.0093354106867371,0.0163164639996678,-0.0086726046240994,0.0003065129304769,-0.073612628233069
severe,-0.0666712424185382,0.0343834043324716,-0.0889488604124771,-0.0982269560182237,0.0217333936470584,-0.0621087734854273,-0.0442250836101692,0.0299771697538667,-5.63336443961401e-05,-0.0595989218029817,-0.0299166538359807,0.0186985945334728,0.025307493150066,0.0988331590485951,0.0404889536297895,-0.0688275580759304,0.116888576232371,0.0702989560580569,0.0305960157489257,-0.14362446342927,0.065873334684605,-0.0442133952202189,-0.0593221912733478,-0.0211526001600573,0.0398525544474726,0.0388226095104604,0.0669946440986434,-0.141931789529054,0.049844850510358,-0.0632468875353109,-0.0307165325263861,-0.0086339911510887
severe,-0.246329258866709,0.248042947950646,-0.148859636143588,0.418434443953815,-0.0212639689375668,-0.346414458822092,-0.427806900813278,0.446273086050764,0.35772345208115,-0.0372534331729124,0.063348582897508,0.0116439415800096,-0.108835851842888,-0.0776917541215849,-0.403601889186993,0.41400967164519,-0.0821314280744177,0.408159760272295,-0.412160513068452,-0.527518204968529,-0.0748187848529999,0.397895236802736,-0.018810616422934,-0.117412764105874,-0.402823955624582,0.41398257774663,-0.204692710254208,-0.406404752993054,-0.0792032549875162,-0.405554343251993,-0.2605582970431,0.117110667136927
severe,-0.0824304512563532,0.176362984355297,-0.180231309109265,-0.0683187738730649,0.0030007301381566,-0.424507592333295,-0.0262913434506237,-0.111170419180527,0.159471060589523,0.0693193757626223,-0.0125600453596394,0.169751698276713,0.129901858637923,-0.11563781443161,0.180995652795591,0.0602150099491827,-0.203434804449979,-0.187183896871424,-0.0703834339525923,-0.0580141160043627,-0.404469741809776,0.0794067764671999,-0.0934438837347491,0.0849471926625492,0.138998337227583,-0.220861625392112,-0.131733845615938,-0.173899302454531,0.136270074820011,-0.13032597617119,-0.0163742350776619,-0.123065428171435
severe,-0.0492407803769376,0.0313572572941482,-0.0523710991030062,-0.0782492533233509,0.0228319454934848,-0.0949052094926532,0.0126193048178577,0.0280514181150826,-0.0653014661470166,-0.0403689708103122,-0.062507054051238,-0.108818485358805,0.0986964503249482,0.0307485146274715,0.0218680426166971,-0.0067788554344656,0.0504646089624111,0.0684446428165719,0.058600696527126,0.0599954690901554,0.0243416966444937,-0.0354761994839081,-0.0467108180810716,-0.0419722182592751,0.0440947837590648,0.0268288515129514,-0.0338912912721184,-0.044150482465369,0.0328122764657151,-0.0077475633723563,-0.0517559036535797,-0.0498424083148849
