group,ARNT,ASCL1,ASCL2,CUX1,E2F1,ELF2,ELK1,ETS2,ETV4,FOSL1,FOXO3,GATA2,GRHL2,HEY1,IRF1,MAF,MYB,NFAT5,NRF1,PAX5,RBPJ,RUNX1,SP4,SRF,STAT4,TAL1,TCF7L2,TFAP4,VEZF1,XBP1,YY1,ZNF76
healthy,0.0123193628432195,-0.207932915566083,-0.128410821785105,-0.0257099536966845,0.113514156566853,0.117202165917003,-0.0785885606969936,-0.09595121686737,-0.075652192321943,0.121011982317306,0.0076992647614583,0.125741369728652,-0.0619348889616228,-0.101544808448779,-0.104468177652469,0.162571103477397,0.188081158805608,0.240401282888216,0.108589011263837,-0.146089020803982,0.116002197965211,0.100693603450076,-0.0741231046093408,-0.0944579490936273,-0.0872792289275296,-0.062694714600171,-0.107915172736583,0.0779370614864478,-0.14534460159075,0.137392767744269,0.048856855961754,-0.0535655409890814
healthy,0.19606321633468,0.100411355451349,-0.160144536614614,-0.0327602858263088,-0.047719364344811,0.0219432776858022,0.143021177572366,0.0962008960060425,0.180085580161063,0.136598922307551,0.0261409656787799,-0.119629781985365,-0.0932167706392285,0.0121192842957527,-0.0789642418221647,0.199008615362174,-0.0087682199975015,0.0833194443938693,-0.0065220923168936,-0.194351567067678,-0.0183474958816301,0.0472285560585251,-0.262863817096551,-0.0177563012334877,0.186681829297932,-0.2006130118951,-0.157792666801818,0.162861285447181,0.118915404619596,0.370876521250334,-0.0586620270969437,0.115178038220247
healthy,0.122467450459981,0.0879078407888103,-0.0996920289176034,0.456576717061101,0.112070933082803,0.157577723127825,0.0863329446183267,0.121751588564307,0.163701095650824,-0.138623902782355,0.0463878508396979,0.329847135006874,0.191443497423188,0.260166239407926,0.152687835717372,-0.0015638829105501,-0.0525002101027635,0.112280185021539,-0.0349781135486421,0.0551544057467254,-0.0070374730974755,0.200066879951081,0.106145799238606,0.216696902450593,0.241851188138596,0.299373444771014,0.269681695990428,0.245782921934838,-0.129868361135261,-0.0025881160843611,-0.236487730551005,-0.17549629703955
healthy,0.289065424444387,-0.194232544814713,0.473746947005662,0.280879646103197,-0.493073148157262,0.222252125405157,0.535270636526471,0.586401904214371,-0.327365348545377,0.503288518727309,0.0068773857518805,0.487331164540612,0.459989739016632,0.463412188657448,0.478328351472639,-0.181508406579627,-0.162740972716323,-0.213578237848463,-0.0767192359801477,-0.490077083438475,-0.339453564125324,0.142971331245813,0.333888631771535,0.174529500608215,0.491045992413675,-0.38347922860784,0.240281304232034,0.274972793650029,0.583729892036326,-0.617101618600423,0.553958478537662,0.5248830876641
healthy,-0.556449583380261,-0.553837983318581,-0.115431168202431,-0.300139691612476,0.052566223860551,0.126600422037654,0.313026694297792,0.0179081147086662,0.067186520634423,0.158009576350901,-0.663999315682264,-0.0049900215464252,0.0501722571373439,0.213265126465444,-0.160426860931801,0.453990916674689,0.451534768997633,-0.164717346747419,-0.465463302659928,-0.0908463735741712,0.21447765506551,-0.144298676027078,-0.100958551193952,0.24329852717477,-0.0933336117281526,-0.482873969737798,0.0223773707666016,0.150734404750505,0.0211570695473044,0.026364724432203,-0.183876853152307,-0.0759073994118203
moderate,-0.0381287454506022,0.125277693670631,0.132373551336334,-0.126107006703659,-0.0250438645128844,-0.140812831094563,-0.125865394656438,-0.0967037810941389,-0.211862141572384,0.0472056741285592,-0.106880450968068,0.0965998953025818,-0.0312193797748638,0.0936610948236399,-0.150964970326388,-0.0142361955920869,0.0711264490029884,-0.0585265654591402,0.0061048788347186,0.0963514856075498,0.0102563205732874,0.140724904997868,-0.0527362994981415,-0.139153318378793,0.109303369088082,-0.100271068445759,0.0696917019898618,0.0997231189221543,0.12740269748655,-0.0924044166281895,0.0190536590412501,-0.0087770932994799
moderate,-0.0104088842926089,0.0508030792550035,-0.0800882035791488,0.0255891353018074,-0.0517741450114333,0.0249778854349458,0.10317324941405,0.0081217093900462,-0.0697284604595602,0.0923269182376845,-0.0119073885901357,0.0190060269946358,0.087870748431479,0.0613171799242017,-0.0293113530483953,-0.0476483968348605,-0.0133718256940964,0.0746160475577405,-0.0115731984656395,0.0259604074157606,0.0108617066354085,-0.081634190911956,-0.0138641418630656,-0.0461165790427402,0.0141148221413864,-0.153508884566183,-0.0294242571545062,-0.0711013985082348,0.0595140305019085,-0.0380874238865418,-0.0054635638531195,0.0408042072035448
moderate,0.018095951418218,0.0445283467400952,-0.0453747793277379,0.0897283999730002,0.0104820268803127,-0.0406869541792286,-0.0547349955935602,-0.050213283799261,0.0769250856138664,0.015905591377249,0.0543536096583959,-0.0085546792673877,0.0968437639621156,-0.0202083971624165,0.0172168868789035,0.0402497439044433,0.0017870632936601,-0.0365408084041635,-0.0546249132847462,0.031738385574023,0.0270732429392181,0.032772571313782,0.0204945606372548,0.0268337674087482,0.0584371373640367,-0.0489473992596318,0.0418903630467451,0.0559885420951558,0.1679940690001,0.0199586782124325,0.0610123651841125,-0.0606167349243234
severe,0.153324939693393,-0.0769530633719552,-0.0521213211179213,-0.112739567934378,-0.134985405172122,0.081405262048771,0.123681921019193,0.120463962810154,-0.11162117206675,0.154034668994523,-0.11336995237155,0.0736320200189934,-0.105135378398634,-0.186114043342583,-0.112889330163321,-0.0884227363519397,0.0832912511454951,0.118445757453624,-0.0175452206010147,-0.0719974430279924,-0.0931426432537598,-0.133766156035314,0.0435275595247453,-0.127503755860757,-0.105769587925751,0.0685816651763021,-0.109822150544647,-0.117480008083838,-0.094307029475718,-0.104333235748509,0.0426320146334304,-0.0833466909141239
severe,-0.284641442401811,-0.177121986331729,-0.0652382994256789,0.0854887374258592,-0.0301949161272658,-0.419078402708745,-0.153646358006693,-0.467644797779307,0.509513268415368,0.296643585852335,0.0489329633326974,-0.432567843474464,-0.150228558271206,0.237190011666033,-0.125550477534023,-0.0228340490910302,0.403618784696953,0.458116735772391,0.410304840593827,-0.102387839501263,0.478343097596242,-0.471165345140536,-0.578027284226086,-0.0639846427511977,-0.0744153918199131,0.043646377572578,-0.488304869878155,0.457281190723453,0.0621579052598723,-0.102380718378687,-0.127707160371377,0.127293457059809
