group,ARID3A,ARNTL,ATF1,ATF2,BACH1,BACH2,BHLHE40,CEBPD,CLOCK,EBF1,EGR2,EPAS1,ESRRA,ETV4,ETV5,FOSL1,FOXD2,FOXM1,FOXP3,GATA2,HES1,HINFP,HSF1,IRF1,IRF2,JUN,KLF1,KLF5,MAF,MAFK,MYBL2,NANOG,NFYA,NR3C1,NRF1,PRDM1,RBPJ,RFX2,RFX5,RXRA,TBP,TCF12,TCF7L2,TEAD4,VEZF1,ZNF384,ZNF76
healthy,-0.353440061052316,-0.149266458958162,0.27490026327924,-0.102658355480059,-0.25219062237624,-0.202671527403131,-0.340444054622898,0.0335707149294424,0.261925814046822,0.0999073106878005,-0.0981401017211651,0.239194808421795,-0.153073998878435,-0.0524220025192391,-0.109151498701694,0.111311260376215,0.327516857996406,0.0260055823444487,0.363162260662206,0.283134053921206,-0.225054538276574,0.231750261407525,-0.154092865149184,-0.235887703431899,0.159748549762331,-0.231007308010889,0.0257417953936483,-0.332324979064972,0.30884216619454,0.295358813132925,-0.254721090849186,0.175844461872972,-0.310938507365385,0.0881911665928202,0.204484737888367,0.373977044457589,0.299074350015997,0.299394339658978,-0.0295221963426964,0.164974630235248,-0.130748538021985,0.0521431062830408,-0.138564080547141,-0.0099904134850742,-0.313705335105447,-0.0899044825669535,-0.157602646285882
healthy,-0.156145897757672,0.12606782847603,0.331160099147602,0.16966824369261,0.0959263126032393,-0.220266968649837,0.0459445132471951,-0.123154492562849,-0.158297600509731,-0.0494372275348317,0.300394531922571,-0.0669631492947689,-0.346257921234648,-0.0903336942923862,0.230018833039564,0.201436897412677,-0.170273110330464,0.225068765626966,0.255344985601481,0.19079184753461,0.22114878034322,-0.238818724494726,-0.237057019579399,-0.0459358801257214,0.0772783591190723,-0.106677837646149,-0.387498479548083,-0.0902543517950329,0.0352164209625712,-0.0057543180463918,-0.21257650182088,0.0755587235417201,0.0136552685988975,0.209658506762777,-0.375287682908773,0.300598849130782,0.0859687606685598,-0.134332055298801,0.399259942769738,0.119111039938661,0.258499500781228,0.348603937736702,-0.0092951311536675,0.0244583183033007,0.0568259462132324,-0.114437917581592,-0.259654557620936
healthy,0.653048700105234,-0.687593498973809,-0.206208063394973,-0.549162790244056,0.363075787285353,-0.485475259819687,0.556806606138052,-0.483856826697639,0.0394875811061806,-0.358789126583713,-0.486776567532685,0.457688512771555,0.453292498480587,0.459897455275971,0.585894660899182,0.170733759017114,-0.472134121921725,-0.464446564591998,-0.538927294282996,-0.261016082365944,0.632184035261537,-0.472254410869985,-0.578885095823286,-0.618197711186542,-0.485344035512494,0.450974202386843,0.600241851818957,0.569272915321393,0.118834545522256,0.35310273993868,0.31448998754712,-0.571339698159684,0.458093121052067,-0.504240335748296,0.166764223724524,-0.111901527958889,-0.588967496759286,0.281837005773911,-0.496771485597223,0.155107131102206,0.532562915384133,-0.467661560118228,-0.0274805569980149,0.452778536610747,0.479996644994376,-0.248516967105805,0.389736192363411
healthy,0.227862537965989,-0.24565059979403,0.125415980240667,0.229324302563099,-0.123471034815192,0.0710544704160388,-0.354403767319592,-0.32362197080364,-0.0056482453663132,-0.276656468363609,-0.23656794095123,0.140820730225594,-0.164947994152585,0.0493333329412582,0.119866326577949,0.0509800588335432,-0.112369283067353,0.236411497917425,-0.182397096074051,0.0486928942716214,-0.166984198014446,-0.150852639768302,0.0585300648295412,0.179550158781798,-0.208225677993665,0.0462501014833631,-0.0201102631110758,-0.245609044613176,0.237681782759618,0.236437571756393,-0.0841965000630766,0.0748506584081988,0.234245739668196,0.396689015664975,-0.0929784949502844,0.455585743854995,0.161410100127696,0.131188891149543,0.0162415572542877,0.151102785660895,-0.0551200955770858,-0.389662930870728,-0.21295726495878,-0.0187829417461415,-0.115239034968703,0.105683787794618,-0.0331186643334057
healthy,0.0941161964823946,0.124870793175316,0.175443813190767,0.365249589000482,0.45604075474163,0.417558755603436,-0.195975296718879,0.328325471398396,0.244137863213287,0.480873851466459,0.207485018515499,0.12242158638223,-0.554171790207627,0.114182640745997,0.131613862510709,0.520681212508506,-0.0234147269680733,0.374550374290679,0.0342268898679284,0.215468192556252,0.0142379521484113,-0.602845899892996,0.114058630275461,-0.135264420737112,0.389323121593277,0.206167407266054,-0.353809623093538,-0.120995465971067,0.544219949947115,0.164391380004249,-0.0081226858201062,0.0146719887952872,-0.203586439348024,-0.271792198142809,-0.0569983125200964,-0.237131271628005,-0.0013176112494447,0.473285960800539,0.346756527581805,0.0714997869183966,-0.11168693002646,0.285921641129502,0.137233086956871,0.0509295501182422,0.133419764987889,-0.0752201010344758,0.491282980337072
moderate,-0.011797046287344,-0.0723733660821281,-0.0717579974140267,0.11821876952899,-0.0384373450711258,-0.284627120731265,0.109015521143537,-0.0506761496152292,0.0704950181442889,0.0948216299419587,0.0166368377040336,-0.0752739729714578,-0.0367327534357306,-0.249704875870958,0.226595433537008,0.203017388983537,0.034019762503532,-0.0026951922177585,0.0973309568958099,0.205324656761162,-0.0689510526121606,0.252573386717855,0.175049481171845,-0.0944296205509705,-0.277878636027527,-0.0450284132758404,-0.0394120435233747,0.0540256634253147,0.0146681831740761,-0.0081461214605924,-0.16374977765111,0.0888723366948018,0.0795882646388582,0.0655277179044792,-0.167598530812131,0.0068792031311015,0.113521513718923,0.0102294463966968,0.0781649510480575,-0.195373424695918,-0.1473519095721,0.292292239228668,-0.193120136626021,-0.0931320650900662,0.134775221235839,-0.0334916367144075,-0.303710260433099
moderate,-0.167043097079126,0.195612507722271,0.190898548211338,0.0214349761254041,0.174255887438948,-0.12233328360919,-0.0531928090705399,0.0069278873171597,-0.0978614932287328,-0.124735895885715,-0.0664110793728337,0.304382875409593,-0.169089355391858,0.179226379773858,0.205902941434935,0.149985540621848,-0.138478639966228,0.192834327788876,0.155643673019157,0.155759855819484,0.164824816170562,-0.199781729013067,-0.131400495564925,-0.176366541644884,-0.135106036403254,0.119816139709087,-0.148242048082061,-0.133299498933057,-0.1575399744617,-0.135476650529878,-0.226208362557162,0.128180400690752,-0.0701724600066688,0.133708240231881,-0.0974315868461283,-0.0915034119968966,0.060158973666877,-0.0263635886136849,-0.230088477809936,-0.1977850060028,0.133040114076513,0.149941259063584,-0.194582023324024,0.20125848145443,0.294526100753963,0.128791185980842,0.152216430516495
moderate,-0.21109893093629,0.241433152763666,-0.271669698934447,0.235759613213958,0.333957318652577,-0.192979925501165,-0.279379234904267,0.262255824754458,-0.134828983702762,0.243101899120085,0.213290616046061,0.200189938771178,-0.159471758244295,-0.235451106366249,-0.218710065630237,0.248541875971625,0.246062968846287,0.244217353931861,0.222341342877643,0.273133966691164,0.197368279219142,-0.200468745428581,0.18003244060308,-0.203062998637199,-0.312515547381399,0.218002906289594,-0.234050569887593,-0.234920144728054,-0.227631029829495,-0.182962418227782,-0.224966706442334,0.234566713376138,-0.216945519274601,0.213257885596633,0.188646864884871,0.219468082211319,-0.216390539181952,0.207507051621108,0.186167332540408,0.197717365982679,0.2077785245038,0.230767526002435,-0.201587257881338,-0.222769020141682,-0.139905571332802,0.222135262439159,0.176285032325753
severe,-0.160775815096676,0.16609452848355,-0.135142651711968,0.189058824152788,-0.0990374921528475,0.0816814684161973,-0.232557873551008,-0.0881443642844209,-0.204782636890515,0.202054131938957,0.107239808552768,-0.189054926249288,-0.182392879822879,-0.180982828699627,-0.128478494780489,0.15329149664622,0.162372126885587,0.140385256298757,0.175638115540201,0.159250882376619,0.24179226130304,-0.177017588401075,-0.126175136294804,-0.134244490875335,-0.0429049250345866,0.219517777684941,-0.169092758732855,-0.171142677870338,-0.0699113535079282,-0.0652416719895448,-0.184245758907246,0.175258740223363,-0.180528375774106,0.168777489148182,-0.0124817194710405,0.127131593818702,-0.121196461710081,0.168660710159197,0.256088210804696,-0.13816640738578,0.139120726906171,0.154043530786563,-0.115301284830987,0.293007214116802,-0.140575318623385,0.161970333467667,-0.148326179427459
severe,0.25727024368207,-0.0849956688742972,0.501216294139786,-0.0776341275365239,0.175746206927741,-0.089295042220292,-0.178327051192674,0.257335663033677,0.501457972884322,0.0830032598134522,0.131895581649859,-0.346827980189901,-0.317809921787404,0.264625683733165,0.411036226390765,0.36665512813224,-0.258137982231877,0.192579995833618,0.220473383725077,-0.471487096878893,0.252570897098274,-0.125718028888052,-0.477761931267182,-0.240305955033351,0.249214511504452,-0.259375865506835,-0.0642011280330728,-0.248299996423444,-0.20373958812865,-0.472261621326669,-0.450292921760238,-0.222363087793503,-0.564644931487308,0.196458719359179,0.439984119996461,0.36832654172173,0.44436145422779,0.285346331213507,0.214330065960743,0.469728231513679,0.19660887880354,0.254187738068031,-0.482143671983334,0.207766776296717,0.238265752560193,-0.499795711224849,-0.122297918744479
severe,0.0831842881614699,-0.0960703966434056,-0.344343160346527,-0.0122860949039461,-0.0165806265573011,0.118274489774552,0.229261202422307,0.0971375662147911,0.0924972457669394,-0.181219181684098,-0.0528040674595128,0.0440893280592682,0.0909596885311814,-0.12293132765184,-0.0936060679864679,-0.224534704081746,0.0751388637279354,0.0098713185353162,-0.297524506610239,0.0348481853643899,-0.137175097018503,0.114386430515144,-0.0250932069842314,0.0236120244532875,0.0492488703106944,-0.038340185391888,0.0293126920560186,0.084688810538356,0.167883511861862,-0.0824927105724765,0.158170545204399,-0.011705471351816,0.0948437979705076,-0.132729394978353,0.468624967392035,-0.0491971635750688,-0.0845940148563756,-0.206589594223212,-0.136974733417953,0.141494763890565,-0.0388515075552975,0.0687469776107638,0.0792028695182926,-0.0602286519909862,-0.0076895815515549,-0.0726978749169399,0.0130268657066945
severe,-0.312299511609671,0.32606502215546,-0.31913395854331,0.361959908302056,-0.270980175503494,-0.321575793459646,-0.31579750764807,0.118687662294438,-0.368770593836145,0.34569861765494,0.312910152441247,0.293158040355836,-0.342226406377102,-0.317218240337611,-0.34193355700642,0.0784872781535716,0.316259800411131,0.319490827056396,0.327126277386422,0.258855410782364,-0.246409360136853,-0.298325094990506,-0.342856304844657,-0.217166294739421,-0.296291336283821,0.306279964991933,-0.347464178669337,-0.318802684356806,-0.233864226692821,0.191242441201411,-0.348244543783407,0.320476484759119,-0.32011327003373,-0.0108294994577,0.2497775706587,0.340881494975724,-0.285476281243319,0.303773149241606,0.329289017026105,0.316421897812825,0.305150820047973,0.325346624257686,-0.315768256989118,0.332634475448483,-0.125352037403572,0.312228484496893,0.17867252753605
