group,ARNT,ASCL2,ATF3,CDX2,E2F6,ELK4,ETV7,FOSL2,FOXO3,GATA1,GMEB2,HINFP,HOXA6,HSF1,KLF9,MECOM,MEF2C,MEIS1,MYB,MYBL2,NFAT5,NFYA,NFYB,NRF1,RARA,RBPJ,REST,RFX5,RUNX1,SPDEF,TAL1,TBP,TCF4,TCF7L2,TFAP4,VDR
healthy,0.0063236971022435,-0.109610102889701,0.13375243774597,0.204863877334767,0.0924116960954208,0.0777344815769623,0.0104064314361343,0.0365574335479853,0.0003365082866701,-0.0061916360358772,0.0903527660680696,0.155042699917667,-0.104652815733504,0.228761787631024,0.152748369341451,0.0398449875447187,0.105312635903446,0.0558334976185579,0.0564454808261786,-0.103924975866632,-0.0094252400304801,-0.0164302984905662,-0.176674710124442,0.137337978175334,0.0323683517278804,0.0433353392113312,-0.0747099823568041,-0.0560599711886525,0.157718173674402,0.0847059668342837,-0.0929577943184253,-0.143827212514331,-0.0996835935948213,-0.0482170381451188,0.0963002686410685,0.186859616641757
healthy,0.160807523515509,0.0791846777561277,-0.139173975177336,0.177701864562156,-0.0111617494469985,0.0731557380824607,0.0605418413923141,0.0491612695277919,-0.0517235063684096,-0.0296409205359911,-0.0316760384863961,0.127358120370527,0.0759422158004647,-0.0586781690693532,-0.0576771433434747,-0.104566688840199,-0.0027135369121627,0.116090641488775,0.20927856461774,-0.0110121165938728,-0.0787189680776898,0.166946499604845,-0.0027678604456559,-0.0965780728495976,-0.109479703651929,-0.087310422461711,0.084979373241893,0.0556070138062659,-0.0549818068990552,0.117745911509333,-0.0232915970560957,-0.0243318024148261,-0.0847162306013914,0.0949512844770354,-0.0995712856515859,0.136741225633945
healthy,0.0151182345932989,0.036910889792232,-0.276618898288205,0.151988651777965,0.128191430658883,-0.147901129091629,-0.114999371139694,0.0327897710290216,-0.0289822156499686,-0.087226614257189,0.0751320265825499,-0.0969694765506483,-0.0852220483370405,-0.0452539155492747,0.0404272791717104,-0.102266458004449,0.0695774752060489,-0.0787492041926503,0.0380979511751132,0.237199501422714,-0.0258017870392301,0.0467321429317306,-0.0298557136486925,0.205831964314692,0.0238756119651209,0.0540224916133881,-0.0675729092859004,-0.137878299490886,-0.087226614257189,0.0690287392837736,-0.143511241713426,-0.0723099561251341,-0.152940540622728,-0.0994555862393241,-0.0794435231147129,0.0157229639770309
healthy,0.113487770052161,0.368613943954992,-0.0028937509227956,-0.4421595204644,0.0631905603537998,0.475162001711297,0.114491201534673,-0.311591924914195,-0.253584658486945,0.0490937531592039,0.418313558132878,-0.118033794066836,-0.233257318742782,0.196872595628967,-0.162487296531788,0.0454974348886857,0.018680025951209,0.40726754632704,0.089014456406615,-0.272645723905566,0.196884167326459,-0.131464402105827,0.147582950162222,-0.410353883358093,-0.119734007048324,0.0910039618254008,-0.274813764085655,-0.074427505168255,0.230359435070882,-0.400376600470614,0.121015159270642,-0.410394384299315,0.415454522302558,-0.186821749807432,-0.201135939604911,0.258376167798412
healthy,-0.366751914747213,-0.428460313705569,-0.0774436033828613,-0.228625602840944,-0.447455464473706,-0.168523323788475,0.292782937101345,-0.046855765373224,-0.408248646375053,-0.314362191678459,0.222980329904411,-0.25230394481981,0.40040887297305,-0.0934889002644438,0.0799243430394786,0.176569825495195,0.507533890260247,0.0177388787625425,0.148351411901173,0.0871200782613974,-0.291168866106815,0.0295621475746898,-0.202498325560032,-0.456138053271867,0.195572927351975,0.0237101463334386,-0.158520854275575,0.4138780171343,-0.408248646375053,-0.319625812360127,0.0207364391809551,0.0156715957153614,0.201774776493519,0.281587804291995,0.067608106731465,0.100024695128993
moderate,0.0533194945961272,0.0619526965650501,-0.0117764013812199,-0.0364200293683281,0.0177147836652212,0.100496398855509,0.0171442424118525,-0.0362121882590484,-0.0492690906915408,0.116205886690702,-0.0864829429127916,0.0149675874152517,-0.073752410059037,0.0713907719338566,-0.0348267827003245,-0.0154047652183105,-0.160338138196301,0.0217780546450362,0.0666276834389651,-0.0640843924870289,-0.114720269322551,0.0774632745549458,0.0498307006809273,-0.0524183451980631,0.078012774355882,0.0130687098662315,0.0320649028468589,0.062873979151413,-0.0404928371215478,0.0633041935961129,-0.114944459186239,-0.0566301173637508,0.0263734170298899,-0.0356427066471691,0.0223375453514439,0.0678034313601417
moderate,-0.103225488497885,0.0458784594595571,-0.0857689006030162,0.0809214055852026,-0.0914507662292693,-0.0479173093910185,-0.108654782026446,0.11033281467549,-0.0811663896799597,-0.0728279487404589,0.0878077505344775,-0.0777573632185295,0.0549774041217836,-0.133057180036447,-0.0364200912297382,-0.0692196210590841,0.137268521665347,-0.0375205065125093,-0.112936738539801,0.0233873090459477,0.129496083801912,0.0131071136411125,0.0669196818837793,-0.0382368759324501,-0.0699754790657272,0.0049877956435088,0.0103066759865062,-0.158821856859077,-0.029883568701485,-0.0506098115753051,-0.0407300768967922,0.0880118523277075,-0.0382263456426628,-0.0855548879488099,-0.0431556052635306,-0.0829464732256188
moderate,0.0276732989813192,-0.0279289645897644,-0.003295820840664,0.0291121228279877,0.0205136606917035,0.0138470449899526,0.0182973060983119,0.0946547584596312,0.0471614780425849,0.0094250727436286,-0.0275683565774484,0.0451093335798368,-0.0295653629059081,-0.0565652060992497,0.0409527580151978,0.0354150621609957,-0.0240806135028324,0.0238248417707815,-0.0029650981585394,0.0199991596088502,0.0056295204575889,0.018487230440034,0.0280420738972075,-0.0462426552499891,0.0133901274983897,0.010035085071651,0.0195624240586578,-0.0338287080460646,0.0216807065981331,0.0286644703886131,-0.0306172508578967,-0.0297783252982162,0.0099808420669066,0.033362008726494,0.0355975809206648,0.029712113396372
severe,0.0257754901675885,-0.170089674790877,-0.115043796247617,-0.065615103539639,-0.180082870512208,0.0587530221689266,0.0248391537378451,0.0594123257618105,0.0498960004215654,0.0454172508458872,-0.0791149113897616,0.0324561237392636,-0.0359531315633985,0.0575502426197418,-0.141178393031818,-0.0216190052624076,-0.0309048966861486,0.0570298405890077,-0.0731500691565689,0.0187806001389814,-0.0231658395952567,-0.0031224121844044,-0.0913636544654077,-0.170371606933436,-0.0261825489122218,0.0643810683631598,0.0568171094045702,0.0554859069782298,0.0179725477958637,0.0479026908336407,-0.0937599076587593,-0.0461265329085254,-0.0226989066160995,0.0415095132676076,0.0221738828607256,0.0506107161334423
severe,-0.533384725105367,-0.094759461895146,-0.436963798707554,-0.0142195690146025,0.0906117746735726,-0.18041244606826,-0.146398679863886,0.542965029153617,-0.0886492188022289,-0.196290748598058,0.0442785239875414,-0.416243114018249,0.197831366905133,-0.49478528956376,-0.4793729617712,-0.46604710840648,0.198177519567081,-0.193430380595624,0.448764395569723,-0.504123218473959,0.528203700499456,-0.536763297980422,-0.428649990098978,0.4446061257717,-0.405643127523016,0.561389977500118,-0.420536567696086,0.244272150222834,-0.433266383045261,-0.185494472378347,0.0031409769650779,0.100360375824723,-0.0329814529403373,-0.444557992117523,0.450532027210325,-0.0891059764567528
