group,ARNT,ASCL1,ATF1,ATF3,BHLHE40,CDX2,CEBPA,E2F4,EGR1,EHF,ELF2,ESR1,ETS2,ETV4,ETV5,ETV6,FOSL1,FOSL2,GATA2,HSF1,IRF4,JUNB,JUND,KLF9,MAFK,MBD2,MECOM,MYBL2,NFAT5,NFYA,NRF1,PAX5,RARA,RBPJ,REST,RUNX1,RXRA,SIX5,SP4,SPDEF,SPIB,TAL1,TCF7L2,TFAP2A,TFAP4,TFDP1,TP63,ZNF384
healthy,0.0606365233740275,-0.140688564374966,0.133459905983892,0.0548039454255911,-0.0144681815955106,0.14979587398978,-0.0703261100660188,0.0773514137645187,0.0517695857362518,0.077130559992016,-0.014640768675024,-0.0960372582179323,0.0629662085754817,-0.0702356340538616,-0.0421117281452295,0.132740713028593,0.0608368974540866,0.0863569018098593,-0.001011292981795,0.0224082448898271,0.129218590523448,0.0052678960999782,0.134377646192223,0.0159382966070762,0.153471161518694,0.0102999392160867,0.0168689207533773,-0.121538225113124,0.0984274210088093,-0.00796996556826,-0.0300598618116977,-0.177711425468715,0.075783996176648,-0.0024106424833206,-0.10171195985185,-0.0239456640549634,0.107074850957154,0.0297766074739559,0.0437887553546296,0.022431705194786,-0.11714710983659,-0.0470789669763284,-0.0610380407244721,0.0123367552007175,0.0810904479417432,-0.0378158963203937,0.074252153641379,0.021620209400305
healthy,0.0714504438387698,0.0040917442700407,0.114929022994618,0.0331100785622438,0.0409428657966278,0.0557003547528372,-0.174688690392048,-0.0636481643198501,-0.0882824574465505,0.214090366869162,-0.037164306587592,-0.294796466797799,0.101789817179433,0.0365590994754086,0.0866357279221878,0.041880222225375,0.0913487576949945,-0.0860030363816583,0.0144110477369056,-0.189348059939061,-0.212580509797964,0.122929052975489,0.203488935745324,-0.0003930273253506,-0.119380401009569,0.184142921476716,0.210057714120066,-0.135675918576032,0.166931897602041,-0.128080184536134,-0.107544644208702,-0.120629156011479,0.0096490956816427,0.0576804703930393,0.124904908529297,-0.144552289554721,0.0844860333590897,0.208204988805248,-0.109919573662098,-0.0915672589003468,0.0037627556627367,-0.119300696167365,0.0944845935471544,0.0026440020069045,-0.0491989132275433,-0.0650757055281518,-0.0478836459090358,0.007496102987143
healthy,0.032372543389305,0.122945265872328,0.0080408865842956,-0.0526892568245909,0.101143573382487,0.0499502954573001,-0.110878436073461,0.0705970042380427,0.0338465225990117,-0.0174457539298124,-0.0149377893043412,-0.0538222408439923,0.0977446213242829,-0.109646453450422,0.0554612177264274,2.19996896971152e-05,-0.017379754860721,0.0127928195588725,-0.0273676139832113,0.101154573227336,-0.0619951255664707,0.0214606972995359,-0.0040699425939663,0.144977955103989,0.0756019336441364,-0.0432403900996799,0.0572101930573481,-0.0972056289267035,-0.0389174510741968,0.0139038038885768,0.0604661471325212,0.0727859733629057,0.0269056204995719,0.0062809114085263,-0.0451433632584804,-0.0226706802328772,-0.148266908713708,0.169100614856876,0.000769989139399,-0.0075788931006561,-0.106984490997071,0.0455063581384828,0.0600151534937303,0.0816518483108431,-0.123286261062634,0.0415464139930021,-0.0803978659981075,0.106500497823735
healthy,0.113458342657887,0.142052816114805,0.0464519301244804,0.0943018375123736,-0.115976161337061,-0.122606011746379,-0.13457396211222,-0.0774742132836363,0.0840237854162264,0.10787129895434,-0.170074800042738,-0.0274024626812702,0.0117149521603974,0.212766625427981,0.0660073939785777,-0.140006125504101,0.0314650300186822,-0.213549946794836,0.0253403651285679,-0.0286666428168042,-0.112748812434287,0.094674036795382,-0.103064333050911,-0.0972396980839192,0.0859050541233713,0.153915350561711,0.0517908409726881,-0.0494376333053887,0.142710449270621,0.0503247488078097,-0.0982030374046469,-0.152797130929318,-0.09045577825462,0.121722950702378,-0.175536155535247,0.120921789718474,-0.0863210415573219,-0.18178083239461,-0.0410959905509063,-0.144599016002923,0.106744970405106,0.080206918259101,-0.0835064365217616,-0.134708570131783,-0.121598073383025,0.0905449763398726,-0.110344518590888,0.0184007540959188
healthy,-0.369712204868896,0.347681440833411,0.199396561137154,-0.200562577740504,0.0492661319826133,-0.36097866329016,0.170516414802518,-0.307828383284466,0.155929624314249,0.31665458843433,-0.337550223723507,-0.311720253271808,0.358862845082757,-0.0584243815956821,0.0060385760517874,0.122462631208819,-0.203466036302489,-0.105976237512443,0.29985931616753,-0.148686421837809,-0.323102428591929,-0.272793831434135,0.322044519488227,-0.202747893626253,0.0962002307585261,-0.142786841142712,-0.0056370339102363,-0.0464785028845375,0.31691713521919,-0.118408599972005,-0.293226148867676,-0.377287451808543,0.0377295173772803,0.0692969072746037,0.0103319881806797,0.012208425496005,-0.276708867314258,0.370553898973301,0.212446680737564,-0.0169188236949695,0.023590600816126,0.0711501786971472,0.131798485999881,-0.120555306036451,-0.101389390741648,-0.376878187702731,-0.193118604193288,-0.195141758829564
moderate,0.03571106130704,0.167206166798169,-0.16749435447079,0.0833072389183596,0.199101950010182,0.140273453676897,0.113755958320783,-0.115763500483552,-0.126829994618589,-0.121285590487834,-0.218578390478233,0.0764664277927002,-0.126571704958563,-0.109986037698522,0.120028123831285,0.152020018215493,0.167326050536476,-0.0196087209432876,0.214262284211251,0.169567088885413,-0.172730590305873,0.0459774554562467,-0.0804997426137237,-0.218704253819059,-0.137470478535141,-0.0561850744880109,-0.0613549513195294,-0.153089783690532,-0.20804130993207,0.200918436580272,-0.139816816225997,0.0960294995752942,0.121596675662784,0.192594538185945,0.0777685227021957,0.0699426814445098,-0.235672323952386,0.204884663177912,-0.190658022033584,0.153583319664293,-0.0155700098956006,-0.211382449300532,0.0575246512962229,-0.0175291318623628,0.151653074802378,0.187239001988411,-0.19997497197795,-0.200634624226567
moderate,-0.101396661771326,-0.0914765209945714,0.102363191872121,-0.135108301176687,-0.116916373675509,0.117247005012784,0.150557924640331,0.106179785111748,0.127691833558542,0.0543401532708844,0.129014358907641,-0.130736853622985,0.100385707305651,0.146022587199973,0.138310307341352,-0.0396855158233751,0.148598149786888,0.175930990691633,0.0899386275251864,-0.134207957376273,-0.100973279564131,0.138439828378151,0.0638880899094453,-0.163022110718105,0.0260970631330153,0.0759147860425279,-0.0779535041930232,-0.119005819648065,0.177962955138008,-0.0324596527437411,-0.0966677181461823,-0.135741798623185,-0.0673796048574079,-0.0263073284546322,-0.109872110195559,-0.131262892132812,-0.11076284872789,-0.13693735433482,-0.125987198638538,-0.133274895631453,0.102894633345244,-0.0544498634422634,-0.151864241099541,0.0493779817301139,-0.123601940425507,-0.11263812723867,0.149553723878775,0.111160416777114
moderate,0.0637011822401426,-0.0239228972597683,-0.0729503937750639,-0.0080567687018273,-0.0273689584908734,0.0289838894684821,-0.0925283805043265,0.0504657147107703,0.0358337695041644,0.0343906554214933,0.0295478883730243,-0.021806254195994,0.0291882437088042,0.0336755866854637,0.0368497048812417,0.004778942565614,0.0612173385110324,0.0269230905458046,0.0096548218725958,0.0102804779287552,-0.141445379628909,0.0618368758488968,0.0339153300227992,0.0195384044166542,-0.0069456578251882,0.0316511259227417,0.0630815992742521,-0.0194393916001005,-0.0021087402896603,-0.0250667325566988,0.0037537492620489,-0.0357498686898424,0.0375080169156532,-0.0342774431632293,-0.0020138796234783,-0.041326275080948,0.0186526731747464,-0.0118560319198727,0.0147898957444233,-0.0121002194269466,0.0187669348776099,0.0025764275567918,-0.0306953647864345,-0.0154208720284214,0.0111942977835065,-0.0131175099563978,0.013449732176955,0.0369101255133524
severe,0.0297879814488723,0.0589591446265896,-0.0175389512450393,-0.0692742314694338,-0.0331255965855394,-0.0517035811807676,-0.0643890269220708,-0.105500197483336,-0.0151927968942772,-0.0057486075052825,-0.0554424775482762,0.0376546377275131,-0.0217535732553854,0.025212691107404,0.0649185236875825,0.0450569438150527,0.016916119549428,0.0258998397031279,-0.0563601453193612,0.0281652756585673,-0.060150604915958,0.139408595197282,0.0021519077128844,-0.0832408588900814,0.109199893454475,0.0002101407289714,-0.0168362856829023,0.0115191568101772,-0.0201193343066593,0.0044716153383016,-0.119944614447347,0.0670816285750814,-0.0171573902065991,0.0474522820810075,0.0418208917833396,0.0108172592110266,0.0313349948873284,0.0437462298447931,-0.0964598263457626,0.0302111839088887,0.0789137920135361,-0.0732416036822147,0.0349938653975646,0.208588394646636,0.0217229370176772,0.0341341034070181,-0.0243619938228222,-0.0204562369260767
severe,-0.347387203635526,-0.208541847757367,0.370106644214799,-0.433542353242672,-0.113110912049722,-0.024880469658729,0.322364404948513,0.15751282457362,0.068075635349956,0.110457831186766,-0.330452421420113,0.198161317294466,-0.304079530236227,0.316429623347677,0.348277098940945,0.136606723590423,0.310210522568912,0.393516380581252,-0.333140745661501,-0.353026144184713,0.241568959892204,-0.334499310124342,-0.147054352023801,-0.357522047085317,-0.314889419934453,-0.35062925557267,-0.415321187714475,-0.349823741048306,0.437753936965345,-0.391387544972479,0.376044475723383,-0.171342461821955,-0.32089841595718,0.386645955058764,-0.395890225445858,-0.374391086844808,0.365948603317051,0.173453675741512,-0.369069675580153,-0.148313286166844,0.335119119154659,0.167814396313687,-0.439849901346158,-0.339560123715782,0.409284064764731,0.0606833367237572,0.162061253663234,-0.338469273377571
