group,ARNT,ARNTL,ASCL1,ATF3,BATF,CTCFL,E2F2,EBF1,ELF2,ETS2,ETV4,ETV5,ETV7,FOSL2,GATA2,HINFP,HSF1,HSF2,IKZF1,JUNB,KLF1,KLF9,MAFK,MBD2,MECOM,MNT,MXI1,MYB,MYBL2,NFAT5,NFYA,NFYB,NR3C1,NRF1,RARA,RBPJ,REST,RUNX1,RXRA,SP4,SPDEF,TBP,TCF7L2,TFAP2A,TFAP4,USF1,XBP1,ZEB1,ZNF250
healthy,-0.0375472399344091,0.227131027306044,-0.219825043444184,0.0302688320083641,-0.283817991502373,-0.011797486722206,-0.059897246654205,0.107964416843878,-0.0738350502408028,0.0786088689755044,-0.140255259166827,-0.0631663449192382,-0.0749572751252364,0.111472924369848,-0.0661727004391831,0.034344574605657,0.0616546822559381,0.0369115471203297,-0.0406800976494204,0.0835877716804087,-0.0748757043500641,-0.0420389356334673,0.115393335384632,0.0785255626519241,-0.0138831338117483,-0.009681467535525,-0.0459720740032426,-0.0059553415230724,-0.103175460270285,0.113050441453293,0.024595420682223,0.050059194084543,0.106910071186065,-0.0920506913948605,0.0667208444780185,-0.0593815959383402,-0.0739732191779446,-0.0130813104472883,0.14775716716007,0.0615392682868113,0.033564927693076,0.0684922608863709,-0.041489538143004,-0.0488820101671919,0.0894654956219046,-0.030026915844171,-0.0422833587009164,-0.0163520478413734,0.0518526905254184
healthy,0.235213448289638,0.0989137025715321,0.0528778103693164,-0.0254956698445537,0.0050542422774629,-0.0567958436606568,0.0470830894244484,-0.143712937527756,-0.0439558278250018,0.0306668950748687,0.18000893103945,0.088608455170113,0.0117913029332322,-0.0039388394466768,-0.0344673942569243,0.0662119379469354,-0.199435128457408,0.201547022118613,0.195545755300571,-0.0352886173417279,0.0827310607603319,-0.0192678777326492,-0.0643707998833204,0.186929802365543,0.0491105183623342,-0.218987816276683,0.153829276061848,0.122633408600644,-0.15819829310429,0.0799078997226574,0.0357371208888815,-0.109768866303731,0.14846969312064,-0.170740271098933,-0.108674958573823,-0.10678421643126,0.228278660263618,-0.171948130421314,-0.095682272406295,-0.256958085241975,0.0251356269048571,0.0903124930710804,0.0692016860164098,-0.0465509478886243,-0.218254640432012,0.0826762206952729,0.181968981103432,-0.0122482116159853,-0.0477962858484321
healthy,-0.267282226091055,-0.396831658093085,-0.360291215922916,-0.0994730643862538,-0.358047210766728,-0.155941612047945,0.417920840879352,-0.179732532385443,0.0348769756613532,-0.0124704167137425,0.27577818591125,0.0747108582348833,0.0232662027139117,0.11134061404311,0.0495132480979838,-0.160362637131779,0.0532309282821165,-0.377685046934564,0.270810114794316,-0.0693632041562059,0.383055029422756,0.158062810951805,0.287188003173063,-0.305910374550812,-0.235508899352191,0.407359503179083,0.359822319323115,0.151274974459454,0.169160030480417,-0.189880794509697,0.0314495648009065,-0.0195038657107503,0.0160876190550608,0.159569978594021,0.231679577120487,-0.133412246848006,-0.0111976973714268,0.137710465679511,-0.120941830134263,-0.137051777598838,0.298285222701675,-0.0736390945781964,-0.0113651604427841,-0.296677577216645,0.0060844915926496,0.451491604584118,-0.383814195346242,-0.0514558197257288,-0.212856727899923
healthy,0.097038908764776,-0.161816964121301,0.104752965307251,0.0100211934026841,0.0235946451456894,-0.106171427228713,0.0854714860730632,-0.0209595449152289,-0.0482032911830261,0.097146331010119,0.0624644080572047,0.0889602676320454,0.0879405701061754,-0.203944388003333,0.0108870818045402,-0.0926972596821611,0.0307203207534449,-0.0370582332286848,0.0550229761525317,-0.0009716830374212,0.16526912446028,-0.14192594502528,0.192433117848959,0.0796373188240911,0.0610841949655243,0.0715196150566903,0.197129585863161,0.0334807469368057,-0.156202524192349,0.113368717666697,-0.0120093187464194,0.0407537212294635,0.100967958768687,-0.203529347509962,-0.119639084336153,0.0983442518066718,-0.129530068956603,0.123852152246312,-0.0597178165569563,-0.0398536530222709,-0.200616739812366,-0.226639778746719,-0.0822797432985523,-0.115279531545981,-0.103983919687182,-0.0337232607937165,-0.186501294013311,-0.0859931350068882,-0.0194092466017553
healthy,-0.214196301593265,0.236996714157996,0.0704704665383472,0.123889242751928,0.0489380400698468,-0.408314860153583,0.160240770529133,0.377610926890876,-0.138163810154276,-0.0074367773496699,0.0120419783862856,0.138552762944531,-0.0833836991748034,-0.331341102962177,-0.0079112997537806,-0.0940332265719772,0.213784011635595,-0.0403655205726331,-0.362838499917003,-0.167358606590794,0.0761647353876761,0.201928730588632,0.146067330852251,-0.137728183029191,0.353962597243391,0.114274329776832,0.139602935478218,0.0558691787921856,-0.206922884415502,-0.0060987797511937,0.296078642997685,0.268704145619559,-0.258988104918997,0.0406533456374216,0.140878700630254,0.086495321496841,0.131193776152912,0.0757291082625908,0.0204200214883719,-0.0299026905147816,0.153908619103786,-0.417074076990119,0.40145373293349,-0.193745163881673,0.262760946984468,-0.32914740922514,-0.0713806160675432,0.0724230095454258,-0.23605544840558
moderate,0.0453196347064061,-0.094192252269892,0.0598895729248898,0.0389585833743172,0.0355606964428158,-0.0011846302452228,0.0766959187336653,0.0779675540103102,-0.135047847955406,-0.100420299388729,-0.0061023059342946,0.133372811959159,-0.0561650010145359,0.104162423618465,0.031526991872992,0.131821701390277,0.0516113846395536,-0.0796737605047709,-0.0800488656750235,0.0930337991906448,0.113287662627107,-0.124969790367869,-0.0855867737533108,-0.0621886241378054,2.67824183681755e-05,0.0783638430143003,0.0885703654221452,0.0210711054794366,-0.0346469166432372,-0.105804019420026,0.137237953737671,0.0577183812798901,-0.0631387190809341,0.0291787639031857,0.0872733095450152,-0.0028306141266297,0.113923631578527,-0.0172648244960951,-0.089956696027169,-0.154123587609864,0.0997505876164262,-0.0868049955063175,-0.0316315492237965,-0.0193411428285702,0.127389589433089,-0.152375164761027,-0.0256189719566902,-0.131657526678811,-0.0516865872493219
moderate,0.0208763596651074,0.041392438018997,0.037223076832223,-0.0167300016402758,-0.0035891026183052,0.0187093399390721,-0.007434743810856,-0.0399918349004614,0.0164906773527819,-0.0001205000072614,-0.0258997322813474,0.0882532303498227,-0.0182031180375174,0.0163269131204102,-0.070179295632353,-0.0316651472937575,-0.0356227575196043,0.0385622874059718,-0.0494552747880565,0.0460270419645276,0.0444376910470073,-0.0481352589057299,-0.0456021689932859,-0.0058251318301678,-0.0011667630285908,-0.0360416892768343,-0.0051775395029006,0.0171359845977369,-0.0928594992746825,0.0258959238108272,0.0194791080006297,0.0026010330265256,0.0006212377112669,0.0133607239404008,0.0890982537888609,-0.0782276602134354,-0.0215621890363982,-0.0422269500793992,-0.0101532300682269,-0.0035021171516222,-0.0164288277915327,0.013782702474047,-0.0303675252180901,-0.103725218007842,-0.0322950683178106,0.0749031701268787,-0.0109566650091837,-0.007060142650482,0.0044837885129277
moderate,-0.0365444054489825,-0.0196787814399462,0.0488829260150006,0.0344314745076044,0.0664347871786979,-0.0167364762892599,0.0309404826217103,0.0345552767091781,-0.076556437182592,-0.059239332980847,0.0104679849909006,0.0757268264056697,0.0147539668932724,0.0900021669725183,0.0583247716835857,0.0373059393455774,-0.0841273878752613,0.0408907803336015,0.171782458363484,-0.0172809866962037,0.0086618003561888,0.0318759801528174,0.0212325484304395,-0.0387655433269142,0.0679814889864092,-0.092126239338644,-0.115311799003347,0.0182710540067498,0.010686919218973,0.0645318782354696,0.0384719947634869,0.0466353881012135,-0.0322380423367827,-0.0927619465608139,0.0147604224595103,0.0417998232363268,-0.007851947524419,0.0490698917695325,-0.0600916678968522,-0.0311317020439184,0.0204221951671784,-0.0612398033179955,0.0646190306543704,0.0483270740107128,0.0364776387892869,0.0102212677163058,0.0463902904048997,-0.0456735906205494,-0.0437239186291464
severe,0.0228853624278867,-0.0501846009998081,0.0845328063871099,-0.092132521942924,0.0583802727095602,0.0466411560740742,0.050369166231988,-0.0089372323991819,-0.050340049475532,-0.0536688854358267,0.0451498925183676,0.0672111103084825,0.0417836523522859,0.0093789783523795,-0.0805822664545049,0.034523016609835,0.0363663860783124,-0.0576456920171044,0.0223655152201422,0.0663698304353242,0.0603572790279345,-0.0549946697966692,0.156073036721761,-0.0419470769791606,-0.050437181425496,0.0413708156234242,-0.012384223313211,-0.057114160750996,0.045099870359676,-0.0534922340951616,0.0333048169000743,-0.0531766745887479,-0.0516716654889505,-0.0462629564560642,-0.0317035405674803,0.0567970724246305,0.0685512489743015,0.039164617749302,0.0306175664891996,-0.130808802778056,0.05765570890077,-0.0534397284687656,0.0389282663354092,0.248192719344186,0.0402917938711682,0.0417835831749125,0.0637144846290527,-0.129229033690846,-0.0553629770502858
severe,-0.399232133862149,-0.222401537193121,-0.203269918862531,-0.424107485764199,-0.118257836194818,-0.153741814046023,-0.0700530908556941,-0.0709516431048474,-0.439029774231698,-0.397169949653426,0.519008740859336,0.396943612362225,-0.0894667811858298,0.457567342134331,-0.40963107496345,-0.396247948045275,-0.506007600600786,-0.0505979393400832,-0.0397272922925549,-0.355142920950122,0.0517738057478253,-0.447623454535911,-0.372481512931798,-0.388782555739242,-0.475497265777704,0.0764952075103646,-0.020821671407383,0.406281215084515,-0.415133518029274,0.524579153081678,-0.510847344390571,-0.354605284922074,0.385632525180467,0.422259404398505,-0.376617096260068,0.554571902777884,-0.413957311775749,-0.485640642850501,0.358265424000508,-0.457596568871634,-0.129248788649381,0.0607375781092723,-0.455152058157504,-0.402138494994811,0.473990729423507,0.0531539194709007,-0.125351777060485,-0.437629609607451,-0.386625554557179
